Repositório,Estrelas,Pull Requests
freeCodeCamp/freeCodeCamp,387744,35876
EbookFoundation/free-programming-books,319611,9870
sindresorhus/awesome,299777,1986
public-apis/public-apis,291780,2890
jwasham/coding-interview-university,288843,943
kamranahmedse/developer-roadmap,274377,2712
996icu/996.ICU,269045,1970
codecrafters-io/build-your-own-x,256933,244
donnemartin/system-design-primer,253389,301
facebook/react,221639,14774
vuejs/vue,206912,2268
vinta/awesome-python,204771,1495
trekhleb/javascript-algorithms,182601,510
tensorflow/tensorflow,182365,26018
TheAlgorithms/Python,179302,9183
awesome-selfhosted/awesome-selfhosted,177527,3037
getify/You-Dont-Know-JS,176155,841
CyC2018/CS-Notes,172198,548
torvalds/linux,169993,470
ohmyzsh/ohmyzsh,168598,6832
practical-tutorials/project-based-learning,167958,329
twbs/bootstrap,167411,14996
ossu/computer-science,162550,428
flutter/flutter,161682,52219
Significant-Gravitas/AutoGPT,161124,3608
microsoft/vscode,158080,28709
github/gitignore,157631,3858
jackfrued/Python-100-Days,149888,148
jlevy/the-art-of-command-line,148567,463
Snailclimb/JavaGuide,143036,1288
airbnb/javascript,141706,1490
AUTOMATIC1111/stable-diffusion-webui,129156,2877
trimstray/the-book-of-secret-knowledge,129111,204
ytdl-org/youtube-dl,128396,4419
huggingface/transformers,124694,15174
labuladong/fucking-algorithm,123337,452
avelino/awesome-go,120570,4339
vercel/next.js,120423,20865
golang/go,119501,3399
Chalarangelo/30-seconds-of-code,119071,1604
facebook/react-native,115609,16499
electron/electron,111893,21540
yangshun/tech-interview-handbook,109710,526
justjavac/free-programming-books-zh_CN,109098,432
d3/d3,107628,1161
kubernetes/kubernetes,106702,78407
microsoft/PowerToys,104254,5126
axios/axios,104000,1448
nodejs/node,103677,32598
f/awesome-chatgpt-prompts,103325,284
facebook/create-react-app,101846,3788
Genymobile/scrcpy,101765,383
mrdoob/three.js,98801,15588
microsoft/TypeScript,97896,17048
goldbergyoni/nodebestpractices,96271,918
angular/angular,94476,26719
microsoft/terminal,93442,4079
denoland/deno,92883,12468
rust-lang/rust,92797,70888
mui/material-ui,91552,21792
ant-design/ant-design,90140,16891
ryanmcdermott/clean-code-javascript,89614,248
GrowingGit/GitHub-Chinese-Top-Charts,88568,15
puppeteer/puppeteer,86742,5497
iluwatar/java-design-patterns,86377,1957
PanJiaChen/vue-element-admin,86307,475
521xueweihan/HelloGitHub,84715,40
ripienaar/free-for-dev,83767,3188
papers-we-love/papers-we-love,83242,509
godotengine/godot,83018,38225
langchain-ai/langchain,82817,11210
nvbn/thefuck,82750,605
storybookjs/storybook,82741,12068
microsoft/Web-Dev-For-Beginners,81418,780
animate-css/animate.css,79722,861
fatedier/frp,79565,844
gothinkster/realworld,78253,794
tailwindlabs/tailwindcss,78240,2597
iptv-org/iptv,78003,6841
pytorch/pytorch,77722,81927
tauri-apps/tauri,77178,4254
Hack-with-Github/Awesome-Hacking,77128,101
mtdvio/every-programmer-should-know,76772,142
laravel/laravel,76750,4734
django/django,76712,17860
tensorflow/models,76586,3630
sveltejs/svelte,76393,4684
neovim/neovim,76392,16720
bitcoin/bitcoin,75768,20266
nvm-sh/nvm,75542,1004
opencv/opencv,75481,14709
gin-gonic/gin,75413,1531
macrozheng/mall,75322,111
tonsky/FiraCode,75247,182
krahets/hello-algo,75022,934
MisterBooo/LeetCodeAnimation,74962,75
