Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
2020,refactor: modify condition based on es2020,62,True,True,2023-09-29T07:25:52Z,2023-09-29T07:25:52Z,1,2,1,1,2,2,4,18147383.004871
2045,Added method that returns value from nested and untested object,87,True,False,,2023-10-24T07:03:03Z,1,2,0,1,57,0,57,16740166.004871
2058,Add more examples,0,True,True,2023-10-21T04:16:08Z,2023-10-21T04:16:08Z,1,2,0,1,6,0,6,16137254.763925
2056,fix git syntax,0,True,True,2023-10-21T04:15:15Z,2023-10-21T04:15:15Z,1,2,0,1,1,1,2,16138180.764955
2060,fix typo,0,True,True,2023-10-21T04:12:58Z,2023-10-21T04:12:58Z,1,2,0,1,1,1,2,16136058.765051
2049,Cleaning up grammar in 5-tips-for-better-pull-requests.md,0,True,True,2023-10-19T06:07:15Z,2023-10-19T06:07:15Z,1,2,0,1,1,1,2,16317364.765051
2040,Bump postcss from 8.4.30 to 8.4.31,1985,True,True,2023-10-08T08:47:23Z,2023-10-08T08:47:23Z,1,1,0,1,5,5,10,17233509.765051
2003,Add target-sum-in-list,0,True,False,,2023-10-06T06:53:36Z,1,12,1,1859,50516,23,50539,19460474.895175
1962,Added new python snippet,0,True,False,,2023-09-29T10:28:54Z,2,3,3,1,21,0,21,24749972.895175
2004,Added a python snippet to check if a number is an Armstrong number,0,True,False,,2023-09-29T07:44:47Z,2,3,1,1,38,0,38,19432394.369455
2025,Fix unnecessary parameters in Queue class method and elaborated on explanation,443,True,True,2023-09-28T06:38:11Z,2023-09-28T06:38:11Z,1,2,0,1,3,3,6,18102070.369455
1953,Added is-even-bitwise.md,97,True,False,,2023-08-28T12:35:23Z,1,3,2,1,36,0,36,26884986.369455
2017,footer space style fix,54,True,True,2023-09-27T17:13:26Z,2023-09-27T17:13:26Z,1,2,0,1,1,1,2,18323326.093656
2016,Issue #2015 Fix typo in event loop explanation,202,True,True,2023-09-25T08:38:42Z,2023-09-25T08:38:42Z,1,2,0,1,1,1,2,18344565.093656
1975,Update README.md . Block quote not matching 30secondsofcode website's heading.,280,True,True,2023-08-16T06:48:56Z,2023-08-16T06:48:56Z,1,2,0,1,1,1,2,22118717.093656
1949,Fixes Typo,0,True,True,2023-06-06T17:28:34Z,2023-06-06T17:28:34Z,1,2,0,1,1,1,2,27907401.612441
1941,Add alternating text snippet,0,True,True,2023-05-25T19:51:16Z,2023-05-25T19:51:16Z,1,2,0,1,50,0,50,28954826.612441
1940,added a snippet for prime factors in python,0,True,True,2023-05-25T19:39:16Z,2023-05-25T19:39:16Z,1,3,0,1,31,0,31,29022429.612441
1936,Added is-perm,96,True,True,2023-05-23T20:40:35Z,2023-05-23T20:40:35Z,1,2,0,1,29,0,29,29113368.612441
1858,Fix RGBtoHSB edge-cases returning NaN,222,True,True,2021-08-26T18:26:10Z,2021-08-26T18:26:10Z,1,2,0,1,1,1,2,83976329.325935
1916,Fix typo,0,True,True,2022-09-13T08:58:44Z,2022-09-13T08:58:44Z,1,2,0,1,1,1,2,50915614.325935
1856,Added matrixMultiplication,0,True,False,,2022-03-31T11:45:37Z,3,6,0,1,29,0,29,84193072.325935
1843,Radix Sort ,135,True,False,,2022-03-31T11:39:08Z,5,5,1,1,55,0,55,86832654.325935
1892,add parseJWT to get object,450,True,False,,2022-03-31T10:30:48Z,1,4,0,1,39,0,39,80800702.325935
1859,added sanitize string snippet,82,True,False,,2022-03-31T10:27:04Z,1,3,0,2,58,0,58,83837240.325935
1914,Retitle snippets,0,True,True,2022-02-18T19:01:52Z,2022-02-18T19:01:52Z,1,2,0,542,559,557,1116,69198167.325935
1913,docs: Use oxford comma in Readme,0,True,False,,2021-10-24T12:38:10Z,1,2,0,1,3,3,6,78984251.325935
1912,allEqualBy - return true for zero sized array,0,True,False,,2021-10-24T12:37:11Z,1,2,0,1,2,0,2,78984427.325935
1911,bugfix: addDaysToDate for all timezones,97,True,False,,2021-10-24T12:35:57Z,1,3,0,1,3,1,4,78985122.325935
1909,added colorLighten,70,True,False,,2021-10-24T12:30:31Z,1,2,0,1,49,0,49,79060704.325935
1906,add dayDIf,0,True,False,,2021-10-24T12:29:59Z,1,2,0,1,18,0,18,79146125.325935
1902,add findLongestr,0,True,False,,2021-10-16T13:20:07Z,1,2,0,1,21,0,21,79590266.325935
1901,todoList was created,17,True,False,,2021-10-15T17:51:32Z,1,2,0,2,32,0,32,79666426.10794
1899,added create httpserver in node,0,True,False,,2021-10-14T18:29:34Z,1,2,0,3,47,0,47,79745284.10794
