Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
26105,【辟谣】程渊不是996.ICU项目发起人，定罪原因也是涉及到十几万美元的境外资金,840,True,False,,2023-06-16T19:12:05Z,1,27,38,1,1,1,2,27079540.196038
26095,Every fighter deserve a badge!,173,True,False,,2023-06-16T19:09:17Z,1,3,0,1,10,0,10,44589537.496183
26071,添加北京三只猪科技有限公司,123,True,False,,2023-06-16T19:07:10Z,1,9,7,10,70,69,139,67148969.496183
26067,添加上海幻电信息科技有限公司,2,True,False,,2023-06-16T19:06:48Z,1,10,8,1,1,0,1,69562953.496183
242,en_US,19,True,False,,2019-03-28T02:53:55Z,2,4,2,1,16,0,16,160296525.318299
24904,添加公司作恶行为名单,23,True,False,,2019-04-09T02:17:49Z,5,280,594,3,29,0,29,159786267.318299
25509,我们为什么反对996 草稿，期望大家一起完善,69,True,False,,2019-05-10T12:15:06Z,32,171,446,1,8,0,8,158836656.318299
26068,"Add ""Support Ukraine"" badge in README",321,True,False,,2022-03-04T18:05:29Z,3,5,4,1,1,0,1,67996974.318299
26024,资本主义，你傻逼东西吃你妈的奶逼水去吧，滚你妈的畜生，操你妈的臭逼，老子把你妈吊起来吊打阴道，老子把他妈毛毛虫塞你妈的阴道里面，生出你个杂种！操你妈的臭逼，滚！,0,True,False,,2022-01-24T20:59:28Z,1,18,18,1,0,1,1,99317064.486858
25980,添加 joshuafc/ImageSearchDLL,0,True,True,2022-01-24T21:20:41Z,2022-01-24T21:20:41Z,1,3,1,1,1,0,1,126005215.553947
25999,Create chengdu,0,True,False,,2022-01-24T21:11:05Z,1,5,2,1,1,0,1,110343250.7039
26008,增加黑名单：天津硕烁科技有限公司,16,True,True,2022-01-24T21:08:39Z,2022-01-24T21:08:39Z,1,5,2,3,1,0,1,105281230.7039
26012,Update README.md,15,True,True,2022-01-24T21:05:05Z,2022-01-24T21:05:05Z,1,6,4,1,1,1,2,104235133.7039
26010,This repo should be language neutral,120,True,True,2022-01-24T21:04:11Z,2022-01-24T21:04:11Z,1,4,3,1,1,0,1,104564495.7039
26047,添加北京彩智科技有限责任公司,52,True,False,,2022-01-24T20:53:11Z,1,4,1,1,1,0,1,85380153.64758
26048,添加天津云账户,69,True,True,2022-01-24T20:52:57Z,2022-01-24T20:52:57Z,1,3,1,2,1,0,1,84342728.64758
26049,Update README.md,0,True,False,,2022-01-24T20:51:59Z,1,4,1,1,1,0,1,83984000.64758
24691,请把华为从黑名单中删除,97,True,False,,2019-03-30T06:27:12Z,2,93,152,1,0,1,1,160047080.349317
25990,提出一个从根本上解决996问题的解决方案希望我们无产阶级可以联合起来,23,True,False,,2020-12-30T02:08:22Z,14,46,416,2,95,0,95,118013304.349317
26032,测试,0,True,False,,2021-08-10T13:33:49Z,1,2,0,1,5,0,5,96760936.349317
25926,本repo仓库主996icu又不见啦？！,120,True,False,,2019-09-03T09:17:20Z,1,18,64,1,1,1,2,146933925.349317
24893,添加公司作恶行为名单,23,True,False,,2019-04-02T05:22:14Z,1,19,21,5,29,0,29,159790523.363398
25886,.........,3,True,False,,2019-07-31T03:21:31Z,1,2,0,1,1,0,1,150537258.363398
25677,关于黑心企业评奖的初步想法,68,True,False,,2019-12-10T02:11:36Z,2,129,238,1,5,0,5,158305767.363398
25923,北京上市公司 东方国信,52,True,True,2019-09-03T09:18:28Z,2019-09-03T09:18:28Z,1,5,3,1,1,0,1,147081205.419308
25914,Update README.md,24,True,True,2019-09-03T09:13:33Z,2019-09-03T09:13:33Z,1,3,0,1,1,1,2,148456381.428423
25885,Update README.md,0,True,False,,2019-07-18T15:05:33Z,4,1,1,1,6,2,8,150582748.609696
25884,Update README.md,0,True,False,,2019-07-18T15:05:33Z,3,1,0,1,3,0,3,150582772.669824
25856,添加Anti 996项目,45,True,True,2019-06-11T08:28:07Z,2019-06-11T08:28:07Z,2,3,1,1,1,0,1,154589803.669824
25855,修改语法错误,98,True,True,2019-06-05T10:00:28Z,2019-06-05T10:00:28Z,1,4,0,1,1,1,2,154606810.503796
25840,Update README.md,26,True,True,2019-05-27T03:02:30Z,2019-05-27T03:02:30Z,1,3,0,1,1,2,3,155450042.503796
25838,添加网医纳康（北京）科技有限公司等公司，另996action.com招募帮忙添加PR的志愿者,142,True,True,2019-05-27T02:55:21Z,2019-05-27T02:55:21Z,1,6,4,1,9,1,10,155471771.503796
25842,润色README的文字,2,True,True,2019-05-27T02:54:26Z,2019-05-27T02:54:26Z,1,3,0,2,10,8,18,155192804.503796
25831,Create 峰哥牛逼,0,True,False,,2019-05-15T08:40:11Z,1,7,6,1,1,0,1,156149450.529797
25809,Proposal: Fix typo,24,True,True,2019-05-06T01:48:02Z,2019-05-06T01:48:02Z,1,3,0,9,133,133,266,157173314.262267
25800,cancel pullrequest,18,True,False,,2019-05-05T02:08:05Z,1,3,2,8,0,184,184,157339234.262267
25780,Update README.md,62,True,False,,2019-04-28T01:49:19Z,1,3,1,2,1,0,1,157600391.262267
25792,增加公司：广西安辰,9,True,True,2019-04-30T11:37:21Z,2019-04-30T11:37:21Z,1,5,3,1,1,0,1,157454278.262267
25794,Update README.md,29,True,True,2019-04-30T11:40:12Z,2019-04-30T11:40:12Z,8,5,0,1,1,1,2,157406089.746476
25791,Add recent English news coverage,68,True,True,2019-04-30T11:36:57Z,2019-04-30T11:36:57Z,1,3,0,1,8,4,12,157457838.746476
25774,merge duplicated items,17,True,True,2019-04-28T01:47:38Z,2019-04-28T01:47:38Z,1,3,0,1,1,2,3,157704228.14206
25770,Update news_EN.md,0,True,True,2019-04-26T01:28:40Z,2019-04-26T01:28:40Z,1,3,0,1,1,0,1,157768573.14206
25771,把 yasio 去除,46,True,False,,2019-04-26T01:28:30Z,1,5,3,1,0,1,1,157767674.14206
25742,update blacklist README,10,True,True,2019-04-25T01:35:07Z,2019-04-25T01:35:07Z,5,3,1,1,1,0,1,157928903.14206
25500,【捍卫】我才知道 `8小时工作制` 原来是工人阶级运动的结果，请捍卫这个来之不易的工作制！,806,True,False,,2019-04-23T01:30:01Z,1,63,96,3,0,0,0,158847985.14206
25762,Create 学习尝试改着玩,0,True,False,,2019-04-25T10:32:30Z,1,9,7,1,4,0,4,157803801.14206
25710,Update th_TH.md,18,True,True,2019-04-23T01:14:04Z,2019-04-23T01:14:04Z,1,3,0,1,1,1,2,158036801.862722
24677,添加一个指向996.icu的badge，并鼓励人们添加到自己的readme中,71,True,True,2019-03-30T05:27:09Z,2019-03-30T05:27:09Z,1,6,4,1,2,0,2,160052758.887647
24633,Add a tool to generate LICENSE file commonly or with 996ICU LICENSE,230,True,True,2019-03-29T15:55:42Z,2019-03-29T15:55:42Z,1,2,2,22,3701,1,3702,160096682.447726
25582,Update news.md 添加新华网4.15号报道，删除半月谈评论4.15号重复的链接,0,True,True,2019-04-16T03:29:43Z,2019-04-16T03:29:43Z,2,5,2,1,2,1,3,158623681.982168
25649,Update README.md,23,True,True,2019-04-19T10:56:38Z,2019-04-19T10:56:38Z,1,4,1,1,1,0,1,158399948.653679
25619,增加 人民网：遏制“996” 需要劳动监察部门发力,0,True,True,2019-04-17T13:20:03Z,2019-04-17T13:20:03Z,1,20,28,1,2,0,2,158503583.080684
24788,996license 开源项目联盟列表,52,True,False,,2019-04-03T11:35:22Z,4,105,144,2,50,45,95,159931700.080684
25483,官方锤！--马云：996是修来的福报！,40,True,False,,2019-04-14T05:36:41Z,30,74,160,2,179,2,181,158902216.080684
25417,劳动仲裁过程,615,True,False,,2019-04-15T12:24:54Z,2,65,83,1,4,0,4,159064291.089217
25614,Improve grammatical consistency,51,True,True,2019-04-17T13:15:32Z,2019-04-17T13:15:32Z,1,3,0,1,1,1,2,158533417.119619
25612,fix blacklist typo,41,True,True,2019-04-17T13:14:47Z,2019-04-17T13:14:47Z,1,3,0,1,1,1,2,158536246.119619
25583,Update README.md,31,True,True,2019-04-16T03:33:54Z,2019-04-16T03:33:54Z,1,10,10,1,1,1,2,158621100.69076
25561,Add new point to Principles and Purposes section,61,True,False,,2019-04-15T10:59:57Z,1,4,2,2,2,3,5,158682497.296526
