Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
7103,jihun2 entering the arena,640,True,False,,2024-04-24T13:54:06Z,1,3,3,1,6,0,6,19984.483384
7101,hh entering the arena,1556,True,False,,2024-04-24T07:57:19Z,1,2,3,1,6,0,6,31439.483384
3572,Add environment variable WORKSPACE_PATH,1142,True,False,,2023-07-01T04:45:16Z,3,6,7,3,11,11,22,31125735.483384
7054,feat(agent): Component-based Agents,1185,True,True,2024-04-22T17:20:02Z,2024-04-22T17:20:02Z,100,6,10,71,3230,3215,6445,2437161.483384
7098,Add all the new component docs to the site and do a tidy up of docs,1035,True,True,2024-04-23T13:49:07Z,2024-04-23T13:49:07Z,1,2,2,18,159,92,251,145320.483384
7022,Fix #7003 by updating ONNXRuntime,692,True,True,2024-04-23T10:35:57Z,2024-04-23T10:35:57Z,1,2,13,2,54,52,106,3314731.483384
7099,fix(agent): Support OpenAI Project API keys,709,True,True,2024-04-23T10:29:12Z,2024-04-23T10:29:12Z,1,2,2,1,1,1,2,118223.483384
6986,Add arena entry for jervis,640,True,False,,2024-04-23T08:21:49Z,2,2,3,1,6,0,6,4307196.483384
7053,IdeaAgent entering the arena,1575,True,False,,2024-04-23T08:21:15Z,1,2,2,1,6,0,6,2458423.483384
7081,Jeff_AutoGPT entering the arena,1571,True,False,,2024-04-23T08:17:16Z,1,2,2,1,6,0,6,1126236.162559
7077,HelloAgent entering the arena,1562,True,False,,2024-04-23T08:17:13Z,1,3,3,1,6,0,6,1500057.162559
7076,NODE_WIZARD_ASSISTENT entering the arena,640,True,False,,2024-04-23T08:17:09Z,1,2,2,1,6,0,6,1599541.162559
7062,rogergpt entering the arena,640,True,False,,2024-04-23T08:17:06Z,1,2,3,1,6,0,6,2130453.162559
7061,myGptAgent entering the arena,1568,True,False,,2024-04-23T08:17:04Z,1,2,2,1,6,0,6,2130717.162559
7060,GameAgent entering the arena,1569,True,False,,2024-04-23T08:17:00Z,1,2,2,1,6,0,6,2188157.162559
7058,atd2024 entering the arena,1566,True,False,,2024-04-23T08:16:57Z,1,2,2,1,6,0,6,2237904.162559
7057,researchai entering the arena,1566,True,False,,2024-04-23T08:16:53Z,1,2,2,1,6,0,6,2292928.162559
7056,zhaoyu entering the arena,1572,True,False,,2024-04-23T08:16:49Z,1,2,2,1,6,0,6,2360452.162559
7052,mapigo entering the arena,1401,True,False,,2024-04-23T08:16:43Z,1,2,2,1,6,0,6,2465930.162559
7050,Jungwoo entering the arena,640,True,False,,2024-04-23T08:16:39Z,1,2,2,1,6,0,6,2511064.162559
7049,evo.ninja entering the arena,1561,True,False,,2024-04-23T08:16:36Z,1,2,2,1,6,0,6,2523861.162559
7048,sendmail entering the arena,1573,True,False,,2024-04-23T08:16:33Z,1,3,2,1,6,0,6,2531055.162559
7042,test_agent_1 entering the arena,1563,True,False,,2024-04-23T08:16:29Z,1,2,2,1,6,0,6,2763841.162559
7038,AndresFirstAgent entering the arena,1579,True,False,,2024-04-23T08:16:25Z,1,3,3,1,6,0,6,2864487.162559
7034,Tiger entering the arena,640,True,False,,2024-04-23T08:16:22Z,1,3,2,1,6,0,6,2967874.162559
7033,GeneralRJ entering the arena,1562,True,False,,2024-04-23T08:16:19Z,1,2,2,1,6,0,6,3007405.162559
