Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
991,StringPool Tutorials : s1 change to s2,239,True,True,2020-11-01T15:46:10Z,2020-11-01T15:46:10Z,1,3,0,1,1,1,2,111452754.441951
1000,简化函数,0,True,False,,2020-11-01T14:30:52Z,2,3,1,1,11,17,28,110071484.441951
926,update wrong data,17,True,True,2020-05-26T17:37:08Z,2020-05-26T17:37:08Z,1,3,2,1,1,1,2,126091235.224827
886,Update Linux.md,10,True,True,2020-05-26T17:51:56Z,2020-05-26T17:51:56Z,1,3,0,1,1,1,2,130718809.224827
889,Minor revision,20,True,True,2020-05-26T17:48:10Z,2020-05-26T17:48:11Z,1,3,0,1,1,1,2,130061746.224827
925,Update SQL.md,46,True,True,2020-05-26T17:33:47Z,2020-05-26T17:33:47Z,1,3,0,1,1,1,2,126163132.224827
934,修复失效的链接,258,True,False,,2020-05-26T17:29:15Z,1,4,2,1,25,25,50,124961386.224827
735,增加 HTTP/1.1 pipelining 缺陷描述 修正 QuickSort 中的小问题,46,True,False,,2019-09-15T15:49:01Z,1,3,1,2,14,30,44,151843084.490261
617,Update 计算机操作系统 - 进程管理.md,0,True,True,2019-06-19T02:53:36Z,2019-06-19T02:53:36Z,1,3,0,1,3,2,5,161056064.422067
602,Update Java 容器.md,0,True,False,,2019-05-14T16:08:25Z,2,3,0,1,26,6,32,161743516.422067
614,jvm对boolean数组的支持,324,True,True,2019-03-26T06:41:32Z,2019-03-26T06:41:32Z,1,2,3,1,1,1,2,161133915.379498
352,Update 设计模式.md,112,True,False,,2018-08-04T15:10:20Z,1,3,1,1,2,8,10,180694327.266791
