Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
11384,Add Earliest Deadline First scheduling code,1115,True,False,,2024-04-24T13:29:32Z,2,2,2,1,90,0,90,90735.670946
11383,Fix ARG005 per file ignore,1142,True,True,2024-04-24T04:32:25Z,2024-04-24T04:32:25Z,4,3,0,2,1,2,3,151829.670946
11376,Enable ruff RUF003 rule,1139,True,True,2024-04-22T19:56:14Z,2024-04-22T19:56:14Z,1,2,0,5,5,8,13,246863.670946
11377,Enable ruff RUF002 rule,1139,True,True,2024-04-22T19:51:47Z,2024-04-22T19:51:47Z,1,2,0,69,132,131,263,244570.670946
11378,Enable ruff RUF001 rule,1139,True,True,2024-04-22T19:45:24Z,2024-04-22T19:45:24Z,1,2,0,4,7,8,15,243884.670946
11216,File moved to neural_network/activation_functions,1108,True,True,2023-12-27T08:35:29Z,2023-12-27T08:35:29Z,2,3,0,1,0,0,0,10923711.670946
11349,Enable ruff RUF007 rule,1139,True,True,2024-04-20T14:20:27Z,2024-04-20T14:20:27Z,2,2,0,3,3,3,6,1882774.670946
11374,Add doctests in all functions in basic_string.py,1115,True,True,2024-04-20T10:50:37Z,2024-04-20T10:50:37Z,4,2,2,1,28,3,31,385790.670946
11362,Add palprime (palindromic prime) number detection Algorithm,1415,True,False,,2024-04-19T20:42:03Z,1,3,2,1,119,0,119,809854.670946
11366,Update and_gate.py,1221,True,False,,2024-04-19T19:35:33Z,2,4,0,1,1,1,2,701158.670946
11357,Ibm.py,1115,True,False,,2024-04-19T19:33:19Z,2,3,0,2,6,1,7,1277659.670946
11370,Enable ruff E741 rule,1137,True,True,2024-04-19T19:30:22Z,2024-04-19T19:30:22Z,2,3,0,14,102,92,194,504324.670946
11264,Rename .github/.github/dependabot.yml to .github/dependabot.yml,1149,True,True,2024-02-01T06:10:35Z,2024-02-01T06:10:35Z,1,2,0,1,0,0,0,7319792.670946
9534,Add `Mirror a Binary Tree` solution,1119,True,True,2023-10-24T07:54:38Z,2023-10-24T07:54:38Z,4,3,3,1,153,0,153,17689167.101433
10899,Improved Equilibrium Index of an Array.,2026,True,True,2023-10-25T20:33:35Z,2023-10-25T20:33:35Z,1,2,1,1,10,11,21,15815435.101433
11355,[pre-commit.ci] pre-commit autoupdate,65,True,True,2024-04-09T05:23:51Z,2024-04-09T05:23:51Z,1,1,0,1,1,1,2,1364116.101433
11352,Added documentations,1115,True,True,2024-04-08T11:35:23Z,2024-04-08T11:35:23Z,2,2,0,2,6,3,9,1634842.101433
