Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
5263,"Add xgo(a mocking library), remove awterman/monkey and pasdam/mockit",2305,True,True,2024-04-02T05:42:41Z,2024-04-02T05:42:41Z,1,4,7,1,2,3,5,2177310.796268
5268,docs(networking): add fwdctl project,1885,True,True,2024-04-23T19:42:06Z,2024-04-23T19:42:06Z,2,2,2,1,1,0,1,1814932.796268
5279,Fix typos,9,True,True,2024-04-22T12:37:22Z,2024-04-22T12:37:22Z,1,2,2,1,8,8,16,267140.796268
5267,use the built-in const,129,True,True,2024-04-02T17:08:24Z,2024-04-02T17:08:24Z,1,2,1,1,1,1,2,1913414.796268
5262,Update README.md,1778,True,False,,2024-04-01T06:38:34Z,1,2,2,1,1,0,1,2317602.796268
5259,bombastictranz/awesome-go,1787,True,False,,2024-03-26T05:56:24Z,1,2,1,158,2403,6183,8586,2583722.796268
5247,bombastictranz/awesome-go,1787,True,False,,2024-03-25T15:45:13Z,2,2,1,141,2299,6183,8482,3527114.796268
5253,adding Wave Terminal to the tools list,1751,True,True,2024-03-22T02:32:54Z,2024-03-22T02:32:54Z,1,2,1,1,1,0,1,2967777.796268
5250,fix: move Go Faster to the Free e-books section,1803,True,True,2024-03-20T02:04:49Z,2024-03-20T02:04:49Z,1,2,2,1,1,1,2,3203253.796268
5217,Add go-array,1498,True,False,,2024-03-10T03:56:14Z,1,1,1,1,1,0,1,4938484.495737
5223,add openfga,1502,True,True,2024-03-09T15:41:19Z,2024-03-09T15:41:19Z,1,2,1,1,1,0,1,4708708.495737
5235,added hedzr/store,1437,True,False,,2024-03-09T15:39:54Z,1,2,2,1,1,0,1,3977918.495737
5234,Added github.com/taubyte/tau to the DevOps category,1815,True,True,2024-03-08T22:09:54Z,2024-03-08T22:09:54Z,1,2,1,1,1,0,1,4057579.495737
5231,"Added Go in Practice, Second Edition",1446,True,True,2024-03-07T01:20:12Z,2024-03-07T01:20:12Z,1,2,2,1,1,0,1,4245955.495737
5230,Update description of GoFrame,1442,True,True,2024-03-06T11:56:12Z,2024-03-06T11:56:12Z,1,2,1,1,1,1,2,4275553.495737
2111,add mergi,896,True,True,2018-10-05T21:23:13Z,2018-10-05T21:23:13Z,1,3,0,1,1,0,1,176148035.495737
5211,Add ore package,1055,True,True,2024-03-03T21:00:23Z,2024-03-03T21:00:23Z,1,2,4,1,1,0,1,5547548.495737
5207,Add gitcs,1691,True,False,,2024-03-03T21:03:24Z,1,3,7,1,1,0,1,5712511.495737
5199,Add Risor,1498,True,False,,2024-03-03T20:05:33Z,2,2,2,1,1,0,1,6142245.495737
5195,Add mock,1445,True,False,,2024-03-03T20:05:07Z,1,3,6,1,1,0,1,6455375.495737
5224,"Remove unmaintained ""telemetry"" projects",544,True,True,2024-03-01T12:55:14Z,2024-03-01T12:55:14Z,1,2,2,1,0,2,2,4678263.192399
5218,Add code.pfad.fr/swift,1183,True,True,2024-02-29T04:21:43Z,2024-02-29T04:21:43Z,1,2,1,1,1,0,1,4936180.193398
5221,Remove go-astilectron coz depricated,102,True,True,2024-02-29T04:03:35Z,2024-02-29T04:03:35Z,1,2,1,1,0,1,1,4822740.193398
5219,Remove godoc.org references,584,True,True,2024-02-27T18:13:57Z,2024-02-27T18:13:57Z,1,2,1,1,3,7,10,4926469.193828
5210,Add Gosemble,1522,True,True,2024-02-26T02:01:31Z,2024-02-26T02:01:31Z,1,2,2,1,1,0,1,5613649.193828
5188,add gabs,1554,True,True,2024-02-26T01:45:11Z,2024-02-26T01:45:11Z,1,2,4,1,1,0,1,7281418.193828
5163,add go-datebin,1506,True,True,2024-02-26T01:42:26Z,2024-02-26T01:42:26Z,1,3,6,1,1,0,1,9285184.193828
5212,readme: add go in a visual way,63,True,True,2024-02-26T01:02:19Z,2024-02-26T01:02:19Z,1,2,2,1,1,0,1,5509143.194395
5158,Add Goras,1514,True,False,,2024-02-26T00:34:42Z,1,2,3,1,1,0,1,9992194.194395
5164,Add go-chia-libs,1490,True,False,,2024-02-26T00:26:58Z,1,2,2,1,1,0,1,9282422.194395
5162,Add due,1442,True,False,,2024-02-26T00:26:01Z,1,2,2,1,1,0,1,9457085.194395
5156,Add Siglens,1498,True,False,,2024-02-26T00:24:19Z,1,2,2,1,1,0,1,10090461.194395
5185,Add dynamo - key-value abstraction over AWS services,1430,True,True,2024-02-18T22:40:25Z,2024-02-18T22:40:25Z,1,2,3,1,1,0,1,7589181.194395
5209,Change description for GO Feature Flag,85,True,True,2024-02-19T14:44:15Z,2024-02-19T14:44:15Z,1,2,1,1,1,1,2,5628640.194395
5182,Add gomemcached,1565,True,True,2024-02-18T22:46:27Z,2024-02-18T22:46:27Z,2,3,5,1,1,0,1,7889864.194395
5184,Add encid,1498,True,True,2024-02-18T22:41:52Z,2024-02-18T22:41:52Z,1,2,2,1,1,0,1,7594019.194395
5187,Add `go-dag`,1516,True,True,2024-02-18T22:35:49Z,2024-02-18T22:35:49Z,1,2,2,1,1,0,1,7339252.523768
5181,Add gob,1478,True,True,2024-02-18T22:31:20Z,2024-02-18T22:31:20Z,2,2,5,1,1,0,1,7968154.523768
5194,Add Yokai,3987,True,True,2024-02-18T22:21:42Z,2024-02-18T22:21:42Z,1,2,2,1,1,0,1,6540942.523768
5202,Add gomponents to Template Engines,1763,True,True,2024-02-18T22:16:27Z,2024-02-18T22:16:27Z,3,2,2,1,1,0,1,5884511.523768
5203,Add go-kod,1478,True,True,2024-02-18T22:08:20Z,2024-02-18T22:08:20Z,1,2,2,1,1,0,1,5825678.523768
5192,fix: bexp repo url in readme,59,True,True,2024-02-18T21:58:37Z,2024-02-18T21:58:37Z,1,2,2,1,1,1,2,7069928.523768
5193,luontola/gospec has been dead for 12 years,1540,True,True,2024-02-18T21:57:06Z,2024-02-18T21:57:06Z,1,2,2,1,0,1,1,6741332.523768
5204,add konf,1482,True,True,2024-02-18T21:55:41Z,2024-02-18T21:55:41Z,1,2,2,1,1,0,1,5782810.523768
5208,Add `go-tg` ,1498,True,True,2024-02-18T21:50:29Z,2024-02-18T21:50:29Z,1,2,2,1,1,0,1,5689803.524461
5179,Add decouple.,1508,True,True,2024-01-27T23:21:30Z,2024-01-27T23:21:30Z,3,2,3,1,1,0,1,8109789.524461
5166,add sponge,1494,True,True,2024-01-25T22:53:09Z,2024-01-25T22:53:09Z,1,3,2,1,1,0,1,9256017.351708
5180,add z5labs/bedrock,1252,True,True,2024-01-25T22:38:50Z,2024-01-25T22:38:50Z,1,2,2,1,1,0,1,7978363.351708
5178,remove incorrect link,170,True,True,2024-01-25T22:35:34Z,2024-01-25T22:35:34Z,1,2,4,1,0,1,1,8162504.351708
