Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
2478,Add CustomTkinter,689,True,False,,2024-04-17T16:27:32Z,1,2,0,1,1,0,1,29110605.031095
2536,Add auto-py-to-exe,649,True,False,,2024-03-20T23:15:41Z,3,5,2,1,1,0,1,12666752.031095
1829,Changed the link for the Arcade framework,291,True,False,,2024-03-20T20:22:29Z,1,2,0,1,1,1,2,79384197.031095
2462,Add Pydantic,672,True,False,,2024-03-04T12:06:12Z,10,14,6,1,1,0,1,30817174.031095
2530,[Resources] Added Level Up Your Python,435,True,False,,2024-02-29T09:27:16Z,1,6,8,1,1,0,1,14203311.031095
2518,Updated psycopg2's homepage link and possibly a new project related to psycopg2,467,True,True,2024-02-22T14:47:02Z,2024-02-22T14:47:02Z,1,3,0,0,0,0,0,19300684.031095
2529,Fixed a Number of Dead Links,625,True,True,2024-02-22T14:45:39Z,2024-02-22T14:45:39Z,3,6,1,1,7,10,17,14552808.031095
2543,Update README.md,220,True,False,,2024-02-22T14:38:00Z,3,5,0,1,1,0,1,10486987.031844
2546,Update README.md,36,True,True,2024-02-22T14:37:35Z,2024-02-22T14:37:35Z,3,5,0,1,1,1,2,9424564.031844
2561,Add pytube,1124,True,False,,2024-02-19T15:46:32Z,1,2,0,1,1,0,1,7007902.031844
2512,Add readme-ai,1463,True,False,,2024-02-07T00:22:55Z,2,3,0,1,1,0,1,20597301.051948
2498,added deep learning framework Lighting,205,True,True,2023-07-13T15:37:09Z,2023-07-13T15:37:09Z,3,5,0,1,1,0,1,24761452.051948
2479,Add mapfun package,534,True,False,,2024-01-20T19:46:28Z,1,3,2,1,1,0,1,29016681.051948
2297,Remove abandoned project pyannotate,194,True,True,2023-01-05T12:29:52Z,2023-01-05T12:29:52Z,1,4,2,1,0,1,1,41197805.051948
2353,Add ruff code linter,1117,True,False,,2023-11-29T11:56:55Z,1,4,2,1,1,0,1,37364955.051948
2531,Update README.md,4011,True,False,,2023-11-14T17:13:56Z,1,2,0,1,1,0,1,14138848.051948
2350,Update README.md,1089,True,True,2023-03-30T03:40:01Z,2023-03-30T03:40:02Z,2,3,2,1,1,0,1,37698318.051948
1441,Add weboob to Web Crawling section,846,True,False,,2023-08-07T12:43:47Z,1,3,2,1,1,0,1,138935708.060014
2343,Update link for Pyston,137,True,True,2023-07-01T08:33:40Z,2023-07-01T08:33:40Z,2,4,1,1,1,1,2,38287054.060836
1283,Added Cloudsmith (Python Repository),1050,True,False,,2023-05-24T17:14:55Z,4,4,6,1,2,1,3,157612168.00766
1738,Added pdbr,340,True,False,,2023-04-12T21:06:55Z,3,4,1,1,1,0,1,98918034.00766
2431,spelling correction to redme.md,48,True,False,,2023-04-12T15:40:58Z,1,3,1,1,2,2,4,32759039.00766
2345,Create python-app.yml,220,True,False,,2023-02-08T17:18:00Z,1,2,1,1,39,0,39,38111086.00766
1567,add ucache,65,True,False,,2023-01-15T17:25:00Z,1,2,0,1,1,0,1,119942094.118958
1566,add cacheout,26,True,False,,2023-01-15T17:25:00Z,1,2,0,1,1,0,1,119942416.118958
2176,add Shiny for Python,592,True,False,,2023-01-13T20:27:51Z,1,4,2,1,1,0,1,50627047.118958
1794,Update README.md,35,True,True,2021-07-25T12:54:29Z,2021-07-25T12:54:29Z,2,4,0,1,5,5,10,86771061.118958
2209,"redirected pyqt to official docs, which is more useful for a beginner",77,True,True,2022-10-24T17:34:27Z,2022-10-24T17:34:27Z,3,4,0,1,1,1,2,47452284.118958
1645,Update README.md to include https://learnxinyminutes.com/docs/python/,466,True,False,,2022-10-19T00:25:42Z,1,2,0,1,1,0,1,112374002.118958
1795,Update CONTRIBUTING.md,23,True,True,2021-07-25T12:53:55Z,2021-07-25T12:53:55Z,1,3,0,1,1,1,2,86770668.128022
1556,Add Flask-restx,525,True,False,,2022-08-23T15:10:30Z,1,2,0,1,1,0,1,121971829.128283
1707,🗑 Remove pygeoip,326,True,True,2021-01-22T10:23:17Z,2021-01-22T10:23:17Z,1,4,1,1,0,1,1,103864754.786017
1994,Add Streamlit,380,True,False,,2022-07-29T04:33:42Z,3,2,1,1,1,0,1,64346396.786017
1859,update url linked to github,328,True,False,,2022-07-13T17:32:49Z,1,2,0,1,1,1,2,78176052.786017
1548,Add lkpy,27,True,False,,2022-07-10T03:53:12Z,1,2,0,1,1,0,1,123814882.786017
1449,updated readme to include pylightxl,1203,True,False,,2022-05-17T02:35:52Z,1,3,2,1,3,0,3,136623694.786017
1757,Add AWS Lambda Powertools 🙏🏼 ,2930,True,False,,2022-06-14T19:31:49Z,6,4,6,1,1,1,2,93596863.786017
753,Update README.md,282,True,True,2016-11-08T09:30:58Z,2016-11-08T09:30:58Z,1,2,0,1,1,0,1,236926650.786017
787,Added Web2py to Web Frameworks,445,True,True,2017-02-02T07:47:23Z,2017-02-02T07:47:23Z,1,3,3,1,3,0,3,232994322.786017
825,Add surprise,2113,True,True,2017-01-31T09:02:17Z,2017-01-31T09:02:17Z,2,2,0,1,1,0,1,228195975.786017
826,Adding Pytorch: deep learning framework that puts Python first.,689,True,True,2017-01-31T17:56:52Z,2017-01-31T17:56:52Z,3,2,0,1,1,0,1,228169162.786017
1669,Typo,32,True,True,2020-11-04T17:07:48Z,2020-11-04T17:07:48Z,1,3,0,1,1,1,2,109577475.456637
1627,Add Pandas_Alive,1037,True,False,,2022-05-25T00:47:43Z,1,2,0,1,1,0,1,112669742.456637
1676,Add flask-state,603,True,False,,2022-05-23T08:01:17Z,2,3,0,1,1,0,1,108875867.456637
1992,instagetter robot,269,True,False,,2022-04-06T11:42:20Z,1,2,0,1,8,0,8,64790947.456637
1460,Add python-viper,435,True,False,,2022-03-29T16:03:15Z,2,5,2,1,1,0,1,134342320.456637
1730,Fix dramatiq spelling,46,True,True,2021-02-04T06:00:05Z,2021-02-04T06:00:05Z,1,3,0,1,1,1,2,101572938.456637
