Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
4059,Remove Teddit homepage link (expired certificate),264,True,False,,2023-08-07T22:17:44Z,1,2,1,1,1,1,2,23383087.165936
2660,Add EmuLinkerSF to Games category,2403,True,True,2021-09-19T17:32:19Z,2021-09-19T17:32:20Z,2,1,2,1,1,0,1,83447564.167184
2653,Update plain HTTP and redirected URLs,2717,True,True,2021-09-02T17:46:00Z,2021-09-02T17:46:00Z,2,1,3,1,236,236,472,83826747.167184
4055,Add Slash to Bookmarks and link sharing,2447,True,False,,2023-11-09T13:41:34Z,1,4,4,1,1,0,1,23509528.167184
2739,"Add bookwyrm to non-free, e-books/library section",2403,True,True,2021-12-02T17:39:21Z,2021-12-02T17:39:21Z,1,3,1,1,1,0,1,78299896.167184
4123,"Standardize ""alternative to"" proprietary services formatting",147,True,True,2023-08-21T14:31:21Z,2023-08-21T14:31:22Z,5,3,0,1,49,49,98,21351669.167184
4117,Change link to Kubek,0,True,True,2023-08-20T09:57:42Z,2023-08-20T09:57:42Z,1,3,0,1,1,1,2,21460047.167184
3855,Remove peppermint (unmaintained since 2022) from Ticketing,502,True,False,,2023-06-09T11:07:36Z,1,4,8,1,0,1,1,28600345.167184
4093,Add Zrok to Proxy section,2307,True,False,,2023-08-22T13:59:28Z,4,3,3,1,1,0,1,22194992.547652
4125,Add RSSHub to Feed section,2447,True,False,,2023-08-22T13:58:33Z,1,3,1,1,1,0,1,21327990.547652
2345,Added OpenRemote new open source IoT Platform,2067,True,True,2021-01-31T15:35:28Z,2021-01-31T15:35:28Z,1,2,0,1,1,0,1,105820148.547652
3467,Add Forgejo to Software Development - Project Management,2385,True,False,,2023-08-22T14:00:16Z,2,7,18,1,1,0,1,42466141.548725
4100,docs: add EvaDB,2449,True,False,,2023-08-22T14:00:02Z,1,3,1,1,1,0,1,21939521.549185
4114,Add ifconfig.io to Automation,2447,True,False,,2023-08-22T13:59:46Z,2,4,3,1,1,0,1,21594685.550467
4080,Kiselitza add cerbos to misc,2447,True,False,,2023-08-22T13:59:06Z,2,4,8,1,1,0,1,22552312.551517
4069,Add Rhasspy to IoT,2447,True,False,,2023-08-22T13:58:56Z,1,4,4,1,1,0,1,23162243.552671
4033,Add MintHCM to HR,2469,True,False,,2023-08-22T13:58:47Z,2,5,4,1,1,0,1,24280406.552671
4096,Adds Graphweaver to Software- API,2447,True,True,2023-08-22T13:02:58Z,2023-08-22T13:02:58Z,3,3,1,1,1,0,1,21995881.553668
4121,Remove EdPaste (unmaintained since Jan 2019),391,True,True,2023-08-22T13:02:40Z,2023-08-22T13:02:40Z,2,3,0,1,0,1,1,21448043.553774
4112,Add Sunshine to Games - Administrative Utilities & Control Panels,2447,True,True,2023-08-22T13:02:19Z,2023-08-22T13:02:19Z,5,4,8,1,1,0,1,21596459.553774
4115,Add Fasten Health to Miscellaneous section,2447,True,True,2023-08-22T13:02:05Z,2023-08-22T13:02:05Z,3,4,3,1,1,0,1,21587853.553774
4118,Remove Actionsflow (unmaintained since July 2022),409,True,True,2023-08-22T13:01:54Z,2023-08-22T13:01:54Z,1,2,0,1,0,1,1,21448883.554773
4119,Remove budgetzero (unmaintained since Aug 2022),401,True,True,2023-08-22T13:01:43Z,2023-08-22T13:01:43Z,1,2,0,1,0,1,1,21448795.554773
4110,"Remove bloben (unmaintained, website & docs down)",70,True,True,2023-08-22T13:01:30Z,2023-08-22T13:01:30Z,1,2,0,1,0,1,1,21621143.554773
4092,Add Grai to non-free,2447,True,True,2023-08-22T13:01:19Z,2023-08-22T13:01:19Z,6,3,0,1,1,0,1,22197788.554773
