Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
2999,Add LiDAR Place Recognition,7234,True,False,,2024-04-09T05:01:39Z,1,4,6,2,6,3,9,3116932.671449
2079,Add Low Code,8084,True,True,2022-01-24T07:52:42Z,2022-01-24T07:52:42Z,4,8,19,1,1,0,1,79397208.679526
2970,Adding Awesome Farcaster Frames,7147,True,False,,2024-02-19T22:31:56Z,1,3,1,1,1,0,1,6123801.680048
2585,Add Kustomize,6593,True,True,2024-02-13T21:32:40Z,2024-02-13T21:32:40Z,7,8,16,1,1,0,1,32851988.680048
2888,Add QGis,7262,True,False,,2024-02-14T09:22:14Z,2,5,4,1,1,0,1,12342889.680048
2878,Update readme.md - Add LLM WebUIs,7251,True,False,,2024-02-14T09:21:35Z,1,4,2,1,1,0,1,12893158.680048
2837,Add AI Collection,7498,True,False,,2024-02-14T08:37:31Z,2,8,9,1,1,0,1,15569946.680048
2813,Add RTL,7419,True,False,,2024-02-14T08:17:41Z,1,3,4,1,1,0,1,16832317.680048
2810,Add Spring Boot,6963,True,False,,2024-02-14T08:14:53Z,2,8,6,1,1,0,1,17084118.680048
2804,Add parenting,7043,True,False,,2024-02-14T08:14:29Z,1,6,5,1,1,0,1,17376785.651847
2753,Add Microsoft Sentinel,3587,True,False,,2024-02-14T08:12:46Z,4,7,9,1,1,0,1,21587457.651847
2736,Add Stock Trading,3444,True,True,2024-02-14T08:09:43Z,2024-02-14T08:09:43Z,3,6,8,1,1,0,1,22998647.651847
2690,Add Bluetooth Low Energy,7097,True,True,2024-02-14T07:53:55Z,2024-02-14T07:53:55Z,1,5,10,1,1,0,1,26533157.651847
2658,Add Feature Flag Management,7524,True,False,,2024-02-14T07:47:03Z,1,5,5,1,1,0,1,28220135.651847
2647,Add E-Ink,7246,True,False,,2024-02-14T07:46:21Z,2,12,13,1,1,0,1,28667561.651847
2622,Add Uno Platform,6921,True,True,2024-02-13T21:51:16Z,2024-02-13T21:51:16Z,1,6,12,1,1,0,1,29984608.651847
2565,Add Computational Intelligence in Sports,7610,True,False,,2024-02-13T21:23:48Z,4,5,12,1,1,0,1,33784594.651847
2560,Add GitHub Organizations,6954,True,False,,2024-02-13T21:22:48Z,11,9,16,1,1,0,1,34370549.651847
2924,Add STEM Academy,7301,True,False,,2024-01-10T01:35:59Z,2,4,4,1,1,0,1,9797717.651847
2569,Add Control Theory,6975,True,False,,2023-10-14T15:30:37Z,3,7,8,1,1,0,1,33537495.651847
2506,Add Babylon.js,6959,True,False,,2023-10-14T18:50:18Z,2,5,23,1,1,0,1,38775503.651847
2763,Add Generative AI Companies,7506,True,False,,2024-01-19T11:25:46Z,1,8,11,1,1,0,1,20570356.651847
2846,Link to maintained successor for PHP,85,True,False,,2024-01-04T13:05:33Z,2,6,7,1,1,1,2,14899730.323331
2692,add official docker awesome-compose,6950,True,False,,2023-12-25T17:59:48Z,5,10,6,0,0,0,0,26459043.323331
2834,Update contributing.md,1368,True,True,2023-10-26T11:42:33Z,2023-10-26T11:42:33Z,1,4,1,1,1,1,2,15650701.323331
1851,auto awesome-lint any list added to the readme in a PR,1535,True,False,,2021-03-08T23:23:47Z,2,4,5,1,43,0,43,116335924.323331
2655,Add TON (The Open Network),7866,True,False,,2023-06-21T10:45:09Z,2,3,4,1,1,0,1,28496810.323331
2642,Add Apache Kafka,7039,True,False,,2023-07-18T12:09:04Z,1,5,14,1,1,1,2,28855794.323331
2509,Add Game Production,7059,True,True,2023-06-21T10:32:17Z,2023-06-21T10:32:17Z,1,5,8,1,1,0,1,38594491.323331
2620,Add Biological Image Analysis,7362,True,True,2023-10-14T16:20:57Z,2023-10-14T16:20:57Z,1,4,5,1,1,0,1,30138232.323331
2389,Add Complexity,6806,True,True,2023-10-17T08:34:03Z,2023-10-17T08:34:03Z,5,4,14,1,1,0,1,50195377.323331
2794,Install meshmap workflow,6963,True,False,,2023-09-30T14:25:51Z,1,3,2,1,34,0,34,17888106.331712
2715,Add Neuromorphic,7637,True,False,,2023-11-07T18:02:22Z,1,5,6,1,1,0,1,24782533.331712
2615,Add Mojo,0,True,False,,2023-06-23T14:09:18Z,2,4,3,1,1,0,1,30306719.331712
2482,Add Game Engine Development,6895,True,True,2023-06-22T11:10:11Z,2023-06-22T11:10:11Z,7,11,12,1,1,0,1,40645904.332757
2780,Add Processing langage ,7098,True,False,,2023-10-14T21:46:41Z,1,4,16,0,0,0,0,19352435.332757
2734,Add Prompt Injection,7153,True,True,2023-10-14T18:57:02Z,2023-10-14T18:57:02Z,2,5,5,1,1,0,1,23206679.332757
2391,Add Slack apps for developers,7152,True,False,,2023-10-14T18:49:38Z,10,8,14,1,1,0,1,50129918.332757
2640,Add High Performance Computing,6996,True,True,2023-10-14T15:58:54Z,2023-10-14T15:58:54Z,1,6,11,1,1,0,1,28941429.332757
2601,Add Pest,7247,True,True,2023-10-14T15:35:29Z,2023-10-14T15:35:29Z,2,3,5,1,1,0,1,31563486.332757
2743,Add Steam Deck,6994,True,True,2023-09-24T17:54:29Z,2023-09-24T17:54:29Z,2,7,8,1,1,0,1,22299389.332757
2513,Add Minestom,7035,True,False,,2023-09-24T17:56:49Z,1,4,11,1,1,0,1,38343286.36499
2512,Add AI Collection,7250,True,False,,2023-09-24T17:56:06Z,5,6,16,1,1,0,1,38357557.36499
2524,Add Processing,7098,True,False,,2023-09-13T14:04:01Z,3,6,12,1,1,0,1,37672466.36499
2383,Add GitHub Wiki,6901,True,True,2023-04-23T19:46:20Z,2023-04-23T19:46:20Z,6,7,16,1,1,0,1,50618494.36499
2463,Add Certificates,7172,True,True,2023-04-23T18:36:05Z,2023-04-23T18:36:05Z,6,6,11,1,1,0,1,41818961.36499
2448,Add GameMaker,6949,True,True,2023-04-23T17:55:21Z,2023-04-23T17:55:21Z,1,5,12,1,1,0,1,43259889.36499
2695,Add Neuromorphic,7637,True,False,,2023-07-12T17:29:06Z,1,6,13,1,1,4,5,26405522.36499
2714,Create Morena,8960,True,False,,2023-07-07T18:33:59Z,1,3,0,1,30,0,30,25239947.36499
2503,Add Friday Night Funkin' Resources,6776,True,False,,2023-06-30T13:17:29Z,6,7,18,1,1,0,1,38961591.36499
2454,Add Suricata,7395,True,True,2023-06-21T10:01:47Z,2023-06-21T10:01:47Z,3,4,11,1,1,0,1,42907120.633159
2539,Added Awesome Books Summaries,6901,True,False,,2023-06-21T10:46:51Z,3,7,4,1,1,0,1,35740548.633159
2498,Add Security Card Games,7188,True,True,2023-06-21T10:16:28Z,2023-06-21T10:16:28Z,5,7,11,1,1,0,1,39379520.634196
2453,Add STEAM,6956,True,True,2023-06-20T23:06:40Z,2023-06-20T23:06:40Z,4,6,11,1,1,0,1,42989656.634196
2449,Add Awesome ChatGPT Prompts,7221,True,False,,2023-06-20T13:20:40Z,5,9,8,1,1,0,1,43194538.634196
2442,Add Nim,6818,True,False,,2023-06-20T13:20:17Z,2,9,7,1,1,0,1,44252791.634196
2435,Add DeSci,7116,True,False,,2023-06-20T13:19:47Z,12,8,25,1,2,0,2,44917387.634196
2431,Add Knowledge Distillation for Object Detection,7039,True,False,,2023-06-20T13:19:21Z,1,5,6,1,1,0,1,45166416.634196
2420,Add Qwik,6857,True,False,,2023-06-20T13:18:24Z,8,4,5,1,1,0,1,47091533.634196
2400,Add flying-fpv,7526,True,True,2023-06-20T13:12:57Z,2023-06-20T13:12:57Z,3,6,11,1,1,0,1,49275539.634196
2287,Add Memgraph,6920,True,False,,2023-06-20T13:04:27Z,6,6,18,1,1,0,1,58246703.634196
2316,Add Cosmos SDK,7018,True,False,,2023-06-20T13:05:28Z,5,9,14,1,1,0,1,56780768.634196
2571,Add Tiny JS,5933,True,True,2023-05-19T10:35:17Z,2023-05-19T10:35:17Z,7,7,7,1,1,0,1,33525920.634196
2593,Add Game AI DevTools,7075,True,False,,2023-05-06T03:25:55Z,4,7,6,1,1,0,1,32262818.679591
2612,Add Game AI DevTools,7075,True,False,,2023-05-21T03:16:22Z,2,7,4,1,1,0,1,30621920.679591
1269,Add flat badges to gh-pages branch,16,True,True,2018-04-09T08:55:04Z,2018-04-09T08:55:04Z,3,7,3,2,2,0,2,190781539.679591
2424,Add Read the Docs,8301,True,True,2023-05-08T19:32:00Z,2023-05-08T19:32:00Z,10,8,21,1,1,0,1,46380666.679591
2550,Add Quarto,7049,True,True,2023-04-24T19:43:58Z,2023-04-24T19:43:58Z,3,6,15,1,1,0,1,35402408.679591
2502,Add Monolith Architecture,149,True,False,,2023-05-01T21:36:12Z,3,8,11,0,0,0,0,39222342.679591
2546,Remove dead link,62,True,True,2023-03-10T19:28:07Z,2023-03-10T19:28:07Z,1,3,0,1,0,1,1,35503569.679591
2433,Add Hackathon,3248,True,True,2023-04-23T08:31:52Z,2023-04-23T08:31:52Z,3,6,11,1,1,0,1,44923483.679591
2470,Add DevOps,6847,True,False,,2023-04-23T18:01:34Z,4,10,9,1,1,0,1,41208617.679591
2477,Add awesome-qubes-os ,7477,True,False,,2023-04-23T17:48:53Z,1,4,13,1,1,0,1,40977362.679591
2418,Add BitShares,541,True,False,,2023-04-23T08:36:46Z,3,6,3,1,1,0,1,47249872.881528
2370,Add Bigtable,331,True,False,,2023-04-23T08:15:57Z,3,5,8,1,1,0,1,51405467.881528
2417,Add Awesome Ecommerce,6802,True,False,,2023-03-09T16:57:11Z,2,6,10,1,1,0,1,47343427.881528
2525,Add Internet Computer,7270,True,False,,2023-03-07T17:15:08Z,2,4,5,1,1,0,1,37651929.881528
2038,Add VLC,6039,True,True,2021-07-28T12:16:14Z,2021-07-28T12:16:14Z,2,4,10,1,1,0,1,88928740.881528
2422,Add Back to top button,6844,True,False,,2023-02-07T10:51:10Z,2,4,2,1,26,0,26,46652915.881528
2501,Add Locust,6819,True,False,,2023-02-14T15:06:07Z,1,4,5,1,1,0,1,39283633.881528
2445,Add Generative AI,7396,True,True,2023-02-11T17:08:46Z,2023-02-11T17:08:46Z,3,5,10,1,1,0,1,44049612.881528
2327,Add ZeroNet,6952,True,True,2023-02-12T06:39:27Z,2023-02-12T06:39:27Z,3,8,19,1,1,0,1,55890251.881528
2394,Add Digital Humanities,6911,True,True,2023-02-11T06:57:35Z,2023-02-11T06:57:35Z,4,6,7,1,1,0,1,50031006.881528
2288,feat: add Developer Experience list,7539,True,False,,2023-02-11T07:03:16Z,3,6,11,1,1,0,1,58129691.889577
1966,Add Bots,6769,True,False,,2023-02-11T06:45:18Z,4,9,8,1,2,1,3,98522143.889757
2390,Add ICP,675,True,False,,2023-02-09T18:12:21Z,3,7,8,1,1,0,1,50188270.889981
2314,Add Quantitative Finance,7124,True,False,,2023-02-06T17:32:11Z,2,6,9,1,2,0,2,56900263.637692
2290,add Awesome.Tools,6760,True,False,,2023-02-06T17:31:50Z,2,4,2,1,1,0,1,58063983.637692
2274,Add iOS Security,6798,True,False,,2023-02-06T17:31:28Z,1,6,7,1,1,0,1,60013221.637692
2265,Add Apple Security,7191,True,False,,2023-02-06T17:20:25Z,3,4,7,1,1,0,1,61162281.637692
