Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
1030,added python commandline tool,91,True,False,,2024-04-14T10:53:53Z,2,2,0,1,2,0,2,1072893.151071
512,Fix a broken link with archive,0,True,False,,2024-02-12T22:30:30Z,1,2,0,1,2,2,4,118151183.151071
961,new pull request,0,True,False,,2023-11-24T11:55:09Z,1,3,0,1,1,0,1,13204743.151071
934,Fix: Replaced a broken link with alternative from smashingmagazine.com,142,True,True,2023-10-26T20:04:50Z,2023-10-26T20:04:50Z,1,3,0,1,1,1,2,17910187.83644
944,Update README.md,13,True,False,,2023-10-16T17:13:38Z,1,2,0,1,1,0,1,16942753.83644
870,Add quote information,0,True,False,,2023-10-16T15:00:21Z,1,3,1,1,1,1,2,34142351.83644
425,Add Write your own Excel in 100 lines of F#,0,True,False,,2023-07-30T08:45:16Z,1,2,1,1,1,0,1,132884528.83644
514,Update readme,173,True,False,,2023-07-16T16:00:52Z,1,2,0,1,1,0,1,117564144.83644
748,Added tutorial for building a basic Rust CLI app,83,True,False,,2023-07-04T13:04:41Z,4,5,1,1,1,0,1,58499919.83644
893,add Build your own VPN/Virtual Switch,109,True,True,2023-05-10T00:26:40Z,2023-05-10T00:26:40Z,3,2,0,1,1,0,1,30344145.526371
802,add python slack bot,136,True,False,,2023-03-02T06:23:48Z,3,4,0,1,1,0,1,51879827.526371
855,Add KV store,48,True,True,2023-02-16T11:17:42Z,2023-02-16T11:17:42Z,2,2,1,1,1,0,1,37563066.526371
551,Add Ray Tracing in One Weekend,188,True,True,2023-01-31T07:44:39Z,2023-01-31T07:44:39Z,2,3,0,1,1,0,1,108386482.534688
542,"Add link to ""ugit: Building Git Yourself""",573,True,True,2023-01-31T07:38:01Z,2023-01-31T07:38:01Z,1,3,0,1,1,0,1,111551387.534915
404,Add an article about monadic parser combinators in C#,0,True,False,,2022-11-28T09:34:36Z,1,2,0,1,1,0,1,140547170.470937
795,New 2D game development with JavaScript added,82,True,False,,2022-11-08T10:10:48Z,1,2,0,1,1,0,1,53438813.470937
809,Add Create Your Own CLI Tool with NodeJS,11,True,True,2022-10-09T10:17:49Z,2022-10-09T10:17:49Z,1,4,1,1,1,0,1,48974619.235834
775,Update Games With Go unavailable link,139,True,True,2022-07-20T14:00:56Z,2022-07-20T14:00:56Z,1,3,1,1,1,1,2,55995355.235834
678,added cryptoCurreny miner and dockerize tuturial,68,True,False,,2022-07-18T13:41:33Z,1,3,1,1,1,0,1,76787734.235834
696,Emphasize JavaScript's Regex Implementation Topic,109,True,True,2022-02-16T14:06:28Z,2022-02-16T14:06:28Z,1,3,1,1,1,1,2,69192025.820847
536,Add Test Collision With Separating Axis Theorem in JavaScript,11,True,False,,2021-12-02T14:21:40Z,1,2,0,1,1,0,1,112213977.820847
674,chore: remove reverse engineering react unavailable resourse,0,True,True,2021-11-30T08:41:01Z,2021-11-30T08:41:01Z,1,3,0,1,0,1,1,77838345.820847
634,Add a tutorial about writing a Tetris game.,60,True,False,,2021-08-29T15:42:17Z,1,2,0,1,1,0,1,90114491.820847
380,Add 'Twitter Bot Tutorial-Node.js and Processing',0,True,False,,2020-10-30T19:20:29Z,1,3,1,1,1,0,1,143593101.538654
534,Add Web App Server in Golang,150,True,False,,2020-10-25T18:24:41Z,1,3,0,1,3,3,6,112410281.538654
343,Add Build your own Front-end Framework re-implement react fiber,0,True,False,,2019-10-07T02:28:58Z,1,3,1,1,1,0,1,160313130.351164
211,"Found a Web site hosting these tutorials, want to add a link",244,True,False,,2018-06-29T10:33:16Z,1,3,1,1,2,0,2,184135816.850826
137,Added a New Category : Text Editor,104,True,True,2018-05-24T09:21:06Z,2018-05-24T09:21:06Z,1,3,1,1,9,1,10,186826238.545696
59,added 'Build your own CI server' title & one item,74,True,True,2018-05-15T13:35:32Z,2018-05-15T13:35:32Z,3,2,1,1,1,0,1,187658543.555054
63,Update README.md,19,True,True,2018-05-14T18:55:00Z,2018-05-14T18:55:00Z,2,2,1,1,2,1,3,187648186.555344
35,"Add ""Build your own Window Manager""",0,True,True,2018-05-14T06:51:54Z,2018-05-14T06:51:54Z,1,2,1,1,1,0,1,187744530.181909
16,Add: Generate SVG images in C,0,True,False,,2018-05-13T10:53:26Z,1,2,1,1,1,0,1,187853937.181909
10,readme: Add my tutorial on shell,193,True,True,2018-05-12T07:55:36Z,2018-05-12T07:55:36Z,3,2,1,1,1,0,1,187933864.181909
