Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
1226,Mark the Py4E course link as link,320,True,True,2024-03-26T03:45:35Z,2024-03-26T03:45:35Z,1,3,0,1,2,2,4,2841346.847164
1212,Remove mentions of outdated materials and add warning about them,1284,True,True,2024-02-18T17:16:58Z,2024-02-18T17:16:59Z,1,2,1,1,8,21,29,5818658.847164
1204,Adding a new URL course for Git and GitHub because the old link invalid,223,True,True,2024-01-28T04:26:18Z,2024-01-28T04:26:18Z,2,3,0,1,1,1,2,7567626.847164
1166,for test,0,True,False,,2023-08-04T19:18:01Z,1,3,0,2,5,0,5,22842393.806419
1130,Add a new project from a student,350,True,True,2023-04-05T04:18:42Z,2023-04-05T04:18:42Z,1,4,1,1,1,0,1,38715188.806419
1071,Swap Intro CS from edX to OpenCourseWare,14,True,True,2022-08-23T23:16:16Z,2022-08-23T23:16:16Z,1,3,1,1,1,1,2,54462748.780225
1010,Fixes typos,46,True,True,2022-03-21T21:46:28Z,2022-03-21T21:46:28Z,1,3,0,1,6,6,12,66196269.207481
948,Add The Linux Command Line book to Tools section in extra readings,173,True,True,2021-12-10T18:58:22Z,2021-12-10T18:58:22Z,1,6,4,1,7,0,7,80848413.207481
941,Add interesting/useful reading resources,185,True,True,2021-10-09T06:22:21Z,2021-10-09T06:22:21Z,1,4,5,1,2,0,2,84052820.842205
927,Switch 3b1b Linear Algebra from pre to corequisite,92,True,True,2021-10-09T06:19:36Z,2021-10-09T06:19:36Z,1,5,6,1,1,1,2,86869583.842205
792,Update README.md,85,True,False,,2021-08-03T17:22:58Z,1,4,2,1,1,1,2,113540390.842205
872,Set theme jekyll-theme-cayman,76,True,False,,2021-03-31T01:52:40Z,1,3,1,1,1,0,1,99125043.672751
857,Update Game Design specialization,69,True,True,2021-01-29T08:26:13Z,2021-01-29T08:26:13Z,2,4,1,1,1,1,2,102282204.672751
843,"Add ""Practical C Programming by Steve Oualline""",204,True,False,,2021-01-18T14:33:48Z,2,4,6,1,1,0,1,104838767.672751
610,README: Small text fixes,25,True,True,2019-10-11T22:00:03Z,2019-10-11T22:00:03Z,2,2,0,1,4,4,8,143183821.926375
571,Update to current version of LAFF course website,0,True,True,2019-04-11T19:34:40Z,2019-04-11T19:34:40Z,1,2,0,1,1,1,2,158980898.906411
517,Add curricular guidelines,237,True,False,,2018-11-06T05:31:57Z,1,2,0,2,24,1,25,173717512.371743
511,Fixed a few grammatical mistakes.,61,True,True,2018-10-16T14:28:49Z,2018-10-16T14:28:49Z,3,4,4,1,4,4,8,174537144.380407
450,Update courses.md,69,True,False,,2018-09-27T22:32:52Z,1,5,7,1,11,0,11,197898169.380407
379,ADD: Advanced Operating Systems from U.C.B.,62,True,True,2016-11-15T20:47:09Z,2016-11-15T20:47:09Z,2,2,4,1,3,2,5,234932978.725206
373,updated books,37,True,False,,2016-10-23T09:14:09Z,1,2,0,2,8,0,8,237532641.260456
375,Improved some english phrases,0,True,True,2016-10-18T10:02:38Z,2016-10-18T10:02:38Z,1,2,2,1,4,4,8,237190521.260456
372,updated books and courses,178,True,False,,2016-10-13T22:39:33Z,16,3,1,3,11,0,11,237596522.260456
360,Added free discrete math book,86,True,False,,2016-10-03T12:56:46Z,1,3,1,1,3,0,3,239327646.260456
