Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
5543,feat: add user open graph,0,True,True,2024-04-23T22:07:15Z,2024-04-23T22:07:15Z,3,2,0,3,55,8,63,97603.981828
5527,"Fix broken video link, and add unlighthouse to the ressources",286,True,True,2024-04-22T04:53:13Z,2024-04-22T04:53:13Z,2,2,0,1,1,1,2,432378.981828
5503,Update react.md - fixed grammatical error,129,True,True,2024-04-16T14:24:51Z,2024-04-16T14:24:51Z,1,2,0,1,1,1,2,790415.981828
5480,feat: implement sponsor,0,True,True,2024-04-15T12:16:55Z,2024-04-15T12:16:55Z,1,2,0,2,38,2,40,1352871.981828
5423,Youtube Link for Garbage Collection -Geekific in Java roadmap replace…,99,True,False,,2024-04-12T03:44:30Z,1,2,1,1,1,1,2,2236334.981828
5471,Fix typo for the content typo of 102-chatty-io.md,64,True,True,2024-04-07T07:06:03Z,2024-04-07T07:06:03Z,1,2,0,1,1,1,2,1608315.981828
5446,feat: implement guide table of content,0,True,False,,2024-04-03T16:26:25Z,1,2,1,10,209,38,247,1966765.738277
5151,Update 101-sum.md,26,True,True,2024-02-07T15:47:22Z,2024-02-07T15:47:22Z,1,2,0,1,7,7,14,6666731.738277
5425,Fix : Invalid link in Java Developer roadmap #5408,141,True,True,2024-03-30T21:14:26Z,2024-03-30T21:14:27Z,1,2,0,1,1,1,2,2197606.738277
5417,Update 100-mediatr.md (fix a broken link),0,True,True,2024-03-27T21:17:00Z,2024-03-27T21:17:00Z,1,2,0,1,1,1,2,2403174.738277
5414,Update 100-osi-model.md,57,True,True,2024-03-27T21:18:08Z,2024-03-27T21:18:08Z,1,2,1,1,2,2,4,2428469.738277
5399,feat/ Added complexity video resource,93,True,True,2024-03-26T22:43:14Z,2024-03-26T22:43:14Z,1,2,0,1,3,1,4,2701028.738277
5380,Fix typo in System Design Roadmap,0,True,True,2024-03-22T08:47:48Z,2024-03-22T08:47:48Z,1,2,0,1,1,1,2,3040535.344705
5365,Updated index.md,88,True,True,2024-03-18T15:43:49Z,2024-03-18T15:43:49Z,1,2,0,1,2,2,4,3210066.344705
5227,Fixing typo in typescript as type,177,True,True,2024-03-04T13:46:22Z,2024-03-04T13:46:22Z,1,2,0,1,1,1,2,5443821.166858
5247,Fix formatting,0,True,True,2024-03-04T13:41:11Z,2024-03-04T13:41:11Z,1,2,0,1,1,1,2,5022102.166858
5282,Fix: Corrected a typo in get started page,113,True,True,2024-03-03T16:38:37Z,2024-03-03T16:38:37Z,1,2,0,1,1,1,2,4505976.166858
5172,Added two Rust courses,0,True,True,2024-02-14T11:15:27Z,2024-02-14T11:15:27Z,1,2,0,1,3,1,4,6233765.300494
5177,Made Changes to quarternions,0,True,True,2024-02-14T11:13:35Z,2024-02-14T11:13:35Z,1,2,0,1,5,1,6,6129894.300494
5179,fix: disable login buttons,201,True,True,2024-02-14T11:10:09Z,2024-02-14T11:10:09Z,2,2,0,9,116,61,177,6066219.300494
5166,Typo Fix,77,True,True,2024-02-11T15:45:57Z,2024-02-11T15:45:57Z,1,2,2,2,2,2,4,6312680.300494
5045,fix: broken link in python and also add another similar resource,227,True,True,2024-02-04T16:02:18Z,2024-02-04T16:02:18Z,2,3,3,1,3,1,4,8428063.300494
5134,fix all nodejs doc redirection from .dev to .org,196,True,True,2024-02-04T16:09:29Z,2024-02-04T16:09:29Z,1,2,1,11,12,11,23,6922821.300494
5121,Fix #5058 : Add Pointers chapter in GoLang Roadmap,974,True,False,,2024-02-02T08:07:03Z,1,3,0,1,11,0,11,7156737.300494
