Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
41948,refactor: address changes and fix errors in `chrome://accessibility`,104,True,True,2024-04-24T02:14:14Z,2024-04-24T02:14:14Z,1,1,1,6,242,190,432,85240.040015
41911,refactor: address changes and fix errors in `chrome://accessibility`,674,True,True,2024-04-23T15:30:48Z,2024-04-23T15:30:48Z,3,4,3,6,242,190,432,412211.040015
41937,refactor: replace base::EndsWith() with std::ends_with(),435,True,True,2024-04-24T02:13:59Z,2024-04-24T02:14:00Z,1,2,1,4,11,20,31,136117.040015
41896,docs: Windows typo in Tutorial document,422,True,True,2024-04-23T17:14:26Z,2024-04-23T17:14:27Z,1,2,7,1,1,1,2,502443.040015
41950,docs: Windows typo in Tutorial document,55,True,True,2024-04-24T02:13:44Z,2024-04-24T02:13:44Z,1,1,1,1,1,1,2,79012.040015
41949,docs: Windows typo in Tutorial document,55,True,True,2024-04-24T02:13:39Z,2024-04-24T02:13:39Z,1,1,1,1,1,1,2,79015.040015
41952,docs: Windows typo in Tutorial document,55,True,True,2024-04-24T02:13:34Z,2024-04-24T02:13:34Z,1,1,1,1,1,1,2,79003.040015
41944,docs: correct the return value for canceled showSaveDialog,55,True,True,2024-04-23T19:14:11Z,2024-04-23T19:14:11Z,1,1,2,1,2,2,4,85326.040015
41926,docs: correct the return value for canceled showSaveDialog,513,True,True,2024-04-23T15:29:15Z,2024-04-23T15:29:15Z,5,4,5,1,2,2,4,175180.040015
41908,fix: `nativeImage.createThumbnailFromPath` and `shell.openExternal` in renderer,166,True,True,2024-04-23T19:12:46Z,2024-04-23T19:12:46Z,2,2,1,4,60,34,94,437288.040015
41875,fix: `nativeImage.createThumbnailFromPath` and `shell.openExternal` in renderer,737,True,True,2024-04-19T13:43:01Z,2024-04-19T13:43:01Z,2,4,9,4,60,34,94,676837.040015
41923,fix: offscreen rendering does not paint after gpu process crashed,124,True,True,2024-04-23T17:54:10Z,2024-04-23T17:54:10Z,1,1,1,2,29,3,32,177631.040015
41904,fix: offscreen rendering does not paint after gpu process crashed,575,True,True,2024-04-22T13:50:55Z,2024-04-22T13:50:55Z,1,3,8,2,29,3,32,448063.040015
41946,docs: correct the return value for canceled showSaveDialog,55,True,True,2024-04-23T16:52:41Z,2024-04-23T16:52:41Z,1,1,2,1,2,2,4,85317.040015
41943,chore: bump chromium to 124.0.6367.62 (30-x-y),126,True,True,2024-04-23T16:49:56Z,2024-04-23T16:49:56Z,1,1,1,1,1,1,2,94270.040015
41947,docs: correct the return value for canceled showSaveDialog,55,True,True,2024-04-23T16:49:30Z,2024-04-23T16:49:30Z,1,1,1,1,2,2,4,85314.040015
41945,docs: correct the return value for canceled showSaveDialog,55,True,True,2024-04-23T16:49:05Z,2024-04-23T16:49:05Z,1,1,1,1,2,2,4,85324.040015
41936,build: fixup codespaces on-create,56,True,True,2024-04-23T16:05:44Z,2024-04-23T16:05:44Z,2,2,1,2,10,18,28,139504.040015
41428,build: fixup codespaces on-create,1040,True,True,2024-04-23T00:26:12Z,2024-04-23T00:26:12Z,3,4,5,2,10,18,28,5270618.040015
41935,build: fixup codespaces on-create,56,True,True,2024-04-23T15:24:26Z,2024-04-23T15:24:26Z,2,2,2,2,10,18,28,139511.040015
41933,fix: data corruption in `protocol.handle`,135,True,True,2024-04-23T15:23:19Z,2024-04-23T15:23:20Z,2,2,1,3,45,1,46,153062.065273
41894,fix: data corruption in `protocol.handle`,732,True,True,2024-04-22T20:40:02Z,2024-04-22T20:40:02Z,3,4,6,3,45,1,46,508833.065273
41932,fix: data corruption in `protocol.handle`,135,True,True,2024-04-23T13:51:31Z,2024-04-23T13:51:31Z,1,1,1,3,45,1,46,153065.065273
41925,fix: offscreen rendering does not paint after gpu process crashed,124,True,True,2024-04-22T22:04:40Z,2024-04-22T22:04:40Z,2,2,1,2,29,3,32,177622.065273
41924,fix: offscreen rendering does not paint after gpu process crashed,124,True,True,2024-04-22T18:51:42Z,2024-04-22T18:51:42Z,1,1,1,2,29,3,32,177628.065273
41921,build: use latest devcontainer buildimage with codespaces,55,True,True,2024-04-22T16:21:47Z,2024-04-22T16:21:47Z,2,2,1,1,1,1,2,177781.065273
41916,build: use latest devcontainer buildimage with codespaces,68,True,True,2024-04-22T13:48:31Z,2024-04-22T13:48:31Z,1,2,3,1,1,1,2,263120.065273
41922,build: use latest devcontainer buildimage with codespaces,55,True,True,2024-04-22T15:10:18Z,2024-04-22T15:10:19Z,1,1,1,1,1,1,2,177776.065273
41893,fix: EINVAL when spawning cmd files on Windows,1751,True,True,2024-04-19T13:27:58Z,2024-04-19T13:27:58Z,4,3,5,5,12,6,18,517695.065273
41906,fix: EINVAL when spawning cmd files on Windows,55,True,True,2024-04-22T13:48:44Z,2024-04-22T13:48:44Z,1,1,1,5,12,6,18,438202.065273
35658,feat: replace BrowserView with WebContentsView,2856,True,True,2023-12-13T21:01:04Z,2023-12-13T21:01:04Z,41,12,24,76,2989,1533,4522,50877859.065273
41907,fix: EINVAL when spawning cmd files on Windows,55,True,True,2024-04-19T20:42:07Z,2024-04-19T20:42:07Z,1,1,1,5,12,6,18,438196.065273
41905,fix: EINVAL when spawning cmd files on Windows,55,True,True,2024-04-19T20:41:59Z,2024-04-19T20:41:59Z,1,1,1,5,12,6,18,438205.065273
41910,build: enable Perfetto in Chromium,55,True,True,2024-04-19T20:32:41Z,2024-04-19T20:32:41Z,1,1,1,4,372,152,524,432231.065273
41880,build: enable Perfetto in Chromium,709,True,True,2024-04-19T15:07:37Z,2024-04-19T15:07:37Z,3,3,4,4,372,152,524,609159.065273
41909,fix: `nativeImage.createThumbnailFromPath` and `shell.openExternal` in renderer,166,True,True,2024-04-19T15:56:44Z,2024-04-19T15:56:44Z,2,2,1,4,60,34,94,437288.065273
41881,refactor: use `std::erase()`,718,True,True,2024-04-19T15:55:59Z,2024-04-19T15:55:59Z,2,2,1,7,74,91,165,588459.065273
41900,build: update typescript-definitions to 8.15.6,29,True,True,2024-04-19T14:29:45Z,2024-04-19T14:29:45Z,2,3,1,1,3,3,6,480712.229414
41211,fix: don't check for Desktop Environment in unity_service.cc,1047,True,True,2024-04-19T13:58:32Z,2024-04-19T13:58:32Z,3,3,4,1,0,11,11,7182812.229414
19669,feat: add dontAddToRecent to Windows showOpenDialog,660,True,True,2019-08-13T15:48:22Z,2019-08-13T15:48:23Z,2,4,4,4,14,8,22,148774291.229414
41897,build: update typescript-definitions to 8.15.6,606,True,False,,2024-04-19T01:40:31Z,1,2,0,2,5,5,10,494247.229414
41887,chore: remove unused hash function,55,True,True,2024-04-18T21:32:10Z,2024-04-18T21:32:10Z,1,1,1,1,0,13,13,572828.229414
41876,chore: remove unused hash function,321,True,True,2024-04-18T00:04:07Z,2024-04-18T00:04:07Z,1,2,5,1,0,13,13,652483.229414
41895,fix: console.log() in AudioWorkletGlobalScope,139,True,True,2024-04-18T21:19:51Z,2024-04-18T21:19:51Z,2,2,1,2,27,0,27,505998.229414
41889,fix: console.log() in AudioWorkletGlobalScope,521,True,True,2024-04-18T18:38:06Z,2024-04-18T18:38:06Z,1,2,4,2,27,0,27,566288.229414
41884,chore: remove unused hash function,55,True,True,2024-04-18T21:07:03Z,2024-04-18T21:07:03Z,1,1,1,1,0,13,13,572840.229414
37902,refactor: JSify BrowserWindow unresponsive handling,68,True,True,2024-04-18T20:14:07Z,2024-04-18T20:14:07Z,3,4,2,3,23,59,82,32800512.229414
41883,"docs: update build docs,support Powershell on Windows",77,True,True,2024-04-18T15:35:12Z,2024-04-18T15:35:12Z,1,1,1,1,29,0,29,577466.229414
41567,"docs: update build docs,support Powershell on Windows",450,True,True,2024-04-17T22:46:52Z,2024-04-17T22:46:52Z,6,3,5,1,29,0,29,3728008.229414
41885,chore: remove unused hash function,55,True,True,2024-04-18T15:34:54Z,2024-04-18T15:34:54Z,1,1,1,1,0,13,13,572836.229414
41886,chore: remove unused hash function,55,True,True,2024-04-18T13:42:47Z,2024-04-18T13:42:47Z,1,1,1,1,0,13,13,572831.229414
41882,"docs: update build docs,support Powershell on Windows",77,True,True,2024-04-18T00:06:15Z,2024-04-18T00:06:15Z,2,2,1,1,29,0,29,577472.229414
41391,fix: make window.flashFrame(bool) flash continuously on macOS,1650,True,True,2024-04-17T16:42:34Z,2024-04-17T16:42:34Z,5,5,9,2,5,1,6,5449900.229414
41710,chore: bump node to v20.12.2 (main),104,True,True,2024-04-17T16:39:14Z,2024-04-17T16:39:14Z,2,4,1,43,371,774,1145,2427071.229414
41753,build: add Markdown lint check for unescaped angle brackets,838,True,True,2024-04-04T18:50:35Z,2024-04-04T18:50:35Z,2,3,5,5,22,8,30,2044509.229414
41873,refactor: fold silent print into settings,400,True,True,2024-04-17T16:04:47Z,2024-04-17T16:04:47Z,3,2,1,3,87,172,259,705850.229414
41871,build: update appveyor image to latest version,83,True,True,2024-04-17T14:51:14Z,2024-04-17T14:51:14Z,1,1,2,2,2,2,4,716716.229414
41869,perf: remove unnecessary `.c_str()` calls,586,True,True,2024-04-16T23:48:54Z,2024-04-16T23:48:54Z,2,3,1,7,8,14,22,751345.652166
40321,docs: avoid leaking the `IpcRendererEvent` in `contextBridge` examples,11,True,True,2023-11-01T17:46:26Z,2023-11-01T17:46:26Z,3,4,3,3,23,11,34,15791609.652166
41691,fix: don't do self-destroy in LibnotifyNotification::Dismiss(),860,True,True,2024-03-27T09:53:23Z,2024-03-27T09:53:23Z,1,4,7,2,4,3,7,2570828.652166
41033,"fix: on error, reset spawnedProcess",313,True,True,2024-01-24T22:45:08Z,2024-01-24T22:45:08Z,1,3,8,1,2,0,2,8445257.652166
41194,fix: make sure invalid URL loads promises are fulfilled.,574,True,True,2024-02-05T07:36:51Z,2024-02-05T07:36:51Z,3,5,4,2,12,5,17,7267274.652166
41574,fix: remove DXDiag telemetry code,778,True,True,2024-03-13T04:51:20Z,2024-03-13T04:51:20Z,2,4,3,4,1125,16,1141,3693644.652166
41192,refactor: type-safe module imports / requires,11,True,True,2024-02-05T07:36:28Z,2024-02-05T07:36:28Z,1,4,4,4,11,6,17,7273817.652166
41500,chore: update src_preload_function_for_environment.patch,143,True,True,2024-03-04T12:11:14Z,2024-03-04T12:11:14Z,2,4,5,4,119,137,256,4438867.652166
41867,chore: bump chromium to 124.0.6367.60 (30-x-y),126,True,True,2024-04-16T14:29:17Z,2024-04-16T14:29:17Z,1,1,1,1,1,1,2,752464.652166
41864,test: add tests for Storage Access API,56,True,True,2024-04-16T10:35:16Z,2024-04-16T10:35:16Z,1,2,1,2,136,0,136,774409.652166
41698,test: add tests for Storage Access API,478,True,True,2024-03-27T18:52:25Z,2024-03-27T18:52:25Z,4,2,6,2,136,0,136,2520729.652166
41802,fix: move BrowserWindow's WebContentsView to be a child of rootview,121,True,True,2024-04-10T11:20:44Z,2024-04-10T11:20:44Z,1,3,2,7,31,34,65,1365415.652166
41861,chore: delete unused PrintPreviewMessageHandler,55,True,True,2024-04-15T22:35:59Z,2024-04-15T22:35:59Z,3,3,1,1,0,273,273,776199.652166
41841,chore: delete unused PrintPreviewMessageHandler,316,True,True,2024-04-15T15:34:56Z,2024-04-15T15:34:57Z,1,2,3,1,0,273,273,1059994.652166
41862,chore: delete unused PrintPreviewMessageHandler,55,True,True,2024-04-15T22:35:46Z,2024-04-15T22:35:46Z,3,3,1,1,0,273,273,776193.652166
41610,chore: bump chromium to 125.0.6412.0 (main),122,True,True,2024-04-15T22:10:32Z,2024-04-15T22:10:32Z,13,6,2,146,1288,1213,2501,3377484.652166
41822,feat: support `NODE_EXTRA_CA_CERTS`,89,True,True,2024-04-15T19:22:39Z,2024-04-15T19:22:39Z,1,3,1,7,57,9,66,1212031.652166
41689,feat: support `NODE_EXTRA_CA_CERTS`,630,True,True,2024-04-10T14:30:35Z,2024-04-10T14:30:35Z,12,4,6,7,57,9,66,2597762.652166
41827,feat: implement File System API support,95,True,True,2024-04-15T19:22:17Z,2024-04-15T19:22:17Z,2,3,1,23,1562,9,1571,1191864.652166
41419,feat: implement File System API support,1477,True,True,2024-04-10T20:06:47Z,2024-04-10T20:06:47Z,19,6,4,23,1562,9,1571,5333536.037048
