Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
146894,Roll Flutter Engine from 25b09e883dd8 to c81730e2baa1 (2 revisions),886,True,False,,2024-04-17T16:21:24Z,1,2,2,1,1,1,2,605990.042376
146889,Roll Flutter Engine from 0e9e2f419225 to 25b09e883dd8 (1 revision),738,True,True,2024-04-17T13:54:39Z,2024-04-17T13:54:39Z,1,2,0,1,1,1,2,611701.042376
146685,Add missing `overlayColor` property in `styleFrom` methods,3555,True,True,2024-04-24T11:56:32Z,2024-04-24T11:56:32Z,3,2,1,9,611,74,685,1044894.042376
147285,Fix dropdown menu keyboard navigation,1098,True,False,,2024-04-24T11:40:47Z,3,2,2,2,74,0,74,29095.042376
147286,Roll Flutter Engine from 3d91141e7e18 to b5d5832f7144 (1 revision),767,True,False,,2024-04-24T10:19:35Z,1,2,4,1,1,1,2,25784.042376
146843,Remove unneeded local variables and comments in Editable and RenderParagraph,869,True,True,2024-04-23T22:30:06Z,2024-04-23T22:30:06Z,2,5,4,3,7,21,28,672446.042376
146873,Roll Flutter Engine from 4b949d7d6065 to 0e9e2f419225 (4 revisions),1132,True,False,,2024-04-17T11:46:29Z,1,2,4,1,1,1,2,623742.042376
137936,Implement CupertinoMenu and CupertinoNestedMenu,8621,True,False,,2024-04-24T09:10:28Z,4,8,16,5,9783,0,9783,14694542.042376
146509,Fix chips delete icon override the default icon size and ignores `IconTheme` from the chip property and `ChipThemeData`,2175,True,True,2024-04-23T19:24:00Z,2024-04-23T19:24:00Z,6,3,10,3,205,25,230,1294586.042376
146722,Add test for sliver_animated_opacity.0.dart API example.,800,True,True,2024-04-23T22:10:50Z,2024-04-23T22:10:50Z,2,4,4,3,106,6,112,954988.042376
147133,fixes cupertino page transition leak,792,True,True,2024-04-23T03:40:43Z,2024-04-23T03:40:43Z,6,3,9,1,85,32,117,281266.910499
147221,Fix typos related to Navigator,767,True,True,2024-04-23T19:13:12Z,2024-04-23T19:13:12Z,2,3,0,1,6,6,12,107325.910499
146849,Roll Flutter Engine from 4d69c0c95483 to 4cd8b4bd8538 (5 revisions),1246,True,False,,2024-04-16T23:55:14Z,1,3,2,1,1,1,2,664074.918512
143658,Add scroll lock when using trackpad on web,1201,True,False,,2024-04-23T22:19:53Z,3,3,13,2,54,4,58,5756079.918512
140962,Adds AutovalidateMode.onFocusChange to Form and FormField,732,True,True,2024-04-23T22:09:05Z,2024-04-23T22:09:05Z,23,4,4,2,228,5,233,9596188.918512
147258,Roll Flutter Engine from f23cc4dda1ad to b686508a1dbf (4 revisions),1215,True,True,2024-04-23T21:17:01Z,2024-04-23T21:17:01Z,1,2,0,2,2,2,4,66648.517115
146943,Add test for focus_node.0.dart API example.,781,True,True,2024-04-23T20:32:08Z,2024-04-23T20:32:08Z,5,3,3,2,191,1,192,584992.517115
146213,Refactor framework + test harness tests,1057,True,True,2024-04-23T19:29:04Z,2024-04-23T19:29:04Z,1,2,1,6,504,490,994,1805778.517115
146841,Roll Flutter Engine from bb127febf725 to 4d69c0c95483 (1 revision),745,True,True,2024-04-16T22:13:00Z,2024-04-16T22:13:00Z,1,2,0,1,1,1,2,674512.517115
147060,[CP-beta]Send event to GA3 for telemetry status mismatches between GA3 and GA4,1256,True,True,2024-04-19T19:50:12Z,2024-04-19T19:50:12Z,3,4,2,4,98,4,102,429969.517115
146453,Send event to GA3 for telemetry status mismatches between GA3 and GA4,937,True,True,2024-04-19T01:03:15Z,2024-04-19T01:03:15Z,15,2,2,4,98,4,102,1358415.517115
147248,Roll Flutter Engine from f794e6719d3c to 066953b74042 (3 revisions),1014,True,True,2024-04-23T19:16:07Z,2024-04-23T19:16:07Z,1,2,0,1,1,1,2,76112.517115
147195,Fix frozen `StretchingOverscrollIndicator` animation,1272,True,True,2024-04-23T19:14:30Z,2024-04-23T19:14:30Z,4,3,0,2,75,2,77,146243.517115
146719,Add test for animated_align.0.dart API example.,791,True,True,2024-04-23T19:13:15Z,2024-04-23T19:13:15Z,3,3,2,3,97,5,102,957701.517115
146836,Roll Flutter Engine from 71ab8854f14e to bb127febf725 (3 revisions),1010,True,True,2024-04-16T19:18:38Z,2024-04-16T19:18:38Z,1,2,0,1,1,1,2,682058.517115
146835,Roll Packages from 6698b2d67999 to 90c876d37619 (7 revisions),1552,True,True,2024-04-16T19:23:53Z,2024-04-16T19:23:53Z,1,2,0,1,1,1,2,684381.517115
147228,Fix memory leak in switch painter,749,True,True,2024-04-23T18:14:19Z,2024-04-23T18:14:19Z,1,2,1,2,12,2,14,101110.517115
146720,Add test for animated_positioned.0.dart API example.,796,True,True,2024-04-23T17:16:07Z,2024-04-23T17:16:07Z,3,3,2,3,111,6,117,956989.517115
146826,[Actions] Automate Cherry-Pick Comments and Project Tracking,1736,True,False,,2024-04-23T16:59:03Z,1,3,10,0,0,0,0,688997.517115
146293,`flutter/lib/src/`: refactoring if-chains into switch expressions,168,True,True,2024-04-23T16:32:15Z,2024-04-23T16:32:15Z,5,4,0,19,111,203,314,1717529.517115
147202,Update icon tree shaker to allow system font fallback,1225,True,True,2024-04-23T16:40:29Z,2024-04-23T16:40:29Z,3,2,0,2,113,3,116,140111.533575
146829,Roll Flutter Engine from 71ab8854f14e to a73eab5415e4 (1 revision),762,True,False,,2024-04-16T17:14:41Z,1,2,2,1,1,1,2,686880.533575
146824,Roll Packages from 6698b2d67999 to 701d60a08941 (6 revisions),1418,True,False,,2024-04-16T16:36:11Z,1,2,3,1,1,1,2,690137.533575
147102,Update `examples/api` for android platform,1074,True,True,2024-04-22T20:14:13Z,2024-04-22T20:14:13Z,4,4,12,56,3,1446,1449,387281.533575
146815,Roll Flutter Engine from cba7678fcfd2 to d5b20087a386 (1 revision),762,True,False,,2024-04-16T12:54:24Z,1,2,2,1,1,1,2,702313.533575
147057,Fix `Scrollable.ensureVisible` throws an error in `DropdownMenu` inside nested scroll views,2043,True,False,,2024-04-23T11:32:47Z,4,3,0,2,30,1,31,432615.533575
147219,Roll Flutter Engine from c7d9deb66bf7 to ffd3911b1ff7 (1 revision),767,True,False,,2024-04-23T10:28:42Z,1,2,4,1,1,1,2,109436.533575
145389,Add the createDependency parameter to ModalRoute.of,965,True,False,,2024-04-16T01:16:42Z,9,9,10,3,43,2,45,3125883.533575
147048,Mention visualDensity impact on ButtonStyle.padding documentation,165,True,True,2024-04-23T08:15:54Z,2024-04-23T08:15:54Z,5,2,0,1,19,0,19,439196.534572
146807,Roll Flutter Engine from 66ad80217898 to 5c7d519d3d9e (5 revisions),1241,True,False,,2024-04-16T09:02:25Z,1,2,2,1,1,1,2,715453.534572
146798,Roll Flutter Engine from 66ad80217898 to 57a2163d25b7 (1 revision),771,True,False,,2024-04-16T07:15:24Z,1,2,2,1,1,1,2,722650.571509
147208,Fix memory leaks in `CupertinoTextMagnifier`,749,True,True,2024-04-23T05:26:09Z,2024-04-23T05:26:09Z,1,2,1,2,15,8,23,128350.571509
146794,Roll Flutter Engine from 76fbe31a96b3 to 66ad80217898 (2 revisions),893,True,True,2024-04-16T04:06:19Z,2024-04-16T04:06:19Z,1,2,0,1,1,1,2,733051.571509
147206,Roll Flutter Engine from f8e373da5227 to 79f753650c6e (1 revision),762,True,True,2024-04-23T03:47:32Z,2024-04-23T03:47:32Z,1,2,0,1,1,1,2,131088.571509
147174,Fix memory leaks in `PopupMenu`,749,True,True,2024-04-23T03:40:33Z,2024-04-23T03:40:33Z,1,2,2,2,77,27,104,165923.571509
147203,Roll Flutter Engine from 33c828fb3ff5 to 62c9f17169cf (4 revisions),1081,True,True,2024-04-23T01:33:10Z,2024-04-23T01:33:10Z,1,2,1,1,1,1,2,138873.579714
146790,Roll Flutter Engine from 07ae93c9b755 to 503e7e8f37f3 (7 revisions),1510,True,True,2024-04-16T01:09:34Z,2024-04-16T01:09:34Z,1,2,0,1,1,1,2,744481.579966
147192,Bump actions/upload-artifact from 4.3.2 to 4.3.3,1990,True,True,2024-04-23T00:23:02Z,2024-04-23T00:23:02Z,1,1,0,1,1,1,2,148083.579966
147193,Bump github/codeql-action from 3.25.1 to 3.25.2,2131,True,True,2024-04-23T00:21:05Z,2024-04-23T00:21:05Z,1,1,0,1,1,1,2,148077.579966
147190,Roll Flutter Engine from a4b71f02a1c7 to 33c828fb3ff5 (9 revisions),1820,True,True,2024-04-23T00:06:31Z,2024-04-23T00:06:31Z,1,2,0,2,2,2,4,148868.579966
146280,Fix frozen `StretchingOverscrollIndicator` animation,1271,True,False,,2024-04-22T21:53:20Z,9,39,3,696,21280,8561,29841,1724129.579966
147094,Roll pub packages,65,True,True,2024-04-22T20:42:07Z,2024-04-22T20:42:07Z,1,3,1,1,2,2,4,400848.579966
146745,Re-land fix for not disposed TabController,13,True,True,2024-04-22T20:28:50Z,2024-04-22T20:28:50Z,7,2,0,3,13,9,22,835580.202715
147175,Roll Flutter Engine from 75ca2195c936 to a4b71f02a1c7 (1 revision),766,True,True,2024-04-22T20:19:08Z,2024-04-22T20:19:08Z,1,2,0,1,1,1,2,164218.202715
147052,Add Amir Panahandeh to AUTHORS,758,True,True,2024-04-22T16:47:22Z,2024-04-22T16:47:22Z,4,5,1,1,1,0,1,436052.202715
130534,Convert menus to use OverlayPortal,179,True,True,2023-10-18T20:13:09Z,2023-10-18T20:13:09Z,10,4,2,11,384,289,673,24680130.202715
147087,Fixed few typos,810,True,True,2024-04-22T16:49:19Z,2024-04-22T16:49:19Z,3,3,1,25,64,64,128,408146.202715
146374,print traces when transforming an asset,1339,True,True,2024-04-22T16:37:24Z,2024-04-22T16:37:24Z,2,2,2,4,15,0,15,1608922.202715
144958,"Reland ""Expose build mode in environment of asset transformer processes""",1044,True,True,2024-04-22T15:46:13Z,2024-04-22T15:46:13Z,1,3,3,18,86,11,97,3778155.202715
146761,Roll Packages from 78f684ce6771 to 6698b2d67999 (3 revisions),982,True,True,2024-04-15T16:02:17Z,2024-04-15T16:02:17Z,1,2,0,1,1,1,2,776524.202715
146237,Marks Windows_android native_assets_android to be flaky,19,True,False,,2024-04-22T12:48:28Z,1,2,1,1,1,0,1,1790245.202715
137307,[WIP] Allow namespaces when generating localizations,1165,True,False,,2024-01-11T21:18:17Z,1,5,9,6,207,177,384,15686090.202715
138654,Add ability to return TextSelection from SelectableRegion,1302,True,False,,2024-03-29T19:00:23Z,22,4,15,7,234,15,249,13701196.202715
147040,[material] Fix info text,106,True,True,2024-04-19T22:55:05Z,2024-04-19T22:55:05Z,2,3,0,1,1,1,2,452498.202715
146571,- Fixes _DropdownMenuState leaking text controller,837,True,True,2024-04-14T14:59:43Z,2024-04-14T14:59:43Z,5,2,5,2,20,18,38,1214255.202715
147123,Roll Flutter Engine from 40110ec82d4b to 1ac3ce3b4729 (1 revision),739,True,False,,2024-04-20T23:13:26Z,1,2,4,1,1,1,2,324024.100362
147112,fixes some gesture not getting disposed,790,True,True,2024-04-20T17:20:37Z,2024-04-20T17:20:37Z,1,2,1,2,9,0,9,366919.100362
147111,Roll Flutter Engine from d8a8f29612b6 to 40110ec82d4b (1 revision),871,True,False,,2024-04-20T11:43:29Z,1,2,4,2,2,2,4,367043.100362
146724,Add tests for gesture_detector.0.dart and gesture_detector.1.dart API examples.,872,True,True,2024-04-19T23:08:04Z,2024-04-19T23:08:04Z,2,3,1,3,92,2,94,949558.100362
147108,Roll Flutter Engine from 499eddab8451 to d8a8f29612b6 (2 revisions),885,True,True,2024-04-20T07:46:21Z,2024-04-20T07:46:21Z,1,2,0,1,1,1,2,374844.100362
