Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
880,[编程艺术] add 重构 改善既有代码的设计,0,True,False,,2024-04-07T06:59:02Z,1,7,5,1,2,1,3,3042409.19319
845,add book 《游戏引擎 浅入浅出》,0,True,True,2022-06-13T03:25:12Z,2022-06-13T03:25:12Z,3,10,7,1,7,0,7,68943843.19319
849,Linux 设备驱动 (第三版) 链接失效,0,True,True,2022-06-13T03:22:07Z,2022-06-13T03:22:07Z,1,5,3,1,1,1,2,66013898.201248
846,Update README.md（添加Node相关电子书籍）,48,True,True,2022-06-13T03:23:11Z,2022-06-13T03:23:11Z,1,10,8,1,2,0,2,67660839.201678
847,通过例子学 Rust 中文版,0,True,True,2022-06-13T03:22:46Z,2022-06-13T03:22:46Z,1,2,0,1,1,0,1,67591436.201678
848,添加了R语言教程、Python黑魔法手册,16,True,True,2022-06-13T03:22:30Z,2022-06-13T03:22:30Z,1,2,0,1,2,0,2,66633213.201678
825,"[Feature](README.md): add ""labuladong 的算法小抄"".",79,True,True,2022-06-13T03:20:50Z,2022-06-13T03:20:50Z,1,2,0,1,7,0,7,102510951.201678
824,更新《Google Java编程风格指南》的链接,0,True,True,2022-06-13T03:20:27Z,2022-06-13T03:20:27Z,1,3,1,1,1,1,2,103434410.201678
820,Merge pull request #1 from justjavac/master,6,True,False,,2022-06-13T03:19:51Z,1,4,0,0,0,0,0,107523301.201678
814,Add 2 learning resources on Git / Version Control,0,True,True,2022-06-13T03:19:40Z,2022-06-13T03:19:40Z,1,3,1,1,2,0,2,124081782.485196
813,更新了emacs 相关和 两本thinkphp开发手册,96,True,True,2022-06-13T03:19:10Z,2022-06-13T03:19:10Z,1,2,0,1,4,0,4,125671589.485196
812,修改“用Python做科学计算”网址,116,True,True,2022-06-13T03:18:42Z,2022-06-13T03:18:42Z,1,2,0,1,1,1,2,125764362.485196
619,Add vim-galore 中译本和 SpaceVim,17,True,False,,2020-04-11T13:36:45Z,1,5,3,1,2,0,2,199770083.485196
728,Leetcode-php,29,True,True,2020-02-05T02:49:11Z,2020-02-05T02:49:11Z,1,2,2,1,1,0,1,143096980.451439
710,fix link: Clojure/Clojure入门教程,183,True,True,2020-02-04T12:26:59Z,2020-02-04T12:26:59Z,1,3,1,1,1,1,2,152928153.451439
676,新增《Python编程 从入门到实践》（2016版）,17,True,False,,2020-02-04T12:25:12Z,1,3,1,1,3,0,3,171113699.451439
656,Merge pull request #1 from justjavac/master,13,True,False,,2020-02-04T12:22:36Z,1,3,1,0,0,0,0,182500748.452477
610,fix: Android学习之路 url 404,0,True,False,,2020-02-04T12:21:58Z,1,3,0,1,1,1,2,201696789.453696
393,hackers,0,True,False,,2019-11-05T08:14:18Z,2,2,0,1,12,0,12,269063087.812288
669,Update .editorconfig,0,True,False,,2018-11-05T09:22:56Z,1,2,0,1,4,0,4,174019149.871935
639,添加电子书“《Real-Time Rendering 3rd》提炼总结”,36,True,True,2018-11-05T09:20:57Z,2018-11-05T09:20:57Z,1,3,0,1,1,0,1,189518240.871935
637,推荐java编程思想,51,True,False,,2018-11-05T07:13:41Z,1,3,1,1,1,0,1,190433529.871935
