Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
11128,"Add ""The Super Programmer""",0,True,True,2024-04-23T10:01:03Z,2024-04-23T10:01:03Z,1,2,4,1,1,0,1,175014.621087
11123,9 page PDF from Dag Langmyhr (2010) about colours in LaTeX,914,True,True,2024-04-21T02:55:21Z,2024-04-21T02:55:21Z,3,3,0,1,1,0,1,685859.621087
11126,chore(deps): bump tj-actions/changed-files from 44.0.0 to 44.3.0,6701,True,True,2024-04-21T02:53:49Z,2024-04-21T02:53:49Z,1,2,0,1,1,1,2,358164.621087
11121,Adding a Computer Architecture Book.,826,True,True,2024-04-14T14:45:35Z,2024-04-14T14:45:35Z,1,3,1,1,1,0,1,916497.621087
10941,Add CSS handbook,885,True,True,2023-11-13T00:43:48Z,2023-11-13T00:43:48Z,1,3,2,1,1,0,1,15186694.621087
11119,Content proposal in C# (fr) and Spring (en),924,True,True,2024-04-12T20:34:36Z,2024-04-12T20:34:36Z,3,3,2,1,1,0,1,1099105.621087
11115,Added new freecodecamp links,91,True,True,2024-04-10T12:36:04Z,2024-04-10T12:36:04Z,7,2,2,1,4,1,5,1665489.621087
11116,"Change Linux Morteza Bashsiz, Add ceph and ansible from Morteza Bashsiz",797,True,True,2024-04-10T12:37:13Z,2024-04-10T12:37:13Z,5,2,3,1,13,3,16,1622569.621087
9897,Update CONTRIBUTING.md,674,True,True,2023-10-06T16:21:12Z,2023-10-06T16:21:12Z,1,2,1,1,7,7,14,17452450.621087
11112,chore(deps): bump tj-actions/changed-files from 43.0.0 to 44.0.0,7290,True,True,2024-04-01T19:49:13Z,2024-04-01T19:49:13Z,1,2,0,1,1,1,2,2168180.621087
11113,chore(deps): bump eps1lon/actions-label-merge-conflict from 2.1.0 to 3.0.0,2430,True,True,2024-04-01T19:44:25Z,2024-04-01T19:44:25Z,4,3,0,1,1,1,2,2168176.621087
11105,chore(deps): bump tj-actions/changed-files from 43.0.0 to 43.0.1,5085,True,False,,2024-03-30T11:29:53Z,1,1,1,1,1,1,2,2771903.621087
9611,added Sinhala translation of the code of conduct,612,True,False,,2024-03-27T14:08:43Z,5,3,4,2,230,0,230,17820003.621087
11100,chore(deps): bump tj-actions/changed-files from 42.0.4 to 43.0.0,6080,True,True,2024-03-18T00:24:06Z,2024-03-18T00:24:06Z,1,2,0,1,1,1,2,3378304.487708
7437,Added Amazon Web Service (AWS) Arabic Playlist,612,True,True,2022-10-04T01:46:40Z,2022-10-04T01:46:40Z,2,4,5,1,1,0,1,49152017.487708
11095,Mark AngularJS as deprecated on free-programming-books-langs.md,217,True,True,2024-03-12T16:42:00Z,2024-03-12T16:42:00Z,1,2,1,1,1,1,2,3871902.487708
11080,Update free-programming-books-id.md,764,True,True,2024-03-04T15:04:00Z,2024-03-04T15:04:00Z,1,2,3,1,1,0,1,4529821.487708
11086,Add Chinese courses about Python,0,True,True,2024-03-06T14:52:17Z,2024-03-06T14:52:18Z,1,2,2,1,10,4,14,4348119.487708
11084,Add Chinese courses,0,True,False,,2024-03-06T01:30:17Z,2,2,1,1,1,0,1,4359280.487708
11082,Add Chinese ai free courses,0,True,True,2024-03-05T18:56:15Z,2024-03-05T18:56:15Z,1,2,4,1,7,0,7,4418069.487708
11071,chore(deps): bump tj-actions/changed-files from 42.0.0 to 42.0.4,7942,True,True,2024-02-24T22:48:03Z,2024-02-24T22:48:03Z,1,2,0,1,1,1,2,5192473.974239
10977,added a course in free-courses-en.md,545,True,False,,2024-02-22T00:10:59Z,2,3,3,1,1,0,1,14269385.974239
11054,"add link to MoonMath book (zk-SNARKs, zero-knowledge proofs)",1045,True,True,2024-01-24T23:54:31Z,2024-01-24T23:54:31Z,2,2,2,1,1,0,1,7847110.974239
11048,chore(deps): bump tj-actions/changed-files from 41.1.0 to 42.0.0,6377,True,True,2024-01-22T03:54:07Z,2024-01-22T03:54:07Z,1,2,0,1,1,1,2,8217750.974239
11043,Bump actions/upload-artifact from 3 to 4,865,True,True,2024-01-15T17:06:54Z,2024-01-15T17:06:54Z,1,3,0,2,8,5,13,8720899.838794
11046,contribute Android PDF Books in English,612,True,False,,2024-01-15T17:09:19Z,1,3,2,1,7,0,7,8670593.838794
11040,chore(deps): bump tj-actions/changed-files from 40.2.1 to 41.1.0,8068,True,True,2024-01-15T17:07:25Z,2024-01-15T17:07:25Z,2,3,0,1,1,1,2,8820504.838794
10972,Added Design Pattern in free-programming-books-zh.md,612,True,False,,2024-01-15T07:55:02Z,1,3,3,1,1,0,1,14606949.838794
11037,"add: 'JavaScript for Data Science' by Gans, Hodges, and Wilson",809,True,True,2024-01-10T16:17:22Z,2024-01-10T16:17:22Z,3,2,0,1,1,0,1,9153012.838794
11036,"add: ""Research Software Engineering with Python"" by Irving et al",791,True,True,2024-01-10T16:16:51Z,2024-01-10T16:16:51Z,2,2,0,1,1,0,1,9153066.838794
11027,Add The Mathematical Engineering of Deep Learning book,783,True,True,2024-01-04T16:53:42Z,2024-01-04T16:53:42Z,1,2,0,1,1,0,1,9664276.838794
