Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
1406,[fix][typescript] house-robber-iii,103,True,True,2023-06-14T09:46:39Z,2023-06-14T09:46:39Z,4,2,3,1,23,19,42,28528457.995926
1410,[fix][java] generate-parentheses,90,True,True,2023-06-09T02:18:29Z,2023-06-09T02:18:29Z,1,2,0,1,15,16,31,28052741.995926
1397,[fix][javascript] house-robber-iii,103,True,False,,2023-05-30T10:24:22Z,1,2,2,1,70289,70273,140562,29740497.79657
1391,pop函数修改,188,True,True,2023-05-17T02:28:26Z,2023-05-17T02:28:26Z,1,2,0,1,3,1,4,31646872.79657
1394,[fix][java]perfect-squares,105,True,True,2023-05-17T02:25:40Z,2023-05-17T02:25:40Z,1,2,0,1,3,2,5,31480065.79657
1388,[fix][cpp] rotate-image,81,True,True,2023-04-13T02:09:53Z,2023-04-13T02:09:53Z,1,2,0,1,1,1,2,32765949.79657
1387,[fix][cpp] sort-characters-by-frequency,97,True,True,2023-04-10T01:34:44Z,2023-04-10T01:34:44Z,1,2,0,1,11,12,23,33377915.79657
1385,[fix][cpp] ba-zi-fu-chuan-zhuan-huan-cheng-zheng-shu-lcof,116,True,True,2023-04-02T10:19:38Z,2023-04-02T10:19:38Z,1,2,0,1,1,1,2,33551646.79657
1383,[bug][cpp] qn8gGX,75,True,True,2023-04-02T10:18:13Z,2023-04-02T10:18:14Z,1,2,0,1,4,1,5,33805609.79657
1382,[fix][cpp] qing-wa-tiao-tai-jie-wen-ti-lcof,103,True,True,2023-04-02T10:16:02Z,2023-04-02T10:16:02Z,1,2,0,1,7,3,10,33854508.79657
1378,[fix][cpp] xu-lie-hua-er-cha-shu-lcof,98,True,True,2023-03-28T01:31:10Z,2023-03-28T01:31:10Z,1,2,0,1,3,3,6,34084430.79657
1374,[fix][cpp] edit-distance,84,True,True,2023-03-27T00:28:49Z,2023-03-27T00:28:49Z,1,2,0,1,3,3,6,34104473.79657
1372,[fix][Python] qing-wa-tiao-tai-jie-wen-ti-lcof,74,True,True,2023-03-26T23:11:36Z,2023-03-26T23:11:36Z,1,2,0,1,3,3,6,34117800.797187
904,Update Framework and thoughts about learning data structure and algor…,0,True,False,,2023-03-26T06:22:50Z,1,3,0,1,1,1,2,65853271.797228
1087,typo fixes to SUMMARY.md,0,True,True,2023-03-26T06:19:10Z,2023-03-26T06:19:10Z,1,2,0,1,7,7,14,50274400.493863
1107,Fixing typo,0,True,True,2023-03-26T06:16:36Z,2023-03-26T06:16:36Z,1,2,0,1,1,1,2,36508466.485902
980,Fix some grammar mistakes,0,True,True,2022-09-06T12:51:20Z,2022-09-06T12:51:20Z,1,2,0,1,30,30,60,51747658.485902
608,【268. 丢失的数字】【 python3】,32,True,True,2021-03-20T08:13:02Z,2021-03-20T08:13:02Z,1,2,0,1,31,3,34,107655392.79441
579,【529. 扫雷游戏】【JavaScript】,0,True,False,,2021-03-15T07:14:08Z,1,3,1,1,212,0,212,108823259.927848
507,【300.最长上升子序列】【Python】,10,True,True,2020-11-17T09:49:14Z,2020-11-17T09:49:14Z,1,4,0,1,46,0,46,108900236.264649
486,【92. 反转链表 II】【C++】,0,True,False,,2020-11-17T09:24:12Z,1,2,2,1,55,4,59,108985799.264649
324,Update 判断回文链表.md,10,True,False,,2020-11-04T08:34:52Z,1,2,0,1,59,1,60,121145129.515279
322,Update 如何去除有序数组的重复元素.md,10,True,False,,2020-11-04T08:34:52Z,1,2,0,1,47,3,50,121145973.515279
318,添加C++解法代码；添加多种解法：二维动态规划 + 二分查找；记忆化递归；一维动态规划,2,True,False,,2020-11-04T08:34:51Z,1,2,0,2,153,5,158,121151263.515279
338,添加koko偷香蕉python3代码,0,True,False,,2020-11-04T08:34:31Z,1,2,1,3,84,19,103,121108210.263456
427,[english] Sync Table of Contents with master/Chinese branch,337,True,True,2020-09-23T03:29:55Z,2020-09-23T03:29:55Z,6,2,3,1,53,42,95,118040499.578677
234,Update AnalysisOfDynamicProgramming.md,60,True,False,,2020-06-22T02:06:56Z,1,3,0,1,10,9,19,128190855.724104
115,translate 算法思路系列/双指针技巧,22,True,True,2020-03-02T11:39:50Z,2020-03-02T11:39:51Z,1,2,0,2,199,199,398,130843323.847642
97,translate 高频面试系列/座位调度.md ,28,True,True,2020-03-02T11:17:15Z,2020-03-02T11:17:15Z,1,2,2,10,223,0,223,130913440.847642
107,算法学习之路全文翻译,36,True,True,2020-03-02T04:06:58Z,2020-03-02T04:06:59Z,1,2,5,2,94,81,175,130866490.847642
61,English 翻译数据结构系列/单调队列.md,24,True,True,2020-03-01T12:32:47Z,2020-03-01T12:32:47Z,2,2,4,3,183,185,368,131002365.855924
98,translate 动态规划系列/编辑距离.md,21,True,True,2020-03-01T13:10:20Z,2020-03-01T13:10:20Z,1,2,2,9,271,263,534,130908228.856227
90,translate 数据结构系列/单调栈,13,True,True,2020-03-01T12:43:16Z,2020-03-01T12:43:16Z,1,2,0,2,122,119,241,130923672.856927
89,translate the article UnionFind 算法应用,121,True,True,2020-03-01T11:41:33Z,2020-03-01T11:41:33Z,1,2,3,6,220,225,445,130924704.88985
87,The Longest Palindromic Substring.md English,82,True,True,2020-03-01T11:10:42Z,2020-03-01T11:10:42Z,1,2,4,4,119,104,223,130931224.88985
78,翻译了数据结构系列，二叉堆实现优先队列,117,True,True,2020-03-01T05:09:21Z,2020-03-01T05:09:21Z,3,2,1,2,213,216,429,130940856.898772
