Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
2742,[RFC] add metadata alongside templates,4379,True,False,,2021-11-07T20:57:22Z,7,10,15,19,119,155,274,184652651.855203
3884,Go: Ignore Go workspace file go.work,366,True,True,2021-12-04T21:22:31Z,2021-12-04T21:22:31Z,1,6,10,1,3,0,3,77146025.855203
3664,update laravel.gitignore for ignore all lock file,59,True,False,,2024-03-19T15:23:29Z,1,4,2,1,1,0,1,99948988.855203
3645,Add .tye/ folder to VisualStudio.gitignore,73,True,False,,2024-03-08T07:01:25Z,2,3,0,1,3,0,3,101283446.855203
2483,Add *.snk strong name key files,625,True,True,2017-12-26T03:30:10Z,2017-12-26T03:30:10Z,1,5,5,1,4,0,4,207970714.863799
4049,Create Dbt.gitignore,405,True,False,,2024-01-17T01:24:24Z,1,2,0,1,5,0,5,63023677.863799
3976,Ignore PDM project-wide config,440,True,True,2022-03-29T03:18:27Z,2022-03-29T03:18:27Z,6,7,6,1,9,1,10,68918580.885075
4348,Update MATLAB.gitignore,32,True,False,,2023-10-29T16:47:27Z,1,2,0,1,3,0,3,20497655.885075
3567,Add .godot/ folder to Godot.gitignore for Godot 4,559,True,True,2022-12-18T19:57:20Z,2022-12-18T19:57:20Z,2,10,11,1,4,0,4,109789171.885075
3014,Ballerina gitignore file added,292,True,False,,2023-05-03T04:47:11Z,2,4,3,1,44,0,44,160563674.885075
4334,Add files Dotnet gitignore,193,True,False,,2023-10-21T13:04:13Z,1,3,1,1,477,0,477,23125041.89313
4140,Add ignores for Angular projects,305,True,False,,2023-10-19T00:48:47Z,4,2,0,1,30,0,30,52149454.89313
4239,Add delve debug binary,488,True,False,,2023-10-05T19:43:31Z,1,2,0,1,3,0,3,38737728.89313
4038,tidy: Fix the inconsistent line breaks,101,True,False,,2023-07-27T15:16:45Z,1,1,0,1,2,0,2,64438693.306231
4313,[ADD] Added *.pyc and *.DS_Store,106,True,False,,2023-06-27T02:58:24Z,1,4,4,1,1,0,1,27000301.307228
3429,Use the correct product name for IntelliJ IDEA,616,True,False,,2023-06-23T23:48:10Z,1,2,0,2,4,4,8,122823864.307228
3531,Update CMake.gitignore,94,True,False,,2023-06-02T15:00:39Z,1,2,4,1,1,0,1,113130670.307228
3452,Exclude *.tfvars files,1189,True,True,2020-07-07T00:36:25Z,2020-07-07T00:36:25Z,1,5,8,1,5,4,9,120911889.796394
4283,Update Go.gitignore,205,True,False,,2023-05-06T14:24:11Z,1,2,0,1,1,0,1,32228840.796394
4136,update ignore,188,True,False,,2023-04-23T09:17:41Z,2,2,0,1,4,0,4,52386238.796394
3944,Update Python.gitignore,256,True,False,,2023-04-16T10:55:22Z,1,3,1,1,3,0,3,72227049.796394
4275,Add .vscode/ to Unity.gitignore,157,True,False,,2023-04-15T14:24:07Z,1,3,1,1,3,0,3,33308067.804664
3498,Update C.gitignore,179,True,False,,2023-02-11T09:34:36Z,1,2,0,1,1,0,1,117156690.382907
2859,[Terraform] added plan files,274,True,False,,2023-02-02T08:01:20Z,2,6,8,1,3,0,3,173241793.382907
3937,feat(terraform): adding lock file ignore,481,True,False,,2022-12-28T06:45:48Z,9,5,9,1,5,2,7,73687539.390892
3312,Changes the name of Perl 6 to Raku,504,True,True,2020-02-19T18:10:09Z,2020-02-19T18:10:10Z,1,2,2,1,1,1,2,131922683.994549
3769,Python.gitginore: add configuration directory by pycharm-jetbrains IDE,488,True,False,,2022-11-19T19:13:38Z,1,3,0,1,3,0,3,89536016.995583
4071,Update Laravel.gitignore to latest version,116,True,False,,2022-11-04T07:01:17Z,2,2,0,1,12,21,33,61089289.995583
4122,Update Node.gitignore,213,True,False,,2022-10-01T15:11:11Z,2,3,1,1,3,0,3,54789889.995583
3495,Add gitignore support for ATS lang,517,True,False,,2022-08-10T12:12:25Z,1,2,0,1,9,0,9,117321218.463341
3486,Add Storybook static build directory to Node.gitignore,410,True,False,,2021-12-04T21:39:12Z,2,6,7,1,3,0,3,117860449.463341
4063,added .idea folder to Visual studio cache,87,True,False,,2022-07-23T23:52:49Z,1,2,0,1,1,0,1,61996452.463341
4070,Update Maven.gitignore,494,True,False,,2022-05-21T21:41:16Z,2,2,1,1,3,0,3,61152568.584456
3509,Add some comments to the VSC gitignore,109,True,False,,2022-05-19T00:56:05Z,1,2,0,1,4,1,5,115725788.584456
3508,Terraform template - add Terragrunt exclusions,723,True,False,,2022-05-19T00:56:05Z,1,2,0,1,4,0,4,115738158.584456
3792,Add RStudio Connect folder to R gitignore,381,True,True,2021-12-11T00:11:17Z,2021-12-11T00:11:17Z,1,3,2,1,3,0,3,87017953.584456
