Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
901,Contributing to translations to Portuguese,94,True,False,,2024-04-09T12:41:20Z,1,2,0,1,2,2,4,58555154.679237
1100,Update factorial.js,65,True,False,,2024-03-24T09:01:23Z,1,2,1,1,4,0,4,7590557.679237
1097,test_11_jan,18,True,False,,2024-03-09T16:00:40Z,1,3,0,1,1,0,1,8998709.679237
1066,Update README.md,16,True,False,,2024-03-09T16:13:28Z,1,3,0,1,0,1,1,20594289.679237
1065,Typo in Binary Search file is corrected ,119,True,False,,2024-01-23T07:05:49Z,8,3,1,1,1,1,2,20854432.387159
1011,throw-error-for-negative-factorial,174,True,False,,2023-07-16T18:57:46Z,2,2,0,4,12,0,12,33520018.387159
1009,Update factorialRecursive.js by checking the factorial of negative numbers at run time,102,True,False,,2023-04-08T05:22:32Z,1,3,5,0,0,0,0,34954151.326713
919,Create a factors.js,78,True,False,,2022-08-30T12:46:24Z,2,2,0,3,36,1,37,54002635.326713
930,Create pages.yml,0,True,False,,2022-10-10T13:23:18Z,1,3,1,1,50,0,50,52371139.893194
888,fix typo,0,True,False,,2022-09-08T05:46:42Z,3,4,0,1,1,1,2,60415008.894192
637,fix error,0,True,True,2022-01-27T20:02:10Z,2022-01-27T20:02:10Z,1,3,0,1,1,1,2,101469404.578249
726,Fix error in Queue definition from README.ru-RU.md,0,True,True,2022-01-27T08:50:47Z,2022-01-27T08:50:47Z,1,3,0,1,2,2,4,89798157.650807
735,Created Quicksort documentation in pt-BR,149,True,True,2022-01-27T08:49:11Z,2022-01-27T08:49:11Z,1,3,0,2,36,1,37,87692682.650807
717,Add type name to Big O table,0,True,True,2022-01-26T19:38:56Z,2022-01-26T19:38:56Z,1,3,0,1,9,9,18,90867669.650807
740,Factorial turkish readme,35,True,True,2022-01-26T19:35:45Z,2022-01-26T19:35:45Z,1,3,0,2,39,1,40,87414633.650807
752,Add Korean translation,160,True,True,2022-01-25T16:54:01Z,2022-01-25T16:54:01Z,7,4,0,2,22,1,23,84871214.717801
782,dont understand well,0,True,False,,2022-01-23T20:37:03Z,1,3,0,1,1,0,1,80194268.719357
787,Fixes README.pt-BR.md,40,True,True,2022-01-23T20:34:09Z,2022-01-23T20:34:09Z,1,3,0,1,54,54,108,79749576.719357
743,Development,0,True,False,,2021-08-03T18:30:59Z,1,4,3,1,2,0,2,86559385.453323
704,Update README.es-ES.md,48,True,True,2021-05-06T04:43:28Z,2021-05-06T04:43:28Z,1,3,0,1,20,21,41,94229623.290616
646,"Create {{name.first | ""orada""}} ,",0,True,False,,2021-02-18T07:03:30Z,1,2,1,1,1,0,1,100475283.290616
532,added prime-factors algorithms under maths algorithms,193,True,True,2020-12-10T16:54:12Z,2020-12-10T16:54:12Z,1,3,1,4,119,0,119,115405270.384773
540,Fix typo in comment,91,True,True,2020-12-09T07:13:06Z,2020-12-09T07:13:06Z,1,3,1,1,1,1,2,113812680.384773
547,"set Data Structure to ""Estrutura de Dados""",53,True,True,2020-12-09T07:09:30Z,2020-12-09T07:09:30Z,1,3,1,1,1,1,2,112964382.384773
552,Create AVL Tree,0,True,False,,2020-12-08T17:12:32Z,1,3,2,1,288,0,288,112421190.384773
553,Improved docsUpdate README.md,0,True,False,,2020-12-08T17:10:53Z,1,4,3,1,1,1,2,112417386.384773
571,Create taximete,0,True,False,,2020-12-08T17:04:36Z,1,3,1,1,106,0,106,110886253.384773
575,Add Horner's Method,276,True,True,2020-12-08T07:59:32Z,2020-12-08T07:59:32Z,3,3,1,3,52,0,52,108393180.384773
548,Add Mini-max sum,18,True,False,,2020-12-04T10:27:15Z,1,2,1,4,52,0,52,112754084.384773
577,Update Branch & Bound description in README.md,76,True,False,,2020-12-03T15:01:54Z,1,2,1,0,0,0,0,108232997.250779
520,Add french translation for some chapters,166,True,True,2020-08-09T12:10:16Z,2020-08-09T12:10:16Z,1,2,2,10,135,0,135,117718067.250779
517,Caeser cipher,209,True,True,2020-08-08T09:51:23Z,2020-08-08T09:51:23Z,1,3,2,3,72,0,72,117986224.87537
524,Fix README typo,88,True,True,2020-08-08T09:45:16Z,2020-08-08T09:45:16Z,2,4,1,2,2,2,4,117454103.87537
159,Add karatsubaMultiplication,53,True,False,,2019-10-14T13:01:34Z,1,3,2,3,55,0,55,179958342.984336
301,"fix typo ""リー"" to ""ツリー""",9,True,True,2019-03-08T11:01:07Z,2019-03-08T11:01:08Z,1,3,1,1,1,1,2,164166714.671845
110,Refactor Rabin-Karp,115,True,True,2018-07-30T09:20:41Z,2018-07-30T09:20:41Z,1,4,17,4,139,88,227,181508501.251208
136,fibonacci logn iterative implementation,189,True,False,,2018-10-29T22:09:22Z,3,4,1,3,58,4,62,180701583.251208
224,Properly detect min and max element in array,0,True,True,2018-10-17T03:19:14Z,2018-10-17T03:19:14Z,1,4,6,1,2,6,8,174544876.251208
194,Add LinkedList traversal and reverse implementations,142,True,True,2018-09-08T08:55:52Z,2018-09-08T08:55:52Z,1,3,5,3,104,5,109,178237305.587172
198,Improved the countSetBit,71,True,False,,2018-09-04T16:03:50Z,2,2,2,7,82,4,86,177977383.587172
15,Add N queens problem bitwise solution,0,True,True,2018-08-20T12:57:02Z,2018-08-20T12:57:02Z,1,5,5,3,68,0,68,186807077.139409
125,New function 'fromArray',60,True,False,,2018-08-06T13:19:25Z,5,3,3,1,7,0,7,181011403.416851
113,Refactored disjoint set data structure,103,True,False,,2018-07-26T14:33:41Z,11,3,3,7,82,449,531,181420029.152261
88,Complex Number and Vector Class added,0,True,False,,2018-07-24T10:07:47Z,2,3,3,8,910,137,1047,183338752.152261
101,Fix knuthMorrisPratt for empty word request,401,True,True,2018-07-24T09:26:23Z,2018-07-24T09:26:23Z,5,3,3,2,6,2,8,181837243.152261
59,Fix typos,26,True,True,2018-06-12T14:46:40Z,2018-06-12T14:46:40Z,2,4,1,8,19,19,38,185434729.152261
86,Fix the insertion sort,97,True,True,2018-07-03T08:56:35Z,2018-07-03T08:56:35Z,1,6,2,1,1,1,2,183517667.929519
67,added Bidirectional Conditional Insertion Sort,1031,True,False,,2018-06-14T15:45:28Z,2,2,2,5,1605,1386,2991,185046127.929519
28,Radix sort,122,True,True,2018-05-29T05:38:20Z,2018-05-29T05:38:20Z,1,3,2,5,150,0,150,186435312.756519
