Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
64829,Ensure install works in test fixtures when `NEXT_TEST_SKIP_CLEANUP=1` is specified,345,True,True,2024-04-24T13:05:21Z,2024-04-24T13:05:21Z,1,2,2,1,1,0,1,331455.237077
56587,test: run e2e test in ramdisk,418,True,False,,2024-04-24T06:00:58Z,2,3,3,3,220,29,249,17197795.237077
64946,Ensure edge prerender-manifest is minimal,241,True,True,2024-04-23T22:19:15Z,2024-04-23T22:19:15Z,1,2,1,3,11,1,12,65506.237077
64941,remove special-cased prefetch kind in dev mode,1558,True,True,2024-04-24T00:12:40Z,2024-04-24T00:12:41Z,1,2,3,4,168,14,182,68268.237077
64172,perf(image-optimizer): optimize content-type detect,647,True,False,,2024-04-09T13:48:01Z,1,3,5,1,50,33,83,1471896.237077
64227,forward missing server actions to valid worker if one exists,923,True,True,2024-04-09T14:10:06Z,2024-04-09T14:10:06Z,1,3,3,15,322,7,329,1357969.237077
64236,test: Disable `next build` test for turbopack,74,True,True,2024-04-09T14:26:27Z,2024-04-09T14:26:27Z,2,4,3,2,9,3,12,1335415.237077
64221,feat(next/image): add `overrideSrc` prop,93,True,True,2024-04-09T14:48:01Z,2024-04-09T14:48:01Z,6,4,2,7,150,1,151,1364500.237077
63020,Add `continueFizzStream` tests,191,True,False,,2024-04-09T14:53:48Z,2,2,2,1,221,1,222,4121781.237077
60996,add undici and use latest for global fetch,0,True,False,,2024-04-09T14:54:14Z,1,3,2,7,61,2,63,8015145.237077
64254,Fix failing test case,44,True,False,,2024-04-09T15:52:29Z,1,2,2,2,3,2,5,1297812.237077
63547,fix(fetch-cache): add check for updated tags when checking same cache key,236,True,True,2024-04-09T16:36:32Z,2024-04-09T16:36:32Z,15,3,2,4,105,2,107,2977033.237077
64258,provide revalidateReason to getStaticProps,417,True,True,2024-04-09T16:53:08Z,2024-04-09T16:53:08Z,1,2,3,8,130,10,140,1293564.237077
64257,update turbopack,36,True,True,2024-04-09T21:33:02Z,2024-04-09T21:33:02Z,1,3,1,4,43,43,86,1294838.130927
64691,Add --skip-install flag to create-next-app,292,True,True,2024-04-23T22:04:54Z,2024-04-23T22:04:54Z,3,3,3,6,55,2,57,574084.130927
59282,Fix cardinality of opentelemetry span names on client-side navigation,3897,True,False,,2024-04-23T20:58:13Z,1,6,10,4,159,10,169,12199020.130927
64928,deps updated for with-mongodb-mongoose example,0,True,True,2024-04-23T20:05:21Z,2024-04-23T20:05:21Z,1,3,1,1,6,6,12,78900.130927
64935,Allow StackBlitz repro links in bug reports on GitHub,248,True,True,2024-04-23T19:58:44Z,2024-04-23T19:58:44Z,1,4,2,1,1,1,2,73611.130927
64925,bug fix on a pull request #64911,287,True,True,2024-04-23T18:01:32Z,2024-04-23T18:01:32Z,1,3,3,1,5,0,5,82069.130927
64909,Speed up createNext test suite isolation,1212,True,True,2024-04-23T19:13:00Z,2024-04-23T19:13:00Z,5,4,4,6,293,326,619,103554.140063
64181,feat(turbopack): Check for duplicate parallel routes,225,True,True,2024-04-23T19:11:41Z,2024-04-23T19:11:42Z,4,4,2,3,94,7,101,1428661.140375
64232,feat(turbopack): Handle fragments in requests,125,True,True,2024-04-23T19:10:13Z,2024-04-23T19:10:13Z,6,3,2,7,59,51,110,1345943.140375
64923,fix dynamic route interception not working when deployed with middleware,600,True,True,2024-04-23T19:02:43Z,2024-04-23T19:02:43Z,1,2,3,15,133,28,161,84537.140375
64888,docs: update og generation code with local assets,837,True,True,2024-04-23T18:07:16Z,2024-04-23T18:07:16Z,15,3,3,1,4,3,7,158690.141086
64911,Update with-storybook example,530,True,True,2024-04-23T15:13:24Z,2024-04-23T15:13:24Z,1,3,4,43,590,336,926,101063.141086
64467,Fix client boundary inheritance for barrel optimization,646,True,True,2024-04-14T21:36:20Z,2024-04-14T21:36:21Z,2,7,15,13,103,1,104,862120.141086
64908,Docs: Add section for `@next/env` package,30,True,True,2024-04-23T15:31:05Z,2024-04-23T15:31:05Z,2,4,2,1,48,0,48,103591.141086
64179,docs: add note about streaming and Safari limitations,46,True,True,2024-04-08T12:38:45Z,2024-04-08T12:38:45Z,2,3,0,1,4,0,4,1452193.141086
64175,ensure seeded prefetch entry is renewed after expiry,353,True,True,2024-04-08T13:49:59Z,2024-04-08T13:49:59Z,1,3,3,3,22,2,24,1459367.058908
64195,Add additional links to staleTime docs,61,True,True,2024-04-08T13:52:48Z,2024-04-08T13:52:48Z,2,4,1,1,3,3,6,1404507.058908
64094,chore(deps): Sync dependencies,131,True,True,2024-04-08T14:39:52Z,2024-04-08T14:39:52Z,1,3,2,1,13,13,26,1676810.058908
64186,fix(examples): invalid `with-apollo` and `with-graphql-hooks`,425,True,True,2024-04-08T14:55:39Z,2024-04-08T14:55:39Z,4,3,5,47,435,1085,1520,1416387.058908
64133,Fix hydration error higlight when tag matched multi times,1035,True,True,2024-04-08T17:12:03Z,2024-04-08T17:12:03Z,1,3,2,2,113,85,198,1614424.058908
64049,"test(turbopack): Add -Wl,--warn-unresolved-symbols to next-swc-napi on Linux",717,True,True,2024-04-08T17:49:24Z,2024-04-08T17:49:24Z,1,4,3,1,5,0,5,1771034.058908
63944,Test opentelemetry regressions,0,True,False,,2024-04-08T18:52:32Z,1,2,2,3,17,1,18,1974881.058908
64147,fix(docs): update width height value on example to sync with demo,455,True,True,2024-04-08T22:15:03Z,2024-04-08T22:15:03Z,1,3,0,1,2,2,4,1549182.058908
64202,test: pin eslint version to 8 in test to avoid breaking changes,127,True,True,2024-04-08T22:18:17Z,2024-04-08T22:18:17Z,1,3,2,2,4,2,6,1398111.058908
64117,Stop using `baseUrl` in root tsconfig,956,True,True,2024-04-08T22:25:43Z,2024-04-08T22:25:43Z,3,3,3,142,153,161,314,1642623.058908
58534,feat: Do not mangle `AbortSignal` to avoid breaking `node-fetch`,314,True,True,2024-04-09T00:28:03Z,2024-04-09T00:28:03Z,3,4,4,6,41,1,42,13837702.058908
64206,Turbopack: prefer local opentelemetry version,76,True,True,2024-04-09T00:35:37Z,2024-04-09T00:35:37Z,2,3,2,1,6,3,9,1396433.058908
64209,chore: externalize undici for bundling,849,True,True,2024-04-09T07:26:53Z,2024-04-09T07:26:53Z,1,3,2,4,11,0,11,1390171.058908
64875,Fix next/image usage in mdx,853,True,True,2024-04-23T11:37:50Z,2024-04-23T11:37:50Z,6,5,2,5,22,4,26,177618.058908
61413,fix: improve tsconfig extends checks,409,True,True,2024-04-23T10:25:33Z,2024-04-23T10:25:33Z,12,4,6,3,134,12,146,7319693.426103
64894,Fix mixed exports in server component with barrel optimization,535,True,True,2024-04-23T07:57:50Z,2024-04-23T07:57:50Z,1,3,1,8,32,6,38,146636.426103
64678,feat(next-core): support parsing matcher config object,178,True,True,2024-04-23T07:55:24Z,2024-04-23T07:55:24Z,2,3,4,6,213,79,292,586415.426103
64422,docs(server-actions-and-mutations): switch onClick to formAction,47,True,False,,2024-04-23T04:00:31Z,1,4,0,1,3,4,7,1011454.426103
62967,fix(cli): respect SIGTERM and SIGINT exit codes in next dev,43,True,False,,2024-04-23T04:00:30Z,2,2,2,2,26,12,38,4199616.426103
64857,Update 04-loading-ui-and-streaming.mdx,71,True,True,2024-04-22T23:47:34Z,2024-04-22T23:47:34Z,1,2,1,1,1,1,2,201977.426103
64799,"fix(fetch-cache): fix additional typo, add type & data validation",362,True,True,2024-04-22T23:03:10Z,2024-04-22T23:03:10Z,8,4,3,1,28,5,33,417703.426103
64801,fext(next): extend next.config for mdxRs support options,246,True,True,2024-04-22T21:51:47Z,2024-04-22T21:51:47Z,2,4,2,25,258,121,379,409734.426103
64860,Add WorkOS to list of auth libraries,54,True,True,2024-04-22T21:09:38Z,2024-04-22T21:09:38Z,1,3,2,1,1,0,1,195051.426103
61323,chore(docs): added inlang to the list of i18n community libraries,673,True,True,2024-04-22T21:07:16Z,2024-04-22T21:07:16Z,1,5,2,2,2,1,3,7442081.426103
