Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
12369,feat(fishy): add color to username,1189,True,True,2024-04-23T08:54:00Z,2024-04-23T08:54:00Z,1,2,1,1,2,1,3,376020.665915
12358,fix(async): bypass zsh 5.0.2 crash on `zle reset-prompt`,810,True,True,2024-04-22T08:59:34Z,2024-04-22T08:59:35Z,1,2,0,2,7,11,18,685844.670415
12367,feat(fzf): support fzf setup for 0.48.0 and older,652,True,True,2024-04-19T19:57:47Z,2024-04-19T19:57:47Z,1,2,0,1,11,1,12,424722.670415
10872,fix(per-directory-history): print toggle message properly,815,True,True,2023-11-22T17:44:22Z,2023-11-22T17:44:22Z,2,6,17,1,4,4,8,63436281.671611
12294,fix(mise): update environment when loading the plugin,707,True,True,2024-03-21T19:46:41Z,2024-03-21T19:46:41Z,1,2,0,1,3,0,3,2949955.671611
12351,feat(tmux): sessions named as current dir,672,True,True,2024-04-16T07:52:12Z,2024-04-16T07:52:12Z,2,2,2,2,21,4,25,976121.671611
12347,fix(yarn): use `builtin cd` in completion,1394,True,True,2024-04-11T17:27:29Z,2024-04-11T17:27:29Z,1,2,2,1,4,4,8,1135427.672657
12346,feat(poetry-env): support changing between two venv dirs,1463,True,True,2024-04-12T07:24:54Z,2024-04-12T07:24:54Z,1,3,2,1,19,19,38,1204134.672657
12340,fix(shell-proxy): support ssh-proxy using http proxy in cygwin,835,True,True,2024-04-10T13:39:19Z,2024-04-10T13:39:19Z,8,3,3,1,2,1,3,1297412.672657
12338,fix(history)!: fix arg passing to `fc` for `history` command,76,True,True,2024-04-09T06:07:57Z,2024-04-09T06:07:57Z,1,4,6,1,2,2,4,1355862.672657
12337,feat(macos): `ofd` now opens any directory,1353,True,True,2024-04-09T10:19:14Z,2024-04-09T10:19:14Z,3,2,4,2,10,3,13,1378607.684759
12326,feat(git): add alias `gmc` for `git merge --continue`,665,True,True,2024-04-08T20:40:16Z,2024-04-08T20:40:16Z,1,3,1,2,2,0,2,1678082.685348
12310,feat(laravel): add `artisan test` alias (`pats`),781,True,True,2024-04-08T20:36:39Z,2024-04-08T20:36:39Z,2,3,3,2,2,0,2,2165500.685348
12302,Introduce `gwipe` alias,1371,True,True,2024-04-08T15:48:57Z,2024-04-08T15:48:57Z,1,2,1,1,1,0,1,2574599.685348
10922,Update README for git-prompt to clarify how to use,669,True,True,2024-04-06T17:23:19Z,2024-04-06T17:23:19Z,2,3,0,1,4,0,4,61816930.685348
12318,perf(async): avoid executing true,669,True,True,2024-04-04T14:20:20Z,2024-04-04T14:20:20Z,1,2,1,1,3,1,4,1800812.68615
12304,fix(async): avoid blocking the shell while waiting,1081,True,True,2024-04-03T17:42:47Z,2024-04-03T17:42:47Z,1,2,2,1,5,9,14,2562020.68615
12319,feat(git): implement async completion git_prompt_status,885,True,True,2024-04-03T19:32:16Z,2024-04-03T19:32:16Z,1,2,1,1,17,3,20,1800530.68615
12314,Added https httpie command to completion sources,681,True,True,2024-04-03T07:10:33Z,2024-04-03T07:10:34Z,1,2,1,1,1,1,2,1887840.68615
12309,fix(starship)!: keep `ZSH_THEME` when Starship is not found,1331,True,True,2024-03-30T07:25:34Z,2024-03-30T07:25:34Z,1,3,4,1,3,3,6,2198000.68615
12308,fix: add gcloud homebrew installation path,1039,True,True,2024-03-30T07:26:14Z,2024-03-30T07:26:14Z,1,2,1,1,1,0,1,2320388.68615
12299,feat(terraform): add `tft` (`terraform test`),772,True,True,2024-03-26T08:52:01Z,2024-03-26T08:52:01Z,1,2,1,2,15,13,28,2746833.68615
12303,style: remove trailing whitespace,652,True,True,2024-03-26T08:55:16Z,2024-03-26T08:55:16Z,1,2,2,73,138,138,276,2570729.614977
12301,fix(poetry-env): activate only if env exists,727,True,True,2024-03-26T08:54:05Z,2024-03-26T08:54:05Z,1,2,1,1,2,2,4,2592099.614977
12293,feat(jira): add help/usage cmd,1279,True,True,2024-03-26T08:48:14Z,2024-03-26T08:48:14Z,1,2,1,3,22,1,23,2972979.614977
12297,fix(ssh-agent): don't start new agent if screen/tmux symlink exists,2226,True,True,2024-03-25T11:27:21Z,2024-03-25T11:27:21Z,1,2,2,1,4,2,6,2836167.614977
8852,Add chezmoi plugin,701,True,False,,2024-03-21T21:17:33Z,1,5,4,2,948,0,948,126312456.614977
12288,fix(docker-compose): completion regression,674,True,True,2024-03-16T04:26:48Z,2024-03-16T04:26:48Z,1,2,1,1,1,1,2,3419107.614977
12283,docs(pyenv): fix typo,620,True,True,2024-03-14T10:37:07Z,2024-03-14T10:37:07Z,1,2,1,1,1,1,2,3568964.614977
12280,feat(extract): prefer using `pbzip2` instead of `bunzip2`,641,True,True,2024-03-12T17:23:08Z,2024-03-12T17:23:08Z,1,2,1,1,1,1,2,3738714.614977
12232,fix(tmux): do not pass empty flags to aliases,795,True,True,2024-02-29T18:05:54Z,2024-02-29T18:05:54Z,1,5,14,1,18,5,23,5421624.614977
12236,docs(readme): add contributor list,705,True,True,2024-03-12T02:43:08Z,2024-03-12T02:43:08Z,4,2,1,1,4,0,4,5288985.614977
12274,fix(fzf):  add default fzf_base dir when on Windows MSYS2 System,663,True,True,2024-03-10T02:16:17Z,2024-03-10T02:16:17Z,1,2,1,1,1,0,1,3936606.614977
12257,feat(async)!: implement async prompt API and apply to git prompt,977,True,True,2024-03-07T13:39:05Z,2024-03-07T13:39:05Z,4,2,0,2,160,2,162,4385879.614977
12258,feat(tools): update `supports_hyperlinks`,95,True,True,2024-03-07T08:54:44Z,2024-03-07T08:54:44Z,1,2,1,3,24,9,33,4310332.614977
