Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
384,Added 2 resources,901,True,False,,2023-08-15T06:10:12Z,1,2,0,1,2,0,2,48921439.89478
364,Adding Flutter Tutorials,707,True,True,2022-08-28T05:18:14Z,2022-08-28T05:18:14Z,1,3,2,1,18,1,19,57190547.849431
331,Added Arduino tutorials under C/C++ topic in README.md (Issue #94),954,True,False,,2022-04-12T09:29:38Z,1,3,4,1,14,0,14,82941783.917967
345,Update to README.md to include a new sub tutorial for python Selenium Webdriver for auto form filling,1658,True,False,,2022-04-12T09:27:39Z,1,3,1,1,1,0,1,70407304.917967
311,Update README.md,591,True,False,,2022-01-28T10:56:20Z,1,3,1,1,4,0,4,84757426.837034
321,prepare config for stalebot,119,True,True,2021-08-27T19:06:46Z,2021-08-27T19:06:46Z,1,2,0,1,17,0,17,83909707.447082
318,"Add ""Let's write a compiler"" tutorial series",70,True,True,2021-08-27T19:57:48Z,2021-08-27T19:57:48Z,1,2,0,1,9,1,10,83963247.447082
141,Update README.md,643,True,True,2021-08-28T05:42:32Z,2021-08-28T05:42:32Z,1,2,0,1,1,1,2,172591041.447082
240,Added Resources for Web Dev & ML,507,True,False,,2021-08-27T08:41:13Z,1,3,3,1,21,0,21,120850976.447082
177,Added new tutorials in Python,458,True,False,,2021-08-26T10:08:34Z,1,3,1,1,4,0,4,145078740.519131
186,Let's Build Game with C++,573,True,False,,2021-08-26T08:36:39Z,1,3,1,1,1,0,1,143028175.849857
196,add tutorial in c/c++ section,565,True,False,,2021-08-26T08:05:58Z,2,5,4,1,1,0,1,141843047.849857
193,Create factorial using recurssion,127,True,False,,2021-08-26T07:57:59Z,1,3,1,1,21,0,21,141943837.849857
237,add some resource golang tutorial,489,True,True,2021-08-25T23:01:10Z,2021-08-25T23:01:10Z,1,3,0,1,8,0,8,124530456.849857
248,Added tutorial for Eyes following cursor (CSS),569,True,False,,2021-08-25T22:17:10Z,1,3,1,1,1,0,1,115170190.84788
258,Removing broken link,54,True,True,2021-08-25T21:23:09Z,2021-08-25T21:23:09Z,1,3,1,1,0,1,1,112399657.84788
270,added link jpeg decoder using python,458,True,False,,2021-08-25T21:18:43Z,1,3,1,1,1,0,1,107654122.855943
312,Fixed broken link,661,True,True,2021-08-23T17:10:35Z,2021-08-23T17:10:35Z,1,2,0,1,1,1,2,84550454.735661
305,Add Rust project: Learning to Fly,0,True,True,2021-08-16T07:49:14Z,2021-08-16T07:49:14Z,1,2,0,1,5,0,5,87028261.735661
307,"Added ""Let's build a URL shortener in Go - with Gin & Redis""",625,True,True,2021-08-16T07:35:01Z,2021-08-16T07:35:01Z,1,2,0,1,5,0,5,85981197.735661
302,Add a tutorial about writing a Tetris game,60,True,True,2021-07-07T21:47:27Z,2021-07-07T21:47:27Z,1,2,0,1,1,0,1,90116619.735661
290,Switch domain jeiwan.cc to jeiwan.net,92,True,True,2021-07-07T21:48:29Z,2021-07-07T21:48:29Z,1,3,0,1,7,7,14,97646983.735661
203,Add one link in Rails section and one in Javascript section,637,True,False,,2020-11-23T16:01:51Z,1,2,0,1,2,0,2,140222644.421856
245,Replaced 'How to Write an Emulator (CHIP-8 Interpreter)' ,780,True,True,2020-08-22T22:14:22Z,2020-08-22T22:14:22Z,1,2,0,1,1,1,2,117472318.421856
234,added link for face detector using opencv,474,True,True,2020-08-03T08:58:25Z,2020-08-03T08:58:25Z,1,2,0,1,1,0,1,125195476.421856
201,Add prototyping with Clojure book,103,True,True,2020-08-03T08:56:53Z,2020-08-03T08:56:53Z,1,2,0,1,1,0,1,141521296.421856
239,Added byterun,458,True,True,2020-07-22T06:56:34Z,2020-07-22T06:56:34Z,3,2,1,1,1,0,1,121856515.421856
235,Updated Broken Link,488,True,True,2020-06-19T06:25:38Z,2020-06-19T06:25:38Z,1,2,1,1,1,1,2,125007597.421856
205,Add 'Build your own Redis' under Ruby,659,True,True,2020-02-23T02:46:07Z,2020-02-23T02:46:07Z,2,3,1,1,6,0,6,138486692.421856
206,Some Scala projects added,582,True,True,2020-02-19T18:17:00Z,2020-02-19T18:17:00Z,1,1,0,1,5,0,5,136623890.421856
178,Add Memory Allocator in C tutorial,458,True,True,2020-02-18T19:18:45Z,2020-02-18T19:18:45Z,1,2,0,1,1,0,1,144527280.421856
209,Added React Native Application with Redux Thunk,458,True,True,2020-02-14T19:04:53Z,2020-02-14T19:04:53Z,1,2,1,1,2,0,2,132900139.421856
208,Added Todoist clone under React category,783,True,True,2020-02-05T23:21:13Z,2020-02-05T23:21:13Z,1,2,2,1,1,0,1,134992488.421856
182,Add F# Section,596,True,True,2019-10-14T15:15:07Z,2019-10-14T15:15:07Z,1,2,0,1,5,0,5,143590222.150359
187,Added Sol - An MQTT broker from scratch tutorial,703,True,True,2019-10-14T15:13:26Z,2019-10-14T15:13:26Z,1,2,0,1,9,0,9,142968988.150359
183,update Angular tutorial to new version and add part 2 link,855,True,True,2019-10-12T02:07:44Z,2019-10-12T02:07:44Z,1,3,0,1,3,1,4,143286450.150359
184,Added beginner-friendly Ruby tutorial,182,True,True,2019-10-11T20:17:48Z,2019-10-11T20:17:48Z,1,2,0,1,1,0,1,143279761.150359
131,Update README.md,78,True,True,2018-10-28T03:40:58Z,2018-10-28T03:40:58Z,1,2,0,1,1,0,1,173487781.795683
119,Add Hack Club Workshops to additional resources,263,True,True,2018-10-07T08:02:58Z,2018-10-07T08:02:58Z,1,2,0,1,1,0,1,175348512.795683
116,Add a C tutorial about creating an os,76,True,True,2018-09-25T03:52:30Z,2018-09-25T03:52:30Z,1,2,0,1,1,0,1,176367823.227273
