Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
3679,Update README.md,514,True,False,,2024-03-17T16:14:55Z,1,3,1,1,1,1,2,15454024.53389
3510,Add Databento API,514,True,False,,2024-03-02T21:46:24Z,1,3,2,1,3,0,3,30371736.660538
2491,Add Mockaroo API to Test Data,562,True,True,2021-10-24T21:27:48Z,2021-10-24T21:27:48Z,1,2,0,1,1,0,1,79995555.660929
1764,Rename Pyschonauts -> Psychonauts,517,True,True,2021-06-07T04:56:22Z,2021-06-07T04:56:22Z,1,2,0,1,1,1,2,91055857.661931
3268,Added developer jobs uk and remoteuk api,514,True,False,,2023-10-04T10:40:19Z,2,6,6,1,2,0,2,53577159.724479
3618,Update test_of_push_and_pull.yml,514,True,False,,2023-09-02T21:21:49Z,1,3,0,1,1,0,1,20416809.724479
3620,Create asd,514,True,False,,2023-09-02T21:21:34Z,1,2,0,1,1,0,1,20400769.724479
2487,Add Reconmap,548,True,False,,2021-11-24T08:14:19Z,1,3,2,1,1,0,1,80010318.022667
1352,ADD Brazilian Chamber of Deputies Open Data API,624,True,True,2021-05-01T02:35:09Z,2021-05-01T02:35:09Z,1,4,2,1,1,0,1,115334653.505769
3480,Add Kite API,514,True,False,,2023-04-01T07:57:12Z,1,2,1,1,1,0,1,34109765.505769
3092,Add Owen Wilson Wow to Video,521,True,True,2022-03-13T00:55:27Z,2022-03-13T00:55:27Z,1,3,1,1,1,0,1,67093941.505769
3410,Update README.md,79,True,False,,2023-02-21T08:32:00Z,1,2,0,1,1,1,2,40641999.505769
3342,Fixed Chuck Norris Broken Link in Games section,514,True,False,,2022-11-16T12:32:32Z,1,2,0,1,1,1,2,46083612.531729
3237,Add doqs API,514,True,False,,2022-07-15T21:46:13Z,1,3,1,1,1,0,1,56507962.850426
3235,added Webvium browser api to development,514,True,False,,2022-07-15T21:45:55Z,2,4,1,1,1,0,1,56704107.850426
3211,Add Jandapress API,514,True,False,,2022-07-15T21:44:09Z,1,3,1,1,1,0,1,57336646.850426
3197,Bhagvad Gita API update ,514,True,False,,2022-07-15T21:40:18Z,1,3,2,1,3,2,5,58401358.768426
1450,Added git.io URL shortener,458,True,True,2021-05-01T05:20:54Z,2021-05-01T05:20:54Z,1,4,3,1,1,0,1,108939074.150256
3171,Update README.md,514,True,False,,2022-06-10T03:14:56Z,1,3,10,1,1,0,1,60468096.947392
3157,Add ClipDrop API,514,True,False,,2022-05-22T04:05:37Z,1,2,1,1,1,0,1,60916642.95548
3146,Added examples of incorrect formatting,514,True,False,,2022-05-08T00:26:57Z,1,3,1,1,2,0,2,62147175.722256
2509,Add Wandbox API to Development,663,True,True,2021-10-25T06:18:01Z,2021-10-25T06:18:01Z,2,2,6,1,1,0,1,79872382.722256
3052,Add GDBrowser API,514,True,True,2022-02-18T16:14:42Z,2022-02-18T16:14:42Z,2,3,1,1,1,0,1,69550904.722256
3009,Add Times Adder API to Science & Math,560,True,True,2022-01-20T01:56:40Z,2022-01-20T01:56:40Z,1,2,1,1,1,0,1,71783164.732617
3102,Add PRC Exam Schedule to Government,514,True,True,2022-03-16T04:29:32Z,2022-03-16T04:29:32Z,1,2,0,1,1,0,1,66575884.732617
3100,Add Hirak OCR to Text Analysis,514,True,True,2022-03-16T04:16:11Z,2022-03-16T04:16:11Z,1,2,0,1,1,0,1,66640249.732617
3098,Add Hirak IP to Country to Geocoding,514,True,True,2022-03-16T03:59:38Z,2022-03-16T03:59:38Z,1,2,0,1,1,0,1,66710332.732617
3094,Add Threat Jammer to Security,514,True,True,2022-03-13T01:18:48Z,2022-03-13T01:18:48Z,1,2,0,1,1,0,1,66940214.732617
3091,Add MFaaS to Video,514,True,True,2022-03-13T00:42:41Z,2022-03-13T00:42:41Z,1,2,0,1,1,0,1,67227831.732617
3090,Add WhatJobs to Jobs,514,True,True,2022-03-13T00:21:15Z,2022-03-13T00:21:15Z,1,2,2,1,1,0,1,67238435.732617
3093,Update waifu.im: CORS from No to Yes,574,True,True,2022-03-12T04:50:07Z,2022-03-12T04:50:07Z,1,2,0,1,1,1,2,66950896.732617
3087,Add Warface to Games & Comics,551,True,True,2022-03-12T04:26:55Z,2022-03-12T04:26:55Z,1,2,0,1,1,0,1,67402871.740857
3075,Add Hirak Translation to Text Analysis,514,True,True,2022-03-11T05:45:55Z,2022-03-11T05:45:55Z,3,2,2,1,1,0,1,68009285.741153
3085,Add National Park Service to Government,514,True,True,2022-03-10T05:46:18Z,2022-03-10T05:46:19Z,1,2,0,1,1,0,1,67417698.741153
3078,Add Hirak FaceAPI to Machine Learning,514,True,True,2022-03-10T05:31:21Z,2022-03-10T05:31:21Z,2,2,0,1,1,0,1,67766167.589979
3072,Add Lecto Translation to Text Analysis,738,True,True,2022-03-06T04:27:23Z,2022-03-06T04:27:23Z,3,2,5,1,1,0,1,68086031.589979
3076,Add Hirak Exchange Rates to Cryptocurrency,514,True,True,2022-03-05T23:13:05Z,2022-03-05T23:13:05Z,1,2,0,1,1,0,1,67849887.589979
3073,Add Website Carbon to Environment,514,True,True,2022-03-05T22:41:42Z,2022-03-05T22:41:42Z,1,3,0,1,1,0,1,68051409.589979
3066,Add Techy to Entertainment,514,True,True,2022-03-05T22:13:51Z,2022-03-05T22:13:51Z,1,2,0,1,1,0,1,68254344.589979
3065,Add NoPhishy to Anti-Malware,514,True,True,2022-03-04T23:18:38Z,2022-03-04T23:18:39Z,1,2,0,1,1,0,1,68478443.589979
3062,Add icy.tools to Cryptocurrency,530,True,False,,2022-03-04T22:49:34Z,1,3,1,1,1,0,1,68724805.589979
3082,Fixed typo: Upcomimg -> Upcoming,514,True,True,2022-03-04T22:11:39Z,2022-03-04T22:11:39Z,1,2,0,1,1,1,2,67558109.589979
3079,Remove Indeed from Jobs,529,True,True,2022-03-04T22:05:15Z,2022-03-04T22:05:15Z,1,2,0,1,0,1,1,67710079.589979
3051,Add iyzico to Finance,515,True,False,,2022-03-02T01:11:31Z,1,2,1,1,1,0,1,69573309.589979
3060,Add RPS 101 to Games & Comics,559,True,True,2022-03-02T05:06:33Z,2022-03-02T05:06:33Z,1,2,0,1,1,0,1,68961216.589979
3059,Add xeno-canto API to Animals,514,True,True,2022-03-02T04:37:20Z,2022-03-02T04:37:20Z,1,2,0,1,1,0,1,68995365.589979
3056,Add FoodData Central API to Food and Drink,514,True,False,,2022-03-02T03:41:45Z,2,3,1,1,1,0,1,69405814.589979
3057,Add Apiip API to Geocoding,514,True,True,2022-03-02T04:06:34Z,2022-03-02T04:06:34Z,1,3,0,1,1,0,1,69290187.589979
3055,Add Digital Humani Reforestation as a Service ,514,True,False,,2022-03-02T03:25:53Z,1,2,0,1,1,0,1,69479305.589979
3053,Add Space Truckers to Games & Comics,514,True,False,,2022-03-02T01:12:57Z,1,2,0,1,1,0,1,69535126.589979
3054,Move SLF (German country information) from Games & Comics to Geocoding,514,True,True,2022-02-26T04:42:51Z,2022-02-26T04:42:51Z,1,2,0,1,1,1,2,69534714.765395
3023,Add Virdipay Game Player Check,526,True,False,,2022-02-19T18:38:33Z,1,1,1,1,2,1,3,71029184.765395
3010,Add Fun Fact API,514,True,True,2022-01-20T02:05:07Z,2022-01-20T02:05:07Z,1,4,5,1,1,0,1,71672204.765395
3050,Add Wizard World API to Books,514,True,True,2022-02-14T07:04:03Z,2022-02-14T07:04:04Z,1,2,0,1,1,0,1,69618981.765395
3011,Improve scripts and more,1222,True,True,2022-02-07T07:47:35Z,2022-02-07T07:47:35Z,1,2,2,17,1488,314,1802,71480481.765395
3037,Add OpenAPIHub to Development,514,True,False,,2022-02-07T07:23:59Z,2,2,1,1,2,2,4,70534852.765395
3047,Add Postali to Geocoding,514,True,True,2022-02-07T07:09:05Z,2022-02-07T07:09:05Z,1,2,0,1,1,0,1,69757070.765395
3046,Update Coronavirus: 'Wuhan Coronavirus' to 'Covid-19',87,True,True,2022-02-07T07:01:27Z,2022-02-07T07:01:28Z,1,2,0,1,1,1,2,69834925.773407
3045,Add ScrapeNinja to Development,514,True,True,2022-02-07T06:47:29Z,2022-02-07T06:47:29Z,1,2,0,1,1,0,1,69982678.773719
3044,Move aztro from Science & Math to Social,645,True,True,2022-02-07T06:35:37Z,2022-02-07T06:35:37Z,1,2,0,1,1,1,2,70079401.773939
3043,Update Ganjoor API url,514,True,True,2022-02-07T06:10:24Z,2022-02-07T06:10:24Z,1,2,0,1,1,1,2,70096473.773939
3041,Add ProxyKingdom API to Development,514,True,True,2022-02-01T21:21:07Z,2022-02-01T21:21:07Z,1,2,0,1,1,0,1,70229493.773939
3039,Add OceanFacts to Math & Science,514,True,True,2022-02-01T20:50:14Z,2022-02-01T20:50:14Z,2,2,1,1,1,0,1,70455753.773939
3038,Add GraphQL Pokemon API to Games & Comics,514,True,True,2022-01-31T23:42:40Z,2022-01-31T23:42:40Z,3,2,0,1,1,0,1,70493739.774633
3032,Add Corporate Buzz Words to Entertainment,564,True,True,2022-01-31T23:23:23Z,2022-01-31T23:23:23Z,4,2,1,1,1,0,1,70673322.774633
3030,Add Watchdata to Blockchain,514,True,True,2022-01-31T00:47:49Z,2022-01-31T00:47:50Z,2,2,1,1,1,0,1,70771422.347644
3031,Add Hashable API,514,True,True,2022-01-29T00:31:44Z,2022-01-29T00:31:44Z,1,2,0,1,1,0,1,70769673.347644
3035,Add Mintlify to Programming,514,True,True,2022-01-29T01:51:27Z,2022-01-29T01:51:28Z,1,2,0,1,1,0,1,70569672.347644
3033,Add transport.rest to Transportation,617,True,True,2022-01-29T01:34:47Z,2022-01-29T01:34:47Z,5,3,0,1,1,0,1,70583274.347644
