Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
44185,Fix Symbol not found: (_JSGlobalContextSetInspectable),364,True,False,,2024-04-22T21:03:19Z,2,4,5,1,2,0,2,165803.461314
36175,Fix FlatList ItemSeparatorComponent type,207,True,False,,2024-04-24T05:01:22Z,1,5,10,2,6,2,8,37478495.461314
40762,[Android] fix cursor position for overflowed text on TextInput,1250,True,False,,2024-04-24T05:01:21Z,1,4,3,3,20,2,22,17033447.461314
44165,Fix font scaling when `numberOfLines` is not set on Android on the new arch,3747,True,False,,2024-04-22T11:18:33Z,1,4,5,1,1,0,1,448661.327069
44163,Don't enlarge font when `adjustFontSizeToFit` is set on iOS on the new architecture,3810,True,False,,2024-04-19T17:24:35Z,1,4,5,1,5,0,5,450214.327069
43528,Improve reusability for RCTRootViewFactory,532,True,False,,2024-04-19T13:17:25Z,4,5,6,2,23,13,36,3192044.394003
44075,Add implementation of `adjustsFontSizeToFit` on the new architecture on Android,523,True,False,,2024-04-17T16:02:41Z,7,4,10,8,180,12,192,796773.414476
38494,feat: Use animation matrix For Skew prop,995,True,False,,2024-04-17T04:06:29Z,5,5,11,4,147,0,147,24287211.062064
44112,[iOS] Fabric: Add font variant support,115,True,False,,2024-04-16T15:58:34Z,1,4,4,1,47,2,49,706224.062064
18236,Fix a race condition in AppState that prevents listeners from being notified,910,True,False,,2018-05-01T01:02:46Z,4,5,2,1,3,1,4,193580482.529649
18461,[android] Inline and fix proguard rules,856,True,False,,2018-04-06T00:36:17Z,1,4,7,3,92,72,164,192435351.529649
19598,Modified deepFreezeAndThrowOnMutationInDev to use Object.prototype.ha…,2474,True,False,,2018-06-07T09:45:34Z,1,3,0,2,16,4,20,185625985.529649
19643,fix No bundle url present in iOS,196,True,False,,2018-06-12T05:50:15Z,1,3,0,1,2,0,2,185278840.43379
22311,[VirtualizedList] Fix viewability calculation to include viewport offset,487,True,False,,2018-12-06T21:42:05Z,1,4,3,2,9,1,10,171608768.43379
22470,Add detox tests for Switch,395,True,False,,2018-12-05T21:01:17Z,6,7,4,3,175,19,194,170311229.43379
17000,Add support for scoped npm package linking in local-cli,470,True,False,,2018-12-07T04:46:16Z,18,9,4,2,40,0,40,202101164.43379
23014,Remove unused files and code for old JSC and gcc build,119,True,False,,2019-01-16T12:03:36Z,4,7,5,5,0,11,11,166369301.43379
23031,Use RCTBridgeDelegate in the new project template,1704,True,False,,2019-01-17T10:33:23Z,1,5,2,2,17,13,30,166280442.43379
23069,Android: Add a maxFontSizeMultiplier prop to <Text> and <TextInput>,1277,True,False,,2019-01-23T19:41:45Z,2,5,1,6,67,8,75,166129233.43379
23082,fix windows build,52,True,False,,2019-01-21T13:18:24Z,2,6,2,1,5,5,10,165996709.43379
23078,improve current bug report process,91,True,False,,2019-01-21T09:47:37Z,1,6,3,1,4,1,5,166063574.43379
22870,remove envinfo from dependency.,78,True,False,,2019-01-11T01:03:17Z,1,4,1,1,0,1,1,167362756.43379
22952,imp: Add templates to rn package,330,True,False,,2019-01-12T01:55:21Z,1,7,6,1,2,1,3,166814905.43379
22991,RNTester: Add `allowFontScaling` example to Android,713,True,False,,2019-01-16T14:48:50Z,7,6,2,3,32,9,41,166450680.43379
22992,Android TextInput: Support `allowFontScaling` on placeholder,1282,True,False,,2019-01-16T13:33:43Z,3,6,3,2,12,0,12,166449337.43379
22993,Android Text: Fix `letterSpacing` rendering when `fontSize` changes,1388,True,False,,2019-01-16T13:42:25Z,3,6,3,3,7,5,12,166448765.43379
22994,Android TextInput: Fix updating of style props,1653,True,False,,2019-01-18T19:36:29Z,3,6,1,16,127,44,171,166447264.43379
22659,iOS: Clear `Linking.getInitialURL` during bridge reload,2580,True,False,,2019-01-15T10:12:05Z,3,7,6,1,2,0,2,169134889.43379
22665,add basic signature in template,213,True,False,,2018-12-17T21:36:23Z,1,4,1,4,14,12,26,169086364.43379
22670,Fix textTransform when used with other text styles on Android,873,True,False,,2019-01-25T14:28:47Z,8,8,11,6,90,109,199,169047829.43469
22673,Make TextInput event prop types less strict,206,True,False,,2018-12-18T01:28:02Z,2,5,3,1,11,11,22,168974278.522795
21738,Copy bundled resources and js in Android App Bundle builds,748,True,False,,2019-01-15T10:17:06Z,1,6,3,1,9,0,9,174671311.522795
21823,Introduce 'setAndForwardRef' helper function,1281,True,False,,2018-10-18T05:02:15Z,2,5,1,2,204,0,204,174223758.522795
21849,use requireActual and requireMock from jest instead of require,407,True,False,,2018-10-18T22:33:54Z,1,6,5,6,20,24,44,174089103.522795
