Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
28491,Add `React.useActionState`,9480,True,True,2024-03-22T17:03:44Z,2024-03-22T17:03:45Z,9,13,16,18,262,48,310,4355986.82364
28899,Create short link for jsx warning,44,True,True,2024-04-24T13:32:11Z,2024-04-24T13:32:11Z,1,4,1,1,1,3,4,41763.82364
28773,eslint-plugin-react-hooks: Add support for ESLint v9,603,True,True,2024-04-23T21:29:01Z,2024-04-23T21:29:01Z,6,5,1,6,618,91,709,1549900.82464
28891,Cleanup `replayFailedUnitOfWorkWithInvokeGuardedCallback`and `enableProfilerNestedUpdateScheduledHook`,92,True,True,2024-04-22T19:35:12Z,2024-04-22T19:35:12Z,1,4,1,1,0,6,6,180041.82464
28813,Rename the react.element symbol to react.transitional.element,493,True,True,2024-04-22T16:39:56Z,2024-04-22T16:39:56Z,4,5,6,18,345,227,572,1197293.82464
28868,[Fiber/Fizz] Support AsyncIterable as Children and AsyncGenerator Client Components,2133,True,True,2024-04-22T17:25:05Z,2024-04-22T17:25:05Z,1,5,5,15,447,65,512,506035.82464
28883,Remove warning for ref cleanup function,291,True,True,2024-04-22T14:57:31Z,2024-04-22T14:57:31Z,1,4,1,2,2,53,55,410456.82464
28849,[Flight] Support (Async) Generator ServerComponent,1926,True,True,2024-04-21T17:10:10Z,2024-04-21T17:10:10Z,1,4,1,2,133,35,168,677605.82464
28854,[Flight / Flight Reply] Encode Iterator separately from Iterable,338,True,True,2024-04-21T16:52:05Z,2024-04-21T16:52:05Z,2,4,1,6,108,2,110,595625.82464
28853,Warn for Child Iterator of all types but allow Generator Components,1649,True,True,2024-04-21T16:51:46Z,2024-04-21T16:51:46Z,3,5,1,5,262,73,335,640889.82464
28881,Don't minify symbols in production builds,1148,True,True,2024-04-20T15:23:46Z,2024-04-20T15:23:46Z,1,4,1,83,101,259,360,414526.82464
28878,[Experiment] Reuse memo cache after interruption,1253,True,True,2024-04-19T23:30:01Z,2024-04-19T23:30:01Z,1,4,3,10,294,1,295,420055.82464
28880,Build react-reconciler for FB builds,400,True,True,2024-04-19T22:06:01Z,2024-04-19T22:06:01Z,1,4,1,2,42,1,43,416145.574034
28827,"Run Closure on non-minified prod builds, too",1108,True,True,2024-04-19T18:22:38Z,2024-04-19T18:22:38Z,1,8,9,4,185,158,343,1109879.574034
28874,Deprecate `renderToStaticNodeStream` (#28872),372,True,True,2024-04-19T15:18:14Z,2024-04-19T15:18:14Z,1,3,0,2,22,5,27,475268.574034
28873,Remove `renderToStaticNodeStream`,451,True,True,2024-04-19T04:06:05Z,2024-04-19T04:06:05Z,2,4,1,15,4,332,336,478388.574034
27800,convert circleci workflow devtools_regression_tests to github actions,484,True,True,2024-04-18T14:04:27Z,2024-04-18T14:04:27Z,1,5,3,1,137,0,137,12083883.574034
