Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
264,Add a little bit more description about profiling,64,True,False,,2024-01-29T03:43:43Z,1,3,0,1,1,1,2,159534162.755051
577,German Translation README-de.md,291,True,False,,2024-01-09T11:02:53Z,2,4,0,1,1853,0,1853,81516610.755051
557,add git action for generating epub and upload artifacts,428,True,False,,2023-12-02T06:26:01Z,2,4,2,1,18,0,18,85061924.755051
701,eng: ADDED the post scriptum hint ,164,True,False,,2023-09-13T18:49:14Z,1,3,0,1,1,0,1,51726128.755051
750,Fix Scalability Article links,353,True,True,2023-03-16T09:58:20Z,2023-03-16T09:58:20Z,1,2,1,1,5,5,10,35654253.755051
661,Fix typos,0,True,True,2022-04-23T13:14:45Z,2022-04-23T13:14:45Z,1,3,3,3,3,3,6,63755892.088285
634,Added white background to all images (#630),195,True,False,,2023-02-20T23:12:22Z,4,6,4,54,0,0,0,73063179.088285
717,Fix top k requests link,291,True,True,2022-12-11T20:06:51Z,2022-12-11T20:06:51Z,2,3,1,1,1,1,2,45023439.088285
716,Update latency vs throughput blog link,291,True,True,2022-11-13T21:04:18Z,2022-11-13T21:04:18Z,1,2,1,1,1,1,2,46209477.088285
451,Fix translations link in PR template,36,True,True,2020-08-02T18:13:18Z,2020-08-02T18:13:18Z,1,3,2,1,1,1,2,118198354.088285
631,Fix memcache architecture URL,61,True,True,2022-02-13T02:52:00Z,2022-02-13T02:52:00Z,1,2,1,4,4,4,8,73701365.088285
694,Fix Typo,10,True,True,2022-07-31T16:44:43Z,2022-07-31T16:44:43Z,1,2,1,1,1,1,2,54752187.088285
651,Replace broken weighted round robin link (#650),291,True,True,2022-04-20T00:37:02Z,2022-04-20T00:37:02Z,1,3,1,1,1,1,2,65898679.088285
217,Fix #397: Change master/slave to primary/replica,1693,True,False,,2022-04-15T11:11:49Z,6,6,5,11,33,33,66,176369927.240079
355,Fix link,41,True,True,2020-01-21T00:26:10Z,2020-01-21T00:26:10Z,1,2,1,1,1,1,2,134562475.242073
594,Update GitHub Engineer Blog link,365,True,True,2021-11-17T12:26:09Z,2021-11-17T12:26:09Z,1,2,1,4,4,4,8,80092387.243075
511,Fix capitalization of Dropbox,143,True,True,2021-05-09T18:20:50Z,2021-05-09T18:20:50Z,2,3,1,1,1,1,2,99917632.243075
395,Remove invalid link,19,True,False,,2021-04-16T02:52:46Z,1,4,4,1,1,1,2,128082943.243075
505,Fix LRU cache link,112,True,True,2021-02-16T02:14:06Z,2021-02-16T02:14:06Z,1,2,1,1,1,1,2,101679319.243075
500,Update indieflashblog link,429,True,True,2021-02-16T02:10:04Z,2021-02-16T02:10:04Z,1,2,0,4,4,4,8,102486757.584384
