Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
636,contents: add Codemia.io list of mock interview resource,0,True,True,2024-03-04T00:37:01Z,2024-03-04T00:37:01Z,1,2,0,1,6,0,6,4625035.670878
622,contents: Add Misc > Career Growth Page,272,True,True,2023-11-26T23:10:09Z,2023-11-26T23:10:09Z,2,2,0,3,48,2,50,12958034.670878
625,contents(beyond): add Hungry Minds and myself to LinkedIn resources,100,True,True,2023-12-04T02:17:33Z,2023-12-04T02:17:33Z,1,2,0,1,2,0,2,12374739.671875
609,contents(queue): fix typo in queue content,322,True,True,2023-09-30T02:54:04Z,2023-09-30T02:54:04Z,1,2,0,1,1,1,2,18055777.671875
605,contents: style of Palantir questions is aligned with style of other questions,163,True,True,2023-09-30T02:50:45Z,2023-09-30T02:50:45Z,1,2,0,1,2,2,4,19445340.671875
610,[Content] Add Hello Interview to mock interviews,252,True,True,2023-09-30T02:35:50Z,2023-09-30T02:35:50Z,1,2,1,1,9,0,9,17940244.671875
604,contents: khan academy link for binary search fixed,56,True,True,2023-09-06T02:53:42Z,2023-09-06T02:53:42Z,1,2,0,1,3,3,6,20032874.671875
599,contents: grammar / consistency fixes for algo sites,0,True,True,2023-08-03T00:25:53Z,2023-08-03T00:25:53Z,1,2,0,7,22,22,44,22970238.671875
596,contents: 2 grammar fixes for linked list doc,0,True,True,2023-07-19T11:22:22Z,2023-07-19T11:22:22Z,1,2,0,1,2,2,4,24266178.674055
594,contents(algo): fix typo in algorithm/graph content,119,True,True,2023-07-04T08:20:56Z,2023-07-04T08:20:56Z,1,2,0,1,1,1,2,25520745.674055
588,contents(optimize): Bullet point formatting,0,True,True,2023-06-13T23:19:58Z,2023-06-13T23:19:58Z,1,2,0,1,5,1,6,28937028.675097
587,contents(star): Bullet point formatting,70,True,True,2023-06-13T23:19:31Z,2023-06-13T23:19:31Z,1,2,0,1,10,2,12,28942643.675097
586,contents(algo): fix url typo in sorting and searching,0,True,True,2023-05-11T10:21:53Z,2023-05-11T10:21:53Z,1,2,0,1,1,1,2,30176515.612977
585,contents(algo): add Java implementation details for platform sorting algorithms,97,True,True,2023-05-11T10:21:02Z,2023-05-11T10:21:02Z,1,2,0,1,1,1,2,30379120.612977
583,contents: misc update to coding-interview-rubrics.md,29,True,True,2023-05-05T23:47:24Z,2023-05-05T23:47:24Z,1,2,0,1,1,1,2,30650026.612977
582,contents: fix typo in coding-interview-rubrics.md,15,True,True,2023-05-05T23:46:53Z,2023-05-05T23:46:53Z,1,2,0,1,1,1,2,30650162.612977
579,contents(sd): fix typo in Design Gurus recommendation,73,True,True,2023-04-19T12:11:12Z,2023-04-19T12:11:12Z,1,2,0,1,1,1,2,32742275.612977
295,Update behavioral-interview-questions.md,334,True,False,,2023-04-11T10:07:15Z,1,4,4,1,0,31,31,52839934.612977
578,contents(mock interview): add meetapro.com,0,True,True,2023-04-11T10:09:23Z,2023-04-11T10:09:23Z,1,2,0,1,13,0,13,33212344.612977
575,add: gaurav sen system design playlist,89,True,True,2023-04-11T10:06:48Z,2023-04-11T10:06:48Z,1,2,0,1,1,0,1,36819246.612977
574,contents: remove some stuttering when showcasing mock interview solutions,68,True,True,2023-04-11T10:05:51Z,2023-04-11T10:05:51Z,1,2,0,1,1,1,2,37962785.612977
567,contents(sorting): add video resources to sorting and searching,141,True,True,2023-01-28T23:36:08Z,2023-01-28T23:36:08Z,1,2,0,1,7,0,7,39051724.612977
572,contents(behavioral): add behavioral interview rubrics from Lior,93,True,True,2023-02-06T00:36:42Z,2023-02-06T00:36:42Z,1,2,0,4,139,118,257,38378744.612977
568,contents(behavioral): add more information for Behavioral Interviews,278,True,True,2023-02-05T09:59:06Z,2023-02-05T09:59:06Z,2,2,1,1,116,4,120,38895008.612977
570,misc: fixed typo in behavioral interview,96,True,True,2023-02-05T08:46:27Z,2023-02-05T08:46:27Z,1,2,0,1,1,1,2,38592528.612977
510,[questions][feat] add tags,0,True,False,,2022-12-04T09:09:45Z,1,2,0,15,398,9,407,46318153.612977
563,contents: add links to extra resources (video lectures),155,True,True,2022-12-27T08:06:25Z,2022-12-27T08:06:25Z,1,2,1,2,4,0,4,42233960.612977
558,[website][fix] fix incomplete line in resume guide,48,True,True,2022-11-21T11:20:02Z,2022-11-21T11:20:02Z,1,3,2,1,1,1,2,44948319.051929
557,[website][fix]: change LC link for Implement Stack using Queues,11,True,True,2022-11-21T02:19:36Z,2022-11-21T02:19:36Z,1,2,0,1,1,1,2,45008563.051929
516,[questions][fix] fix expanded typeaheads,0,True,True,2022-11-06T10:03:08Z,2022-11-06T10:03:08Z,1,2,0,14,188,146,334,46256801.261791
498,[questions][chore] add google analytics id,0,True,True,2022-11-04T11:07:10Z,2022-11-04T11:07:10Z,3,2,0,1,1,2,3,46512446.837258
505,[ui][button] Add rel and target properties to button,62,True,True,2022-11-04T11:07:36Z,2022-11-04T11:07:36Z,1,2,0,1,6,1,7,46418493.837258
490,[offers][feat] tweak offer background submission form,0,True,True,2022-11-02T04:49:58Z,2022-11-02T04:49:58Z,1,2,0,5,303,324,627,46618077.278557
487,[offers][fix] tweak submit offer job type selector,0,True,True,2022-11-01T03:11:11Z,2022-11-01T03:11:11Z,2,3,0,4,66,31,97,46748545.872148
409,[questions][feat] add encounters transaction for crud,0,True,True,2022-10-26T07:38:29Z,2022-10-26T07:38:29Z,3,3,0,5,135,18,153,47533075.174845
430,[offers][feat] Split offers submission and result pages,0,True,True,2022-10-26T13:17:19Z,2022-10-26T13:17:19Z,1,2,0,6,222,109,331,47256466.427664
384,[questions][feat] update question filter,0,True,True,2022-10-22T06:31:30Z,2022-10-22T06:31:30Z,1,2,0,7,151,38,189,47970155.940307
343,[questions][feat] add question encounter crud,0,True,True,2022-10-19T16:32:42Z,2022-10-19T16:32:42Z,1,2,0,2,141,0,141,48651371.157558
383,[questions][refactor]: refactor queries,0,True,True,2022-10-19T07:12:56Z,2022-10-19T07:12:56Z,1,2,0,4,67,33,100,47970176.157558
