Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
847,Fix typo in README-zh.md,0,True,True,2023-07-12T21:40:23Z,2023-07-12T21:40:23Z,1,3,1,1,1,1,2,37518612.307584
824,fr: Synchronize the translation,0,True,True,2023-03-07T19:34:51Z,2023-03-07T19:34:51Z,2,4,1,1,3,3,6,41548149.308582
641,fr: Synchronize the translation,0,True,True,2022-12-29T22:41:26Z,2022-12-29T22:41:26Z,1,2,2,1,14,7,21,149386372.997322
778,Fix README-zh.md typo,0,True,True,2022-07-16T01:06:16Z,2022-07-16T01:06:16Z,3,4,0,1,1,1,2,58415078.997322
745,Create README-tr.md,0,True,False,,2022-09-12T07:42:00Z,1,2,0,19,642,18,660,81822619.997322
718,Fix typo README-id.md,41,True,False,,2022-09-11T02:31:14Z,1,2,0,1,1,1,2,105812651.997322
636,Fix typo,39,True,False,,2022-05-15T13:10:19Z,1,2,0,1,1,1,2,150467068.997322
682,"complete, most up-to-date translation into Polish language",317,True,True,2020-09-07T19:20:29Z,2020-09-07T19:20:30Z,3,6,2,18,641,17,658,128816730.997322
747,test file for new branch,0,True,False,,2021-12-06T07:37:46Z,2,4,1,1,1,0,1,79642621.997322
650,Fixed a typo in README.md,0,True,False,,2020-08-17T00:28:43Z,1,3,1,1,1,1,2,141336354.607903
661,misspelled a word,0,True,False,,2020-08-17T00:28:13Z,1,3,1,1,1,1,2,132433098.607903
684,Minor spelling fix in readme,27,True,False,,2020-08-17T00:27:52Z,1,3,2,1,1,1,2,127475420.607903
652,fix: markdown bold syntax,66,True,False,,2020-05-09T07:40:24Z,1,3,1,1,4,4,8,140401132.607903
604,Add Cygwin specific command tips `explorer`,89,True,False,,2019-09-05T04:13:33Z,1,1,0,2,6,2,8,155083930.022251
171,`sed` alternative for replacing strings in files,0,True,False,,2019-07-04T16:33:33Z,1,2,0,1,4,0,4,277537054.022251
580,zh-Hant: Update iconv and uconv example,70,True,True,2019-03-17T03:55:48Z,2019-03-17T03:55:48Z,1,3,2,1,6,2,8,174003325.022251
568,update README-ja.md,4,True,True,2018-08-19T00:35:51Z,2018-08-19T00:35:51Z,1,4,4,1,110,14,124,181841240.022251
571,fr: Synchronize the translation,0,True,True,2018-08-19T00:34:22Z,2018-08-19T00:34:22Z,1,2,0,1,46,30,76,180399041.022251
563,sl: Update Slovenian translation,45,True,True,2018-06-15T05:57:42Z,2018-06-15T05:57:42Z,1,2,0,1,35,24,59,185084649.022251
551,el: Update translation,25,True,True,2018-04-07T20:07:44Z,2018-04-07T20:07:44Z,2,3,3,1,31,23,54,191253984.790677
498,Added nano editor on basics for starters,117,True,True,2018-03-19T17:37:05Z,2018-03-19T17:37:05Z,3,3,1,1,1,1,2,228520488.790677
535,Fix a typo and spacing words in Korean translation,0,True,True,2017-12-31T06:08:05Z,2017-12-31T06:08:05Z,1,3,2,1,1,1,2,202647699.794248
530,zh: Update translation,67,True,True,2017-11-22T00:41:42Z,2017-11-22T00:41:42Z,2,3,4,1,29,11,40,205232897.794248
519,Edit README-ru.md,26,True,True,2017-09-17T01:23:42Z,2017-09-17T01:23:42Z,4,3,2,1,1,1,2,216709673.389743
439,ru: Typo fix,34,True,True,2017-06-03T17:09:44Z,2017-06-03T17:09:44Z,2,7,6,1,1,1,2,243139394.389743
505,ru: Minor fixes,47,True,True,2017-05-02T04:22:03Z,2017-05-02T04:22:03Z,2,5,3,1,39,39,78,225672707.389743
501,uk: update Ukrainian translate,0,True,True,2017-04-12T18:57:49Z,2017-04-12T18:57:49Z,2,4,7,1,22,6,28,226364294.13954
504,el: Update translation,25,True,True,2017-04-04T01:10:55Z,2017-04-04T01:10:55Z,2,3,4,1,42,25,67,225754866.13954
506,Fix typo,17,True,True,2017-04-04T00:37:37Z,2017-04-04T00:37:37Z,2,5,2,2,2,2,4,225666923.13954
484,ru: translate sentence to Russian,0,True,True,2017-01-17T20:28:15Z,2017-01-17T20:28:15Z,4,4,2,1,1,1,2,231195633.13954
479,Fixed the description of ctrl + u,141,True,True,2017-01-17T20:31:21Z,2017-01-17T20:31:21Z,2,4,4,3,3,3,6,234970162.13954
480,ru: Polish README-ru.md,29,True,True,2017-01-17T20:28:55Z,2017-01-17T20:28:55Z,3,5,6,1,1,1,2,234928561.13954
474,ru: Update README-ru.md,0,True,True,2016-11-01T18:27:40Z,2016-11-01T18:27:40Z,1,4,6,1,1,1,2,236175069.13954
473,Finish the Romanian translation,11,True,True,2016-10-31T01:49:34Z,2016-10-31T01:49:34Z,3,3,2,16,611,15,626,236186113.171648
460,Indonesian (ID) translation,0,True,True,2016-10-31T02:38:50Z,2016-10-31T02:38:50Z,1,3,4,16,606,15,621,240116925.171648
