Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
353,added shell cleaning trick,78,True,True,2022-02-28T20:34:27Z,2022-02-28T20:34:27Z,9,14,4,1,18,4,22,67901381.344622
410,Create SECURITY.md,0,True,False,,2023-12-30T07:52:01Z,1,2,2,1,21,0,21,11060894.344622
404,Create SECURITY.md,0,True,False,,2023-12-07T22:22:51Z,7,11,4,1,21,0,21,19164780.344622
402,feat: add cognito-scanner pentest tool,258,True,False,,2023-12-07T22:22:08Z,9,14,13,1,1,0,1,22482526.344622
217,Add PEASS,261,True,True,2022-02-23T18:46:33Z,2022-02-23T18:46:33Z,2,5,1,1,1,0,1,89000201.344622
400,Update README.md,111,True,False,,2023-07-26T05:54:34Z,8,8,0,1,1,0,1,25403180.344622
87,Fix alphabetical order,65,True,False,,2019-04-22T08:42:21Z,1,3,2,1,1,1,2,158215527.344622
384,Added 1Password to Password Managers,231,True,False,,2023-01-03T15:10:20Z,1,2,0,1,1,0,1,42525007.344622
142,added open source packet sender to the book of knowledge.,0,True,True,2020-01-27T17:26:57Z,2020-01-27T17:26:57Z,1,3,1,1,1,0,1,134078410.344622
385,Add GNU nano to text editors,0,True,False,,2023-05-18T07:11:20Z,3,4,2,1,1,0,1,41309272.344622
239,adds quad9 (9.9.9.9) to list of public DNS resolvers,0,True,False,,2022-02-23T18:47:35Z,3,5,2,1,1,0,1,80375104.344622
301,update link,269,True,False,,2022-08-19T11:38:01Z,11,11,11,1,1,2,3,73340329.344622
223,Delete fakeface - fixes #216,457,True,True,2021-07-13T10:33:26Z,2021-07-13T10:33:26Z,2,4,1,1,0,1,1,87827343.344622
207,Add bunkerized-nginx,0,True,True,2022-02-23T18:41:34Z,2022-02-23T18:41:34Z,1,3,0,1,1,0,1,90900863.996554
250,Added TLScan,66,True,True,2022-02-23T19:01:08Z,2022-02-23T19:01:08Z,3,6,1,1,1,0,1,79244428.996554
146,Merge pull request #146 from pylipp/fix/remove-duplicate,62,True,True,2020-01-25T15:06:10Z,2020-01-25T15:06:10Z,1,4,3,1,1,2,3,134012899.996554
294,Update README.md,134,True,True,2022-02-23T19:05:45Z,2022-02-23T19:05:45Z,5,6,1,1,1,1,2,74781485.996554
3,Update README.md,73,True,True,2018-11-06T21:49:08Z,2018-11-06T21:49:08Z,3,5,3,1,2,0,2,172443653.996554
220,Fixes typo,0,True,True,2021-07-13T10:39:30Z,2021-07-13T10:39:30Z,1,4,1,1,1,1,2,88474880.996554
219,Add mssql-cli,0,True,True,2021-07-13T10:40:09Z,2021-07-13T10:40:09Z,1,5,2,1,1,0,1,88509014.996554
351,Create SECURITY.md,0,True,False,,2022-03-01T14:32:38Z,1,3,0,1,21,0,21,68077453.996554
341,add 'CryptoLyzer',0,True,False,,2022-02-23T18:39:01Z,1,3,1,1,31,1,32,68621190.996554
288,Add zoxide under Shell Plugins,364,True,False,,2022-02-23T19:05:16Z,1,4,3,1,1,0,1,75686201.996554
251,Multiple updates,0,True,False,,2022-02-23T19:01:41Z,1,4,2,1,6,0,6,79241269.877151
249,Added vaultwarden,66,True,True,2022-02-23T19:00:05Z,2022-02-23T19:00:05Z,1,3,0,1,1,0,1,79244746.877151
243,add a new tool in one liners,170,True,False,,2022-02-23T18:58:33Z,1,3,0,1,1,0,1,79939121.877151
237,Add Haskell Dockerfile Linter,96,True,True,2022-02-23T18:55:27Z,2022-02-23T18:55:27Z,1,3,0,1,1,0,1,80826621.877151
232,subsequent automerge,0,True,False,,2022-02-23T18:51:56Z,2,5,0,4,126,0,126,82644633.877151
210,Create How to Use,46,True,False,,2021-10-20T18:47:29Z,1,4,1,1,1,0,1,89271937.734495
200,Add 'DIRB',50,True,False,,2021-05-13T16:33:33Z,6,3,4,1,2,0,2,97187120.734495
203,add Alacritty,61,True,True,2021-05-13T16:28:57Z,2021-05-13T16:28:57Z,2,4,0,1,1,0,1,93455740.734495
123,Store script files as gists,35,True,False,,2020-11-14T08:26:06Z,1,3,0,1,24,0,24,140489758.734495
181,Update README.md,44,True,True,2020-10-06T21:17:26Z,2020-10-06T21:17:26Z,2,4,0,1,1,1,2,117197935.734495
179,Added machine-learning-algorithms,99,True,True,2020-09-27T06:12:01Z,2020-09-27T06:12:01Z,1,3,0,1,1,0,1,118274951.703016
169,Add SpaceVim,70,True,True,2020-07-19T06:04:28Z,2020-07-19T06:04:28Z,1,3,0,1,1,0,1,126942971.703016
156,Update README.md,0,True,False,,2020-04-14T20:17:30Z,1,3,1,1,1,0,1,131792609.703016
127,Merge pull request #127 from pstavirs/osti,219,True,True,2020-02-03T10:22:36Z,2020-02-03T10:22:36Z,1,3,4,1,1,0,1,138270367.084849
138,Add item into Text Editors,36,True,False,,2020-01-27T17:32:34Z,2,3,1,1,1,0,1,134087540.084849
135,Merge pull request #135 from Cookizza/patch-1,304,True,True,2020-01-27T17:17:33Z,2020-01-27T17:17:33Z,1,3,1,1,1,0,1,134197873.084849
96,Add pentoo to operating systems,73,True,True,2019-07-24T19:55:33Z,2019-07-24T19:55:33Z,1,3,1,1,1,0,1,153228134.769887
90,Fixed Grammar for various tool,93,True,True,2019-05-17T12:14:55Z,2019-05-17T12:14:55Z,1,3,0,1,17,17,34,155882256.515133
72,Update README.md,46,True,False,,2019-02-24T08:27:14Z,1,3,3,1,6,0,6,163139521.515133
61,Add CLI creators to CLI section,0,True,True,2019-02-13T08:49:37Z,2019-02-13T08:49:37Z,1,3,2,1,1,0,1,166484469.684693
43,Adding Etherate to 'Networking',0,True,True,2019-01-04T10:57:51Z,2019-01-04T10:57:51Z,1,3,0,1,1,0,1,167980649.684693
38,Added PbScan in network section,0,True,True,2018-12-27T08:39:14Z,2018-12-27T08:39:14Z,1,3,2,1,1,0,1,168105591.684693
32,Add dkimvalidator.com under mail section (and other important tools).,0,True,True,2018-12-23T10:14:21Z,2018-12-23T10:14:21Z,1,3,1,1,6,0,6,168504211.457787
4,Add new tools,50,True,True,2018-11-08T07:23:14Z,2018-11-08T07:23:14Z,7,2,1,1,3,0,3,172363103.619787
1,Typo fix in README.md,33,True,False,,2018-08-04T10:37:18Z,1,3,1,1,1,1,2,182445243.619787
