Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
30453,Add `paths` filter to avoid the chance of being triggered,1012,True,True,2024-04-24T14:58:54Z,2024-04-24T14:58:54Z,2,3,1,1,2,15,17,9399.348115
30421,[SegGPT] Fix loss calculation,1094,True,True,2024-04-24T14:24:34Z,2024-04-24T14:24:34Z,2,2,2,2,89,16,105,97328.348828
30418,fix jamba slow foward for multi-gpu,1237,True,True,2024-04-24T12:19:08Z,2024-04-24T12:19:08Z,2,3,2,1,2,1,3,100335.348828
30435,fix uncaught init of linear layer in clip's/siglip's for image classification models,1126,True,True,2024-04-24T12:03:31Z,2024-04-24T12:03:31Z,1,4,8,2,10,0,10,79013.348828
30414,Fix attn mask for static cache,378,True,False,,2024-04-24T10:37:11Z,1,4,7,4,20,0,20,106078.348828
30444,[tests] make test device-agnostic,1251,True,True,2024-04-24T10:21:27Z,2024-04-24T10:21:28Z,1,2,0,1,14,16,30,46681.348828
30337,Add messages to agents (#5),99,True,True,2024-04-24T09:56:25Z,2024-04-24T09:56:25Z,1,3,2,3,158,45,203,451650.348828
30440,[`Llava`] + CIs fix red cis and llava integration tests,65,True,True,2024-04-24T08:51:35Z,2024-04-24T08:51:35Z,5,4,2,2,5,13,18,62170.348828
30436,Fix YOLOS image processor resizing,1422,True,True,2024-04-24T08:50:17Z,2024-04-24T08:50:17Z,1,3,2,2,24,7,31,78945.348828
29356,[`_unmask_unattended`] Refactor,278,True,False,,2024-04-24T08:19:36Z,4,2,1,5,34,42,76,4805493.349861
30334,Add llama3,42,True,True,2024-04-24T08:11:19Z,2024-04-24T08:11:19Z,1,7,6,7,279,28,307,463194.349861
30341,New model PR needs green (slow tests) CI,348,True,True,2024-04-24T07:52:55Z,2024-04-24T07:52:55Z,21,4,2,2,221,0,221,443628.349861
30420,Remove mentions of models in the READMEs and link to the documentation page in which they are featured.,120,True,True,2024-04-24T07:38:31Z,2024-04-24T07:38:31Z,2,4,4,14,14,3625,3639,97645.349861
30424,Remove add-new-model in favor of add-new-model-like,180,True,True,2024-04-24T07:38:19Z,2024-04-24T07:38:19Z,2,4,2,36,39,14439,14478,95713.349861
30429,Remove task guides auto-update in favor of links towards task pages,128,True,True,2024-04-24T07:38:10Z,2024-04-24T07:38:10Z,1,3,2,53,46,508,554,93024.349861
29694,Respect `add_prefix_space` option in `LlamaTokenizerFast`,1267,True,False,,2024-04-23T21:13:02Z,3,4,11,1,4,0,4,3336224.349861
28881,[`LlamaTokenizerFast`] Refactor default llama,783,True,True,2024-04-23T21:13:00Z,2024-04-23T21:13:00Z,5,4,2,5,142,31,173,6779708.349861
