Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
211244,Fix custom labels with absolute pattern,13,True,True,2024-04-24T13:15:32Z,2024-04-24T13:15:32Z,1,3,0,1,1,0,1,12977.772696
211237,Making HoverContext fields readonly,58,True,True,2024-04-24T11:13:49Z,2024-04-24T11:13:49Z,1,3,0,1,2,2,4,17048.772696
211143,Fixes #210459,13,True,True,2024-04-24T09:50:09Z,2024-04-24T09:50:09Z,2,3,2,1,2,11,13,76200.772696
210612,change lightbulb widget role,108,True,True,2024-04-24T07:46:51Z,2024-04-24T07:46:51Z,1,3,0,1,1,1,2,569359.772696
211205,Handle model changes when updating nb outline,27,True,True,2024-04-24T05:50:00Z,2024-04-24T05:50:00Z,2,3,0,1,24,23,47,45378.99788
211152,Fixes potential range out of bounds bug.,718,True,True,2024-04-23T23:22:27Z,2024-04-23T23:22:27Z,1,3,3,1,3,7,10,73921.99788
211160,fixes #211062,13,True,True,2024-04-23T20:06:31Z,2024-04-23T20:06:31Z,1,3,0,1,1,0,1,72289.99788
210815,Re-render sticky scroll when line numbers display mode is changed,565,True,True,2024-04-23T07:37:10Z,2024-04-23T07:37:10Z,2,4,4,1,18,9,27,379452.99788
211086,rename suggestions: cancel suggestions if caret is moved or user clicks on rename widget input box,0,True,True,2024-04-23T15:57:16Z,2024-04-23T15:57:16Z,1,3,0,1,12,0,12,95192.99788
211095,Using workbench hover delegate to specify position of workbench hover,183,True,True,2024-04-23T15:56:48Z,2024-04-23T15:56:48Z,1,3,0,1,7,5,12,89284.99788
211091,Removing the increase/decrease hover verbosity level keybindings,78,True,True,2024-04-23T15:56:30Z,2024-04-23T15:56:30Z,2,3,0,1,2,12,14,92772.077434
203658,update swc,0,True,False,,2024-04-23T02:15:14Z,1,5,4,2,78,65,143,7454107.077434
210927,Using standard token type directly within the test instead of number,68,True,True,2024-04-23T07:25:12Z,2024-04-23T07:25:13Z,1,3,0,1,71,42,113,171366.077434
210976,Add button to chat hover and make it disposable,0,True,True,2024-04-23T04:17:36Z,2024-04-23T04:17:37Z,1,3,0,6,91,34,125,141811.077434
210984,Re-register TS sort/remove unused commands,57,True,True,2024-04-23T03:16:38Z,2024-04-23T03:16:38Z,2,2,0,3,52,21,73,132841.077434
210962,get the editor from the context for cases that its not the focused editor,208,True,True,2024-04-22T23:05:57Z,2024-04-22T23:05:57Z,1,3,1,2,9,3,12,150778.077434
210964,improve `CodeCompareBlockPart`,0,True,True,2024-04-22T22:28:59Z,2024-04-22T22:28:59Z,1,3,0,12,277,101,378,150161.078527
210691,Fixes #208449,13,True,True,2024-04-22T17:56:40Z,2024-04-22T17:56:40Z,3,3,0,3,44,15,59,504392.078527
210920,Refactor indentation.test.ts,366,True,True,2024-04-22T16:16:10Z,2024-04-22T16:16:11Z,1,3,0,1,94,102,196,175789.078527
210781,Fixes diff algorithm bug,0,True,True,2024-04-22T15:45:41Z,2024-04-22T15:45:41Z,2,3,0,6,45,3,48,418042.02822
209077,fix: copilot external reporting,13,True,True,2024-04-22T15:11:25Z,2024-04-22T15:11:25Z,11,2,0,1,34,3,37,2307520.02822
210767,Minimal error renderer,83,True,True,2024-04-22T15:09:12Z,2024-04-22T15:09:12Z,2,4,1,10,152,33,185,424675.02822
210057,polish theme selection and configuration,0,True,False,,2024-04-22T14:31:12Z,1,2,1,2,16,16,32,1212528.02822
210910,Fix treeview multiselect right-click issue,13,True,True,2024-04-22T14:13:23Z,2024-04-22T14:13:23Z,2,3,0,1,6,4,10,180472.02822
210905,support stats for language model usage,38,True,True,2024-04-22T12:52:34Z,2024-04-22T12:52:34Z,1,3,0,11,447,58,505,185540.02822
210889,Fixing type serialization issue with `HoverWithId` interface,64,True,True,2024-04-22T11:22:09Z,2024-04-22T11:22:09Z,2,4,0,5,33,13,46,191387.02822
210472,Adding the possibility to enrich hovers with additional data,67,True,True,2024-04-19T17:17:21Z,2024-04-19T17:17:21Z,2,3,0,26,717,96,813,696127.02822
204721,Allowing to add more information to the hover,13,True,False,,2024-04-19T15:16:17Z,42,4,3,29,856,117,973,6570714.02822
210806,Nnew,0,True,False,,2024-04-21T07:11:55Z,1,2,0,1,28,0,28,400427.02822
210796,testing: implement testPreserveFocus API,0,True,True,2024-04-21T05:44:00Z,2024-04-21T05:44:00Z,3,5,0,10,40,6,46,405571.02822
210831,"Revert ""Merge pull request #209136 from cpendery/fix/improve-marker-p…",4856,True,True,2024-04-21T05:43:40Z,2024-04-21T05:43:40Z,1,2,0,6,19,81,100,345119.02822
210816,Use org name if available in notification,0,True,True,2024-04-20T08:58:37Z,2024-04-20T08:58:37Z,1,3,0,1,2,2,4,377736.627722
210807,Dismiss entitlements badge on cancel,44,True,True,2024-04-20T00:43:44Z,2024-04-20T00:43:44Z,1,3,0,1,15,2,17,400167.627722
210791,prevent key actions from happening in the notebook UI,272,True,True,2024-04-19T22:49:08Z,2024-04-19T22:49:08Z,5,3,0,5,35,9,44,408136.627722
210712,Gather basic notebook info along with perf data,7,True,True,2024-04-19T22:36:50Z,2024-04-19T22:36:50Z,2,3,0,1,50,4,54,481092.627722
209136,fix: improve terminal marker placements on windows,877,True,True,2024-04-19T21:28:53Z,2024-04-19T21:28:53Z,10,3,7,6,81,19,100,2229280.627722
210488,Add a nicer hover for chat participants,0,True,True,2024-04-19T21:11:22Z,2024-04-19T21:11:22Z,3,4,2,25,225,27,252,683596.627722
210603,:up: electron 28.3.1,68,True,False,,2024-04-19T20:00:41Z,1,3,1,5,111,86,197,577369.627722
210766,PromptInputModel: Detect interrupts and show executing in dev mode,41,True,True,2024-04-19T17:48:22Z,2024-04-19T17:48:22Z,3,3,1,4,68,13,81,425380.79895
210750,Move terminal suggest to prompt input model instead of manual tracking,224,True,True,2024-04-19T16:36:11Z,2024-04-19T16:36:11Z,1,2,0,3,117,159,276,433861.79895
210741,PromptInputModel: Validate ghostTextIndex and reduce events,26,True,True,2024-04-19T15:07:42Z,2024-04-19T15:07:42Z,1,2,0,3,72,24,96,437870.79895
210706,PromptInputModel: Update model when prompt changes without cursor movement,442,True,True,2024-04-19T14:45:25Z,2024-04-19T14:45:25Z,1,2,0,8,234,200,434,486475.79895
210550,support chat agent name service,615,True,True,2024-04-19T07:31:20Z,2024-04-19T07:31:20Z,2,2,0,4,125,6,131,620121.79895
