Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToAnalysis
32740,[YouPorn] Fix and improve extraction; add playlist extraction,2093,True,True,2024-04-22T00:34:27Z,2024-04-22T00:34:27Z,2,1,0,3,576,48,624,3892363.620637
32762,[extractor/common] Fix crash in _report_ignoring_subs,1602,True,True,2024-04-05T14:25:29Z,2024-04-05T14:25:29Z,6,2,4,1,15,6,21,1837390.620637
32752,[Youtube] Fix AttributeError no attribute '_YoutubeIE__ie_msg' if unable to decode n-parameter,785,True,True,2024-03-23T15:30:13Z,2024-03-23T15:30:13Z,1,2,1,1,3,3,6,2768295.620637
28008,[doodstream] add new extractor,1351,True,False,,2024-03-19T09:15:13Z,1,6,4,3,75,0,75,102026354.620637
32742,[Vimeo]  fix config parser regex,1519,True,True,2024-03-12T11:44:14Z,2024-03-12T11:44:14Z,1,2,2,1,2,2,4,3803916.620637
32725,[XFileShare] Update for 2024 with new InfoExtractor features ,2002,True,True,2024-03-08T13:03:43Z,2024-03-08T13:03:43Z,5,1,0,6,276,182,458,5452252.620637
28801,[utils] Handle user:pass in URLs,1505,True,True,2024-03-04T01:27:55Z,2024-03-04T01:27:55Z,3,3,5,2,34,1,35,95133497.620637
23877,[utils] Fix handling of comments in js_to_json,1856,True,False,,2023-08-01T00:05:37Z,1,11,25,2,41,9,50,133721546.620637
28446,[utils] Fix handling of comments in js_to_json,2025,True,False,,2024-03-04T00:03:11Z,1,6,5,2,44,10,54,98216029.620637
32514,[caffeine.tv] Add new extractor,1164,True,True,2024-02-22T12:54:08Z,2024-02-22T12:54:08Z,4,2,0,2,80,0,80,21725433.628697
29432,[GBNews]Add new extractor for GB News TV channel,1520,True,True,2024-02-22T12:44:00Z,2024-02-22T12:44:00Z,1,1,2,2,140,0,140,88992347.629118
29343,[downloader/external] fix wget proxy,2432,True,False,,2024-02-21T16:29:09Z,1,3,2,1,4,1,5,89797070.835698
30256,Comment Description YoutubeDL.py,1360,True,False,,2024-02-07T14:19:35Z,1,2,0,1,1,1,2,76468802.835698
31174,[veejoy] Add new extractor,2053,True,False,,2024-01-30T23:17:42Z,17,2,8,2,161,1,162,53275027.835698
31981,[infomaniak] Add new extractor to resolve #31329,837,True,False,,2024-01-27T11:08:42Z,1,2,1,2,69,0,69,33608515.835698
