Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
2081,Bump vite from 5.0.10 to 5.0.12,3035,True,True,2024-01-21T10:46:33Z,2024-01-21T10:46:33Z,0,1,0,1,3,3,6,131905.0
2080,Bump vite from 4.4.9 to 4.5.1,4439,True,False,,2023-12-18T12:17:51Z,0,0,1,1,3,3,6,0
2079,Create 40-seconds-of-code,944,True,False,,2023-11-05T21:16:45Z,0,2,1,1,80,0,80,0
2078,Content updates,0,True,True,2023-11-05T18:19:13Z,2023-11-05T18:19:13Z,0,1,0,5,350,506,856,539.0
2077,Content updates,0,True,True,2023-11-04T16:02:13Z,2023-11-04T16:02:13Z,0,2,1,6,54,36,90,44.0
2072,Content updates ,0,True,True,2023-11-01T21:20:22Z,2023-11-01T21:20:22Z,0,1,0,10,177,162,339,28.0
2020,refactor: modify condition based on es2020,62,True,True,2023-09-29T07:25:52Z,2023-09-29T07:25:52Z,1,2,1,1,2,2,4,148344.0
2048,Bump undici from 5.25.1 to 5.26.3,4299,True,False,,2023-10-31T20:52:36Z,0,1,4,45,563,506,1069,0
2009,Bump qs from 6.5.2 to 6.5.3,3458,True,False,,2023-10-31T20:52:05Z,0,1,2,35,306,366,672,0
2050,Bump @babel/traverse from 7.22.20 to 7.23.2,8444,True,False,,2023-10-31T20:50:27Z,0,2,3,46,574,505,1079,0
2071,"Clean up card actions, icons & styles",0,True,True,2023-10-31T20:34:00Z,2023-10-31T20:34:00Z,0,1,0,33,96,1567,1663,437.0
2070,Content updates,0,True,True,2023-10-29T15:19:40Z,2023-10-29T15:19:40Z,0,1,0,11,96,75,171,90.0
2069,Clean up actions & improve code references,0,True,True,2023-10-29T14:03:52Z,2023-10-29T14:03:52Z,0,1,0,22,83,202,285,6802.0
2037,Create set-bits.md Snippet,145,True,False,,2023-10-24T05:42:44Z,0,2,1,1,33,0,33,0
2066,Prepared queries - Page performance,0,True,True,2023-10-23T09:17:15Z,2023-10-23T09:17:15Z,0,1,0,3,119,1,120,46.0
2067,Content updates & prepared queries housekeeping,0,True,True,2023-10-23T14:28:14Z,2023-10-23T14:28:15Z,0,1,0,10,190,34,224,1749.0
2065,"No more cookies, no more ads",36,True,False,,2023-10-26T14:51:41Z,0,1,0,11,3,277,280,0
2068,Update references,68,True,True,2023-10-26T14:51:40Z,2023-10-26T14:51:40Z,0,1,0,15,10,284,294,70.0
2045,Added method that returns value from nested and untested object,87,True,False,,2023-10-24T07:03:03Z,1,2,0,1,57,0,57,0
2047,This snippets explain  about power of meta tags,105,True,False,,2023-10-24T05:42:25Z,0,2,0,1,17,0,17,0
2059,Add an example to display both local and remote branches,0,True,False,,2023-10-24T05:42:12Z,0,2,0,1,10,1,11,0
2043,Added python median-heap.md Snippet,133,True,False,,2023-10-23T05:33:05Z,0,3,0,1,73,0,73,0
2064,Content updates,0,True,True,2023-10-22T17:47:09Z,2023-10-22T17:47:09Z,0,1,0,8,116,64,180,78.0
2063,Prepared queries enhancements,0,True,True,2023-10-21T19:50:31Z,2023-10-21T19:50:32Z,0,1,0,1,45,22,67,33.0
2058,Add more examples,0,True,True,2023-10-21T04:16:08Z,2023-10-21T04:16:08Z,1,2,0,1,6,0,6,27629.0
2061,Watch mode - Snippets,234,True,True,2023-10-21T17:21:25Z,2023-10-21T17:21:25Z,0,1,0,7,345,142,487,144.0
2062,Content updates,0,True,True,2023-10-21T17:21:10Z,2023-10-21T17:21:10Z,0,1,0,2,6,7,13,78.0
2056,fix git syntax,0,True,True,2023-10-21T04:15:15Z,2023-10-21T04:15:15Z,1,2,0,1,1,1,2,28502.0
2060,fix typo,0,True,True,2023-10-21T04:12:58Z,2023-10-21T04:12:58Z,1,2,0,1,1,1,2,26243.0
2055,Remove authors system,0,True,True,2023-10-20T09:18:07Z,2023-10-20T09:18:07Z,0,1,0,507,4,602,606,61.0
2051,fix the link to git-fast-forward.png and some typo corrections,0,True,False,,2023-10-20T08:32:33Z,0,2,0,1,2,2,4,0
2053,Content updates,0,True,True,2023-10-20T08:32:14Z,2023-10-20T08:32:14Z,0,1,0,61,87,85,172,57.0
2052,Update link to disable-fast-forward.png,0,True,False,,2023-10-20T03:40:18Z,0,1,0,1,1,1,2,0
2046,feat: added python snippet to check is-valid-email,362,True,False,,2023-10-19T20:48:12Z,0,1,0,1,38,0,38,0
2049,Cleaning up grammar in 5-tips-for-better-pull-requests.md,0,True,True,2023-10-19T06:07:15Z,2023-10-19T06:07:15Z,1,2,0,1,1,1,2,41606.0
2044,Content updates,0,True,True,2023-10-11T17:16:03Z,2023-10-11T17:16:04Z,0,1,0,5,76,70,146,30.0
2042,Set up infrastructure for prepared queries,225,True,True,2023-10-11T16:34:58Z,2023-10-11T16:34:59Z,0,1,0,2,102,0,102,269162.0
2041,Content updates,0,True,True,2023-10-08T10:53:41Z,2023-10-08T10:53:41Z,0,1,0,5,75,54,129,18.0
2040,Bump postcss from 8.4.30 to 8.4.31,1985,True,True,2023-10-08T08:47:23Z,2023-10-08T08:47:23Z,1,1,0,1,5,5,10,16959.0
2038,Content updates,0,True,True,2023-10-07T10:46:22Z,2023-10-07T10:46:22Z,0,1,0,11,158,175,333,1313.0
2036,Content updates,0,True,True,2023-10-06T17:17:53Z,2023-10-06T17:17:53Z,0,1,0,21,110,126,236,3526.0
2024,updated variable-hoisting.md,21,True,False,,2023-10-06T06:53:37Z,0,13,1,2052,76007,23,76030,0
2006,Added extract numbers from string in python,108,True,False,,2023-10-06T06:53:37Z,0,13,0,2053,75960,23,75983,0
2003,Add target-sum-in-list,0,True,False,,2023-10-06T06:53:36Z,1,12,1,1859,50516,23,50539,0
1993,snippets/js: set-nested-property-value,0,True,False,,2023-10-06T06:53:35Z,0,11,1,1859,50538,23,50561,0
1987,snippets/js: dynamically-computed-properties-with-proxy,0,True,False,,2023-10-06T06:53:35Z,0,11,1,1859,50536,23,50559,0
1986,snippets/js: asynchronous-iteration-with-for-await...of,0,True,False,,2023-10-06T06:53:34Z,0,11,1,1859,50560,23,50583,0
1985,snippets/js: deep-freeze-object-with-proxies,0,True,False,,2023-10-06T06:53:34Z,0,11,1,1859,50565,23,50588,0
1984,snippets/js: asynchronous-generator-pipeline,0,True,False,,2023-10-06T06:53:33Z,0,11,1,1859,50547,23,50570,0
1983,snippets/js: async promise execution in limited parallelism,0,True,False,,2023-10-06T06:53:32Z,0,11,1,1859,50549,23,50572,0
1982,snippets/js: pagination with infinite scroll,80,True,False,,2023-10-06T06:53:32Z,0,11,1,1859,50558,23,50581,0
2031,Git magic links and some heading updates,0,True,True,2023-10-04T16:27:09Z,2023-10-04T16:27:09Z,0,1,0,8,234,15,249,38.0
2030,Fix/ footer setting path And URL redirection,178,True,True,2023-10-03T13:14:22Z,2023-10-03T13:14:22Z,1,2,3,1,1,1,2,2036.0
2028,Switch to ESM,0,True,True,2023-10-01T11:37:02Z,2023-10-01T11:37:03Z,0,1,0,87,7263,11264,18527,48193.0
2026,Housekeeping (Orion 9.0.0),0,True,True,2023-09-30T17:31:24Z,2023-09-30T17:31:24Z,0,1,0,5,127,54,181,1713.0
2005,new python snippet: adding to middle of stack,0,True,False,,2023-09-29T10:25:14Z,0,2,2,1,35,0,35,0
1971,Created new python snippet for regex code,53,True,False,,2023-09-29T10:41:56Z,0,2,2,1,42,0,42,0
1991,Added a HSLToHexadecimal code snippet,0,True,False,,2023-09-28T06:47:24Z,0,2,2,1,61,0,61,0
1948,I created a new snippet named binary,147,True,False,,2023-09-27T17:35:09Z,0,2,4,1,39,0,39,0
1962,Added new python snippet,0,True,False,,2023-09-29T10:28:54Z,2,3,3,1,21,0,21,0
2001,Added a python snippet to reverse vowels in a string,0,True,False,,2023-09-29T10:27:48Z,0,2,1,1,44,0,44,0
2002,Python ThreadPoolExecutor snippet,455,True,False,,2023-09-29T10:27:02Z,0,2,1,1,54,0,54,0
2004,Added a python snippet to check if a number is an Armstrong number,0,True,False,,2023-09-29T07:44:47Z,2,3,1,1,38,0,38,0
2007,Created python snippets that allow for conversion from Inches to Centimeters and Vice-Versa,0,True,False,,2023-09-29T07:30:44Z,0,2,1,2,43,0,43,0
2000,Added CSS snippet for inline-block elements,0,True,False,,2023-09-29T07:28:51Z,0,2,1,1,44,0,44,0
1996,Added snippet for Javascript notification.,227,True,False,,2023-09-29T07:20:48Z,0,3,3,1,28,0,28,0
1980,Add Random Password Generator Snippet,651,True,False,,2023-09-29T07:09:52Z,0,2,1,1,52,0,52,0
2025,Fix unnecessary parameters in Queue class method and elaborated on explanation,443,True,True,2023-09-28T06:38:11Z,2023-09-28T06:38:11Z,1,2,0,1,3,3,6,13759.0
2018,Added js snippet to generate unique id,45,True,False,,2023-09-27T18:19:57Z,0,3,2,1,25,0,25,0
1973,Create pyramid pattern,66,True,False,,2023-09-27T18:18:24Z,0,2,2,1,40,0,40,0
1955,custom-toast-component-react-snippet added,0,True,False,,2023-09-27T17:36:25Z,0,3,4,1,104,0,104,0
1956,Added audio-in-javascript.md,0,True,False,,2023-09-14T01:08:54Z,0,2,4,2,47,0,47,0
1959,Added snippet for Responsive Image with srcset,85,True,False,,2023-09-06T01:08:56Z,0,2,2,1,27,0,27,0
1961,added new python snipped ,43,True,False,,2023-09-09T01:08:44Z,0,2,2,1,24,0,24,0
1966,find-nth-maximum-distinct method created,83,True,False,,2023-09-17T01:09:10Z,0,2,2,1,39,0,39,0
1957,Add new js snippet,0,True,False,,2023-09-01T01:09:19Z,0,2,2,1,33,0,33,0
1953,Added is-even-bitwise.md,97,True,False,,2023-08-28T12:35:23Z,1,3,2,1,36,0,36,0
1968,Update is-even.md,72,True,False,,2023-09-23T01:08:46Z,0,2,2,1,13,0,13,0
1969,Update is-odd.md,63,True,False,,2023-09-23T01:08:44Z,0,2,2,1,13,0,13,0
1960,Add new snippet in python.,134,True,False,,2023-09-07T01:08:59Z,0,2,2,2,28,0,28,0
1958, added useInputStateHook,146,True,False,,2023-09-02T01:08:44Z,0,2,2,1,22,0,22,0
1963,how-js-code-runs-snippet,47,True,False,,2023-09-14T01:08:52Z,0,2,2,1,65,0,65,0
1967,Update swap-variables.md in python,51,True,False,,2023-09-23T01:08:48Z,0,2,2,1,16,0,16,0
1972,Update throttle-function.md,112,True,False,,2023-09-27T01:09:00Z,0,2,2,1,2,4,6,0
1970,create new snippets to check string is palindrome or not,0,True,False,,2023-09-24T01:09:13Z,0,2,2,1,23,0,23,0
1995,[BUG] Fix Cookie Parsing Bug for Complex Values,714,True,False,,2023-09-27T17:22:37Z,0,2,1,1,6,2,8,0
2017,footer space style fix,54,True,True,2023-09-27T17:13:26Z,2023-09-27T17:13:26Z,1,2,0,1,1,1,2,186726.0
2016,Issue #2015 Fix typo in event loop explanation,202,True,True,2023-09-25T08:38:42Z,2023-09-25T08:38:42Z,1,2,0,1,1,1,2,4281.0
2014,Clean up `dateModified` field,0,True,True,2023-09-24T15:48:12Z,2023-09-24T15:48:12Z,0,1,0,1252,1252,1252,2504,70.0
2013,Update deploy workflows,113,True,True,2023-09-22T20:53:20Z,2023-09-22T20:53:20Z,0,1,0,4,33,33,66,37.0
2011,Delete .DS_STORE,0,True,True,2023-09-22T19:58:25Z,2023-09-22T19:58:25Z,0,1,0,1,0,0,0,23.0
2010,Fix broken GitHub links,0,True,True,2023-09-22T19:56:32Z,2023-09-22T19:56:32Z,0,1,0,1,1,1,2,47.0
2008,Merge web infrastucture and design guidelines,89,True,True,2023-09-22T19:49:23Z,2023-09-22T19:49:23Z,0,1,1,2047,25455,16,25471,1838.0
1981,I have added a snippet for conversion from Decimal to Binary,86,True,False,,2023-09-19T09:50:31Z,0,1,0,1,40,0,40,0
1997,Catch errors and try again,63,True,False,,2023-09-05T14:21:51Z,0,1,0,1,42,0,42,0
1999,fixes typo,18,True,True,2023-09-03T18:39:15Z,2023-09-03T18:39:15Z,1,2,0,2,2,2,4,1316.0
1998,Merge pull request #1 from 30-seconds/master,3,True,False,,2023-09-02T11:41:48Z,0,1,0,0,0,0,0,0
1979,"Minor grammar, spelling and wording fixes.",39,True,False,,2023-08-17T14:00:23Z,0,2,0,1,7,6,13,0
1975,Update README.md . Block quote not matching 30secondsofcode website's heading.,280,True,True,2023-08-16T06:48:56Z,2023-08-16T06:48:56Z,1,2,0,1,1,1,2,315847.0
1942,Git storify (3),0,True,True,2023-05-25T21:03:46Z,2023-05-25T21:03:46Z,0,1,0,7,85,83,168,50.0
1952,Combine take and take-right,20,True,True,2023-07-09T05:32:23Z,2023-07-09T05:32:23Z,0,1,0,4,76,48,124,2023012.0
