Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
26115,GitHub被墙,353,True,False,,2024-02-20T13:37:39Z,0,8,11,0,0,0,0,0
26097,996危害,9,True,False,,2023-06-16T19:09:26Z,0,5,3,1,4,0,4,0
26096,追加黑名单,0,True,False,,2023-06-16T06:59:00Z,0,3,3,1,1,0,1,0
26103,No title,0,True,False,,2023-06-16T19:11:50Z,0,6,4,1,1,1,2,0
26120,Fix/some minor typos,0,True,False,,2024-02-22T13:47:20Z,0,1,0,3,3,3,6,0
26119,Fix/some minor typos,0,True,False,,2024-02-22T13:15:32Z,0,2,0,3,3,3,6,0
26116,Update mutual_help.md,45,True,False,,2024-02-21T06:27:46Z,0,1,0,1,2,0,2,0
26117,Update README.md,60,True,False,,2024-02-21T06:27:53Z,0,1,0,1,1,1,2,0
26114,fix small 'h' in Github,47,True,True,2024-02-20T13:38:26Z,2024-02-20T13:38:26Z,0,6,4,1,1,1,2,5954717.0
26110,声援程渊， 声援编程随想阮晓寰， 普及翻墙， 拆墙运动 - 编程随想最新软件同步密码 - 李老师不是你老师推文离线PDF版,250,True,False,,2023-06-16T19:12:43Z,0,14,12,1,14,0,14,0
26111,理清思路，逻辑思考。,475,True,False,,2023-06-16T19:12:56Z,0,9,10,1,32,0,32,0
26113,add 信安世纪,0,True,True,2023-10-17T06:56:30Z,2023-10-17T06:56:30Z,0,3,1,1,2,1,3,174637.0
26109,我们必须关注程渊,0,True,False,,2023-06-16T05:13:47Z,0,2,1,1,1,0,1,0
26101,这是996.ICU项目发起人程渊的判决书,1337,True,False,,2023-06-16T19:10:20Z,0,179,358,1,1,1,2,0
24891,360这是要作死吗,9,True,False,,2019-04-05T16:40:34Z,0,363,613,1,1,1,2,0
26112,Replace broken link with archived version,137,True,True,2023-10-17T06:55:11Z,2023-10-17T06:55:11Z,0,5,3,1,1,1,2,1318093.0
26108,996 与长沙公益仨被控颠覆国家案始末——我是程渊妻子，我上Github了,28,True,False,,2023-06-16T19:12:33Z,0,32,33,1,1,1,2,0
26106,【辟谣】程渊就是为民请命被捉的，管他是哪个项目的发起人。马列就是最大的境外势力，请马列自己定罪自己。,0,True,False,,2023-06-16T19:12:19Z,0,9,30,1,0,1,1,0
26105,【辟谣】程渊不是996.ICU项目发起人，定罪原因也是涉及到十几万美元的境外资金,840,True,False,,2023-06-16T19:12:05Z,1,27,38,1,1,1,2,0
26104,声援程渊， 声援编程随想阮晓寰， 普及翻墙， 拆墙运动 - 李老师不是你老师推文离线PDF版,241,True,False,,2023-06-16T19:11:32Z,0,10,8,1,8,0,8,0
26102,程渊是子项目 action 和 law 的发起人，而非整个项目发起人,391,True,False,,2023-06-16T19:10:29Z,0,6,4,1,1,1,2,0
26100,baidu10115,40,True,False,,2023-06-16T19:09:54Z,0,2,0,1,1,0,1,0
26099,Update README.md,5,True,False,,2023-06-16T19:09:46Z,0,6,4,1,2,0,2,0
26098,Update mutual_help.md,0,True,False,,2023-06-16T19:09:35Z,0,2,0,1,2,0,2,0
26095,Every fighter deserve a badge!,173,True,False,,2023-06-16T19:09:17Z,1,3,0,1,10,0,10,0
26094,新增鱼快创领,25,True,False,,2023-06-16T19:09:09Z,0,3,1,1,1,0,1,0
