Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
7103,jihun2 entering the arena,640,True,False,,2024-04-24T13:54:06Z,1,3,3,1,6,0,6,0
7101,hh entering the arena,1556,True,False,,2024-04-24T07:57:19Z,1,2,3,1,6,0,6,0
3572,Add environment variable WORKSPACE_PATH,1142,True,False,,2023-07-01T04:45:16Z,3,6,7,3,11,11,22,0
7100,CodeHelper entering the arena,1560,True,False,,2024-04-24T01:09:23Z,1,2,3,1,6,0,6,0
7054,feat(agent): Component-based Agents,1185,True,True,2024-04-22T17:20:02Z,2024-04-22T17:20:02Z,100,6,10,71,3230,3215,6445,2273620.0
7098,Add all the new component docs to the site and do a tidy up of docs,1035,True,True,2024-04-23T13:49:07Z,2024-04-23T13:49:07Z,1,2,2,18,159,92,251,55524.0
7022,Fix #7003 by updating ONNXRuntime,692,True,True,2024-04-23T10:35:57Z,2024-04-23T10:35:57Z,1,2,13,2,54,52,106,3213345.0
7099,fix(agent): Support OpenAI Project API keys,709,True,True,2024-04-23T10:29:12Z,2024-04-23T10:29:12Z,1,2,2,1,1,1,2,16432.0
7096,fix(agent): Logging hotfix,11,True,True,2024-04-22T18:24:11Z,2024-04-22T18:24:11Z,1,3,2,1,3,4,7,63.0
6796,Dona entering the arena,1566,True,False,,2024-04-23T08:27:19Z,0,3,3,55,10471,0,10471,0
6837,Arena submission travelling agent,640,True,False,,2024-04-23T08:26:54Z,0,3,2,57,10475,4,10479,0
6771,Arena submission sniper,640,True,False,,2024-04-23T08:26:14Z,0,3,2,1,6,0,6,0
6761,eval_bot entering the arena,1562,True,False,,2024-04-23T08:25:48Z,0,3,2,1,6,0,6,0
5723,First Stats Report,1384,True,False,,2024-04-23T08:25:03Z,0,2,15,19,15413,25,15438,0
6859,stock_analyst2 entering the arena,1569,True,False,,2024-04-23T08:24:05Z,0,3,2,1,6,0,6,0
6872,akraagpt entering the arena,1564,True,False,,2024-04-23T08:23:20Z,0,3,2,2,12,0,12,0
6882,SwiftyosAgent entering the arena,1566,True,False,,2024-04-23T08:22:57Z,0,3,3,217,41958,0,41958,0
6856,stock_analyst entering the arena,1568,True,False,,2024-04-23T08:22:43Z,0,3,4,69,10529,363,10892,0
6986,Add arena entry for jervis,640,True,False,,2024-04-23T08:21:49Z,2,2,3,1,6,0,6,0
7053,IdeaAgent entering the arena,1575,True,False,,2024-04-23T08:21:15Z,1,2,2,1,6,0,6,0
7081,Jeff_AutoGPT entering the arena,1571,True,False,,2024-04-23T08:17:16Z,1,2,2,1,6,0,6,0
7077,HelloAgent entering the arena,1562,True,False,,2024-04-23T08:17:13Z,1,2,2,1,6,0,6,0
7076,NODE_WIZARD_ASSISTENT entering the arena,640,True,False,,2024-04-23T08:17:09Z,1,2,2,1,6,0,6,0
7062,rogergpt entering the arena,640,True,False,,2024-04-23T08:17:06Z,1,2,3,1,6,0,6,0
7061,myGptAgent entering the arena,1568,True,False,,2024-04-23T08:17:04Z,1,2,2,1,6,0,6,0
7060,GameAgent entering the arena,1569,True,False,,2024-04-23T08:17:00Z,1,2,2,1,6,0,6,0
7058,atd2024 entering the arena,1566,True,False,,2024-04-23T08:16:57Z,1,2,2,1,6,0,6,0
7057,researchai entering the arena,1566,True,False,,2024-04-23T08:16:53Z,1,2,2,1,6,0,6,0
7056,zhaoyu entering the arena,1572,True,False,,2024-04-23T08:16:49Z,1,2,2,1,6,0,6,0
7052,mapigo entering the arena,1401,True,False,,2024-04-23T08:16:43Z,1,2,2,1,6,0,6,0
7050,Jungwoo entering the arena,640,True,False,,2024-04-23T08:16:39Z,1,2,2,1,6,0,6,0
7049,evo.ninja entering the arena,1561,True,False,,2024-04-23T08:16:36Z,1,2,2,1,6,0,6,0
7048,sendmail entering the arena,1573,True,False,,2024-04-23T08:16:33Z,1,3,2,1,6,0,6,0
7042,test_agent_1 entering the arena,1563,True,False,,2024-04-23T08:16:29Z,1,2,2,1,6,0,6,0
7038,AndresFirstAgent entering the arena,1579,True,False,,2024-04-23T08:16:25Z,1,2,2,1,6,0,6,0
7034,Tiger entering the arena,640,True,False,,2024-04-23T08:16:22Z,1,3,2,1,6,0,6,0
7033,GeneralRJ entering the arena,1562,True,False,,2024-04-23T08:16:19Z,1,2,2,1,6,0,6,0
7031,Eva entering the arena,1557,True,False,,2024-04-23T08:16:16Z,1,2,2,1,6,0,6,0
