Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
28017,🚧 POC for PowerOCR dpi awareness issues,744,True,False,,2023-10-04T16:15:41Z,0,2,5,42,2212,320,2532,0
28380,Ready for review - [MouseJump] Long lived background exe,3982,True,True,2023-10-11T14:58:19Z,2023-10-11T14:58:20Z,2,3,8,10,359,73,432,3102419.0
31055,Unify PCH usage,663,True,True,2024-03-22T10:29:14Z,2024-03-22T10:29:14Z,6,3,9,86,95,250,345,5392453.0
32217,[Caching] Allow file accesses under windir,568,True,True,2024-04-09T18:53:24Z,2024-04-09T18:53:24Z,4,3,0,1,1,0,1,503723.0
32606,Enable caching in CI pipeline,109,True,False,,2024-04-24T21:50:10Z,0,2,6,1,6,1,7,0
32608,Enable caching in CI pipeline,109,True,True,2024-04-25T14:47:12Z,2024-04-25T14:47:12Z,1,2,0,1,6,1,7,61035.0
32592,[FZ Editor][Accessibility] Make sure ToggleSwitch do not react on Enter,901,True,False,,2024-04-25T12:52:29Z,1,2,1,2,11,1,12,0
32559,[Monaco]Add option to set font size,708,True,True,2024-04-24T12:17:29Z,2024-04-24T12:17:29Z,4,4,3,14,109,4,113,268703.0
32562,[PTRun][Calculator] Don't Calculate Value of tan(npi/2) for all odd n since undefined,67,True,False,,2024-04-23T15:02:38Z,2,3,4,2,21,0,21,0
32573,[ImageResizer][Accessibility] Fix combo box text color,887,True,True,2024-04-23T14:43:22Z,2024-04-23T14:43:22Z,5,4,5,1,2,5,7,100818.0
32582,[ColorPicker] Settings accessibility fixes,1227,True,True,2024-04-23T14:36:12Z,2024-04-23T14:36:12Z,1,3,0,4,21,6,27,61639.0
32588,[ColorPicker][Accessibility] Make OpenSettings and Copy to clipboard …,859,True,True,2024-04-23T14:15:10Z,2024-04-23T14:15:10Z,1,2,0,2,2,3,5,10683.0
32578,[FZ Editor][Accessibility] List keyboard shortcuts in CanvasEditorWindow,849,True,True,2024-04-23T13:57:34Z,2024-04-23T13:57:34Z,8,6,6,4,97,76,173,78997.0
32579,[Settings][Accessibility] Assign AutomationProperties.Name to Backup …,757,True,True,2024-04-23T13:56:14Z,2024-04-23T13:56:14Z,1,3,0,2,8,1,9,68644.0
32577,Add comment to clarify logic,103,True,True,2024-04-23T13:14:25Z,2024-04-23T13:14:25Z,2,3,0,1,3,0,3,76529.0
32555,Enable anti-aliasing for AlwaysOnTop frame rendering,1249,True,True,2024-04-23T12:47:25Z,2024-04-23T12:47:25Z,1,2,0,1,1,1,2,217881.0
32311,[ImageResize] Narrator announcing sizes ComboBox and CheckBoxes,1149,True,True,2024-04-16T10:33:00Z,2024-04-16T10:33:00Z,2,3,0,5,54,5,59,764800.0
32428,[Run][Program] Update icons for MSIX packages on package update,889,True,True,2024-04-22T20:59:01Z,2024-04-22T20:59:01Z,3,3,2,1,54,28,82,885209.0
32427,[Keyboard Manager] Expand environment variables in program arguments,1154,True,True,2024-04-22T20:43:43Z,2024-04-22T20:43:43Z,1,2,0,1,8,5,13,886549.0
32561,[PTRun][Calculator] Calculate sin/cos to get tan and return not defined if cos is 0,60,True,False,,2024-04-21T15:54:56Z,0,1,1,1,50,1,51,0
31655,[PTRun][Docs] Updated Third party plugins to include 1Password,96,True,True,2024-04-19T23:40:22Z,2024-04-19T23:40:22Z,6,3,5,2,3,1,4,4237287.0
32487,[KeyboardManager] editors: change focus after adding a new key/shortcut row in the editor,832,True,True,2024-04-19T13:55:23Z,2024-04-19T13:55:23Z,1,2,0,4,34,16,50,197152.0
32410,Update Monaco dependency to 0.47,898,True,True,2024-04-19T13:09:46Z,2024-04-19T13:09:47Z,2,3,4,128,835,877,1712,682999.0
32400,[PowerRename] fix regex help,740,True,True,2024-04-18T15:10:57Z,2024-04-18T15:10:57Z,3,5,0,1,2,2,4,614830.0
32351,"""Launch"" versus ""open"" and ""go to""",596,True,False,,2024-04-18T13:04:28Z,2,3,5,119,321,334,655,0
