Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
993,Update 02.语言元素.md,15,True,False,,2024-04-22T03:41:28Z,0,1,0,1,2,2,4,0
687,格式化代码【format code】,17,True,False,,2024-04-09T10:49:23Z,0,1,1,2,8,17,25,0
1018,Bourbon,0,True,False,,2024-03-24T01:27:20Z,0,1,0,3,20,0,20,0
877,Update 08.面向对象编程基础.md,56,True,False,,2024-03-12T08:03:07Z,0,1,1,1,3,1,4,0
999,Converted the Readme.md file to English,0,True,False,,2024-01-10T15:04:32Z,0,2,1,1,444,444,888,0
153,Update Python语言进阶.md,32,True,False,,2023-12-09T11:30:33Z,0,1,0,1,4,5,9,0
521,修复按位或赋值运算符与markdown语法冲突的小错误,22,True,False,,2023-12-08T02:00:51Z,0,1,0,1,1,1,2,0
774,Update 42.深入模型.md 增加测试传参注释,17,True,False,,2023-11-09T15:02:16Z,0,2,1,1,2,0,2,0
942,type fix,0,True,True,2023-10-30T05:39:15Z,2023-10-30T05:39:15Z,0,2,0,0,0,0,0,27743939.0
981,Update 16-20.Python语言进阶.md,11,True,False,,2023-10-23T07:27:57Z,0,16,15,1,2,3,5,0
990,Create attacks.py,0,True,False,,2023-10-17T03:53:31Z,0,1,0,1,55,0,55,0
867,"修改""06.函数和模块的使用.md""缺字",65,True,False,,2023-10-10T08:47:46Z,0,1,0,1,1,1,2,0
935,Update 16-20.Python语言进阶.md,69,True,False,,2023-06-22T12:16:11Z,0,1,0,1,3,1,4,0
835,获取最新,0,True,False,,2023-06-11T16:58:59Z,0,17,16,0,0,0,0,0
963,Update 14.网络编程入门和网络应用开发.md,0,True,False,,2023-05-10T14:18:02Z,0,1,0,1,2,2,4,0
175,Update 字符串和常用数据结构.md,0,True,False,,2023-04-15T12:25:25Z,0,1,0,1,2,3,5,0
604,Update 100.Python面试题集.md,14,True,False,,2023-04-12T09:11:53Z,0,1,1,1,2,2,4,0
901,修改目录,16,True,False,,2023-04-06T06:55:05Z,0,1,0,1,1,1,2,0
962,Update 14.网络编程入门和网络应用开发.md,0,True,False,,2023-04-03T07:56:36Z,0,1,0,1,2,2,4,0
960,1,1,True,False,,2023-03-16T10:11:52Z,0,1,0,12,8111,0,8111,0
859,Bump ipython from 7.13.0 to 7.16.3 in /公开课/文档/年薪50W+的Python程序员如何写代码/code/Python/opencourse,2357,True,False,,2023-02-10T22:47:53Z,0,0,1,1,1,1,2,0
550,Update 07.字符串和常用数据结构.md,151,True,False,,2023-01-28T07:29:20Z,0,1,0,1,2,1,3,0
197,20190614从原作者处更新,15,True,False,,2023-01-23T01:56:13Z,0,2,2,0,0,0,0,0
947,Create python,0,True,False,,2023-01-13T10:18:31Z,0,14,13,1,1,0,1,0
357,add wiki link for Fibonacci number,90,True,False,,2022-11-23T11:39:07Z,0,1,0,1,1,1,2,0
564,修复图片显示问题,72,True,False,,2022-09-25T14:22:17Z,0,2,1,0,0,0,0,0
929,update,6,True,False,,2022-10-11T02:40:30Z,0,1,0,0,0,0,0,0
928,为不懂中文的人添加英文README,0,True,False,,2022-10-09T01:11:44Z,0,2,0,26,3787,0,3787,0
668,Merge pull request #1 from jackfrued/master,11,True,False,,2022-09-07T00:50:59Z,0,1,1,0,0,0,0,0
918,Merge pull request #1 from jackfrued/master,2,True,False,,2022-08-31T05:15:56Z,0,1,0,0,0,0,0,0
882,Fix some typos.,0,True,False,,2022-08-18T16:32:24Z,0,1,0,3,4,4,8,0
902,markdown|的显示上的修改,66,True,False,,2022-07-28T12:11:02Z,0,1,0,1,2,2,4,0
903,修改变量未定义,0,True,False,,2022-07-24T02:18:22Z,0,1,0,1,1,1,2,0
284,Update 11.文件和异常.md,10,True,False,,2022-07-07T07:20:35Z,0,1,0,1,3,3,6,0
844,Bump lxml from 4.5.0 to 4.6.5 in /公开课/文档/年薪50W+的Python程序员如何写代码/code/Python/opencourse,3579,True,False,,2022-07-06T20:57:28Z,0,0,1,1,1,1,2,0
811,Update 02.语言元素.md,18,True,False,,2022-07-01T09:28:48Z,0,1,0,1,2,2,4,0
858,重新修改五角星画法，五角星不再出现空心,20,True,False,,2022-07-01T06:23:49Z,0,1,0,1,8,12,20,0
896,Cyc,13,True,False,,2022-07-01T01:11:15Z,0,1,0,12,82,23,105,0
294,Update README.md,0,True,False,,2022-06-15T09:05:39Z,0,16,15,1,1,2,3,0
186,Update example23.py,7,True,False,,2022-05-09T14:46:05Z,0,1,0,1,1,1,2,0
742,"fix:Repair the link of ""Python编程惯例"" in README.md.",63,True,False,,2022-04-30T12:46:55Z,0,0,0,1,1,1,2,0
883,add,18,True,False,,2022-04-24T01:57:16Z,0,2,1,1,1,0,1,0
379,Update 100.Python面试题集.md,14,True,False,,2022-04-21T14:59:45Z,0,1,0,1,960,75,1035,0
873,Switch to gender neutral terms,409,True,False,,2022-03-31T15:53:10Z,0,1,0,2,3,3,6,0
773,Merge pull request #1 from jackfrued/master,16,True,False,,2022-03-14T06:39:29Z,0,1,0,0,0,0,0,0
855,update forks,12,True,False,,2022-01-17T02:24:02Z,0,1,1,0,0,0,0,0
767,Bump lxml from 4.5.0 to 4.6.3 in /公开课/文档/年薪50W+的Python程序员如何写代码/code/Python/opencourse,3634,True,False,,2021-12-13T20:49:16Z,0,0,1,1,1,1,2,0
842,Update 61.网络爬虫和相关工具.md,0,True,False,,2021-12-10T06:06:28Z,0,1,0,1,1,1,2,0
285,Merge pull request #1 from jackfrued/master,4,True,False,,2021-11-17T12:04:43Z,0,1,0,0,0,0,0,0
825,Be editing,0,True,False,,2021-10-27T01:39:53Z,0,1,0,7,634,3,637,0
823,Test,0,True,False,,2021-10-25T02:01:29Z,0,1,0,7,371,3,374,0
818,Test,32,True,False,,2021-10-14T01:23:17Z,0,1,0,4,225,3,228,0
810,Merge branch 'master' of https://github.com/jackfrued/Python-100-Days,0,True,False,,2021-09-17T03:17:52Z,0,1,0,2,2,0,2,0
799,Update 01.初识Python.md,6,True,False,,2021-07-19T05:22:40Z,0,1,0,1,1,1,2,0
787,Merge pull request #1 from jackfrued/master,54,True,False,,2021-06-01T19:10:29Z,0,1,0,0,0,0,0,0
728,Bump lxml from 4.5.0 to 4.6.2 in /公开课/文档/年薪50W+的Python程序员如何写代码/code/Python/opencourse,3794,True,False,,2021-03-31T20:10:54Z,0,0,1,1,1,1,2,0
732,Open a pull request,19,True,False,,2021-01-12T01:51:54Z,0,1,1,0,0,0,0,0
238,修改几个小问题,33,True,False,,2021-01-06T08:39:50Z,0,1,1,2,5,6,11,0
727,Pull,0,True,False,,2021-01-05T03:17:11Z,0,1,0,0,0,0,0,0
