Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
1858,Feature/a,0,True,False,,2024-01-24T09:48:21Z,0,1,0,1,1,65,66,0
1857,"Ch3 ""Objects-Classes"" getX() should return 3, not 21",922,True,False,,2024-01-12T22:47:04Z,0,2,1,1,37,17,54,0
1856,Typo fix for lessThen method,816,True,True,2023-12-26T20:46:57Z,2023-12-26T20:46:57Z,0,2,1,1,1,1,2,2434.0
1852,change 2ed-zh-CN CONTRIBUTING link to Chinese version,53,True,True,2023-11-24T02:16:45Z,2023-11-24T02:16:45Z,0,4,0,1,1,1,2,30.0
1851,"Complete the Chinese translation of ""get-started"" and ""scope-closures""",72,True,True,2023-11-24T02:06:53Z,2023-11-24T02:06:54Z,0,4,0,32,2492,2637,5129,22.0
1843,"Reordering of ""Why Closure?"" and ""An Alternative Perspective"" in the toc",912,True,True,2023-11-23T16:54:46Z,2023-11-23T16:54:46Z,0,2,1,1,1,1,2,4717519.0
1850,added comma to prevent syntax error in code snippet,1732,True,True,2023-11-23T01:58:54Z,2023-11-23T01:58:54Z,0,3,2,1,1,1,2,67124.0
1846,5-base proposition numenclature,773,True,False,,2023-10-20T18:39:21Z,0,3,2,1,1,1,2,0
1836,Fixed spelling errors within documentation,182,True,True,2023-07-18T21:51:23Z,2023-07-18T21:51:23Z,0,2,2,9,35,35,70,86801.0
1834,remove annoying prompts ,13,True,False,,2023-07-12T10:05:10Z,0,24,0,66,8299,8373,16672,0
1820,Update foreword.md,663,True,True,2023-07-12T10:01:37Z,2023-07-12T10:01:37Z,2,3,0,1,1,1,2,14018726.0
1833,Try to remove annoying prompts,112,True,False,,2023-07-07T06:21:13Z,0,23,0,66,8299,8373,16672,0
1746,typo,0,True,True,2023-07-07T05:50:33Z,2023-07-07T05:50:33Z,1,3,0,1,1,1,2,63146852.0
1832,Add simplified Chinese translation to the 2ed book 1 'Get Started',684,True,True,2023-07-07T03:57:40Z,2023-07-07T03:57:40Z,0,2,0,10,1038,1083,2121,8485.0
1830,Code fix,752,True,False,,2023-06-11T10:45:51Z,0,2,1,1,1,1,2,0
1829,Update foreword.md,663,True,False,,2023-06-06T14:14:34Z,0,1,0,1,1,1,2,0
1827,asdasdas ,26,True,False,,2023-05-12T14:49:30Z,0,19,0,166,18189,31699,49888,0
1824,Update ch3.md,373,True,False,,2023-03-24T08:38:02Z,0,2,4,1,1,1,2,0
1823,Update ch1.md,681,True,False,,2023-03-15T09:41:08Z,1,2,0,1,4,3,7,0
1822,typo - coeced -> coerced,663,True,False,,2023-03-02T17:55:16Z,0,1,0,1,1,1,2,0
1808,fix typos,234,True,True,2022-10-23T13:09:44Z,2022-10-23T13:09:44Z,1,4,1,11,17,17,34,3485604.0
1821,update,663,True,False,,2023-02-06T04:08:54Z,0,1,1,0,0,0,0,0
1819,2nd-ed,673,True,False,,2023-01-29T16:26:21Z,0,2,0,94,118,31726,31844,0
1815,1st edition,663,True,False,,2023-01-05T06:16:38Z,0,2,0,14,67,120,187,0
603,Add: note about type names,83,True,False,,2022-11-14T09:18:29Z,0,2,5,1,2,0,2,0
1811,fix(typo): add missing 'var' to code snippet,1116,True,False,,2022-10-25T20:37:26Z,0,2,1,1,1,1,2,0
1191,"Avoid use of ""obviously"" in Types & Grammar intro",339,True,False,,2022-10-23T04:00:54Z,0,2,1,1,1,1,2,0
1807,Update ch1.md,757,True,False,,2022-09-11T13:24:44Z,0,2,1,1,1,1,2,0
1806,Added bigint example in value type determination,137,True,False,,2022-09-07T19:29:50Z,0,2,1,1,1,0,1,0
1805,Update ch1.md,150,True,True,2022-09-06T12:14:01Z,2022-09-06T12:14:01Z,0,2,1,1,1,1,2,12249.0
1803,Correct 'forwards' to 'backwards',247,True,False,,2022-08-31T14:18:51Z,0,4,7,1,1,1,2,0
1802,fix: word redundancy,817,True,True,2022-08-24T04:51:59Z,2022-08-24T04:51:59Z,0,2,1,1,1,1,2,1029.0
1798,Add foreward for Objects & Classes,100,True,True,2022-08-08T19:17:22Z,2022-08-08T19:17:22Z,0,2,0,1,13,3,16,865464.0
1796,changing repititive wording,87,True,False,,2022-07-16T17:24:47Z,0,2,1,1,1,1,2,0
1794,Update ch4.md,732,True,False,,2022-05-20T06:39:00Z,0,2,4,1,1,1,2,0
1788,Appendix B - Modules,2,True,False,,2022-03-23T03:01:55Z,0,4,1,10,1199,1197,2396,0
1785,fix function capitalization in apA.md,567,True,True,2022-03-09T22:02:21Z,2022-03-09T22:02:21Z,0,2,0,1,6,6,12,7010.0
1778,Fix typo,663,True,False,,2022-01-30T20:40:34Z,0,1,0,1,1,1,2,0
1777,Object.entries(myObj) typo,359,True,True,2022-01-26T15:07:23Z,2022-01-26T15:07:23Z,0,2,0,1,1,1,2,10829.0
1775,Update ch2.md,663,True,False,,2022-01-09T02:47:39Z,0,2,1,1,5,4,9,0
1772,fix: statement for Map keys,867,True,False,,2021-12-28T08:29:14Z,0,1,0,1,1,1,2,0
1771,Statement clarification to make it more complete,778,True,False,,2021-12-28T08:22:18Z,0,1,0,1,1,1,2,0
