Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
55033,"Revert ""fix(http): exclude caching for authenticated HTTP requests (#54746)""",43,True,False,,2024-03-26T16:16:39Z,1,3,3,2,1,20,21,0
54805,Fix devtools iframe backend ready bug,771,True,False,,2024-03-26T16:19:21Z,10,4,2,45,2029,518,2547,0
54854,feat(core): add support for fallback content in ng-content,784,True,False,,2024-03-26T16:18:02Z,6,4,2,31,1049,99,1148,0
54925,Improve API documentation in angular.dev for new signal APIs,272,True,False,,2024-03-26T16:17:24Z,7,7,5,22,801,791,1592,0
55035,fix(language-service): allow external projects to use provided compiler options,405,True,False,,2024-03-26T16:15:46Z,5,4,2,1,10,6,16,0
55045,fix(compiler): throw error if item name and context variables conflict,245,True,False,,2024-03-26T16:10:09Z,2,4,4,2,28,3,31,0
54885,Docs updates ,0,True,False,,2024-03-26T04:38:31Z,2,3,2,66,143,792,935,0
54899,refactor(common): request low quality placeholder images,123,True,False,,2024-03-25T18:17:38Z,5,4,3,7,92,2,94,0
54912,Devtools fixes ,36,True,False,,2024-04-25T21:57:28Z,4,5,3,4,68,46,114,0
55517,refactor(core): Update event_replay_spec to more match production code.,866,True,False,,2024-04-25T21:58:15Z,19,5,1,2,30,11,41,0
55403,refactor(core): Do not duplicate change detection with run coalescing (part 2),455,True,False,,2024-04-25T21:31:21Z,1,4,3,2,59,15,74,0
55368,docs: update v0 render to v17,947,True,False,,2024-04-17T06:01:29Z,1,3,1,1,3,1,4,0
55530,refactor(core): set up framework injector profile exclusively in browser environment,243,True,False,,2024-04-25T19:53:29Z,1,2,1,1,5,1,6,0
55355,refactor(core): Add schematics to opt-out of the`Intl` based implemen…,394,True,False,,2024-04-25T19:57:19Z,1,2,1,8,355,0,355,0
55536,docs: Update what-is-angular.md,0,True,False,,2024-04-25T19:52:39Z,2,3,1,1,7,8,15,0
55489,docs: Update di-in-action.md,0,True,False,,2024-04-25T19:55:20Z,2,3,1,1,7,8,15,0
55525,refactor(core): Omit listeners from out-of-zone scheduling when using…,1388,True,False,,2024-04-25T19:56:40Z,1,2,2,15,140,27,167,0
55532,refactor(common): increment test coverage,105,True,False,,2024-04-25T19:50:49Z,1,2,1,5,76,6,82,0
55519,docs: fix the file naming for the NG05000 error,0,True,False,,2024-04-25T19:50:00Z,3,4,2,3,4,4,8,0
55500,docs: Add some zoneless documentation,42,True,False,,2024-04-25T19:49:19Z,2,5,4,1,106,0,106,0
55497,refactor(core): Remove A11Y_SUPPORT_IN_DISPATCHER behavior.,1060,True,False,,2024-04-25T17:58:02Z,6,4,2,8,34,489,523,0
54574,fix(docs-infra): add cookie consent gtag event default state,986,True,False,,2024-04-25T15:53:09Z,9,4,7,2,21,2,23,0
55540,docs: update Angular CLI help [17.3.x],34,True,False,,2024-04-25T16:39:08Z,0,2,0,11,14,14,28,0
55527,build: make scripts for compatibility with Node.js 18.20+,216,True,False,,2024-04-25T15:48:48Z,2,4,1,12,296,79,375,0
55490,docs: Update lightweight-injection-tokens.md,0,True,False,,2024-04-25T15:55:49Z,1,4,1,1,15,15,30,0
