Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
1606,postcss-header v3.0.2,44,True,False,,2024-04-24T18:22:33Z,1,3,1,1,1,1,2,0
1773,Bump eslint from 7.32.0 to 9.1.1,8260,True,False,,2024-04-24T18:05:23Z,0,1,1,2,250,331,581,0
1771,Bump postcss-preset-env from 6.7.0 to 9.5.9,2813,True,False,,2024-04-24T18:05:23Z,0,1,1,2,581,366,947,0
1770,Bump eslint from 7.32.0 to 9.1.0,8873,True,False,,2024-04-23T19:23:18Z,0,0,1,2,250,331,581,0
1752,add copy button,57,True,False,,2024-04-20T09:58:21Z,0,3,2,3,515,21,536,0
1760,increased opacity of copy icon,0,True,False,,2024-04-20T09:57:42Z,0,2,1,2,12,1,13,0
1764,Opacity has been increased,108,True,False,,2024-04-20T09:56:48Z,0,2,1,1,2,2,4,0
1765,Improve Visibility and Design of Class Copy Button #1748,786,True,False,,2024-04-20T09:55:12Z,0,2,1,1,4,1,5,0
1768,smooth copy btn transition added,124,True,False,,2024-04-20T09:53:54Z,0,2,1,1,5,5,10,0
1766,Bump eslint from 7.32.0 to 9.0.0,9831,True,False,,2024-04-20T09:50:16Z,0,1,1,2,250,331,581,0
1759,Bump autoprefixer from 10.4.7 to 10.4.19,3802,True,False,,2024-04-20T09:50:16Z,0,1,1,2,41,34,75,0
1758,Bump postcss from 8.4.14 to 8.4.38,4358,True,False,,2024-04-20T09:50:15Z,0,1,1,2,15,15,30,0
1757,Bump postcss-import from 14.0.2 to 16.1.0,3123,True,False,,2024-04-20T09:50:15Z,0,1,1,2,5,5,10,0
1755,Bump markdown-it from 12.3.2 to 14.1.0,3632,True,False,,2024-04-20T09:50:15Z,0,1,1,2,34,23,57,0
1769,Bump postcss-preset-env from 6.7.0 to 9.5.6,3350,True,False,,2024-04-20T09:49:53Z,0,1,1,2,580,365,945,0
1767,Bump postcss-preset-env from 6.7.0 to 9.5.5,3573,True,False,,2024-04-18T19:17:38Z,0,0,1,2,580,365,945,0
1763,Bump postcss-preset-env from 6.7.0 to 9.5.4,3645,True,False,,2024-04-11T19:29:07Z,0,0,1,2,580,365,945,0
1762,Bump postcss-preset-env from 6.7.0 to 9.5.3,3953,True,False,,2024-04-02T19:32:49Z,0,0,1,2,580,365,945,0
1753,Bump postcss-preset-env from 6.7.0 to 9.5.2,3936,True,False,,2024-04-01T19:02:41Z,0,0,1,2,580,365,945,0
1756,Bump postcss from 8.4.14 to 8.4.37,4257,True,False,,2024-03-21T19:59:35Z,0,0,1,2,15,15,30,0
1754,Bump postcss from 8.4.14 to 8.4.36,4281,True,False,,2024-03-19T19:24:27Z,0,0,1,2,15,15,30,0
1749,Bump postcss-preset-env from 6.7.0 to 9.5.1,3997,True,False,,2024-03-18T20:00:52Z,0,0,1,2,580,365,945,0
1751,add copy button on important code ,98,True,False,,2024-03-14T13:13:34Z,0,1,0,3,515,21,536,0
1680,Update example in index.html,183,True,False,,2024-03-13T11:05:41Z,1,3,0,1,2,2,4,0
1747,Bump postcss-preset-env from 6.7.0 to 9.5.0,4235,True,False,,2024-03-13T11:05:13Z,0,1,1,2,580,365,945,0
1746,Bump husky from 7.0.4 to 9.0.11,3696,True,False,,2024-03-13T11:05:12Z,0,1,1,2,5,5,10,0
1745,Bump autoprefixer from 10.4.7 to 10.4.18,3602,True,False,,2024-03-13T11:05:12Z,0,1,1,2,41,34,75,0
1743,Bump postcss-import from 14.0.2 to 16.0.1,3058,True,False,,2024-03-13T11:05:11Z,0,1,1,2,5,5,10,0
1742,Bump eslint from 7.32.0 to 8.57.0,8212,True,False,,2024-03-13T11:05:11Z,0,1,1,2,229,250,479,0
1693,Added Back to Top Button,189,True,False,,2024-03-02T10:58:32Z,0,2,1,3,39,0,39,0
1744,Bump postcss-preset-env from 6.7.0 to 9.4.0,4420,True,False,,2024-03-06T19:38:42Z,0,0,1,2,574,365,939,0
1286,add dizzy animation,567,True,False,,2024-03-02T11:17:29Z,2,4,3,6,85,31,116,0
1322,Add floating animation,157,True,False,,2024-03-02T11:15:37Z,4,6,5,1,14,0,14,0
1359,Added missing to opacity 1 for entrance animations,545,True,False,,2024-03-02T11:14:49Z,0,3,4,13,28,0,28,0
1608,Move from Travis CI to Github Actions #1221,330,True,False,,2024-03-02T11:13:01Z,0,3,2,1,29,0,29,0
1388,add wipe animation,53,True,False,,2024-03-02T11:11:06Z,0,2,1,8,108,0,108,0
1581,Flippers change,62,True,False,,2024-03-02T11:09:35Z,0,3,5,5,44,44,88,0
1589,Added 2 new animations,139,True,False,,2024-03-02T11:09:09Z,0,3,2,1,64,0,64,0
1595,Readme files improved,49,True,False,,2024-03-02T11:07:56Z,0,2,1,5,115,29,144,0
1607,styled Scroll bar for animation list,66,True,False,,2024-03-02T11:07:14Z,0,2,1,1,24,0,24,0
1647,New light speed animations,130,True,False,,2024-03-02T11:06:26Z,0,2,1,11,3078,2688,5766,0
1639,Custom Scroll Bar,156,True,False,,2024-03-02T11:04:01Z,0,2,1,1,24,0,24,0
1664,Added Rule in Index.html,59,True,False,,2024-03-02T11:03:23Z,0,2,1,6,2766,2688,5454,0
1673,Update animate.css & add bounceAndRotateLeft,76,True,False,,2024-03-02T11:01:42Z,0,2,1,1,18,0,18,0
1681,Add a missing word in the custom build section of the documentation,0,True,True,2024-03-02T10:57:25Z,2024-03-02T10:57:25Z,2,3,0,1,1,1,2,21347550.0
1698,Update animate.css,639,True,False,,2024-03-02T10:55:35Z,0,2,1,1,7,3,10,0
1699,Update README.md,10,True,True,2024-03-02T10:53:02Z,2024-03-02T10:53:02Z,1,2,0,1,1,1,2,10683471.0
1741,"Reformatted the document and switched some animation items, so the order is the same across the page",417,True,False,,2024-03-02T10:51:44Z,0,2,0,1,1314,1163,2477,0
1677,Fixed bugs in template.html,668,True,False,,2024-03-02T10:51:03Z,0,2,1,1,6,14,20,0
1552,fix: add animation-delay like a custom property,119,True,False,,2024-03-02T10:48:40Z,0,2,0,4,7,2,9,0
1697,added copy button to copy code by just one click,189,True,False,,2024-03-02T10:48:07Z,1,3,0,1,3006,1145,4151,0
1726,Added css nesting feature,201,True,False,,2024-03-02T10:46:52Z,0,2,1,3,129,126,255,0
1723,Implemented a solution for the issue described in #1712.,773,True,False,,2024-03-02T10:43:18Z,0,2,1,5,157,166,323,0
1724,fix(animatecss): remove duplicate css rules,9,True,False,,2024-03-02T10:38:38Z,0,2,1,1,0,2,2,0
1739,Update .travis.yml,0,True,False,,2024-03-02T10:32:41Z,0,2,0,1,1,0,1,0
1731,Update style.css,0,True,False,,2024-03-02T10:32:15Z,0,2,0,1,5,5,10,0
