Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
48650,fix(step): custom icon not vertically centered error,854,True,True,2024-04-26T09:45:30Z,2024-04-26T09:45:30Z,1,2,8,1,1,1,2,14493.0
48644,docs(theme): Replace card deprecated API 'bodyStyle',838,True,True,2024-04-26T09:37:14Z,2024-04-26T09:37:14Z,1,3,4,1,6,4,10,22008.0
48639,chore: merge master into feature,797,True,False,,2024-04-26T09:18:55Z,1,3,5,0,0,0,0,0
48640,🔒 ci: locked React version,777,True,True,2024-04-26T09:17:09Z,2024-04-26T09:17:09Z,3,4,9,1,3,3,6,23839.0
48649,fix: fix custom icon vertical-align in step component,897,True,False,,2024-04-26T06:42:05Z,0,2,5,1,3,0,3,0
42184,feat: component token rename,2474,True,True,2023-05-09T11:24:51Z,2023-05-09T11:24:51Z,23,5,3,53,3267,394,3661,270205.0
48621,demo: code optimization,779,True,True,2024-04-26T01:40:25Z,2024-04-26T01:40:25Z,1,2,6,1,31,71,102,71592.0
48632,chore(deps-dev): bump the dev-dependencies group with 2 updates,10377,True,True,2024-04-25T13:56:59Z,2024-04-25T13:56:59Z,3,1,9,1,2,2,4,7075.0
48634,chore(deps): bump rc-tree-select from 5.19.0 to 5.20.0,2009,True,False,,2024-04-25T13:33:36Z,0,1,8,1,1,1,2,0
48633,chore(deps): bump rc-picker from 4.4.2 to 4.5.0,1753,True,False,,2024-04-25T12:21:43Z,0,1,7,1,1,1,2,0
48617,Update index.less,778,True,False,,2024-04-25T10:40:11Z,0,3,2,1,1,2,3,0
48628,docs: Fix Tooltip shift demo,766,True,True,2024-04-25T09:31:07Z,2024-04-25T09:31:07Z,1,2,6,1,1,1,2,2040.0
48625,feat: RangePicker support disabledTime info,919,True,True,2024-04-25T07:58:10Z,2024-04-25T07:58:10Z,4,4,6,3,3,3,6,1787.0
48614,type: add miss generic of Upload prop,1301,True,True,2024-04-25T06:22:35Z,2024-04-25T06:22:35Z,3,2,8,3,26,5,31,16024.0
48615,docs: Update FUNDING.yml,737,True,True,2024-04-25T03:34:33Z,2024-04-25T03:34:33Z,1,2,6,1,2,1,3,3005.0
48387,feat: add placeholder option for multiple datepicker,761,True,True,2024-04-16T06:54:19Z,2024-04-16T06:54:19Z,1,3,13,5,659,1,660,482460.0
48569,fix: margin problem in css value mode,978,True,True,2024-04-22T04:02:12Z,2024-04-22T04:02:12Z,1,2,5,1,2,2,4,64303.0
48567,feat: add tabindex option for paragraph button,942,True,True,2024-04-24T10:06:38Z,2024-04-24T10:06:38Z,21,4,26,7,68,11,79,265751.0
48611,test: solve test cov,773,True,True,2024-04-25T03:08:56Z,2024-04-25T03:08:56Z,6,3,6,1,14,4,18,45521.0
48601,fix: add Spanish locale in datepicker,883,True,True,2024-04-24T17:45:19Z,2024-04-24T17:45:19Z,5,4,7,2,48,33,81,65609.0
48586,fix: add german locale in datepicker,885,True,True,2024-04-24T17:01:55Z,2024-04-24T17:01:56Z,1,2,6,2,20,5,25,164337.0
48612,fix: Missing generic of Upload `customRequest` prop,882,True,True,2024-04-24T15:57:43Z,2024-04-24T15:57:43Z,1,2,5,1,1,1,2,2198.0
48610,docs: update api since,777,True,True,2024-04-24T14:32:50Z,2024-04-24T14:32:50Z,2,3,5,1,1,1,2,820.0
48101,docs: add more JSDoc,775,True,True,2024-03-26T15:01:04Z,2024-03-26T15:01:04Z,4,3,7,4,64,7,71,1867.0
48609,chore(deps-dev): bump the dev-dependencies group with 3 updates,16162,True,True,2024-04-24T14:13:07Z,2024-04-24T14:13:07Z,2,1,7,1,3,3,6,8004.0
48605,fix(badge): number centered but slightly right-aligned,819,True,True,2024-04-24T06:11:14Z,2024-04-24T06:11:14Z,1,2,8,1,2,0,2,7210.0
48588,demo: Table drag handle use useContext,741,True,True,2024-04-24T03:48:16Z,2024-04-24T03:48:16Z,3,3,11,6,230,141,371,95865.0
48602,chore: simplify import expression from package.json,835,True,True,2024-04-24T03:06:12Z,2024-04-24T03:06:12Z,1,2,6,5,11,18,29,5515.0
48597,docs: improve Header menu style,756,True,True,2024-04-24T01:51:46Z,2024-04-24T01:51:46Z,1,2,6,2,3,24,27,52782.0
48598,chore(deps-dev): bump the dev-dependencies group with 6 updates,18994,True,True,2024-04-24T01:48:09Z,2024-04-24T01:48:09Z,2,1,7,1,6,6,12,52169.0
48600,chore(deps-dev): bump sharp from 0.32.6 to 0.33.3,3143,True,True,2024-04-24T01:47:33Z,2024-04-24T01:47:34Z,1,1,8,1,1,1,2,51999.0
48599,chore(deps): update rc-picker requirement from ~4.4.1 to ~4.4.2,2398,True,True,2024-04-23T13:54:35Z,2024-04-23T13:54:35Z,1,1,8,1,1,1,2,9319.0
48570,docs: fix wrong anchor for form#dependencies,832,True,True,2024-04-23T07:50:48Z,2024-04-23T07:50:48Z,3,3,11,8,348,316,664,164153.0
48591,fix: add missing style,895,True,True,2024-04-23T05:42:20Z,2024-04-23T05:42:20Z,2,3,6,1,2,0,2,6166.0
48589,demo: rm getItem methods of demo,797,True,True,2024-04-23T03:01:38Z,2024-04-23T03:01:38Z,1,2,7,13,465,407,872,1520.0
48558,docs: fix code examples and statement expressions,733,True,True,2024-04-23T02:17:55Z,2024-04-23T02:17:55Z,3,2,9,2,18,6,24,298932.0
48552,chore: fix space in import statement,750,True,True,2024-04-23T02:21:29Z,2024-04-23T02:21:29Z,6,6,8,1,13,14,27,319096.0
48584,fix: clearedColor should be changed when initial value is undefined,858,True,True,2024-04-23T02:02:45Z,2024-04-23T02:02:45Z,6,4,6,2,23,9,32,48517.0
48587,demo: Table drag handle use useContext,735,True,False,,2024-04-23T01:07:20Z,0,5,6,5,77,66,143,0
48243,demo: Table drag handle use useContext,780,True,False,,2024-04-23T01:03:14Z,0,5,8,5,77,66,143,0
48553,fix: transfer text errors,337,True,True,2024-04-22T04:03:13Z,2024-04-22T04:03:13Z,1,4,10,4,5,2,7,237623.0
48581,chore(deps-dev): bump the dev-dependencies group with 2 updates,11128,True,False,,2024-04-22T13:13:39Z,1,1,7,1,1,1,2,0
48561,fix: Collapse border radius issue,1160,True,True,2024-04-22T13:15:21Z,2024-04-22T13:15:21Z,2,2,7,1,2,1,3,173877.0
48582,chore(deps): update rc-slider requirement from ~10.6.1 to ~10.6.2,2438,True,True,2024-04-22T13:13:20Z,2024-04-22T13:13:20Z,1,1,8,1,1,1,2,4901.0
48573,chore: merge master into feature,797,True,True,2024-04-22T09:09:35Z,2024-04-22T09:09:35Z,1,8,10,36,1524,1449,2973,61862.0
48575,docs: 5.16.4 changelog,836,True,True,2024-04-22T07:15:44Z,2024-04-22T07:15:44Z,3,4,8,3,25,5,30,3486.0
47859,docs: 修复 menu openKeys 计算问题,750,True,True,2024-03-25T06:10:34Z,2024-03-25T06:10:34Z,26,4,21,3,1019,307,1326,1028077.0
48574,fix: Select token with paddingXXS,897,True,True,2024-04-22T05:50:24Z,2024-04-22T05:50:24Z,1,2,6,4,104,30,134,8150.0
48562,feat: Drawer add loading prop to show spinner,896,True,False,,2024-04-22T02:34:04Z,3,6,9,23,1295,1088,2383,0
48536,fix: Slider range exchange tooltip blink,1078,True,True,2024-04-22T02:26:14Z,2024-04-22T02:26:14Z,2,5,14,7,348,311,659,303003.0
48571,chore: add bug version & fix test case,745,True,True,2024-04-21T15:56:41Z,2024-04-21T15:56:41Z,4,4,9,6,23,17,40,20015.0
48564,docs: add 5.16.3 changelog,1775,True,True,2024-04-21T07:30:36Z,2024-04-21T07:30:36Z,2,3,9,3,41,1,42,17994.0
48560,fix(demo): optimize fetchData for table,540,True,True,2024-04-20T13:51:30Z,2024-04-20T13:51:30Z,1,2,5,1,1,1,2,10579.0
44655,docs: add theme toggle animation,1662,True,True,2023-09-08T09:42:13Z,2023-09-08T09:42:13Z,11,8,8,2,140,6,146,177937.0
45035,fix🐛(DirectoryTree): fieldNames support,1888,True,False,,2023-09-23T16:25:43Z,0,2,4,3,77,16,93,0
48556,chore(deps): bump rc-slider from 10.5.0 to 10.6.1,4294,True,False,,2024-04-19T11:45:55Z,0,1,7,1,1,1,2,0
48555,chore(deps-dev): bump eslint from 8.57.0 to 9.0.0 in the dev-dependencies group,10346,True,False,,2024-04-19T11:46:14Z,0,1,6,1,1,1,2,0
48489,fix: Fixed disabled text display exception for TextArea,819,True,True,2024-04-18T03:00:51Z,2024-04-18T03:00:51Z,1,2,9,2,4,1,5,150075.0
48542,feat: Carousel support arrows for switching,853,True,True,2024-04-19T09:17:56Z,2024-04-19T09:17:56Z,10,5,7,9,875,137,1012,13192.0
47727,Cascader support optionRender,788,True,True,2024-03-06T12:04:13Z,2024-03-06T12:04:13Z,1,3,11,3,3,1,4,14764.0
48543,fix(table): Add missing zh translation,816,True,True,2024-04-19T07:01:18Z,2024-04-19T07:01:18Z,1,2,5,3,7,0,7,3168.0
48537,Transalate date and time picker to indonesian,779,True,True,2024-04-19T05:38:40Z,2024-04-19T05:38:40Z,1,3,6,3,11,2,13,10940.0
48533,chore(deps-dev): bump the dev-dependencies group with 2 updates,1896,True,True,2024-04-18T13:28:36Z,2024-04-18T13:28:36Z,2,1,7,1,2,2,4,5438.0
48534,chore(deps-dev): update vanilla-jsoneditor requirement from ^0.23.1 to ^0.23.2,4050,True,True,2024-04-18T12:34:10Z,2024-04-18T12:34:11Z,1,1,6,1,1,1,2,2126.0
48248,fix: TableTransfer unselecting the current page is invalid,1009,True,False,,2024-04-18T09:45:49Z,3,5,12,3,18,2,20,0
48529, demo: simplify transfer table example ,1074,True,True,2024-04-18T09:45:47Z,2024-04-18T09:45:48Z,4,3,6,3,931,1064,1995,6472.0
48527,fix: Input.Search large size button style,856,True,True,2024-04-18T08:06:35Z,2024-04-18T08:06:35Z,3,3,6,3,28,16,44,4982.0
48522,fix: fix the flex gap problem,962,True,True,2024-04-18T02:31:22Z,2024-04-18T02:31:22Z,4,3,6,1,21,20,41,34960.0
48526,chore: merge master into feature,797,True,True,2024-04-18T05:07:06Z,2024-04-18T05:07:06Z,1,4,7,4,27,23,50,1461.0
48525,chore: increase size-limit size limit,737,True,True,2024-04-18T03:01:43Z,2024-04-18T03:01:43Z,3,3,9,1,2,2,4,1606.0
45410,fix: improve upload component scrolling issue during form validation ,1632,True,False,,2024-04-18T02:33:07Z,8,4,13,12,391,164,555,0
48524,chore: merge master into feature,797,True,True,2024-04-18T02:11:58Z,2024-04-18T02:11:58Z,1,12,7,39,3594,2480,6074,3069.0
48511,site: optimization site style,791,True,False,,2024-04-17T16:08:05Z,0,3,12,1,1,1,2,0
48513,fix: switch checkedChildren no height,968,True,True,2024-04-17T14:25:46Z,2024-04-17T14:25:46Z,5,3,6,2,14,0,14,24200.0
48521,chore: comment on size-limit,735,True,True,2024-04-17T13:47:05Z,2024-04-17T13:47:05Z,1,2,5,1,1,0,1,992.0
