Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
547,Add Keyword generator,840,True,False,,2024-04-16T23:22:54Z,0,1,0,2,7,0,7,0
201,"added new prompt ""parasphrase tool"" and fix typo",640,True,False,,2024-04-15T18:11:15Z,0,1,0,2,15,9,24,0
489,Add stackoverflow questions improver prompt,840,True,False,,2024-04-09T19:21:00Z,0,1,0,2,15,1,16,0
563,Update README.md,1006,True,False,,2024-04-02T16:41:18Z,0,1,0,1,10,1,11,0
338,"Added 3 roles: Professional Marketer, Scenario Procrastinator, and Bank Lawyer",640,True,False,,2024-03-27T03:16:47Z,0,1,0,2,19,1,20,0
571,Using GPTPal,274,True,False,,2024-03-26T10:41:02Z,0,1,0,1,10,0,10,0
218,Add act as a Product Manager,1193,True,False,,2024-03-19T14:53:13Z,0,1,0,2,361,105,466,0
728,Create 122,868,True,False,,2024-02-26T07:48:24Z,1,3,0,1,1,0,1,0
739,补充Chinese翻译后的prompt,868,True,False,,2024-02-26T07:43:44Z,0,3,0,1,1,0,1,0
732,minor changes,868,True,False,,2024-02-26T07:43:07Z,1,4,2,1,1,0,1,0
658,Word Search Generator,1086,True,False,,2024-02-09T02:04:12Z,0,1,0,0,0,0,0,0
737,Add Rephraser with Obfuscation,0,True,False,,2024-02-04T13:03:05Z,0,1,0,1,5,0,5,0
735,Added a Mock Interviewer Prompt,856,True,False,,2024-02-04T07:11:28Z,0,1,1,2,10,0,10,0
648,Update Readme and prompts.csv for resume reviewer,1098,True,False,,2024-01-20T06:25:58Z,0,1,0,2,7,0,7,0
582,System design prompt,3000,True,False,,2024-01-19T20:38:06Z,0,1,0,2,7,0,7,0
100,Act as a Book Guide,640,True,False,,2024-01-16T15:36:40Z,1,2,0,2,6,0,6,0
724,Aitrainee,868,True,False,,2024-01-09T11:53:34Z,0,1,1,0,0,0,0,0
725,"An Ethereum Developer prompt, by Ameya.",868,True,True,2024-01-08T21:28:26Z,2024-01-08T21:28:26Z,0,2,0,2,7,0,7,134981.0
723,Update README.md,868,True,False,,2024-01-07T05:59:00Z,0,1,0,1,5,0,5,0
722,Update prompts.csv,868,True,False,,2024-01-07T05:58:59Z,0,1,0,1,1,0,1,0
721,Update README.md,868,True,False,,2024-01-07T05:58:59Z,1,1,1,1,5,0,5,0
720,Added league player personality,868,True,True,2024-01-05T06:19:31Z,2024-01-05T06:19:31Z,0,2,0,2,6,0,6,2498.0
