Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
5285,remove outdated,465,True,True,2024-04-23T23:17:44Z,2024-04-23T23:17:44Z,1,1,1,1,0,2,2,1094.0
5263,"Add xgo(a mocking library), remove awterman/monkey and pasdam/mockit",2305,True,True,2024-04-02T05:42:41Z,2024-04-02T05:42:41Z,1,4,7,1,2,3,5,243031.0
5268,docs(networking): add fwdctl project,1885,True,True,2024-04-23T19:42:06Z,2024-04-23T19:42:06Z,2,2,2,1,1,0,1,1745418.0
5279,Fix typos,9,True,True,2024-04-22T12:37:22Z,2024-04-22T12:37:22Z,1,2,2,1,8,8,16,85742.0
5280,bombastictranz/awesome-go,1787,True,False,,2024-04-21T14:03:56Z,1,1,1,5,10,10,20,0
4508,Add air on Build Automation list,1488,True,False,,2024-04-20T14:50:27Z,0,3,2,1,1,0,1,0
5276,Bump golang.org/x/net from 0.19.0 to 0.23.0,2158,True,True,2024-04-20T12:48:02Z,2024-04-20T12:48:02Z,0,1,1,2,6,6,12,86572.0
5277,update README - meetups section,1787,True,True,2024-04-20T12:45:44Z,2024-04-20T12:45:44Z,1,2,2,1,1,0,1,144.0
5082,Add prattle,1512,True,True,2024-04-16T20:14:00Z,2024-04-16T20:14:00Z,0,2,3,1,1,0,1,14893273.0
5269,bombastictranz/awesome-go,1787,True,False,,2024-04-04T22:39:30Z,1,1,1,201,2794,6183,8977,0
4745,Add Bencher,828,True,True,2024-04-04T15:16:22Z,2024-04-04T15:16:22Z,0,3,2,1,1,0,1,35917225.0
5267,use the built-in const,129,True,True,2024-04-02T17:08:24Z,2024-04-02T17:08:24Z,1,2,1,1,1,1,2,20278.0
5262,Update README.md,1778,True,False,,2024-04-01T06:38:34Z,1,2,2,1,1,0,1,0
5102,feat: Add Wizgo to IoT section,1320,True,False,,2024-03-27T21:41:54Z,0,1,1,1,1,0,1,0
5261,add natiu-mqtt,1787,True,True,2024-03-26T13:47:36Z,2024-03-26T13:47:36Z,1,1,2,1,1,0,1,149.0
4645,add natiu-mqtt,1165,True,False,,2024-02-09T12:22:01Z,0,3,3,1,1,0,1,0
5259,bombastictranz/awesome-go,1787,True,False,,2024-03-26T05:56:24Z,1,2,1,158,2403,6183,8586,0
5247,bombastictranz/awesome-go,1787,True,False,,2024-03-25T15:45:13Z,2,2,1,141,2299,6183,8482,0
5253,adding Wave Terminal to the tools list,1751,True,True,2024-03-22T02:32:54Z,2024-03-22T02:32:54Z,1,2,1,1,1,0,1,71711.0
5250,fix: move Go Faster to the Free e-books section,1803,True,True,2024-03-20T02:04:49Z,2024-03-20T02:04:49Z,1,2,2,1,1,1,2,132702.0
5107,Add gopensky (go client for opensky network live's API),1154,True,True,2024-03-16T14:00:01Z,2024-03-16T14:00:01Z,0,2,4,1,1,0,1,10371614.0
5170,Added IP2Location.io Go SDK,1558,True,True,2024-03-15T15:52:57Z,2024-03-15T15:52:57Z,0,3,10,1,1,0,1,5218312.0
5079,Add config-file-validator,1515,True,True,2024-03-15T15:49:40Z,2024-03-15T15:49:40Z,0,2,3,1,1,0,1,12258491.0
5246,Bump google.golang.org/protobuf from 1.31.0 to 1.33.0,1583,True,True,2024-03-14T00:31:28Z,2024-03-14T00:31:28Z,0,1,1,2,3,3,6,4439.0
5153,Add https://github.com/xeptore/flaw package,1451,True,False,,2024-03-10T04:03:23Z,0,3,7,1,1,0,1,0
5217,Add go-array,1498,True,False,,2024-03-10T03:56:14Z,1,1,1,1,1,0,1,0
5114,Add kubevpn,1519,True,True,2024-03-09T15:44:13Z,2024-03-09T15:44:13Z,0,3,3,1,1,0,1,9283771.0
5223,add openfga,1502,True,True,2024-03-09T15:41:19Z,2024-03-09T15:41:19Z,1,2,1,1,1,0,1,736743.0
5235,added hedzr/store,1437,True,False,,2024-03-09T15:39:54Z,1,2,2,1,1,0,1,0
5234,Added github.com/taubyte/tau to the DevOps category,1815,True,True,2024-03-08T22:09:54Z,2024-03-08T22:09:54Z,1,2,1,1,1,0,1,22529.0
5233,Refactor PR template: hint to curate packages around the submission,938,True,True,2024-03-08T09:44:25Z,2024-03-08T09:44:25Z,1,2,1,1,29,15,44,357.0
5231,"Added Go in Practice, Second Edition",1446,True,True,2024-03-07T01:20:12Z,2024-03-07T01:20:12Z,1,2,2,1,1,0,1,49523.0
5230,Update description of GoFrame,1442,True,True,2024-03-06T11:56:12Z,2024-03-06T11:56:12Z,1,2,1,1,1,1,2,30881.0
2111,add mergi,896,True,True,2018-10-05T21:23:13Z,2018-10-05T21:23:13Z,1,3,0,1,1,0,1,951784.0
5211,Add ore package,1055,True,True,2024-03-03T21:00:23Z,2024-03-03T21:00:23Z,1,2,4,1,1,0,1,1076327.0
5122,Add go-lambda-cleanup,1440,True,True,2024-03-03T21:14:14Z,2024-03-03T21:14:14Z,0,2,2,1,1,0,1,8019702.0
5137,Add dot,1496,True,True,2024-03-03T21:07:43Z,2024-03-03T21:07:43Z,0,2,2,1,1,0,1,7051469.0
5207,Add gitcs,1691,True,False,,2024-03-03T21:03:24Z,1,3,7,1,1,0,1,0
5199,Add Risor,1498,True,False,,2024-03-03T20:05:33Z,2,2,2,1,1,0,1,0
5195,Add mock,1445,True,False,,2024-03-03T20:05:07Z,1,3,6,1,1,0,1,0
5224,"Remove unmaintained ""telemetry"" projects",544,True,True,2024-03-01T12:55:14Z,2024-03-01T12:55:14Z,1,2,2,1,0,2,2,5129.0
5218,Add code.pfad.fr/swift,1183,True,True,2024-02-29T04:21:43Z,2024-02-29T04:21:43Z,1,2,1,1,1,0,1,145835.0
5221,Remove go-astilectron coz depricated,102,True,True,2024-02-29T04:03:35Z,2024-02-29T04:03:35Z,1,2,1,1,0,1,1,31307.0
5219,Remove godoc.org references,584,True,True,2024-02-27T18:13:57Z,2024-02-27T18:13:57Z,1,2,1,1,3,7,10,13258.0
5216,Add go-array,1498,True,False,,2024-02-27T10:59:09Z,1,1,1,1,1,0,1,0
5210,Add Gosemble,1522,True,True,2024-02-26T02:01:31Z,2024-02-26T02:01:31Z,1,2,2,1,1,0,1,555692.0
5150,add cql,1558,True,True,2024-02-26T01:54:07Z,2024-02-26T01:54:07Z,0,2,2,1,1,0,1,5726492.0
5188,add gabs,1554,True,True,2024-02-26T01:45:11Z,2024-02-26T01:45:11Z,1,2,4,1,1,0,1,2222481.0
