Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
2478,Add CustomTkinter,689,True,False,,2024-04-17T16:27:32Z,1,2,0,1,1,0,1,0
1271,Add Dynaconf,1460,True,False,,2019-11-29T22:56:03Z,0,1,2,1,1,0,1,0
2578,Add streamlit,1548,True,True,2024-04-15T11:17:22Z,2024-04-15T11:17:22Z,0,2,0,1,1,0,1,176545.0
2572,Add pdm (Package Management),305,True,False,,2024-03-30T12:27:11Z,0,2,2,1,1,0,1,0
2121,"Add DVC, CML and MLEM (MLOps Tools) 🚀",776,True,False,,2024-03-26T14:26:52Z,0,2,1,1,3,0,3,0
2565,add: GUI Development gradio,2247,True,False,,2024-03-25T09:38:14Z,0,1,1,1,98,95,193,0
2536,Add auto-py-to-exe,649,True,False,,2024-03-20T23:15:41Z,3,5,2,1,1,0,1,0
1829,Changed the link for the Arcade framework,291,True,False,,2024-03-20T20:22:29Z,1,2,0,1,1,1,2,0
2122,fix errors in README.md,177,True,True,2022-07-27T03:39:21Z,2022-07-27T03:39:21Z,0,4,2,1,1,1,2,65377.0
1929,add: aiosonic,314,True,False,,2024-03-08T09:48:04Z,0,1,0,1,1,0,1,0
2462,Add Pydantic,672,True,False,,2024-03-04T12:06:12Z,10,14,6,1,1,0,1,0
2530,[Resources] Added Level Up Your Python,435,True,False,,2024-02-29T09:27:16Z,1,6,8,1,1,0,1,0
2518,Updated psycopg2's homepage link and possibly a new project related to psycopg2,467,True,True,2024-02-22T14:47:02Z,2024-02-22T14:47:02Z,1,3,0,0,0,0,0,13946609.0
2529,Fixed a Number of Dead Links,625,True,True,2024-02-22T14:45:39Z,2024-02-22T14:45:39Z,3,6,1,1,7,10,17,9198650.0
2532,Updated some links in README.md,338,True,True,2024-02-22T14:44:33Z,2024-02-22T14:44:33Z,0,3,3,1,5,5,10,8555165.0
2533,Fix pylint link,264,True,True,2024-02-22T14:40:36Z,2024-02-22T14:40:36Z,0,2,0,1,1,1,2,8470836.0
2543,Update README.md,220,True,False,,2024-02-22T14:38:00Z,3,5,0,1,1,0,1,0
2546,Update README.md,36,True,True,2024-02-22T14:37:35Z,2024-02-22T14:37:35Z,3,5,0,1,1,1,2,4069922.0
1798,Add m2cgen,570,True,False,,2024-02-20T20:55:09Z,0,1,0,1,1,0,1,0
2561,Add pytube,1124,True,False,,2024-02-19T15:46:32Z,1,2,0,1,1,0,1,0
2512,Add readme-ai,1463,True,False,,2024-02-07T00:22:55Z,2,3,0,1,1,0,1,0
2498,added deep learning framework Lighting,205,True,True,2023-07-13T15:37:09Z,2023-07-13T15:37:09Z,3,5,0,1,1,0,1,56781.0
2560,Add CherryPy,539,True,False,,2024-02-01T07:10:59Z,0,1,1,1,11,10,21,0
2479,Add mapfun package,534,True,False,,2024-01-20T19:46:28Z,1,3,2,1,1,0,1,0
2297,Remove abandoned project pyannotate,194,True,True,2023-01-05T12:29:52Z,2023-01-05T12:29:52Z,1,4,2,1,0,1,1,152297.0
1585,Sort readme and add to docs build,128,True,True,2020-08-02T11:15:33Z,2020-08-02T11:15:33Z,0,4,2,4,61,55,116,15659.0
2353,Add ruff code linter,1117,True,False,,2023-11-29T11:56:55Z,1,4,2,1,1,0,1,0
2531,Update README.md,4011,True,False,,2023-11-14T17:13:56Z,1,2,0,1,1,0,1,0
2350,Update README.md,1089,True,True,2023-03-30T03:40:01Z,2023-03-30T03:40:02Z,2,3,2,1,1,0,1,3878619.0
2524,Create directiongame.py,220,True,False,,2023-10-17T03:53:31Z,0,1,0,1,64,0,64,0
1579,Add pyvips,526,True,True,2020-07-27T08:37:01Z,2020-07-27T08:37:02Z,0,3,1,1,1,0,1,55490.0
2493,add django-imagekit.md,488,True,False,,2023-09-26T19:52:06Z,0,1,0,1,1,0,1,0
2502,Update README.md,220,True,False,,2023-09-22T17:05:17Z,0,3,2,1,1,1,2,0
1770,Add Serverless and FastAPI to the list,0,True,False,,2023-08-30T20:20:54Z,0,1,0,1,2,0,2,0
1727,docs: add data visualization - PyG2Plot ,510,True,False,,2023-08-25T22:57:50Z,0,1,0,1,1,0,1,0
2507,add kmatch library in Data Validation section,342,True,False,,2023-08-21T11:52:14Z,0,1,0,1,1,1,2,0
1441,Add weboob to Web Crawling section,846,True,False,,2023-08-07T12:43:47Z,1,3,2,1,1,0,1,0
1784,Add Sklearn-genetic-opt,1351,True,False,,2023-08-06T02:53:21Z,0,1,0,1,1,0,1,0
2491,Updates,220,True,False,,2023-07-07T02:08:22Z,0,1,0,0,0,0,0,0
2343,Update link for Pyston,137,True,True,2023-07-01T08:33:40Z,2023-07-01T08:33:40Z,2,4,1,1,1,1,2,12520174.0
2247,Fixed outdated link and description,0,True,True,2022-12-04T11:58:03Z,2022-12-04T11:58:03Z,0,3,1,1,1,1,2,95736.0
1283,Added Cloudsmith (Python Repository),1050,True,False,,2023-05-24T17:14:55Z,4,4,6,1,2,1,3,0
2307,Update README.md,52,True,False,,2023-05-22T19:27:20Z,0,2,1,1,1,0,1,0
2476,Add CustomTkinter,593,True,False,,2023-05-17T10:47:48Z,0,1,0,1,1,0,1,0
1142,Add alembic to database migration tools,463,True,False,,2019-11-06T09:36:41Z,0,2,2,1,7,0,7,0
2403,Changed files section name,116,True,True,2023-03-27T14:18:30Z,2023-03-27T14:18:30Z,0,2,0,1,2,2,4,227391.0
2420,Add py-gutenberg,334,True,False,,2023-04-22T16:40:32Z,0,0,0,1,1,0,1,0
1178,"Add PyStan to the ""Science"" category.",1174,True,False,,2019-11-06T08:36:33Z,0,1,1,1,1,0,1,0
1738,Added pdbr,340,True,False,,2023-04-12T21:06:55Z,3,4,1,1,1,0,1,0
2431,spelling correction to redme.md,48,True,False,,2023-04-12T15:40:58Z,1,3,1,1,2,2,4,0
2003,PyPDF2: Update link,109,True,False,,2023-04-09T14:43:37Z,0,1,1,1,1,1,2,0
2355,Added link of Python Developer Roadmap,432,True,False,,2023-04-09T04:33:09Z,0,1,0,1,1,0,1,0
1657,Added Two Files for Change log,397,True,False,,2023-04-07T06:16:51Z,0,1,1,1,59,0,59,0
1656,Added ChangeLog,220,True,False,,2023-04-07T06:16:51Z,0,1,0,1,75,0,75,0
2402,Fixed Zappa link,182,True,True,2023-03-27T14:17:32Z,2023-03-27T14:17:32Z,0,2,0,1,1,1,2,236219.0
2369,fixed README,220,True,False,,2023-02-28T11:29:35Z,0,1,0,1,1,1,2,0
2368,eine neue Zeile,220,True,False,,2023-02-27T12:21:58Z,0,2,0,1,2,0,2,0
2364,add Django extensions,329,True,False,,2023-02-25T12:17:37Z,0,2,2,1,957,956,1913,0
1820,Add pyodbc,573,True,False,,2023-02-17T02:42:13Z,0,1,0,1,2,0,2,0
2345,Create python-app.yml,220,True,False,,2023-02-08T17:18:00Z,1,2,1,1,39,0,39,0
2337,Add link to python roadmap,298,True,False,,2023-02-05T23:24:37Z,0,1,0,1,5,0,5,0
2287,Added streamlit/streamlit for building simple data web applications,152,True,False,,2023-01-18T14:55:54Z,0,1,0,1,1,0,1,0
2321,Main,220,True,False,,2023-01-18T14:54:40Z,0,1,0,4,182,1363,1545,0
1567,add ucache,65,True,False,,2023-01-15T17:25:00Z,1,2,0,1,1,0,1,0
1566,add cacheout,26,True,False,,2023-01-15T17:25:00Z,1,2,0,1,1,0,1,0
2176,add Shiny for Python,592,True,False,,2023-01-13T20:27:51Z,1,4,2,1,1,0,1,0
2013,Add aiomysql and aiopg,494,True,False,,2023-01-12T13:59:44Z,0,1,0,1,2,0,2,0
1794,Update README.md,35,True,True,2021-07-25T12:54:29Z,2021-07-25T12:54:29Z,2,4,0,1,5,5,10,21423.0
2145,"Add pycryptodome, sagemath",351,True,False,,2022-12-24T04:01:18Z,0,1,0,1,2,0,2,0
2209,"redirected pyqt to official docs, which is more useful for a beginner",77,True,True,2022-10-24T17:34:27Z,2022-10-24T17:34:27Z,3,4,0,1,1,1,2,117844.0
2108,Add django-audio-validator,358,True,False,,2022-11-06T18:14:56Z,0,1,0,1,1,0,1,0
2213,Add strawberry-graphql to GraphQL Libraries,616,True,False,,2022-10-25T11:22:50Z,0,1,1,1,1,0,1,0
2191,Improved grametical mistakes,220,True,False,,2022-10-24T17:35:07Z,0,2,1,1,1,1,2,0
1645,Update README.md to include https://learnxinyminutes.com/docs/python/,466,True,False,,2022-10-19T00:25:42Z,1,2,0,1,1,0,1,0
2078,Added learnpython resources,433,True,False,,2022-10-07T05:04:53Z,0,1,0,1,2,0,2,0
2192,Update CONTRIBUTING.md,220,True,False,,2022-10-02T15:59:07Z,0,1,0,1,1,1,2,0
2157,Add Pysha,1338,True,False,,2022-09-08T04:50:17Z,0,1,0,1,1,0,1,0
1795,Update CONTRIBUTING.md,23,True,True,2021-07-25T12:53:55Z,2021-07-25T12:53:55Z,1,3,0,1,1,1,2,20996.0
1762,Jina - Neural Search framework,382,True,False,,2022-09-02T04:09:41Z,0,2,1,1,1,0,1,0
1556,Add Flask-restx,525,True,False,,2022-08-23T15:10:30Z,1,2,0,1,1,0,1,0
1707,🗑 Remove pygeoip,326,True,True,2021-01-22T10:23:17Z,2021-01-22T10:23:17Z,1,4,1,1,0,1,1,1208441.0
2128,added https from http in LICENSES,102,True,False,,2022-08-13T04:00:33Z,0,1,0,1,1,1,2,0
720,Adding PyUpdater,495,True,False,,2019-12-04T00:25:13Z,0,6,10,1,1,0,1,0
1994,Add Streamlit,380,True,False,,2022-07-29T04:33:42Z,3,2,1,1,1,0,1,0
2123,Add FastAPI in Asynchronous Web Frameworks,42,True,False,,2022-07-27T19:24:27Z,0,2,2,1,1,0,1,0
1999,Add raylib-python-cffi,63,True,False,,2022-07-23T03:49:58Z,0,1,0,1,1,0,1,0
1859,update url linked to github,328,True,False,,2022-07-13T17:32:49Z,1,2,0,1,1,1,2,0
1548,Add lkpy,27,True,False,,2022-07-10T03:53:12Z,1,2,0,1,1,0,1,0
2099,Update README.md,220,True,False,,2022-07-07T17:10:30Z,0,1,0,1,1,0,1,0
1449,updated readme to include pylightxl,1203,True,False,,2022-05-17T02:35:52Z,1,3,2,1,3,0,3,0
2089,📦 NEW: add pycord,418,True,False,,2022-07-04T00:22:23Z,0,1,0,1,1,0,1,0
1767,Add Effective-Python,605,True,False,,2022-06-23T20:25:33Z,0,1,0,1,1,0,1,0
1899,arcade link updated,346,True,True,2021-12-17T04:24:25Z,2021-12-17T04:24:25Z,1,4,1,1,1,1,2,3355.0
1757,Add AWS Lambda Powertools 🙏🏼 ,2930,True,False,,2022-06-14T19:31:49Z,6,4,6,1,1,1,2,0
669,Added two podcasts to Weekly Resources,248,True,True,2016-06-24T14:29:37Z,2016-06-24T14:29:37Z,0,2,2,1,6,0,6,60374.0
719,Add dataset database.,34,True,True,2016-11-03T16:25:56Z,2016-11-03T16:25:56Z,0,2,0,1,2,0,2,4879381.0
753,Update README.md,282,True,True,2016-11-08T09:30:58Z,2016-11-08T09:30:58Z,1,2,0,1,1,0,1,1556798.0
787,Added Web2py to Web Frameworks,445,True,True,2017-02-02T07:47:23Z,2017-02-02T07:47:23Z,1,3,3,1,3,0,3,5048655.0
825,Add surprise,2113,True,True,2017-01-31T09:02:17Z,2017-01-31T09:02:17Z,2,2,0,1,1,0,1,82002.0
826,Adding Pytorch: deep learning framework that puts Python first.,689,True,True,2017-01-31T17:56:52Z,2017-01-31T17:56:52Z,3,2,0,1,1,0,1,87264.0
1669,Typo,32,True,True,2020-11-04T17:07:48Z,2020-11-04T17:07:48Z,1,3,0,1,1,1,2,119829.0
1822,Add python-nmap,585,True,False,,2022-06-06T11:45:41Z,0,1,0,1,1,1,2,0
1799,Add Flask-socketIO Library to websockets section.,448,True,False,,2022-06-06T00:23:59Z,0,0,0,1,1,0,1,0
1627,Add Pandas_Alive,1037,True,False,,2022-05-25T00:47:43Z,1,2,0,1,1,0,1,0
1908,Add Pycord,171,True,False,,2022-05-24T03:53:54Z,0,1,0,1,1,0,1,0
1676,Add flask-state,603,True,False,,2022-05-23T08:01:17Z,2,3,0,1,1,0,1,0
2016,Add LocalStack,247,True,False,,2022-05-17T02:30:51Z,0,2,2,1,876,875,1751,0
1209,Add FastAPI to web frameworks,1910,True,False,,2019-11-06T08:36:49Z,0,2,3,1,1,0,1,0
993,Added parsy to 'Text Processing / Parsers' section,1029,True,False,,2019-11-29T10:24:51Z,0,2,4,1,1,0,1,0
1992,instagetter robot,269,True,False,,2022-04-06T11:42:20Z,1,2,0,1,8,0,8,0
1684,Add two package managers,376,True,False,,2022-04-07T01:45:28Z,0,1,0,1,2,0,2,0
1460,Add python-viper,435,True,False,,2022-03-29T16:03:15Z,2,5,2,1,1,0,1,0
1730,Fix dramatiq spelling,46,True,True,2021-02-04T06:00:05Z,2021-02-04T06:00:05Z,1,3,0,1,1,1,2,24029.0
1544,Add pydebug,600,True,False,,2022-02-20T15:31:53Z,1,2,0,1,1,0,1,0
1463,added pythonprogramming.net for awesome tutorials,483,True,False,,2022-01-25T11:19:03Z,1,3,2,1,2,0,2,0
1924,Add GeoPandas,101,True,False,,2022-01-22T20:10:39Z,0,1,0,1,1,0,1,0
1925,Move Cartopy to #Geolocation,167,True,False,,2022-01-22T20:09:58Z,0,1,0,1,1,1,2,0
1926,Rename #Geolocation to #Geospatial data processing,147,True,False,,2022-01-22T20:09:35Z,0,1,0,1,2,2,4,0
1725,Fix gunicorn description,452,True,True,2021-01-25T05:15:25Z,2021-01-25T05:15:25Z,0,3,1,1,1,1,2,11413.0
1358,add dynaconf in configuration section,1668,True,False,,2019-11-07T10:59:47Z,0,2,1,1,1,0,1,0
1780,Add easySpeech,435,True,False,,2021-12-03T13:40:13Z,0,1,0,1,1,0,1,0
918,add PyPInfo,1234,True,False,,2019-11-06T12:36:33Z,0,2,3,1,1,0,1,0
1871,Add utm to Geolocation,218,True,False,,2021-11-15T16:33:25Z,0,2,2,1,982,982,1964,0
1751,freecodecamp python article section,65,True,False,,2021-11-06T18:36:07Z,0,1,0,1,1,0,1,0
1305,Add Frappe Framework,1856,True,False,,2021-10-05T08:13:27Z,3,5,9,1,1,0,1,0
1779,Add pyreports,864,True,False,,2021-09-12T12:13:38Z,0,1,0,1,1,0,1,0
1778,Add fontpreview,662,True,False,,2021-09-12T12:14:13Z,0,1,0,1,1,0,1,0
1777,Add dinosay,584,True,False,,2021-09-12T12:14:28Z,0,1,0,1,2,0,2,0
1783,Improve PDF section,155,True,False,,2021-09-13T18:19:54Z,0,1,0,1,3,1,4,0
1793,add discord.py,282,True,False,,2021-08-29T05:56:28Z,0,1,0,1,1,0,1,0
1796,Add Cornell E2E tests mock server,538,True,False,,2021-07-30T06:59:14Z,0,1,0,1,1,0,1,0
915,Added pypika to ORM Relational Databases,829,True,False,,2019-11-29T18:24:48Z,5,5,4,1,1,0,1,0
1612,Add Couler to the list,439,True,False,,2021-07-20T18:45:18Z,2,4,4,1,1,0,1,0
1745,Additions fontpreview library on Image Processing and dinosay on Command-line Tools,664,True,False,,2021-06-10T08:28:45Z,0,2,1,1,4,0,4,0
1105,Add Guillotina to the list,2012,True,False,,2019-11-29T07:24:50Z,0,2,4,1,1,0,1,0
1761,Jina - Neural Search framework,382,True,False,,2021-05-18T09:33:28Z,0,1,1,1,1,0,1,0
756,Adding Odoo,1068,True,False,,2019-11-06T14:36:34Z,0,2,2,1,1,0,1,0
1749,add curated python projects link to websites - others section,339,True,False,,2021-04-23T03:28:04Z,0,1,0,1,2,0,2,0
1733,adding things to README.md,1524,True,False,,2021-03-27T14:21:46Z,1,0,1,1,6,2,8,0
1741,new file added,220,True,False,,2021-03-11T10:26:42Z,0,2,0,1,1,0,1,0
1675,Add python-fsutil.,336,True,False,,2021-01-29T11:08:26Z,0,2,2,1,1,0,1,0
1700,Add Dbader,650,True,False,,2021-01-26T17:43:25Z,0,1,1,1,1,0,1,0
