Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
3019,Meta tweaks,180,True,True,2024-04-10T03:36:31Z,2024-04-10T03:36:31Z,0,2,0,1,2,2,4,1234.0
2999,Add LiDAR Place Recognition,7234,True,False,,2024-04-09T05:01:39Z,1,4,6,2,6,3,9,0
2978,Add OpenTofu,6946,True,True,2024-04-03T16:25:01Z,2024-04-03T16:25:01Z,0,5,15,1,1,0,1,3640694.0
3009,Add Univer to Front-End Development list,7147,True,False,,2024-04-02T06:52:34Z,0,1,0,1,1,0,1,0
3004,Fix Google Cloud name next to Firebase,56,True,True,2024-03-25T17:16:12Z,2024-03-25T17:16:12Z,0,2,0,1,1,1,2,15392.0
2079,Add Low Code,8084,True,True,2022-01-24T07:52:42Z,2022-01-24T07:52:42Z,4,8,19,1,1,0,1,8441579.0
2989,Stock control supervisors,7147,True,False,,2024-03-08T05:19:42Z,0,2,0,80,2089,2407,4496,0
2980,fixbug,7147,True,False,,2024-02-22T07:57:37Z,0,3,0,1,1,0,1,0
2977,Add Buddy.Works,7809,True,False,,2024-02-21T11:22:50Z,0,2,0,1,1,0,1,0
2976,add toit language,7147,True,False,,2024-02-20T19:10:22Z,0,2,1,1,1,0,1,0
2970,Adding Awesome Farcaster Frames,7147,True,False,,2024-02-19T22:31:56Z,1,3,1,1,1,0,1,0
2973,Update .editorconfig,7147,True,False,,2024-02-16T13:44:57Z,0,2,0,1,1,1,2,0
2585,Add Kustomize,6593,True,True,2024-02-13T21:32:40Z,2024-02-13T21:32:40Z,7,8,16,1,1,0,1,26745557.0
2888,Add QGis,7262,True,False,,2024-02-14T09:22:14Z,2,5,4,1,1,0,1,0
2878,Update readme.md - Add LLM WebUIs,7251,True,False,,2024-02-14T09:21:35Z,1,4,2,1,1,0,1,0
2874,Add Deliberative Prompting,7239,True,False,,2024-02-14T09:21:21Z,0,3,2,1,1,0,1,0
2843,Add Processing,7390,True,False,,2024-02-14T09:15:30Z,0,4,5,1,1,1,2,0
2837,Add AI Collection,7498,True,False,,2024-02-14T08:37:31Z,2,8,9,1,1,0,1,0
