Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
6335,added emoji in README.md,159,True,False,,2024-04-11T03:30:11Z,0,1,1,2,5,4,9,0
6344,Grammatically improved Security.md doc,95,True,False,,2024-04-09T09:37:49Z,1,2,2,1,1,2,3,0
6339,Grammatically improved Security.md doc,42,True,False,,2024-04-07T17:19:18Z,0,1,0,1,1,2,3,0
6305,chore(deps): bump tj-actions/changed-files from 40 to 43,6523,True,False,,2024-04-01T10:04:47Z,0,0,1,1,2,2,4,0
6334,added emoji in README.md and added comments,479,True,False,,2024-04-01T03:35:02Z,0,1,0,1,4,3,7,0
6263,backport: custom params serializer support for v0.x,211,True,True,2024-03-28T16:54:20Z,2024-03-28T16:54:20Z,3,3,2,5,39,6,45,2626506.0
6331,[Release] v0.28.1,177,True,True,2024-03-28T17:22:44Z,2024-03-28T17:22:44Z,0,1,0,13,65,27,92,795.0
6307,fix(backport): Uncaught ReferenceError req is not defined at AbortSig…,275,True,True,2024-03-21T18:31:07Z,2024-03-21T18:31:07Z,0,3,1,1,1,1,2,219878.0
5378,Evinq debugger,3,True,False,,2022-12-28T09:57:35Z,0,4,1,13,223,161,384,0
6247,chore(deps): bump tj-actions/changed-files from 40 to 42,7575,True,False,,2024-03-18T10:40:18Z,0,0,1,1,2,2,4,0
6133,chore(ci): updated structured git ignore,40,True,False,,2024-03-15T20:03:52Z,0,1,0,1,47,11,58,0
6231,chore(ci): add npm tag action;,0,True,True,2024-02-12T19:41:50Z,2024-02-12T19:41:50Z,0,1,0,1,30,0,30,109.0
6196,docs: Update README.md to point to current axios version in CDN links,77,True,True,2024-02-16T10:17:26Z,2024-02-16T10:17:27Z,1,2,1,1,2,2,4,2122389.0
6194,docs: update README responseEncoding types,281,True,True,2024-02-16T10:18:16Z,2024-02-16T10:18:16Z,1,2,1,1,3,0,3,2298653.0
