Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
39925,Updated for issue regarding .form-text inline bug,819,True,False,,2024-04-25T04:55:45Z,0,2,1,1,8,1,9,0
39921,Build(deps-dev): Bump hugo-bin from 0.121.1 to 0.122.3,1956,True,True,2024-04-23T10:11:03Z,2024-04-23T10:11:03Z,1,1,0,2,5,5,10,1044.0
39922,Build(deps-dev): Bump eslint-plugin-html from 8.1.0 to 8.1.1,1991,True,True,2024-04-23T10:10:40Z,2024-04-23T10:10:40Z,1,1,0,2,5,5,10,1009.0
39919,Build(deps-dev): Bump terser from 5.30.3 to 5.30.4,1900,True,True,2024-04-23T10:08:47Z,2024-04-23T10:08:47Z,1,1,0,2,5,5,10,938.0
39920,Build(deps-dev): Bump rollup from 4.14.3 to 4.16.3,3924,True,True,2024-04-23T10:08:20Z,2024-04-23T10:08:20Z,1,1,0,2,69,69,138,894.0
39914,Added closing tag to search bar in navbar documentation,890,True,False,,2024-04-20T23:07:14Z,0,2,1,1,1,1,2,0
39917,Margin and Padding not working as per shortcut - improvements,1055,True,False,,2024-04-20T23:06:04Z,0,2,0,1,2,2,4,0
38984,Convert build scripts to ESM,0,True,True,2023-08-06T04:37:24Z,2023-08-06T04:37:24Z,1,2,0,10,67,57,124,496809.0
39904,Build(deps-dev): Bump sass from 1.74.1 to 1.75.0,2444,True,True,2024-04-16T10:18:29Z,2024-04-16T10:18:29Z,1,1,0,2,5,5,10,1376.0
39903,Build(deps-dev): Bump rollup from 4.14.1 to 4.14.3,3844,True,True,2024-04-16T10:17:57Z,2024-04-16T10:17:57Z,1,1,0,2,80,66,146,1359.0
39902,Build(deps-dev): Bump eslint-plugin-html from 8.0.0 to 8.1.0,2149,True,True,2024-04-16T10:17:38Z,2024-04-16T10:17:38Z,1,1,0,2,5,5,10,1353.0
31943,Feature Request - New Width Classes ,507,True,False,,2022-10-03T18:03:17Z,0,7,15,2,20,4,24,0
39866,"Add letter-spacing variable to buttons, body, headings, and form elements",732,True,False,,2024-04-15T00:06:20Z,0,3,2,7,20,4,24,0
39831,Add an example of background color when items are clicked,702,True,False,,2024-04-15T00:15:20Z,0,2,2,1,23,0,23,0
39885,Build(deps-dev): Bump eslint from 8.57.0 to 9.0.0,9737,True,False,,2024-04-10T14:57:46Z,0,1,2,2,94,105,199,0
39890,Build(deps-dev): Bump @babel/preset-env from 7.24.3 to 7.24.4,4310,True,True,2024-04-09T15:10:12Z,2024-04-09T15:10:12Z,1,1,1,2,38,21,59,361.0
39891,Build(deps-dev): Bump @babel/core from 7.24.3 to 7.24.4,4290,True,True,2024-04-09T15:06:44Z,2024-04-09T15:06:44Z,1,1,0,2,17,17,34,136.0
39887,Build(deps-dev): Bump rollup from 4.13.2 to 4.14.1,4065,True,True,2024-04-09T15:06:04Z,2024-04-09T15:06:04Z,1,1,0,2,65,65,130,20575.0
39886,Build(deps-dev): Bump terser from 5.29.2 to 5.30.3,1344,True,True,2024-04-09T15:05:16Z,2024-04-09T15:05:16Z,1,1,0,3,6,6,12,20543.0
39884,Build(deps-dev): Bump sass from 1.72.0 to 1.74.1,3967,True,True,2024-04-09T14:56:22Z,2024-04-09T14:56:22Z,1,1,0,2,5,5,10,20038.0
39883,Build(deps-dev): Bump eslint-plugin-unicorn from 51.0.1 to 52.0.0,1344,True,True,2024-04-09T14:55:17Z,2024-04-09T14:55:17Z,1,1,0,3,6,5,11,19988.0
39874,Switch Form Layout depending on screen size,995,True,False,,2024-04-06T12:53:15Z,1,2,2,1,16,0,16,0
39871,Update buttons,671,True,False,,2024-04-06T06:16:00Z,0,2,1,1,23,11,34,0
39863,Add PostCSS-RTLCSS approach to the documentation,1294,True,True,2024-04-05T17:50:01Z,2024-04-05T17:50:01Z,2,4,5,1,10,0,10,162600.0
37252,Add `$enable-important-utilities` condition in colored links,797,True,True,2022-10-06T20:04:43Z,2022-10-06T20:04:43Z,1,3,4,1,2,2,4,260406.0
39859,Build(deps-dev): Bump stylelint-config-twbs-bootstrap from 14.0.0 to 14.1.0,2818,True,True,2024-04-02T10:01:26Z,2024-04-02T10:01:26Z,1,1,1,2,16,16,32,1746.0
