Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
682,"Added ""Build a Tiny Compiler in Java"" under Programing Languages",593,True,False,,2024-04-15T19:36:46Z,0,1,1,1,1,0,1,0
1030,added python commandline tool,91,True,False,,2024-04-14T10:53:53Z,2,2,0,1,2,0,2,0
878,Update URL for Let's Create a Simple Load Balancer With Go,42,True,True,2023-05-28T13:56:02Z,2023-05-28T13:56:02Z,0,2,0,1,1,1,2,3897880.0
1014,Fixed broken link,108,True,True,2024-02-21T19:04:09Z,2024-02-21T19:04:09Z,0,2,1,1,1,1,2,52985.0
1025,emphasize for missing tutorials,0,True,True,2024-03-25T11:24:10Z,2024-03-25T11:24:10Z,0,2,1,1,2,2,4,235016.0
1024,emphasize Lua CDN tutorial,0,True,False,,2024-03-22T18:08:00Z,0,1,0,1,1,1,2,0
1020,fix missing underscore for Go database tutorial,1,True,True,2024-03-14T09:56:57Z,2024-03-14T09:56:57Z,0,2,1,1,1,1,2,40167.0
1017,Update README.md,68,True,True,2024-02-27T17:19:52Z,2024-02-27T17:19:52Z,0,2,1,1,1,1,2,1527.0
956,Update README.md,0,True,False,,2024-02-25T19:38:59Z,0,1,1,1,1,1,2,0
1012,Update README.md,183,True,True,2024-02-19T11:57:44Z,2024-02-19T11:57:44Z,0,2,1,1,1,1,2,127726.0
512,Fix a broken link with archive,0,True,False,,2024-02-12T22:30:30Z,1,2,0,1,2,2,4,0
1007,fix: using https instead of http for createcommons,0,True,True,2024-02-09T13:57:09Z,2024-02-09T13:57:09Z,0,3,1,1,1,1,2,6923.0
996,Update broken git plugin tutorial link,0,True,True,2024-01-25T13:41:45Z,2024-01-25T13:41:45Z,0,2,1,1,1,1,2,126593.0
964,Fixed dead link with Wayback Machine,146,True,False,,2024-01-04T21:29:54Z,0,1,0,1,1,1,2,0
986,Create Search Engine from Scratch using Java,65,True,False,,2024-01-04T16:42:22Z,0,1,0,1,5,4,9,0
981,Correcting a grammatical issue,32,True,False,,2024-01-03T09:37:44Z,0,2,1,1,1,1,2,0
977,Fixed broken link for 'Command line tool in Rust',0,True,True,2023-12-29T16:48:25Z,2023-12-29T16:48:25Z,0,2,1,1,1,1,2,45545.0
961,new pull request,0,True,False,,2023-11-24T11:55:09Z,1,3,0,1,1,0,1,0
912,Update README.md,0,True,False,,2023-11-19T13:20:10Z,0,1,0,1,3,3,6,0
954,Add Build Your Own Web Server From Scratch In JavaScript,0,True,True,2023-11-07T12:12:27Z,2023-11-07T12:12:27Z,0,2,1,1,1,0,1,4313.0
950,Two rust tutorials,91,True,True,2023-10-29T21:47:34Z,2023-10-29T21:47:34Z,0,2,0,1,3,0,3,258.0
934,Fix: Replaced a broken link with alternative from smashingmagazine.com,142,True,True,2023-10-26T20:04:50Z,2023-10-26T20:04:50Z,1,3,0,1,1,1,2,2293705.0
944,Update README.md,13,True,False,,2023-10-16T17:13:38Z,1,2,0,1,1,0,1,0
870,Add quote information,0,True,False,,2023-10-16T15:00:21Z,1,3,1,1,1,1,2,0
933,Add Build your own Redis from scratch in Go,0,True,True,2023-09-20T17:36:20Z,2023-09-20T17:36:20Z,0,3,2,1,2,1,3,301.0
942,Make links for databases alphabetical,64,True,True,2023-10-10T15:28:02Z,2023-10-10T15:28:02Z,0,2,1,1,4,4,8,64.0
941,Add Building Regex Engine in Go tutorial,189,True,True,2023-10-09T11:25:24Z,2023-10-09T11:25:24Z,0,2,1,1,1,0,1,181353.0
890,Create your first simple Discord bot in java.,0,True,False,,2023-09-28T06:46:58Z,0,1,0,1,1,0,1,0
574,Update README.md,34,True,False,,2023-08-18T12:26:59Z,0,1,0,1,1,1,2,0
923,"[Add] Learn Rust by 500 lines code, build a Todo Cli Application",0,True,False,,2023-08-18T07:08:46Z,0,1,1,1,32,27,59,0
906,Added link to CHIP-8 emulator created in Java from scratch,0,True,False,,2023-08-14T20:38:36Z,0,1,0,1,1,0,1,0
926,"Article ""Java: How To Make a Scary Russian Twitter Bot With Java"" has been removed",54,True,True,2023-08-08T19:31:06Z,2023-08-08T19:31:06Z,0,3,1,1,0,1,1,360.0
