Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
450,WI-235 1 2 3 4,6,True,False,,2024-02-29T13:54:39Z,0,1,0,1,1,1,2,0
402,missed an await in doc on async/await,0,True,False,,2023-08-04T19:30:45Z,0,0,1,1,1,1,2,0
419,fixed doc: missed `()` sign on Functions should do one thing for isActiveClient function,92,True,False,,2023-02-26T06:48:09Z,0,1,0,1,1,1,2,0
356,Persian translation added (Fluent + RTL styled),161,True,True,2023-02-11T17:28:24Z,2023-02-11T17:28:24Z,0,2,1,1,1,0,1,49075006.0
400,Latinoamerican Spanish translation,177,True,False,,2023-01-11T17:08:57Z,0,1,0,1,1126,1347,2473,0
408,fix: trim and indent code,0,True,False,,2022-11-24T16:30:08Z,0,1,0,2,78,81,159,0
398,Examqle test,35,True,False,,2022-08-21T13:23:57Z,0,1,0,1,138,139,277,0
399,changes[1]from line [0-195]-safeparadise,78,True,False,,2022-08-24T04:52:49Z,0,2,0,1,57,64,121,0
397,from line 2003/end was translated,0,True,False,,2022-08-21T17:36:23Z,0,2,1,1,40,50,90,0
383,French translation,47,True,True,2022-08-21T17:35:59Z,2022-08-21T17:35:59Z,0,3,2,1,1,1,2,11251267.0
392,Fix wrong naming of `default parameters`,11,True,True,2022-08-21T17:34:05Z,2022-08-21T17:34:05Z,0,2,1,1,2,2,4,3630231.0
395,Updated broken link with a new one,0,True,False,,2022-08-21T12:09:40Z,0,1,0,1,1,1,2,0
394,updated the broken link,92,True,False,,2022-08-17T05:44:58Z,0,1,0,1,1,1,2,0
368,Replace invalid french translation link,37,True,False,,2022-04-13T11:56:40Z,0,0,1,1,1,1,2,0
204,Add Object Spread example to 'Set default objects' section,0,True,False,,2021-05-24T15:52:20Z,1,5,3,1,25,0,25,0
376,Table of contents,71,True,False,,2022-02-18T11:12:07Z,0,1,0,1,149,152,301,0
374,copyright changes 2016 to 2022,0,True,False,,2022-02-05T14:19:17Z,0,1,0,0,0,0,0,0
326,Add Serbian translation.,0,True,True,2021-01-21T03:27:40Z,2021-01-21T03:27:40Z,1,3,1,1,1,0,1,8853579.0
355,Added Romanian translation.,39,True,False,,2021-11-13T09:24:46Z,0,1,0,1,2,1,3,0
352,Add note to default objects section,0,True,False,,2021-06-30T13:55:39Z,0,1,0,1,6,0,6,0
341,Make example more succinct,56,True,True,2021-05-23T17:52:52Z,2021-05-23T17:52:52Z,0,2,1,1,2,2,4,4770845.0
104,"Call for discussion about ""Remove duplicate code""",3359,True,False,,2021-05-24T15:52:51Z,0,3,5,1,20,13,33,0
127,feature: iterator variable names,245,True,False,,2021-05-24T15:52:46Z,1,3,2,1,44,0,44,0
139,"[Update] ""Prefer composition over inheritance"" section content",325,True,False,,2021-05-24T15:52:40Z,6,7,16,1,101,43,144,0
167,[section] Avoid negative conditionals,109,True,False,,2021-05-24T15:52:26Z,0,4,4,1,11,1,12,0
209,"Update function name in ""Don't add unneeded context""",195,True,False,,2021-05-23T18:53:23Z,1,3,3,1,4,4,8,0
211,"fix code sample in ""Use Promises, not callbacks"" section",83,True,False,,2021-05-23T18:50:49Z,1,4,5,1,2,2,4,0
338,add a new section for code streamlining,129,True,False,,2021-05-23T18:48:55Z,0,2,1,1,28,1,29,0
347,replace avoid conditionals with a more Gaurd Cluases,152,True,False,,2021-05-23T18:34:36Z,2,3,1,1,20,43,63,0
339,Encapsulation (Variable Section),46,True,False,,2021-05-23T18:23:47Z,0,2,1,1,8,10,18,0
348,simplified over-optimization example,61,True,False,,2021-05-23T18:13:02Z,0,2,1,1,2,1,3,0
346,Focus on cleaner example for `Favor functional programming over imperative programming`,145,True,False,,2021-05-23T18:09:12Z,0,2,1,1,4,21,25,0
274,"let go of `let`, embrace `const`",259,True,False,,2021-05-23T18:06:37Z,0,2,2,1,40,1,41,0
333,added 'Use let/const instead of var',134,True,False,,2021-05-23T18:04:41Z,1,3,2,1,36,0,36,0
342,fix: arguments-> parameters,114,True,False,,2021-05-23T17:52:04Z,0,2,2,1,42,5,47,0
224,Spanish,0,True,False,,2020-10-07T20:18:15Z,1,3,6,1,1,0,1,0
332,"Corrección ortográfica ""hcaer""",0,True,False,,2020-12-14T22:46:56Z,0,2,0,1,1448,1216,2664,0
331,Adding Myanmar ( Burmese ) Version,155,True,False,,2020-12-07T14:24:21Z,0,1,0,1,1,0,1,0
327,primerierof,25,True,False,,2020-10-18T16:37:36Z,0,2,1,1,19,0,19,0
325,Fix stray hyphen turning into a random bullet,32,True,True,2020-10-08T03:23:25Z,2020-10-08T03:23:25Z,0,2,0,1,2,2,4,368.0
270,"fixbug: judge existence before use in ""Use explanatory variables""",240,True,False,,2020-10-07T20:24:29Z,0,2,1,1,1,1,2,0
267,Add New Topic,26,True,False,,2020-10-07T20:15:21Z,0,3,5,1,79,0,79,0
269,"Replace ""make"" by ""brand""",41,True,False,,2020-10-07T20:13:02Z,0,2,2,1,2,2,4,0
318,Add translation notice,288,True,False,,2020-10-07T20:09:10Z,0,2,1,1,2,0,2,0
320,Add calculation for milliseconds in a day,116,True,True,2020-10-07T18:41:04Z,2020-10-07T18:41:04Z,0,3,3,1,1,1,2,2700883.0
323,"Replace pass-by-reference with mutability, clean up",423,True,True,2020-10-06T22:18:18Z,2020-10-06T22:18:18Z,0,2,1,1,16,13,29,152034.0
322,Create decorators_in_js,0,True,False,,2020-10-03T17:38:50Z,0,2,0,1,21,0,21,0
288,Change argument name from inner variable name,0,True,True,2020-07-31T03:09:46Z,2020-07-31T03:09:46Z,1,3,1,1,2,2,4,16569643.0
312,Fix calling animationModule in ISP bad example,0,True,True,2020-05-03T01:47:08Z,2020-05-03T01:47:08Z,0,2,1,1,1,1,2,2714377.0
313,Ukrainian translation is added,0,True,True,2020-04-17T03:39:55Z,2020-04-17T03:39:55Z,0,2,1,1,1,0,1,49221.0
311,Turkish added,0,True,True,2020-03-31T17:19:01Z,2020-03-31T17:19:01Z,0,2,1,1,1,0,1,216866.0
310,Turkish added,0,True,False,,2020-03-29T04:53:44Z,0,1,0,1,355,546,901,0
297,Fixed a small typo,0,True,True,2020-02-12T04:01:47Z,2020-02-12T04:01:47Z,0,3,4,1,1,1,2,433034.0
287,Added optional chaining,121,True,False,,2020-02-07T04:08:52Z,0,3,7,1,20,0,20,0
290,Update README.md,24,True,True,2020-02-07T04:08:06Z,2020-02-07T04:08:06Z,0,2,1,1,1,1,2,1406847.0
291,translations,55,True,True,2020-01-22T16:38:36Z,2020-01-22T16:38:36Z,0,2,1,1,9,12,21,58518.0
289,Update README.md,25,True,True,2020-01-21T21:25:07Z,2020-01-21T21:25:08Z,0,2,1,1,1,1,2,464.0
280,Add advantage in function parameters,65,True,True,2020-01-20T22:47:56Z,2020-01-20T22:47:56Z,0,3,2,1,6,2,8,898863.0
283,Added numeric separator for improve readability,142,True,True,2020-01-19T05:11:00Z,2020-01-19T05:11:00Z,0,3,5,1,1,1,2,55578.0
279,Update advantage in 'Function arguments',66,True,False,,2020-01-10T12:53:02Z,0,1,0,1,5,2,7,0
277,Added source link for bengali translations,37,True,True,2020-01-02T17:47:10Z,2020-01-02T17:47:10Z,0,2,3,1,3,1,4,124642.0
276,Added source link for bengali translations,101,True,False,,2020-01-01T07:02:34Z,0,1,0,2,208,263,471,0
273,Fixing bad code example for over-optimization,0,True,True,2019-11-22T04:46:38Z,2019-11-22T04:46:38Z,0,2,1,1,1,1,2,32738.0
272,Added link to the traditional chinese translation ,39,True,True,2019-11-18T16:00:03Z,2019-11-18T16:00:03Z,0,2,1,1,3,2,5,10303.0
268,Some corrections in **Concurrency** section,0,True,True,2019-10-29T15:34:12Z,2019-10-29T15:34:12Z,0,2,1,1,14,12,26,350583.0
265,[WIP] Turkish Translation,149,True,False,,2019-10-01T13:43:43Z,0,1,0,1,528,531,1059,0
264,fix typo - Indonesian,0,True,True,2019-08-23T16:49:10Z,2019-08-23T16:49:10Z,0,2,1,1,1,1,2,185842.0
263,Update plain http links to https,327,True,True,2019-08-08T22:55:57Z,2019-08-08T22:55:57Z,0,2,1,1,4,4,8,1869.0
262,fix wrong syntax,0,True,True,2019-08-05T16:14:27Z,2019-08-05T16:14:27Z,0,2,1,1,1,1,2,1001.0
