Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
1451,Marcado con X,0,True,False,,2024-04-24T01:16:27Z,0,1,1,1,1,1,2,0
1447,todays tasks,0,True,False,,2024-04-18T17:44:17Z,0,1,1,2,1245,1103,2348,0
1443,Create SECURITY.md,0,True,False,,2024-04-16T06:04:26Z,0,2,1,1,21,0,21,0
1445,"Modify README.md ""中文版本"" to ""简体中文"" / modify some translations in Traditional Chinese",393,True,True,2024-04-16T03:36:53Z,2024-04-16T03:36:53Z,0,2,0,17,20,20,40,3895.0
1444, Update for roadmap,18,True,False,,2024-04-15T14:24:21Z,0,2,1,1,1,1,2,0
1442,Progress,0,True,False,,2024-04-01T15:14:34Z,0,2,0,1,5,5,10,0
1441,Update README.md,48,True,False,,2024-03-29T05:54:24Z,0,1,0,1,0,1255,1255,0
1440,1. subline,0,True,False,,2024-03-28T20:32:08Z,0,1,1,0,0,0,0,0
1439,HOW TO HIRE MUYERN TRUST HACKER TO CATCH A CHEATER,2521,True,False,,2024-03-14T15:18:35Z,0,2,0,2,1,1957,1958,0
1437,Prog,0,True,False,,2024-03-11T13:24:09Z,0,1,0,1,24,0,24,0
1436,docs: Add new resource for practicing system design problems,0,True,True,2024-03-05T15:56:18Z,2024-03-05T15:56:18Z,0,2,0,1,1,0,1,10467.0
1435,Update README.md to include Codemia as a tool to practice system desi…,197,True,True,2024-03-03T18:44:14Z,2024-03-03T18:44:14Z,0,2,0,1,1,0,1,146535.0
1433,docs: update Chinese translation for algorithm analysis video URL,0,True,True,2024-02-23T02:37:58Z,2024-02-23T02:37:58Z,0,2,0,1,1,1,2,54708.0
1432,Progress,0,True,False,,2024-02-15T16:34:12Z,0,1,0,2,2,2,4,0
1431,Tandai X,108,True,False,,2024-02-15T13:10:13Z,0,1,0,2,2,2,4,0
1430,Update global translations,221,True,True,2024-02-02T17:58:10Z,2024-02-02T17:58:10Z,0,2,2,16,345,298,643,23310.0
1420,"Updated README-bn(Typo, Formatting, Linking issue).md ",32,True,True,2024-01-31T16:45:19Z,2024-01-31T16:45:19Z,0,2,3,1,413,413,826,2627856.0
1428,Update formatting and fix typos in README-bg.md,257,True,True,2024-01-28T18:42:24Z,2024-01-28T18:42:24Z,0,2,1,1,62,64,126,3764.0
1427,Bbb,0,True,False,,2024-01-28T15:23:19Z,0,1,0,0,0,0,0,0
1426,Progress,1,True,False,,2024-01-28T15:08:19Z,0,1,1,0,0,0,0,0
1425,Update README.md,0,True,False,,2024-01-27T17:35:01Z,0,1,0,1,1,1,2,0
1422,updated from main,0,True,False,,2024-01-10T04:29:53Z,0,2,1,1,1,1,2,0
1421,"Update review video count, add playlist for algorithm analysis",41,True,True,2024-01-06T19:37:39Z,2024-01-06T19:37:39Z,0,2,1,28,55,55,110,4914.0
1419,"Updated README-bn(typo, formatting, linking issue).md",56,True,False,,2024-01-01T06:46:30Z,0,1,0,1,414,414,828,0
1418,"Corrected translations, added punctuation and fixed spelling mistakes.",0,True,True,2023-12-31T01:05:54Z,2023-12-31T01:05:54Z,0,2,1,1,19,19,38,5741.0
1355,Update README-uk.md,34,True,False,,2023-12-28T23:27:21Z,0,2,1,1,31,33,64,0
1416,Complete migration of Japanese translation update,149,True,True,2023-12-17T02:57:36Z,2023-12-17T02:57:36Z,0,2,1,1,653,570,1223,54902.0
1415,Update README-tr.md,42,True,True,2023-12-04T23:12:23Z,2023-12-04T23:12:23Z,0,2,1,1,14,14,28,8930.0
1411,Update README-vi.md,231,True,True,2023-11-16T03:09:19Z,2023-11-16T03:09:19Z,0,2,1,1,930,827,1757,65748.0
1409,test forking,38,True,False,,2023-11-04T13:39:14Z,0,1,0,1,1,0,1,0
1408,End of Japanese translation of topic of study.,151,True,True,2023-11-03T23:50:57Z,2023-11-03T23:50:57Z,0,2,0,2,301,472,773,23055.0
1406,Japanese translation of tree and sorting section,116,True,True,2023-11-03T15:22:24Z,2023-11-03T15:22:25Z,0,2,0,1,98,80,178,102412.0
1405,Fixes where listings are not valid,99,True,True,2023-11-01T15:29:21Z,2023-11-01T15:29:21Z,0,2,0,1,3,2,5,8011.0
1404,Translated to other knowledge items in the research themes section,126,True,True,2023-11-01T15:26:26Z,2023-11-01T15:26:26Z,0,2,0,1,255,266,521,8641.0
1402,Complete transition of study plan sections,123,True,True,2023-10-30T16:20:09Z,2023-10-30T16:20:10Z,0,2,0,1,227,209,436,12810.0
1403,Remove trailing spaces at end of text,93,True,True,2023-10-30T16:18:39Z,2023-10-30T16:18:39Z,0,2,2,1,31,31,62,12316.0
1401,Src/data structures/array,0,True,False,,2023-10-30T04:20:26Z,0,1,0,5,220,26,246,0
1400,Corrected and updated Japanese translation.,202,True,True,2023-10-29T17:18:59Z,2023-10-29T17:18:59Z,0,2,4,1,52,38,90,56373.0
1398,Update README.md Grammatically,33,True,True,2023-10-25T15:26:42Z,2023-10-25T15:26:42Z,0,2,1,1,94,94,188,38297.0
1397,update readme,0,True,False,,2023-10-24T02:03:07Z,0,1,0,29,1111,53274,54385,0
1396,"Correct translation for Graphs is ""Grafos"" instead of ""Graficos"". Fixed that!",100,True,True,2023-10-24T00:24:02Z,2023-10-24T00:24:02Z,0,2,1,1,5,5,10,2858.0
1395,Fix french typos in README-fr.md,25,True,True,2023-10-19T14:54:53Z,2023-10-19T14:54:53Z,0,2,1,1,5,5,10,6633.0
1394,Create CodingInterview.java,7,True,False,,2023-10-16T16:06:49Z,0,3,4,1,99,0,99,0
1393,update README-cn.md,19,True,True,2023-10-15T06:41:05Z,2023-10-15T06:41:05Z,0,2,0,1,1,0,1,10424.0
1391,Update .gitignore,0,True,False,,2023-10-02T14:47:37Z,0,2,2,1,4,1,5,0
1389,Add Hello Interview to mock interview resources,264,True,True,2023-10-02T14:57:51Z,2023-10-02T14:57:51Z,0,2,1,1,1,0,1,225900.0
1388,feat: Updated README-tr.md,51,True,True,2023-09-29T02:56:02Z,2023-09-29T02:56:02Z,0,2,1,1,1,1,2,20227.0
1386,cn: make the links clickable,0,True,False,,2023-09-27T15:58:03Z,0,3,2,1,4,4,8,0
1385,Update README-cn.md 'is trivial' => 微不足道,40,True,True,2023-09-25T15:29:29Z,2023-09-25T15:29:29Z,0,2,1,1,1,1,2,42184.0
1383,Modify: REAMD.md,0,True,False,,2023-09-10T08:00:14Z,0,1,0,1,2,505,507,0
1381,Fix french typos,16,True,True,2023-09-04T01:27:28Z,2023-09-04T01:27:28Z,0,2,1,1,19,19,38,15484.0
1380,completed Harvard CS50 - Asymptotic Notation (video),0,True,False,,2023-09-02T17:50:19Z,0,2,1,1,40,40,80,0
1379,exemple_file,16,True,False,,2023-08-22T15:13:47Z,0,2,0,1,3,0,3,0
1378,Create Learn,0,True,False,,2023-08-19T01:12:38Z,0,2,0,1,1,0,1,0
1376,Update the full Chinese documentation,93,True,True,2023-08-08T15:19:55Z,2023-08-08T15:19:55Z,0,2,1,1,656,653,1309,20528.0
1367,change site for new languages,0,True,False,,2023-08-06T17:23:08Z,0,2,1,1,1217,1128,2345,0
1375,Update section of Chinese documents,86,True,True,2023-08-06T17:22:17Z,2023-08-06T17:22:17Z,0,2,1,1,8,7,15,45998.0
1372,Fixed duplicated bullet point,0,True,True,2023-07-19T02:53:35Z,2023-07-19T02:53:35Z,1,3,1,1,0,1,1,73567.0
1371,Translation of three chapters ,20,True,False,,2023-07-18T06:20:18Z,0,1,0,1,1253,1193,2446,0
1368,Preparation for Full Stack Web Developer,161,True,False,,2023-07-12T16:50:24Z,1,3,1,1,1247,1128,2375,0
1366,add this to me,0,True,False,,2023-07-09T19:54:56Z,0,2,1,1,1,0,1,0
1365,Updated Readme.md,123,True,True,2023-07-07T02:16:15Z,2023-07-07T02:16:15Z,0,2,1,1,5,5,10,59610.0
1364,Updated Readme.md for Non-Working Links,185,True,False,,2023-07-06T09:06:01Z,0,2,1,1,1209,1127,2336,0
1360,"Add review videos for AVL trees, code examples",110,True,True,2023-07-06T02:12:58Z,2023-07-06T02:12:58Z,0,2,10,27,109,55,164,791889.0
1296,Fixing link.,72,True,True,2023-01-04T20:53:32Z,2023-01-04T20:53:32Z,0,2,1,1,2,2,4,20710.0
1363,Progress branch merge,0,True,False,,2023-07-03T20:46:06Z,0,1,0,1,1273,1159,2432,0
1361,Revert 1 main,0,True,False,,2023-06-29T03:42:28Z,0,1,0,28,36,43,79,0
1357,Update video count for review videos,77,True,True,2023-06-15T02:15:38Z,2023-06-15T02:15:38Z,1,3,0,27,27,27,54,115307.0
1354,Progress,0,True,False,,2023-05-17T22:53:43Z,0,1,0,1,10,409,419,0
1352,Added a new resource,249,True,True,2023-05-15T19:01:50Z,2023-05-15T19:01:50Z,1,3,1,1,1,0,1,28026.0
1349,Merge pull request #1 from jwasham/main,0,True,False,,2023-04-30T08:15:16Z,0,1,0,0,0,0,0,0
1347,Update README-uz.md,138,True,True,2023-04-25T15:12:30Z,2023-04-25T15:12:30Z,0,2,2,1,8,0,8,17349.0
1344,Marked X,419,True,False,,2023-04-23T18:10:16Z,0,3,4,1,11,11,22,0
1342,Add Coding Challenges Newsletter,144,True,False,,2023-04-23T17:40:11Z,0,2,1,1,1,0,1,0
283,"English ""README.md"" file to the Turkish version",114,True,True,2021-07-31T17:45:10Z,2021-07-31T17:45:10Z,0,6,9,1,2011,38,2049,114729710.0
1345,Code files,120,True,False,,2023-04-02T20:49:35Z,0,2,1,15,606,0,606,0
1339,Progress,38,True,False,,2023-03-27T09:55:26Z,0,1,0,1,42,42,84,0
1336,Update Meetapro link,62,True,True,2023-03-22T15:06:26Z,2023-03-22T15:06:26Z,0,2,0,1,1,1,2,428783.0
1338,Fix broken link to a Python resource,0,True,True,2023-03-19T18:45:09Z,2023-03-19T18:45:09Z,0,2,1,1,1,1,2,12866.0
1337,By syed Dayim shah,0,True,False,,2023-03-18T18:13:07Z,0,2,3,2,167,0,167,0
1335,Add a new mock interview website,138,True,True,2023-03-17T15:08:08Z,2023-03-17T15:08:08Z,0,2,0,1,1,0,1,31405.0
1297,Marked x,0,True,False,,2023-01-05T18:30:03Z,0,2,1,1,1,1,2,0
1329,Fixed missing links and translation errors,50,True,True,2023-03-06T16:07:42Z,2023-03-06T16:07:42Z,0,2,5,1,404,300,704,643543.0
1331,Create readme.txt,0,True,False,,2023-03-05T06:22:20Z,0,1,0,1,1,0,1,0
1330,Progress,0,True,False,,2023-02-28T02:35:42Z,1,3,1,1,10,10,20,0
1149,Added Italian to Translations In Progress list,90,True,True,2023-03-01T16:31:00Z,2023-03-01T16:31:00Z,0,2,2,1,1,1,2,24994845.0
1328,Revise and rewrite the sections given below:,17,True,False,,2023-02-23T03:11:18Z,0,2,2,2,94,97,191,0
1327,Update translation links,97,True,True,2023-02-20T18:10:13Z,2023-02-20T18:10:13Z,0,2,0,1,1,1,2,29858.0
1326,Complete Urdu Translation,28,True,True,2023-02-20T04:26:11Z,2023-02-20T04:26:11Z,0,2,1,1,676,729,1405,23077.0
1319,Update Urdu readme,81,True,False,,2023-02-19T21:54:41Z,0,2,3,0,0,0,0,0
1325,Minor changes and updates,159,True,True,2023-02-16T01:36:48Z,2023-02-16T01:36:48Z,0,2,1,1,453,394,847,16553.0
1322,Add short review videos in other languages,291,True,True,2023-02-12T18:54:09Z,2023-02-12T18:54:09Z,0,2,1,28,613,35,648,177724.0
1321,Contributing.md,66,True,False,,2023-02-10T16:58:04Z,0,2,1,1,47,0,47,0
1320,Reading update,0,True,False,,2023-02-07T18:58:50Z,0,1,0,1,4,4,8,0
1318,Correction of Introductory para,117,True,True,2023-02-03T17:01:47Z,2023-02-03T17:01:48Z,0,3,2,1,7,8,15,17385.0
1316,translate table of contents in Urdu,0,True,True,2023-02-03T01:08:04Z,2023-02-03T01:08:04Z,0,2,1,1,122,125,247,6060.0
1314,Update README.md,0,True,False,,2023-02-02T16:34:40Z,0,2,0,1,1,1,2,0
1310,first note,192,True,False,,2023-01-24T16:42:29Z,0,2,0,1,1,1,2,0
1308,Update README-ru.md,2,True,False,,2023-01-18T13:10:18Z,0,1,0,1,5,5,10,0
1307,Big-O notation in simple English and arithmetic,36,True,False,,2023-01-17T17:43:40Z,0,2,1,1,1,0,1,0
1305,Correct book name in README,144,True,True,2023-01-14T18:58:47Z,2023-01-14T18:58:47Z,0,2,1,1,1,1,2,58143.0
1303,Marked x,0,True,False,,2023-01-11T01:01:41Z,0,2,2,1,1,1,2,0
1298,Bangla translation,134,True,True,2023-01-10T16:24:13Z,2023-01-10T16:24:14Z,0,2,3,1,92,121,213,260912.0
1299,Fix Japanese translation,638,True,True,2023-01-10T04:40:22Z,2023-01-10T04:40:22Z,0,2,4,1,52,35,87,150652.0
1293,add Algorithm book from Jeff Erickson from University of Illionis,123,True,True,2022-12-29T02:46:09Z,2022-12-29T02:46:09Z,0,2,1,1,1,0,1,71919.0
1292,add NAND to Tetris,67,True,True,2022-12-27T16:32:59Z,2022-12-27T16:32:59Z,2,2,1,1,2,1,3,127553.0
1279,Progress,0,True,False,,2022-12-20T07:50:14Z,0,2,2,1,133,88,221,0
1288,Added new linked list resource,135,True,True,2022-12-18T19:09:37Z,2022-12-18T19:09:37Z,1,2,2,1,1,0,1,54989.0
1287,Progress,23,True,False,,2022-12-17T10:43:27Z,0,1,1,2,5,3,8,0
1286,Main backup,0,True,False,,2022-12-05T18:47:15Z,0,1,0,13,634,47,681,0
1285,Bangla translation,104,True,True,2022-12-02T16:28:21Z,2022-12-02T16:28:21Z,0,2,3,1,66,0,66,81237.0
1267,Replace repeating link,53,True,True,2022-11-30T16:29:46Z,2022-11-30T16:29:47Z,1,2,3,0,0,0,0,1913020.0
1280,Bangla translation,160,True,True,2022-11-23T02:26:12Z,2022-11-23T02:26:12Z,0,2,3,1,66,122,188,126034.0
1277,Added Array video link at exact time ,0,True,True,2022-11-18T05:46:22Z,2022-11-18T05:46:22Z,0,2,2,1,1,0,1,199.0
1273,Added Array video link from Harvard University [CS50],109,True,False,,2022-11-18T05:40:21Z,0,2,2,1,1,0,1,0
1276,Progress,0,True,False,,2022-11-14T18:36:50Z,0,1,0,1,7,7,14,0
1274,big o,0,True,False,,2022-11-13T13:40:28Z,0,1,0,1,6,6,12,0
1272,Bangla translation,147,True,True,2022-11-12T18:28:57Z,2022-11-12T18:28:57Z,0,2,3,1,34,51,85,14183.0
1271,Bangla translation,112,True,True,2022-11-10T17:27:37Z,2022-11-10T17:27:37Z,0,2,3,1,55,47,102,3488.0
1268,Link and Name changed,0,True,True,2022-11-09T16:02:36Z,2022-11-09T16:02:36Z,0,2,1,1,1,1,2,22521.0
1270,Marked x,0,True,False,,2022-11-09T16:02:12Z,0,2,1,1,6,6,12,0
1263,Marked x,0,True,False,,2022-11-06T15:58:40Z,0,2,2,1,113,89,202,0
1261,Marcado con X,0,True,False,,2022-11-05T19:11:10Z,0,1,0,1,1,1,2,0
1259,Bangla translation,95,True,True,2022-11-05T17:44:59Z,2022-11-05T17:44:59Z,0,2,1,1,29,0,29,5702.0
1255,Progress,0,True,False,,2022-11-01T22:09:34Z,0,1,0,1,1213,1133,2346,0
1248,Bangla translation,195,True,True,2022-10-28T16:05:55Z,2022-10-28T16:05:55Z,0,2,3,1,80,61,141,168734.0
1250,Added X to completed,0,True,False,,2022-10-28T16:04:59Z,0,2,1,1,6,3,9,0
1247,Marked x,0,True,False,,2022-10-26T14:30:12Z,0,1,0,1,1,1,2,0
1246,Bangla translation,29,True,True,2022-10-22T20:09:36Z,2022-10-22T20:09:36Z,0,2,1,1,4,2,6,105484.0
1242,Created HTML Cheat Sheet Link,24,True,False,,2022-10-16T12:43:06Z,0,2,1,1,2,0,2,0
1243,Update README-bn.md,31,True,True,2022-10-16T12:41:22Z,2022-10-16T12:41:22Z,0,2,2,1,10,11,21,17602.0
1106,Revisar traducción en español.,154,True,True,2022-03-16T16:16:21Z,2022-03-16T16:16:21Z,2,2,3,1,316,352,668,194874.0
1237,Update link to binary search review,78,True,True,2022-10-06T10:57:39Z,2022-10-06T10:57:39Z,0,2,0,1,1,1,2,32049.0
1236,Update link for `Translations`,98,True,True,2022-10-06T00:30:24Z,2022-10-06T00:30:24Z,0,2,1,1,19,12,31,6001.0
