Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
1196,PS help!,0,True,False,,2024-04-08T00:46:56Z,0,2,1,1,2,0,2,0
1232,Move interactive textbook from courses to readings,0,True,True,2024-04-08T00:24:29Z,2024-04-08T00:24:29Z,0,1,0,2,2,2,4,241718.0
1227,Remove Projects.md,308,True,True,2024-04-08T00:06:51Z,2024-04-08T00:06:51Z,0,1,0,2,10,85,95,668822.0
1229,Remove the newsletter link,207,True,True,2024-04-03T00:29:52Z,2024-04-03T00:29:52Z,0,2,0,1,0,1,1,65924.0
1225,Add SPD coursepage,445,True,True,2024-04-02T00:46:39Z,2024-04-02T00:46:39Z,0,3,3,6,98,1,99,921161.0
1228,Update courses.md (Adding SICP in JavaScript),431,True,True,2024-04-02T00:42:34Z,2024-04-02T00:42:34Z,0,2,1,1,1,0,1,12396.0
1224,Add Intro CS coursepage and replace the OCW version with an archived version on Edx,992,True,True,2024-04-01T02:37:56Z,2024-04-01T02:37:56Z,0,3,1,2,33,1,34,1088042.0
1226,Mark the Py4E course link as link,320,True,True,2024-03-26T03:45:35Z,2024-03-26T03:45:35Z,1,3,0,1,2,2,4,296336.0
1192,Move space between badges out of link text,94,True,True,2024-03-11T04:39:54Z,2024-03-11T04:39:54Z,0,2,1,1,4,4,8,7731317.0
1209,fix: quick stupid case corrections for Discord,52,True,True,2024-03-11T04:40:29Z,2024-03-11T04:40:29Z,0,3,2,1,2,2,4,3158560.0
1223,Add a better theme for the OSSU CS website,86,True,False,,2024-03-11T04:35:09Z,0,1,0,1,4,0,4,0
1221,add final project into PROJECTS.md,77,True,True,2024-03-08T04:55:34Z,2024-03-08T04:55:34Z,0,2,0,1,1,0,1,36703.0
1215,Update README.md,0,True,False,,2024-02-24T15:41:51Z,0,1,0,1,1,0,1,0
1212,Remove mentions of outdated materials and add warning about them,1284,True,True,2024-02-18T17:16:58Z,2024-02-18T17:16:59Z,1,2,1,1,8,21,29,125531.0
97,Added MIT license.,64,True,True,2015-10-06T23:26:32Z,2015-10-06T23:26:32Z,1,3,1,1,21,0,21,1660.0
1206,Adding discussions channels,0,True,True,2024-02-03T10:36:52Z,2024-02-03T10:36:52Z,0,2,0,1,3,3,6,471274.0
1204,Adding a new URL course for Git and GitHub because the old link invalid,223,True,True,2024-01-28T04:26:18Z,2024-01-28T04:26:18Z,2,3,0,1,1,1,2,13859.0
1202,Update README.md,122,True,False,,2024-01-23T02:05:14Z,0,2,1,1,1,1,2,0
1194,Hopefully fix some confusions regarding alt courses,173,True,True,2024-01-01T05:20:30Z,2024-01-01T05:20:30Z,0,2,1,1,9,9,18,304500.0
1184,update Software Engineering: Introduction course,148,True,True,2023-11-09T07:36:44Z,2023-11-09T07:36:44Z,0,2,0,1,1,1,2,861595.0
1186,Update FAQ.md,32,True,False,,2023-10-31T14:58:49Z,0,2,0,1,4,4,8,0
1185,fix typos,58,True,True,2023-10-30T13:11:44Z,2023-10-30T13:11:44Z,0,2,1,2,2,2,4,1422.0
