Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
11241,add module federation support,984,True,False,,2024-04-23T10:42:01Z,4,7,13,8,77,9,86,0
8485,Add support to customize the Service Worker with InjectManifest and Workbox v5,1585,True,False,,2020-07-22T17:18:22Z,1,10,15,11,841,545,1386,0
13349,Exit process on `devServer.startCallback` error. (Invalid `setupProxy.js` ),325,True,False,,2024-04-01T18:26:21Z,0,2,0,1,10,1,11,0
11687,"Split ""Class Fields and Static Properties""",170,True,False,,2024-03-28T19:04:38Z,0,2,3,1,2,1,3,0
13472,Update dependencies in react-scripts to pull in latest babel traverse to get past known vulnerability.,427,True,False,,2024-03-28T14:53:13Z,0,5,6,2,2223,1717,3940,0
13527,Create google-cloudrun-source.yml,16,True,False,,2024-02-25T23:29:50Z,0,1,0,1,95,0,95,0
12734,Update measuring-performance.md,0,True,False,,2024-02-21T16:40:04Z,0,2,1,1,1,1,2,0
12575,Update running-tests.md,474,True,False,,2024-02-01T15:51:30Z,0,2,2,1,1,1,2,0
12025,Update pre-rendering-into-static-html-files.md,135,True,False,,2024-01-25T18:41:10Z,0,2,2,1,1,1,2,0
13499,test,0,True,False,,2024-01-20T00:24:43Z,0,2,1,1,1,1,2,0
13498,Mistake PR,71,True,False,,2024-01-16T12:58:07Z,0,3,1,16,744,641,1385,0
13476,Updated copyright ,69,True,False,,2024-01-06T10:05:32Z,0,2,1,1,1,1,2,0
13482,robotxt,0,True,False,,2023-12-29T11:10:10Z,0,2,1,2,30,1,31,0
11315,Chore: (Docs) Updates for the Storybook docs,666,True,True,2022-06-17T17:33:46Z,2022-06-17T17:33:46Z,0,3,4,1,4,4,8,26256057.0
12080,docs: update jest links,13,True,True,2022-06-17T17:38:19Z,2022-06-17T17:38:20Z,0,3,0,1,20,20,40,10245667.0
12412,fix: Reuse opening tab in Chrome Dev and Chrome Beta,10,True,True,2022-05-18T19:57:50Z,2022-05-18T19:57:51Z,0,3,1,1,2,0,2,5292.0
13222,Migrate from Azure Pipelines to GitHub Actions,672,True,True,2023-06-14T20:58:56Z,2023-06-14T20:58:56Z,0,3,2,8,115,177,292,427347.0
11915,Warn when not using the latest version of create-react-app but do not exit,106,True,True,2022-03-23T20:09:38Z,2022-03-23T20:09:38Z,0,2,0,1,1,8,9,6041772.0
10228,"Support setupProxy.mjs, cjs, ts, tsx, etc",1102,True,False,,2023-12-08T04:16:09Z,0,5,4,3,23,5,28,0
