Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
3845,Added a Github link to the DefinitelyTyped,110,True,True,2024-04-25T14:42:03Z,2024-04-25T14:42:03Z,1,2,0,1,1,1,2,1510.0
3844,docs: fix typo in polygonCentroid example,70,True,True,2024-04-25T13:42:29Z,2024-04-25T13:42:29Z,1,2,0,1,1,1,2,32045.0
3834,fix: monorepo,0,True,False,,2024-03-25T10:46:38Z,0,1,0,36,5259,2154,7413,0
3804,documentation for schemeObservable10,71,True,True,2024-03-12T21:20:10Z,2024-03-12T21:20:10Z,0,2,0,5,832,675,1507,8837425.0
3803,Documentation for d3-geo#281,31,True,True,2024-03-12T21:17:10Z,2024-03-12T21:17:11Z,1,2,0,1,1,1,2,9783411.0
3816,Fix svg syntax for JSX code samples in getting-started with React,135,True,True,2024-01-29T16:31:44Z,2024-01-29T16:31:44Z,1,2,0,1,4,4,8,19912.0
3808,Remove defunct newsletter signup link from footer,0,True,True,2023-12-14T22:17:48Z,2023-12-14T22:17:48Z,1,3,0,1,0,1,1,3207.0
3477,Add a configuration file of GitHub Action for ESLint,415,True,False,,2021-06-11T17:50:21Z,1,2,0,5,948,6,954,0
3801,"Remove mastodon link, change twitter to x",0,True,True,2023-11-07T22:50:47Z,2023-11-07T22:50:47Z,1,2,0,1,1,2,3,907.0
3796,Update value.md,39,True,True,2023-11-03T15:11:27Z,2023-11-03T15:11:28Z,1,2,0,1,1,1,2,2720.0
3780,Edit sentence to fix potential typo and for consistency,461,True,True,2023-10-30T14:43:06Z,2023-10-30T14:43:06Z,0,3,1,1,1,1,2,1646098.0
3785,scaleTime example,100,True,True,2023-10-23T16:33:40Z,2023-10-23T16:33:40Z,1,2,0,1,1,1,2,10546.0
3782,always have exactly two/three elements,0,True,True,2023-10-15T07:17:56Z,2023-10-15T07:17:56Z,4,3,0,2,3,3,6,134487.0
3781,Update Slack invite links,120,True,True,2023-10-12T23:19:58Z,2023-10-12T23:19:58Z,1,2,0,3,4,4,8,4944.0
3779,Fix small typo,0,True,True,2023-10-11T13:04:02Z,2023-10-11T13:04:02Z,1,2,0,1,1,1,2,476.0
3776,"restructure README, redirect API",5,True,True,2023-10-06T16:59:53Z,2023-10-06T16:59:53Z,1,2,0,3,3,1537,1540,4520.0
3773,single module,101,True,True,2023-10-05T19:25:29Z,2023-10-05T19:25:29Z,1,2,1,1,16,0,16,9727.0
3774,remove newsletter link for now,0,True,True,2023-10-05T19:12:59Z,2023-10-05T19:12:59Z,1,2,0,1,0,2,2,8432.0
3765,Create SECURITY.md,23,True,False,,2023-09-14T19:40:50Z,0,2,1,1,21,0,21,0
3758,fix link to example,0,True,True,2023-08-23T15:46:12Z,2023-08-23T15:46:12Z,2,2,0,1,2,2,4,4506.0
3755,add mutation warnings,12,True,True,2023-08-21T21:05:07Z,2023-08-21T21:05:07Z,1,3,0,2,20,2,22,5429.0
3745,docs: warn about impure `force` functions,12,True,False,,2023-08-21T19:34:50Z,0,2,5,2,8,0,8,0
3752,Revise the force simulation document,127,True,False,,2023-08-21T18:59:05Z,0,3,1,1,2,0,2,0
3750,Fix d3-time example,109,True,True,2023-08-21T18:09:14Z,2023-08-21T18:09:14Z,1,2,1,1,3,3,6,1059541.0
3754,fork intent on the gallery,106,True,False,,2023-08-21T17:12:16Z,0,1,0,1,7,1,8,0
3747,fix broken link,0,True,True,2023-08-08T14:06:07Z,2023-08-08T14:06:07Z,0,2,0,1,1,1,2,1970.0
3698,a few links to notebooks that have been refreshed,26,True,True,2023-07-29T16:44:37Z,2023-07-29T16:44:37Z,1,2,2,18,25,25,50,2107880.0
3746,rel=external,107,True,True,2023-07-29T17:08:38Z,2023-07-29T17:08:38Z,0,1,0,2,442,439,881,106.0
3695,remove line hash,0,True,True,2023-06-25T15:02:26Z,2023-06-25T15:02:26Z,1,2,0,1,1,1,2,17802.0
3694,Update README.md,0,True,False,,2023-06-21T15:34:00Z,0,2,0,1,1,1,2,0
3680,an intro for axis,118,True,True,2023-06-16T20:41:47Z,2023-06-16T20:41:47Z,2,2,4,2,81,30,111,137248.0
3682,link to the chord example ,74,True,True,2023-06-16T12:55:26Z,2023-06-16T12:55:26Z,0,1,0,1,1,1,2,91.0
3670,example chord,185,True,True,2023-06-15T18:43:45Z,2023-06-15T18:43:45Z,1,2,3,2,83,6,89,340739.0
3669,add color,71,True,True,2023-06-15T18:02:34Z,2023-06-15T18:02:34Z,1,2,1,3,67,24,91,338428.0
3681,variety of,24,True,True,2023-06-15T06:58:48Z,2023-06-15T06:58:48Z,1,2,0,1,1,1,2,1407.0
3679,Simplify the quotes for readability,67,True,False,,2023-06-15T06:40:50Z,1,2,1,1,3,3,6,0
3678,fixes radio button alignment on Safari,30,True,True,2023-06-14T16:43:16Z,2023-06-14T16:43:16Z,1,2,0,1,1,0,1,247.0
3673,test documentation links,253,True,True,2023-06-13T16:57:29Z,2023-06-13T16:57:29Z,1,2,0,5,155,79,234,112851.0
3677,avoid rotation jumpiness,0,True,True,2023-06-13T16:33:02Z,2023-06-13T16:33:02Z,1,2,2,1,14,7,21,8577.0
3676,State a general principle for which d3 modules compete with React,479,True,True,2023-06-12T19:35:50Z,2023-06-12T19:35:50Z,3,3,0,1,1,1,2,15916.0
3672,fix textStroke,14,True,True,2023-06-12T13:36:51Z,2023-06-12T13:36:51Z,1,2,0,2,2,2,4,19455.0
3668,use a comma before the conjunction separating the final item.,21,True,False,,2023-06-11T21:15:02Z,0,2,0,1,1,1,2,0
3671,upgrade vitepress to beta.2,30,True,True,2023-06-11T20:16:52Z,2023-06-11T20:16:52Z,0,2,1,2,49,41,90,100.0
3667,stop-gap css for maps in dark mode,189,True,False,,2023-06-09T16:56:47Z,0,2,1,5,18,16,34,0
3666,two more anchors… hopefully the last,0,True,True,2023-06-09T16:08:58Z,2023-06-09T16:08:58Z,2,2,0,2,4,4,8,4522.0
