Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
23566,chore: rework TLS code in test server,116,True,True,2024-04-25T21:00:04Z,2024-04-25T21:00:04Z,1,2,0,7,53,73,126,8330.0
23559,perf(ext/http): recover memory for serve and optimize AbortController,3521,True,True,2024-04-25T18:52:25Z,2024-04-25T18:52:25Z,1,2,0,5,79,62,141,11335.0
23556,fix(npm): do not panic hitting root dir while resolving npm package,13,True,True,2024-04-25T14:13:55Z,2024-04-25T14:13:55Z,1,2,0,1,9,7,16,1803.0
23550,chore: fix cargo publish CI,116,True,True,2024-04-25T11:46:36Z,2024-04-25T11:46:36Z,1,2,0,1,1,0,1,5506.0
23549,1.43.0,352,True,True,2024-04-25T09:44:26Z,2024-04-25T09:44:26Z,1,2,0,32,152,85,237,4956.0
23548,perf(ext/http): cache abort signal error,567,True,True,2024-04-25T07:20:01Z,2024-04-25T07:20:01Z,2,3,0,1,9,1,10,10360.0
23534,fix: unref stdin read,29,True,True,2024-04-25T05:32:02Z,2024-04-25T05:32:02Z,1,2,0,4,24,1,25,53687.0
23423,feat(ext/webgpu): support create UnsafeWindowSurface on Wayland,93,True,True,2024-04-25T04:28:16Z,2024-04-25T04:28:16Z,1,3,4,2,32,16,48,641777.0
23457,feat: add jsx precompile skip element option,178,True,True,2024-04-22T15:07:36Z,2024-04-22T15:07:36Z,3,3,0,8,38,2,40,261824.0
23513,feat(jsr): support importing from jsr via HTTPS specifiers (except for type checking),642,True,True,2024-04-24T21:43:34Z,2024-04-24T21:43:34Z,1,2,0,21,657,590,1247,93663.0
23547,fix(lsp): inherit missing fmt and lint config from parent scopes,0,True,True,2024-04-24T20:14:02Z,2024-04-24T20:14:02Z,1,3,0,2,178,52,230,2979.0
23544,chore: update deno_doc,53,True,True,2024-04-24T20:34:21Z,2024-04-24T20:34:21Z,1,2,0,6,514,511,1025,5403.0
23540,fix(publish): --dry-publish should error for gitignored excluded files,68,True,True,2024-04-24T18:52:05Z,2024-04-24T18:52:05Z,2,2,0,10,202,121,323,7290.0
