Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
5547,fix: upadated excel/109-if.md,43,True,True,2024-04-24T14:04:26Z,2024-04-24T14:04:26Z,0,2,0,1,2,2,4,12393.0
5549,test pr,7,True,False,,2024-04-24T14:03:51Z,0,9,0,106,3524,573,4097,0
5543,feat: add user open graph,0,True,True,2024-04-23T22:07:15Z,2024-04-23T22:07:15Z,3,2,0,3,55,8,63,40754.0
5527,"Fix broken video link, and add unlighthouse to the ressources",286,True,True,2024-04-22T04:53:13Z,2024-04-22T04:53:13Z,2,2,0,1,1,1,2,227087.0
5485,feat: implement activity stream,0,True,True,2024-04-22T16:19:34Z,2024-04-22T16:19:34Z,0,2,4,11,553,172,725,1034325.0
5539,History of Javascript - Replace plagiarized source with original,359,True,True,2024-04-22T10:13:24Z,2024-04-22T10:13:24Z,0,2,0,1,1,1,2,1269.0
4554,devops-roadmap-ubuntu-linux,68,True,True,2024-04-19T13:21:02Z,2024-04-19T13:21:02Z,0,2,0,1,2,2,4,16927375.0
5518,Update index.md,348,True,False,,2024-04-18T16:28:58Z,0,1,0,1,1,0,1,0
5513,Create studend,0,True,False,,2024-04-18T01:42:58Z,0,1,0,1,1,0,1,0
5503,Update react.md - fixed grammatical error,129,True,True,2024-04-16T14:24:51Z,2024-04-16T14:24:51Z,1,2,0,1,1,1,2,101022.0
5504,Create SECURITY.md,2,True,False,,2024-04-16T14:24:09Z,0,2,1,1,21,0,21,0
5491,"Replace ""or"" by ""and"" in line 9 : 100-ephemeral-container-fs.md",299,True,True,2024-04-16T14:23:57Z,2024-04-16T14:23:57Z,0,2,0,1,2,2,4,436578.0
5024,Update index.md. Add more material for learning.,277,True,False,,2024-04-15T20:31:52Z,0,1,0,1,1,0,1,0
5480,feat: implement sponsor,0,True,True,2024-04-15T12:16:55Z,2024-04-15T12:16:55Z,1,2,0,2,38,2,40,569402.0
5278,Added python tutorial link,36,True,False,,2024-04-14T09:50:18Z,0,1,0,1,2,1,3,0
5423,Youtube Link for Garbage Collection -Geekific in Java roadmap replace…,99,True,False,,2024-04-12T03:44:30Z,1,2,1,1,1,1,2,0
5494,"feat: profile pages, custom roadmap pages and SSR",233,True,True,2024-04-11T21:35:52Z,2024-04-11T21:35:52Z,0,2,0,67,2365,399,2764,46.0
5483,fix: account activity title,0,True,True,2024-04-09T22:10:52Z,2024-04-09T22:10:52Z,0,2,0,1,6,2,8,374.0
5471,Fix typo for the content typo of 102-chatty-io.md,64,True,True,2024-04-07T07:06:03Z,2024-04-07T07:06:03Z,1,2,0,1,1,1,2,114994.0
5442,Improve NavigationDropdown accessibility ,394,True,False,,2024-04-01T14:21:47Z,0,2,4,1,6,12,18,0
5461,feat: add footer for ai generated roadmaps,0,True,True,2024-04-03T19:57:51Z,2024-04-03T19:57:51Z,0,3,1,4,16,17,33,13503.0
5462,fix: ai badge text wrap,0,True,True,2024-04-03T18:20:38Z,2024-04-03T18:20:38Z,0,2,0,1,2,2,4,7127.0
5446,feat: implement guide table of content,0,True,False,,2024-04-03T16:26:25Z,1,2,1,10,209,38,247,0
5151,Update 101-sum.md,26,True,True,2024-02-07T15:47:22Z,2024-02-07T15:47:22Z,1,2,0,1,7,7,14,20686.0
5355,fix: focus disappears in navigation,154,True,True,2024-04-01T14:20:16Z,2024-04-01T14:20:16Z,0,2,0,1,2,2,4,1398446.0
5443,Fixed typo,79,True,True,2024-04-01T14:22:12Z,2024-04-01T14:22:12Z,0,2,0,1,1,1,2,63.0
5437,Fix: Updated broken url for javascript and nodejs roadmap ,105,True,False,,2024-03-31T20:21:30Z,0,1,0,7,33,34,67,0
5436,Fix: Updated React Router resource link,88,True,False,,2024-03-31T20:20:39Z,0,1,0,5,31,32,63,0
5433,Fix: Tab navigation,63,True,False,,2024-03-31T20:18:39Z,0,1,0,3,29,30,59,0
5432,Fix typo,80,True,False,,2024-03-31T20:12:35Z,0,1,0,2,3,3,6,0
5425,Fix : Invalid link in Java Developer roadmap #5408,141,True,True,2024-03-30T21:14:26Z,2024-03-30T21:14:27Z,1,2,0,1,1,1,2,63985.0
5417,Update 100-mediatr.md (fix a broken link),0,True,True,2024-03-27T21:17:00Z,2024-03-27T21:17:00Z,1,2,0,1,1,1,2,10507.0
5420,Update 103-loadshifting.md,33,True,False,,2024-03-28T03:48:43Z,0,1,0,1,1,1,2,0
5414,Update 100-osi-model.md,57,True,True,2024-03-27T21:18:08Z,2024-03-27T21:18:08Z,1,2,1,1,2,2,4,35870.0
5418,feat: implement checklist,0,True,True,2024-03-27T20:56:05Z,2024-03-27T20:56:05Z,0,2,0,3,36,12,48,135.0
5370,feat: ability to update email,0,True,True,2024-03-27T15:38:47Z,2024-03-27T15:38:47Z,0,2,0,9,430,67,497,776718.0
5415,Update 101-value-comparison-operators.md,23,True,False,,2024-03-27T12:47:39Z,0,1,0,1,4,0,4,0
5399,feat/ Added complexity video resource,93,True,True,2024-03-26T22:43:14Z,2024-03-26T22:43:14Z,1,2,0,1,3,1,4,227135.0
5388,feat: add increase generation limit options,0,True,True,2024-03-26T15:40:26Z,2024-03-26T15:40:27Z,0,2,0,12,577,150,727,428922.0
5401,Update 101-value-comparison-operators.md (Added a new link),17,True,False,,2024-03-26T03:05:13Z,0,2,1,1,1,0,1,0
5406,Fix typo in Java Developer roadmap,0,True,True,2024-03-26T03:04:36Z,2024-03-26T03:04:36Z,0,2,0,1,1,1,2,97478.0
5409,Update 100-render-equation.md,0,True,False,,2024-03-26T03:03:44Z,0,2,1,1,2,1,3,0
3709,Added Types of Blockchain Video,457,True,False,,2024-03-24T07:13:58Z,0,1,0,1,1,0,1,0
3708,Added video link of what are crypto wallets ,367,True,False,,2024-03-24T07:13:58Z,0,1,0,1,1,0,1,0
3699,added soft fork vs hard fork video link,83,True,False,,2024-03-24T07:13:58Z,0,1,0,1,1,0,1,0
3691,updated the url in consensus protocols section ,320,True,False,,2024-03-24T07:13:57Z,0,1,0,1,1,1,2,0
5398,Update 103-order-by.md,44,True,False,,2024-03-24T06:17:41Z,0,1,0,1,2,1,3,0
5380,Fix typo in System Design Roadmap,0,True,True,2024-03-22T08:47:48Z,2024-03-22T08:47:48Z,1,2,0,1,1,1,2,170912.0
5383,feat: add search on the AI explore page,0,True,True,2024-03-20T15:38:08Z,2024-03-20T15:38:08Z,0,2,0,11,523,113,636,36.0
5349,feat: ai term suggestion input,0,True,True,2024-03-19T20:42:30Z,2024-03-19T20:42:30Z,0,2,0,4,395,73,468,434132.0
5374,Fullovka-README-1,0,True,False,,2024-03-19T09:55:21Z,0,1,0,1,7,7,14,0
5373,README.md,0,True,False,,2024-03-19T09:55:03Z,0,1,0,1,4,4,8,0
