Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
18102,Changed [yN] prompt to [y/N] in squashmigrations,217,True,True,2024-04-26T12:50:47Z,2024-04-26T12:50:47Z,2,2,0,2,2,2,4,68874.0
18045, Fixed 35339 - Fixed PostgreSQL aggregate order by and filter params order ,720,True,True,2024-04-25T20:40:03Z,2024-04-25T20:40:03Z,5,3,1,4,44,20,64,1892946.0
18096,Fixed #35395 -- slice filter crashes on an empty dict with Python 3.12,1566,True,True,2024-04-24T08:53:38Z,2024-04-24T08:53:38Z,2,3,4,2,4,1,5,97468.0
18069,Pinned GitHub Actions for reminders to specific versions.,398,True,True,2024-04-24T13:21:57Z,2024-04-24T13:21:57Z,4,3,0,2,2,2,4,1011292.0
18098,Improved phrasing and removed bold text in the GitHub pull request template.,242,True,True,2024-04-24T13:20:03Z,2024-04-24T13:20:03Z,3,3,0,1,6,6,12,66198.0
18097,Fixed #35382 -- removed unused CSS in `.inline-related fieldset.module h3`,536,True,True,2024-04-24T08:13:16Z,2024-04-24T08:13:16Z,1,2,0,1,0,10,10,62491.0
18100,p3 quote/unquote fix,539,True,False,,2024-04-24T02:17:47Z,0,3,1,1,5,1,6,0
17856,Added a Pull Request Template,150,True,True,2024-03-04T17:07:37Z,2024-03-04T17:07:37Z,14,10,13,1,15,0,15,1626874.0
18055,Fixed #35356 -- Deferred self-referential foreign key fields adequately.,652,True,True,2024-04-23T16:17:17Z,2024-04-23T16:17:17Z,6,3,3,5,81,64,145,1515223.0
18095,Remove unintended blockquotes from documentation,702,True,True,2024-04-23T01:26:56Z,2024-04-23T01:26:56Z,0,2,1,1,0,2,2,23264.0
18091,Fixed #35392 -- Allowed importing aprefetch_related_objects from django.db.models.,869,True,True,2024-04-22T20:05:06Z,2024-04-22T20:05:06Z,4,4,0,2,10,1,11,264512.0
7735,Used @cached_property in RawQuerySet.,103,True,True,2016-12-23T15:12:49Z,2016-12-23T15:12:49Z,2,4,0,1,18,22,40,1779.0
7728,Documented the 'regex' arg to url(),149,True,True,2016-12-23T00:16:27Z,2016-12-23T00:16:27Z,0,2,1,2,8,0,8,12948.0
7733,Fixed #27626 -- Moved STATIC_URL and MEDIA_URL validation to system check,6,True,True,2016-12-23T15:55:01Z,2016-12-23T15:55:01Z,4,2,0,6,53,93,146,60313.0
7732,Fixes #27625 -- Made LazySettings cache attributes in its own __dict__,6,True,True,2016-12-23T15:58:07Z,2016-12-23T15:58:07Z,9,4,6,1,24,1,25,61393.0
8272,Refs #27834 -- Removed Value-wrapping behaviour from StrIndex,31,True,True,2017-04-03T12:39:58Z,2017-04-03T12:39:58Z,13,4,0,3,22,21,43,252978.0
8147,Fixed #27904 -- Added a system check that Field.validators are callable.,6,True,True,2017-03-11T18:05:37Z,2017-03-11T18:05:37Z,5,3,1,4,39,1,40,519604.0
13428,Documented dateparse functions’ ability to return None,0,True,False,,2020-09-29T10:00:14Z,1,3,2,1,8,4,12,0
13764,Refs #32259 --  Modernized request attribute names. ,12,True,False,,2021-04-07T07:48:53Z,1,3,3,106,859,710,1569,0
14594,"Configured isort to use its ""django"" profile.",218,True,False,,2021-07-06T08:35:49Z,0,4,8,2,3,8,11,0
16156,Updated header lookups to use request.headers.,287,True,False,,2023-12-19T12:47:14Z,5,4,6,11,84,112,196,0
16805,Fixed #34521 -- Used __slots__ for more template classes.,49,True,False,,2023-05-18T03:43:27Z,10,7,8,7,141,16,157,0
17426,Fixed #34935 -- Restored output for makemigrations --check.,12,True,False,,2023-10-30T04:14:50Z,0,2,1,2,21,7,28,0
17019,Fixed #34681 -- Optimized memcache_key_warnings().,12,True,True,2023-06-28T09:03:08Z,2023-06-28T09:03:09Z,1,2,0,1,9,7,16,93077.0
