Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
41961,build: work around ScreenCaptureKit bad feature flag parsing in Chromium,55,True,True,2024-04-26T02:07:12Z,2024-04-26T02:07:12Z,1,2,1,1,6,0,6,113081.0
41622,build: work around ScreenCaptureKit bad feature flag parsing in Chromium,4877,True,True,2024-03-19T09:49:42Z,2024-03-19T09:49:42Z,1,3,8,1,6,0,6,42920.0
41968,Update README.md,352,True,False,,2024-04-25T17:15:14Z,0,1,1,1,1,1,2,0
41962,build: work around ScreenCaptureKit bad feature flag parsing in Chromium,55,True,True,2024-04-25T13:11:33Z,2024-04-25T13:11:33Z,2,2,1,1,6,0,6,65985.0
41959,chore: bump chromium to 124.0.6367.78 (30-x-y),126,True,True,2024-04-25T13:11:01Z,2024-04-25T13:11:01Z,1,1,1,7,24,23,47,87014.0
41812,build: add GitHub Actions testing pipeline for macOS,1208,True,True,2024-04-24T17:29:19Z,2024-04-24T17:29:19Z,18,4,1,6,776,0,776,1290041.0
41951,docs: Windows typo in Tutorial document,55,True,True,2024-04-24T16:45:29Z,2024-04-24T16:45:29Z,1,1,1,1,1,1,2,84633.0
41896,docs: Windows typo in Tutorial document,422,True,True,2024-04-23T17:14:26Z,2024-04-23T17:14:27Z,1,2,7,1,1,1,2,423407.0
41948,refactor: address changes and fix errors in `chrome://accessibility`,104,True,True,2024-04-24T02:14:14Z,2024-04-24T02:14:14Z,1,1,1,6,242,190,432,38592.0
41911,refactor: address changes and fix errors in `chrome://accessibility`,674,True,True,2024-04-23T15:30:48Z,2024-04-23T15:30:48Z,3,4,3,6,242,190,432,326957.0
41937,refactor: replace base::EndsWith() with std::ends_with(),435,True,True,2024-04-24T02:13:59Z,2024-04-24T02:14:00Z,1,2,1,4,11,20,31,89454.0
41950,docs: Windows typo in Tutorial document,55,True,True,2024-04-24T02:13:44Z,2024-04-24T02:13:44Z,1,1,1,1,1,1,2,32334.0
41949,docs: Windows typo in Tutorial document,55,True,True,2024-04-24T02:13:39Z,2024-04-24T02:13:39Z,1,1,1,1,1,1,2,32332.0
41952,docs: Windows typo in Tutorial document,55,True,True,2024-04-24T02:13:34Z,2024-04-24T02:13:34Z,1,1,1,1,1,1,2,32315.0
41944,docs: correct the return value for canceled showSaveDialog,55,True,True,2024-04-23T19:14:11Z,2024-04-23T19:14:11Z,1,1,2,1,2,2,4,13475.0
41926,docs: correct the return value for canceled showSaveDialog,513,True,True,2024-04-23T15:29:15Z,2024-04-23T15:29:15Z,5,4,5,1,2,2,4,89833.0
41908,fix: `nativeImage.createThumbnailFromPath` and `shell.openExternal` in renderer,166,True,True,2024-04-23T19:12:46Z,2024-04-23T19:12:46Z,2,2,1,4,60,34,94,365352.0
41875,fix: `nativeImage.createThumbnailFromPath` and `shell.openExternal` in renderer,737,True,True,2024-04-19T13:43:01Z,2024-04-19T13:43:01Z,2,4,9,4,60,34,94,239516.0
41923,fix: offscreen rendering does not paint after gpu process crashed,124,True,True,2024-04-23T17:54:10Z,2024-04-23T17:54:10Z,1,1,1,2,29,3,32,100979.0
41904,fix: offscreen rendering does not paint after gpu process crashed,575,True,True,2024-04-22T13:50:55Z,2024-04-22T13:50:55Z,1,3,8,2,29,3,32,270416.0
41946,docs: correct the return value for canceled showSaveDialog,55,True,True,2024-04-23T16:52:41Z,2024-04-23T16:52:41Z,1,1,2,1,2,2,4,4976.0
41943,chore: bump chromium to 124.0.6367.62 (30-x-y),126,True,True,2024-04-23T16:49:56Z,2024-04-23T16:49:56Z,1,1,1,1,1,1,2,13764.0
41947,docs: correct the return value for canceled showSaveDialog,55,True,True,2024-04-23T16:49:30Z,2024-04-23T16:49:30Z,1,1,1,1,2,2,4,4782.0
41945,docs: correct the return value for canceled showSaveDialog,55,True,True,2024-04-23T16:49:05Z,2024-04-23T16:49:05Z,1,1,1,1,2,2,4,4767.0
41936,build: fixup codespaces on-create,56,True,True,2024-04-23T16:05:44Z,2024-04-23T16:05:44Z,2,2,1,2,10,18,28,56346.0
41428,build: fixup codespaces on-create,1040,True,True,2024-04-23T00:26:12Z,2024-04-23T00:26:12Z,3,4,5,2,10,18,28,5131088.0
41935,build: fixup codespaces on-create,56,True,True,2024-04-23T15:24:26Z,2024-04-23T15:24:26Z,2,2,2,2,10,18,28,53875.0
41933,fix: data corruption in `protocol.handle`,135,True,True,2024-04-23T15:23:19Z,2024-04-23T15:23:20Z,2,2,1,3,45,1,46,67356.0
41894,fix: data corruption in `protocol.handle`,732,True,True,2024-04-22T20:40:02Z,2024-04-22T20:40:02Z,3,4,6,3,45,1,46,355730.0
41932,fix: data corruption in `protocol.handle`,135,True,True,2024-04-23T13:51:31Z,2024-04-23T13:51:31Z,1,1,1,3,45,1,46,61851.0
41925,fix: offscreen rendering does not paint after gpu process crashed,124,True,True,2024-04-22T22:04:40Z,2024-04-22T22:04:40Z,2,2,1,2,29,3,32,29597.0
41924,fix: offscreen rendering does not paint after gpu process crashed,124,True,True,2024-04-22T18:51:42Z,2024-04-22T18:51:42Z,1,1,1,2,29,3,32,18025.0
41921,build: use latest devcontainer buildimage with codespaces,55,True,True,2024-04-22T16:21:47Z,2024-04-22T16:21:47Z,2,2,1,1,1,1,2,9183.0
41916,build: use latest devcontainer buildimage with codespaces,68,True,True,2024-04-22T13:48:31Z,2024-04-22T13:48:31Z,1,2,3,1,1,1,2,85326.0
41922,build: use latest devcontainer buildimage with codespaces,55,True,True,2024-04-22T15:10:18Z,2024-04-22T15:10:19Z,1,1,1,1,1,1,2,4889.0
41893,fix: EINVAL when spawning cmd files on Windows,1751,True,True,2024-04-19T13:27:58Z,2024-04-19T13:27:58Z,4,3,5,5,12,6,18,79468.0
41906,fix: EINVAL when spawning cmd files on Windows,55,True,True,2024-04-22T13:48:44Z,2024-04-22T13:48:44Z,1,1,1,5,12,6,18,260421.0
41918,Rename introduction.md to introduction.androd.alimd,780,True,False,,2024-04-22T02:43:01Z,0,2,4,1,0,0,0,0
41917,Veebranch,352,True,False,,2024-04-21T21:18:22Z,0,3,1,54,2463,1598,4061,0
41915,Create npm-publish.yml,352,True,False,,2024-04-21T14:13:50Z,0,2,1,1,33,0,33,0
35658,feat: replace BrowserView with WebContentsView,2856,True,True,2023-12-13T21:01:04Z,2023-12-13T21:01:04Z,41,12,24,76,2989,1533,4522,39407618.0
41907,fix: EINVAL when spawning cmd files on Windows,55,True,True,2024-04-19T20:42:07Z,2024-04-19T20:42:07Z,1,1,1,5,12,6,18,26018.0
41905,fix: EINVAL when spawning cmd files on Windows,55,True,True,2024-04-19T20:41:59Z,2024-04-19T20:41:59Z,1,1,1,5,12,6,18,26019.0
41910,build: enable Perfetto in Chromium,55,True,True,2024-04-19T20:32:41Z,2024-04-19T20:32:41Z,1,1,1,4,372,152,524,19487.0
41880,build: enable Perfetto in Chromium,709,True,True,2024-04-19T15:07:37Z,2024-04-19T15:07:37Z,3,3,4,4,372,152,524,176911.0
41909,fix: `nativeImage.createThumbnailFromPath` and `shell.openExternal` in renderer,166,True,True,2024-04-19T15:56:44Z,2024-04-19T15:56:44Z,2,2,1,4,60,34,94,7987.0
41881,refactor: use `std::erase()`,718,True,True,2024-04-19T15:55:59Z,2024-04-19T15:55:59Z,2,2,1,7,74,91,165,159113.0
41900,build: update typescript-definitions to 8.15.6,29,True,True,2024-04-19T14:29:45Z,2024-04-19T14:29:45Z,2,3,1,1,3,3,6,46190.0
41211,fix: don't check for Desktop Environment in unity_service.cc,1047,True,True,2024-04-19T13:58:32Z,2024-04-19T13:58:32Z,3,3,4,1,0,11,11,6746417.0
19669,feat: add dontAddToRecent to Windows showOpenDialog,660,True,True,2019-08-13T15:48:22Z,2019-08-13T15:48:23Z,2,4,4,4,14,8,22,514086.0
41897,build: update typescript-definitions to 8.15.6,606,True,False,,2024-04-19T01:40:31Z,1,2,0,2,5,5,10,0
41887,chore: remove unused hash function,55,True,True,2024-04-18T21:32:10Z,2024-04-18T21:32:10Z,1,1,1,1,0,13,13,77251.0
41876,chore: remove unused hash function,321,True,True,2024-04-18T00:04:07Z,2024-04-18T00:04:07Z,1,2,5,1,0,13,13,79623.0
41895,fix: console.log() in AudioWorkletGlobalScope,139,True,True,2024-04-18T21:19:51Z,2024-04-18T21:19:51Z,2,2,1,2,27,0,27,9682.0
41889,fix: console.log() in AudioWorkletGlobalScope,521,True,True,2024-04-18T18:38:06Z,2024-04-18T18:38:06Z,1,2,4,2,27,0,27,60267.0
41884,chore: remove unused hash function,55,True,True,2024-04-18T21:07:03Z,2024-04-18T21:07:03Z,1,1,1,1,0,13,13,75756.0
37902,refactor: JSify BrowserWindow unresponsive handling,68,True,True,2024-04-18T20:14:07Z,2024-04-18T20:14:07Z,3,4,2,3,23,59,82,32300252.0
41883,"docs: update build docs,support Powershell on Windows",77,True,True,2024-04-18T15:35:12Z,2024-04-18T15:35:12Z,1,1,1,1,29,0,29,60471.0
41567,"docs: update build docs,support Powershell on Windows",450,True,True,2024-04-17T22:46:52Z,2024-04-17T22:46:52Z,6,3,5,1,29,0,29,3150513.0
41885,chore: remove unused hash function,55,True,True,2024-04-18T15:34:54Z,2024-04-18T15:34:54Z,1,1,1,1,0,13,13,55823.0
41886,chore: remove unused hash function,55,True,True,2024-04-18T13:42:47Z,2024-04-18T13:42:47Z,1,1,1,1,0,13,13,49091.0
41882,"docs: update build docs,support Powershell on Windows",77,True,True,2024-04-18T00:06:15Z,2024-04-18T00:06:15Z,2,2,1,1,29,0,29,4740.0
41391,fix: make window.flashFrame(bool) flash continuously on macOS,1650,True,True,2024-04-17T16:42:34Z,2024-04-17T16:42:34Z,5,5,9,2,5,1,6,4850547.0
41710,chore: bump node to v20.12.2 (main),104,True,True,2024-04-17T16:39:14Z,2024-04-17T16:39:14Z,2,4,1,43,371,774,1145,1827518.0
41753,build: add Markdown lint check for unescaped angle brackets,838,True,True,2024-04-04T18:50:35Z,2024-04-04T18:50:35Z,2,3,5,5,22,8,30,329637.0
41873,refactor: fold silent print into settings,400,True,True,2024-04-17T16:04:47Z,2024-04-17T16:04:47Z,3,2,1,3,87,172,259,104230.0
41871,build: update appveyor image to latest version,83,True,True,2024-04-17T14:51:14Z,2024-04-17T14:51:14Z,1,1,2,2,2,2,4,110683.0
18698,fix: clear HANDLE_FLAG_INHERIT flag from console handles,873,True,False,,2019-10-31T18:43:20Z,0,5,7,1,35,1,36,0
41869,perf: remove unnecessary `.c_str()` calls,586,True,True,2024-04-16T23:48:54Z,2024-04-16T23:48:54Z,2,3,1,7,8,14,22,91170.0
40321,docs: avoid leaking the `IpcRendererEvent` in `contextBridge` examples,11,True,True,2023-11-01T17:46:26Z,2023-11-01T17:46:26Z,3,4,3,3,23,11,34,680886.0
41691,fix: don't do self-destroy in LibnotifyNotification::Dismiss(),860,True,True,2024-03-27T09:53:23Z,2024-03-27T09:53:23Z,1,4,7,2,4,3,7,132522.0
41033,"fix: on error, reset spawnedProcess",313,True,True,2024-01-24T22:45:08Z,2024-01-24T22:45:08Z,1,3,8,1,2,0,2,610056.0
41194,fix: make sure invalid URL loads promises are fulfilled.,574,True,True,2024-02-05T07:36:51Z,2024-02-05T07:36:51Z,3,5,4,2,12,5,17,414376.0
41574,fix: remove DXDiag telemetry code,778,True,True,2024-03-13T04:51:20Z,2024-03-13T04:51:20Z,2,4,3,4,1125,16,1141,27615.0
41192,refactor: type-safe module imports / requires,11,True,True,2024-02-05T07:36:28Z,2024-02-05T07:36:28Z,1,4,4,4,11,6,17,420896.0
41500,chore: update src_preload_function_for_environment.patch,143,True,True,2024-03-04T12:11:14Z,2024-03-04T12:11:14Z,2,4,5,4,119,137,256,21632.0
41867,chore: bump chromium to 124.0.6367.60 (30-x-y),126,True,True,2024-04-16T14:29:17Z,2024-04-16T14:29:17Z,1,1,1,1,1,1,2,58712.0
41864,test: add tests for Storage Access API,56,True,True,2024-04-16T10:35:16Z,2024-04-16T10:35:16Z,1,2,1,2,136,0,136,66616.0
41698,test: add tests for Storage Access API,478,True,True,2024-03-27T18:52:25Z,2024-03-27T18:52:25Z,4,2,6,2,136,0,136,114765.0
41802,fix: move BrowserWindow's WebContentsView to be a child of rootview,121,True,True,2024-04-10T11:20:44Z,2024-04-10T11:20:44Z,1,3,2,7,31,34,65,141950.0
41861,chore: delete unused PrintPreviewMessageHandler,55,True,True,2024-04-15T22:35:59Z,2024-04-15T22:35:59Z,3,3,1,1,0,273,273,25249.0
41841,chore: delete unused PrintPreviewMessageHandler,316,True,True,2024-04-15T15:34:56Z,2024-04-15T15:34:57Z,1,2,3,1,0,273,273,283781.0
41862,chore: delete unused PrintPreviewMessageHandler,55,True,True,2024-04-15T22:35:46Z,2024-04-15T22:35:46Z,3,3,1,1,0,273,273,25230.0
41610,chore: bump chromium to 125.0.6412.0 (main),122,True,True,2024-04-15T22:10:32Z,2024-04-15T22:10:32Z,13,6,2,146,1288,1213,2501,2625007.0
41822,feat: support `NODE_EXTRA_CA_CERTS`,89,True,True,2024-04-15T19:22:39Z,2024-04-15T19:22:39Z,1,3,1,7,57,9,66,449481.0
41689,feat: support `NODE_EXTRA_CA_CERTS`,630,True,True,2024-04-10T14:30:35Z,2024-04-10T14:30:35Z,12,4,6,7,57,9,66,1385688.0
41827,feat: implement File System API support,95,True,True,2024-04-15T19:22:17Z,2024-04-15T19:22:17Z,2,3,1,23,1562,9,1571,429292.0
41419,feat: implement File System API support,1477,True,True,2024-04-10T20:06:47Z,2024-04-10T20:06:47Z,19,6,4,23,1562,9,1571,4141631.0
41661,feat: add `navigationHistory.getEntryAtIndex(int index)` method ,269,True,True,2024-04-04T17:09:19Z,2024-04-04T17:09:20Z,2,4,3,9,148,7,155,1178700.0
41662,feat: add `navigationHistory.getEntryAtIndex(int index)` method,269,True,True,2024-04-05T17:59:47Z,2024-04-05T17:59:47Z,2,5,5,9,148,8,156,1265933.0
34761,Webauthn macOS support,315,True,False,,2023-09-27T09:29:17Z,0,4,2,162,2291,1241,3532,0
41863,test: add tests for Storage Access API,56,True,True,2024-04-15T18:03:33Z,2024-04-15T18:03:33Z,2,3,1,2,136,0,136,7155.0
41849,docs: clarify before `ready` usage,526,True,True,2024-04-15T14:38:58Z,2024-04-15T14:38:58Z,1,3,2,1,4,0,4,225289.0
41832,fix: stop using std::vector<const uint8_t> in ProcessingSingleton,523,True,True,2024-04-15T17:32:48Z,2024-04-15T17:32:48Z,3,6,5,3,15,15,30,362748.0
41860,docs: clarify before `ready` usage,55,True,True,2024-04-15T17:03:58Z,2024-04-15T17:03:58Z,1,2,1,1,4,0,4,8690.0
41859,"docs: use ""id"" instead of ""label"" for positions",56,True,True,2024-04-15T17:02:05Z,2024-04-15T17:02:05Z,1,1,1,2,8,8,16,60706.0
41843,"docs: use ""id"" instead of ""label"" for positions",747,True,True,2024-04-15T00:10:10Z,2024-04-15T00:10:10Z,3,4,4,2,8,8,16,221169.0
41837,fix: silent printing default dpi on Windows,142,True,True,2024-04-15T17:01:38Z,2024-04-15T17:01:38Z,1,1,1,4,185,97,282,320677.0
41811,fix: silent printing default dpi on Windows,840,True,True,2024-04-11T23:56:39Z,2024-04-11T23:56:39Z,1,2,4,4,185,97,282,195069.0
41209,fix: `original-fs` import replacement,637,True,True,2024-02-05T08:51:05Z,2024-02-05T08:51:05Z,3,4,5,2,15,4,19,336069.0
40993,fix: check for Node.js-created module when `contextIsolation` disabled,1010,True,True,2024-01-16T13:29:00Z,2024-01-16T13:29:00Z,3,3,6,8,97,10,107,88790.0
