Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
131,Add toddmotto's public-apis list,64,True,False,,2023-10-03T19:37:37Z,1,3,0,1,1,0,1,0
8,Add a section for Design Patterns.,70,True,False,,2017-09-23T10:43:11Z,0,3,3,1,4,0,4,0
180,Updated Readme.md #UX/Usability,82,True,False,,2023-03-04T14:24:23Z,0,0,0,1,1,0,1,0
179,"Add more resources on Engineering Philosophy, Practices and Career.",0,True,True,2022-11-23T11:06:04Z,2022-11-23T11:06:05Z,1,4,1,1,4,0,4,18902113.0
171,Added 3 new sites into the `Coding Practice Site`,66,True,False,,2023-01-20T05:37:55Z,0,1,0,1,3,0,3,0
177,Fix broken link for Professor Frisby's Mostly Adequate Guide to Functional Programming,176,True,True,2022-11-23T11:05:19Z,2022-11-23T11:05:19Z,0,3,1,1,1,1,2,28063384.0
168,Updated SEO link,15,True,True,2022-11-23T11:04:48Z,2022-11-23T11:04:48Z,1,4,1,1,1,1,2,38005505.0
174,"fix a dead link for ""no silver bullet"" document",0,True,True,2022-11-23T11:03:08Z,2022-11-23T11:03:08Z,0,2,0,1,1,1,2,28687515.0
190,Fixed broken owasp top 10 link,0,True,True,2022-11-23T11:02:17Z,2022-11-23T11:02:17Z,0,2,0,1,1,1,2,12087386.0
193,"add Algorithms, Paper",58,True,True,2022-11-23T11:01:38Z,2022-11-23T11:01:38Z,0,2,0,1,4,0,4,11914958.0
196,Fix broken link,157,True,True,2022-11-23T11:01:01Z,2022-11-23T11:01:01Z,0,2,0,1,1,1,2,10423988.0
198,Add new book for starting with algoritms and distributed systems,131,True,True,2022-11-23T11:00:16Z,2022-11-23T11:00:16Z,0,2,1,1,2,0,2,8794749.0
199,"Add ""Introduction to Algorithms"" book",728,True,True,2022-11-23T10:59:42Z,2022-11-23T10:59:42Z,0,2,0,1,1,0,1,6295950.0
200,Fix broken link,61,True,True,2022-11-23T10:59:11Z,2022-11-23T10:59:11Z,0,2,0,1,1,1,2,3694563.0
203,fix: changed broken freecodecamp's link,0,True,True,2022-11-23T10:58:29Z,2022-11-23T10:58:29Z,0,2,0,1,1,1,2,749802.0
202,Add link to computer science roadmap,37,True,True,2022-11-23T10:58:01Z,2022-11-23T10:58:01Z,0,2,0,1,1,0,1,1371667.0
160,"added website, uri, for programming practice",94,True,False,,2022-11-22T14:10:23Z,1,2,0,1,41,11,52,0
189,fix wrong seo link,0,True,False,,2022-10-11T12:20:02Z,0,1,1,1,1,1,2,0
146,Adding devdocs,487,True,False,,2022-08-27T20:00:16Z,1,4,1,1,5,3,8,0
184,update SEO link,0,True,False,,2022-07-02T10:54:54Z,0,1,0,1,1,1,2,0
183,SEO - Link Fix,159,True,False,,2022-05-27T21:08:22Z,0,1,1,1,1,1,2,0
172,Fix SEO broken URL,0,True,False,,2021-12-22T21:10:16Z,0,2,1,1,1,1,2,0
164,Added the book 'Code Complete' under Practices category,83,True,True,2021-04-19T13:50:27Z,2021-04-19T13:50:27Z,1,3,0,1,1,0,1,13986409.0
159,Added Abstract API,0,True,True,2021-04-19T13:49:37Z,2021-04-19T13:49:37Z,1,3,2,1,1,0,1,18718260.0
165,fix distributed section dead link,132,True,True,2021-04-19T13:48:45Z,2021-04-19T13:48:45Z,1,3,1,1,1,1,2,3474641.0
157,Update README.md,0,True,False,,2020-07-24T23:04:03Z,0,1,0,1,2,0,2,0
156,Added All The Little Things,0,True,True,2020-07-20T16:52:52Z,2020-07-20T16:52:52Z,0,1,0,1,1,0,1,8.0
155,Using a Webpage,0,True,False,,2020-07-05T15:55:23Z,0,1,1,1,1,0,1,0
154,Add Codility to Coding Practice Sites,0,True,True,2020-07-01T12:59:26Z,2020-07-01T12:59:26Z,0,2,1,1,1,0,1,21654.0
99,Adding Documentaries,0,True,False,,2020-07-01T12:58:34Z,0,3,1,1,7,0,7,0
107,"Few links for RegEx, Designers and UX",0,True,False,,2020-07-01T12:58:16Z,1,4,0,1,6,0,6,0
116,adding some link for hackers,48,True,False,,2020-07-01T12:58:00Z,0,3,1,1,11,7,18,0
136,Merge pull request #1 from mtdvio/master,6,True,False,,2020-07-01T12:57:43Z,0,2,1,0,0,0,0,0
117,Added pramp.com in career section,4,True,True,2020-03-15T05:19:38Z,2020-03-15T05:19:38Z,0,3,3,1,1,0,1,70484125.0
148,"Add ""Free software, free society"", a TED talk by Richard Stallman",0,True,False,,2020-03-14T10:16:46Z,0,2,1,1,1,0,1,0
144,Add a more comprehensive Git tutorial for beginners,370,True,True,2020-03-11T11:21:52Z,2020-03-11T11:21:53Z,0,2,1,1,1,1,2,26184921.0
92,"Add ""How open source licenses work and how to add them to your projects"" to list",338,True,True,2020-03-11T10:52:11Z,2020-03-11T10:52:11Z,3,4,3,1,8,7,15,75601633.0
84,add Fun category with video 'wat',110,True,False,,2020-03-11T10:43:31Z,0,4,2,1,3,0,3,0
74,add best-resume-ever,0,True,False,,2020-03-10T21:14:02Z,1,5,3,1,1,0,1,0
152,Update CS61B link to latest course website,76,True,True,2020-03-10T15:07:37Z,2020-03-10T15:07:37Z,0,2,1,1,1,1,2,3520.0
145,Add link to other awesome list,107,True,False,,2019-11-15T09:01:28Z,0,1,0,1,1,0,1,0
150,Merge pull request #1 from mtdvio/master,15,True,False,,2019-11-07T03:06:13Z,0,2,0,0,0,0,0,0
143,Change CodeFights to CodeSignal,82,True,True,2019-04-24T14:44:15Z,2019-04-24T14:44:15Z,0,2,1,1,1,1,2,175559.0
140,Fix username in the github link,0,True,True,2019-02-25T11:34:57Z,2019-02-25T11:34:57Z,0,2,0,1,1,1,2,624969.0
135,Added an article on How to Get a Tech Job Abroad Faster,55,True,True,2019-01-31T09:14:06Z,2019-01-31T09:14:06Z,0,2,1,1,1,0,1,6299780.0
139,Added CV Compiler for the new 'Resume' section,0,True,True,2019-01-31T09:13:01Z,2019-01-31T09:13:01Z,0,2,1,1,2,0,2,36058.0
134,Add At Coder programming contest ,290,True,True,2018-12-05T21:19:43Z,2018-12-05T21:19:43Z,0,2,1,1,1,0,1,1488022.0
132,Add Google SRE Handbook,0,True,True,2018-12-05T21:09:18Z,2018-12-05T21:09:18Z,1,3,2,1,1,0,1,3528271.0
130,Added Firecode to coding practice sites,108,True,True,2018-12-05T21:08:01Z,2018-12-05T21:08:01Z,0,2,1,1,1,0,1,5237122.0
137,"Added Hashing, Encryption and Encoding",89,True,True,2018-12-05T21:07:38Z,2018-12-05T21:07:38Z,0,2,1,1,1,0,1,896608.0
124,Update README.md,70,True,True,2018-09-19T15:42:21Z,2018-09-19T15:42:21Z,0,2,1,1,1,0,1,10816651.0
128,Fix broken link to uCoder,0,True,True,2018-09-19T15:59:13Z,2018-09-19T15:59:13Z,0,2,1,1,1,1,2,1814817.0
127,Added Cake Interview link at the bottom of Coding Practice Sites,186,True,True,2018-09-19T15:58:28Z,2018-09-19T15:58:28Z,0,2,1,1,1,1,2,6853202.0
125,Added Article Under Engineering Philosophy,68,True,True,2018-09-19T15:55:33Z,2018-09-19T15:55:33Z,0,2,1,1,1,0,1,9684797.0
113,Adding programming sites,46,True,True,2018-04-10T12:20:31Z,2018-04-10T12:20:31Z,0,2,3,1,1,0,1,11710172.0
121,Fixed 404 link to 'Pomodoro For Programmers' article,0,True,True,2018-04-10T12:19:03Z,2018-04-10T12:19:04Z,0,2,1,1,1,1,2,1271454.0
122,Switched to HTTPS links where it's possible,54,True,True,2018-04-10T12:18:41Z,2018-04-10T12:18:42Z,0,2,1,1,15,15,30,1270498.0
120,"Added Link to ""The Long, Painful History of Time""",0,True,False,,2018-02-16T19:33:09Z,0,1,0,1,1,0,1,0
108,Add Coding Practice Site CodeCombat,53,True,True,2018-01-17T15:43:09Z,2018-01-17T15:43:09Z,0,2,1,1,1,0,1,6636311.0
96,Add `repl.it` to `Services`,68,True,True,2018-01-17T15:54:29Z,2018-01-17T15:54:29Z,0,2,2,1,1,0,1,7715381.0
103,"Add links ""How javascript works""",91,True,True,2018-01-17T15:52:38Z,2018-01-17T15:52:38Z,2,3,3,1,1,0,1,7115952.0
102,Open Source section and Intro to Git and Github,0,True,True,2018-01-17T15:49:06Z,2018-01-17T15:49:06Z,0,3,3,1,3,0,3,7242120.0
104,Add templates-and-concerns,96,True,False,,2018-01-17T15:47:08Z,0,2,1,1,1,0,1,0
105,add lintcode.com,49,True,True,2018-01-17T15:44:48Z,2018-01-17T15:44:48Z,1,3,1,1,1,0,1,6775361.0
112,Add new website to look for more information,0,True,True,2018-01-17T15:43:41Z,2018-01-17T15:43:41Z,0,2,1,1,1,0,1,5548947.0
118,Added Coderbyte link.,45,True,True,2018-01-17T15:42:44Z,2018-01-17T15:42:44Z,0,3,2,1,1,0,1,317190.0
110,Added Agner's optimization manuals,0,True,False,,2018-01-17T15:41:08Z,0,2,1,1,1,0,1,0
114,Add Falsehoods Programmers Believe About Time blog post,105,True,False,,2018-01-17T15:37:29Z,0,2,1,1,8,7,15,0
119,Updating URL to carta.,0,True,True,2018-01-17T15:35:34Z,2018-01-17T15:35:34Z,0,2,1,1,1,1,2,61751.0
115,"Update wording in CONTRIBUTING.md, closes #93",65,True,True,2018-01-17T15:34:40Z,2018-01-17T15:34:40Z,0,4,1,1,19,19,38,3629106.0
77,Added Code Complete book,103,True,False,,2017-11-01T21:59:45Z,1,4,3,1,2,1,3,0
87,Create LICENSE,150,True,False,,2017-10-25T18:18:16Z,0,4,7,1,8,0,8,0
82,Add ASCII and UTF-8,125,True,True,2017-10-25T18:02:46Z,2017-10-25T18:02:46Z,0,2,1,1,2,0,2,1194726.0
97,"Add ""Open Source"" section",0,True,False,,2017-10-25T20:03:04Z,0,2,3,1,3,0,3,0
88,fix spelling error,43,True,True,2017-10-25T18:18:49Z,2017-10-25T18:18:49Z,1,3,1,1,1,1,2,814931.0
95,Add What you should know as a founder of a software company,76,True,True,2017-10-25T18:29:45Z,2017-10-25T18:29:45Z,0,2,1,1,1,0,1,529177.0
