Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
880,[编程艺术] add 重构 改善既有代码的设计,0,True,False,,2024-04-07T06:59:02Z,1,7,5,1,2,1,3,0
877,add 编程网站目录,0,True,True,2024-01-22T00:24:11Z,2024-01-22T00:24:11Z,0,6,4,1,6,0,6,240236.0
876,Create changes.md,0,True,False,,2023-12-07T14:01:39Z,0,5,7,1,1,0,1,0
875,标注失效链接 :worried:,135,True,True,2023-11-13T08:33:06Z,2023-11-13T08:33:06Z,0,2,0,1,135,135,270,3972819.0
873,Create Test,11,True,False,,2023-09-22T03:48:25Z,0,7,12,1,1,0,1,0
871,Update README.md,17,True,False,,2023-06-08T08:51:03Z,0,6,5,1,1,0,1,0
845,add book 《游戏引擎 浅入浅出》,0,True,True,2022-06-13T03:25:12Z,2022-06-13T03:25:12Z,3,10,7,1,7,0,7,10062848.0
852,增加《Rust语言圣经(Rust Course)》,0,True,False,,2023-04-06T02:09:05Z,0,1,0,1,1,0,1,0
853,標示已失效的網址,14,True,False,,2023-03-31T06:41:51Z,0,1,0,2,18,18,36,0
850,Create Android Design,18,True,False,,2022-06-13T03:16:47Z,0,10,16,1,1,0,1,0
849,Linux 设备驱动 (第三版) 链接失效,0,True,True,2022-06-13T03:22:07Z,2022-06-13T03:22:07Z,1,5,3,1,1,1,2,7132718.0
834,Android Design(中文版) 链接不能正常访问,4,True,False,,2022-09-05T03:48:57Z,0,7,6,1,1,1,2,0
859,加入了MySQL书籍,0,True,False,,2022-08-09T13:40:51Z,0,1,0,1,2,0,2,0
844,上传关于Python编程入门和机器学习入门的pdf,0,True,False,,2022-06-13T03:25:24Z,0,9,7,1,2,0,2,0
846,Update README.md（添加Node相关电子书籍）,48,True,True,2022-06-13T03:23:11Z,2022-06-13T03:23:11Z,1,10,8,1,2,0,2,8779723.0
847,通过例子学 Rust 中文版,0,True,True,2022-06-13T03:22:46Z,2022-06-13T03:22:46Z,1,2,0,1,1,0,1,8710295.0
848,添加了R语言教程、Python黑魔法手册,16,True,True,2022-06-13T03:22:30Z,2022-06-13T03:22:30Z,1,2,0,1,2,0,2,7752056.0
825,"[Feature](README.md): add ""labuladong 的算法小抄"".",79,True,True,2022-06-13T03:20:50Z,2022-06-13T03:20:50Z,1,2,0,1,7,0,7,43629694.0
824,更新《Google Java编程风格指南》的链接,0,True,True,2022-06-13T03:20:27Z,2022-06-13T03:20:27Z,1,3,1,1,1,1,2,44553130.0
820,Merge pull request #1 from justjavac/master,6,True,False,,2022-06-13T03:19:51Z,1,4,0,0,0,0,0,0
814,Add 2 learning resources on Git / Version Control,0,True,True,2022-06-13T03:19:40Z,2022-06-13T03:19:40Z,1,3,1,1,2,0,2,65200452.0
813,更新了emacs 相关和 两本thinkphp开发手册,96,True,True,2022-06-13T03:19:10Z,2022-06-13T03:19:10Z,1,2,0,1,4,0,4,66790229.0
812,修改“用Python做科学计算”网址,116,True,True,2022-06-13T03:18:42Z,2022-06-13T03:18:42Z,1,2,0,1,1,1,2,66882974.0
831,`Python自然语言处理中文版`链接失效,33,True,False,,2022-06-13T03:16:26Z,0,4,2,1,1,1,2,0
830,Mysql链接失效,28,True,False,,2022-06-13T03:16:26Z,0,2,0,1,1,1,2,0
821,更新 《深入分析 Linux 内核源码》 链接,7,True,False,,2022-06-13T03:16:26Z,0,2,0,1,1,1,2,0
819,添加 LeetCode Cookbook,0,True,False,,2022-06-13T03:16:25Z,0,2,0,1,1,0,1,0
851,update buy-me-a-coffee-wechat,0,True,True,2022-06-13T03:15:54Z,2022-06-13T03:15:54Z,0,1,0,1,1,1,2,7.0
712,Change jS book location,33,True,True,2020-02-04T12:27:42Z,2020-02-04T12:27:42Z,0,2,0,1,1,1,2,18598758.0
840,Merge pull request #1 from justjavac/master,10,True,False,,2021-08-23T07:00:19Z,0,1,0,0,0,0,0,0
818,更新《逐行剖析 Vue.js 源码》的链接,13,True,False,,2021-08-07T08:51:14Z,0,1,0,1,1,1,2,0
823,docs: add serverless & migration,0,True,True,2021-01-08T06:33:09Z,2021-01-08T06:33:09Z,0,2,0,1,2,0,2,203.0
838,"Revert ""docs: add serverless & migration""",12,True,False,,2021-06-24T05:26:30Z,0,1,1,1,0,2,2,0
822,更新《数据结构与算法/leetcode/lintcode题解》书名与链接；,0,True,False,,2021-01-24T13:15:47Z,0,1,0,1,1,1,2,0
817,Merge pull request #1 from justjavac/master,2,True,False,,2020-07-22T01:25:46Z,0,1,1,0,0,0,0,0
816,Merge pull request #1 from justjavac/master,17,True,False,,2020-07-21T13:36:51Z,0,1,0,0,0,0,0,0
609,修复 一起学koa 的链接,64,True,False,,2020-02-04T12:21:20Z,0,2,0,1,1,1,2,0
811,“用Python做科学计算”链接失效,17,True,False,,2020-04-30T00:08:30Z,0,2,2,1,1,1,2,0
810,Translated the Readme file to English,0,True,False,,2020-04-27T13:01:52Z,0,2,1,1,593,586,1179,0
619,Add vim-galore 中译本和 SpaceVim,17,True,False,,2020-04-11T13:36:45Z,1,5,3,1,2,0,2,0
719,添加Flask入门教程,66,True,True,2020-02-04T12:11:51Z,2020-02-04T12:11:51Z,0,2,2,1,1,0,1,14808406.0
722,添加 Go语言高级编程 等四本 Go 语言书籍.,170,True,True,2020-02-04T12:13:07Z,2020-02-04T12:13:07Z,0,2,1,2,25,7,32,12631119.0
723,分布式内存数据库voltdb管理手册,192,True,False,,2020-02-04T12:28:59Z,0,2,2,1,1,0,1,0
728,Leetcode-php,29,True,True,2020-02-05T02:49:11Z,2020-02-05T02:49:11Z,1,2,2,1,1,0,1,9996218.0
706,"update 鸟哥的Linux私房菜,原网址失效",11,True,True,2020-02-04T12:25:24Z,2020-02-04T12:25:24Z,0,3,2,1,1,1,2,20986009.0
709,fix link: C# 超全面的 .NET GDI+ 图形图像编程教程,106,True,True,2020-02-04T12:26:46Z,2020-02-04T12:26:46Z,0,3,2,1,1,1,2,19775731.0
716, 新增《awk实战指南》以及修复 把《编程珠玑》读薄的链接,0,True,True,2020-02-04T12:27:53Z,2020-02-04T12:27:53Z,0,2,0,1,2,1,3,17900291.0
710,fix link: Clojure/Clojure入门教程,183,True,True,2020-02-04T12:26:59Z,2020-02-04T12:26:59Z,1,3,1,1,1,1,2,19775659.0
708,增加 Effective Java 第3版中文版,24,True,True,2020-02-04T12:26:20Z,2020-02-04T12:26:20Z,0,2,0,1,1,0,1,20243760.0
676,新增《Python编程 从入门到实践》（2016版）,17,True,False,,2020-02-04T12:25:12Z,1,3,1,1,3,0,3,0
685,增加 Web性能实践日志 (中文版 PDF),0,True,False,,2020-02-04T12:24:50Z,0,2,1,1,2,0,2,0
670,添加 2 本开源图书,29,True,False,,2020-02-04T12:22:46Z,0,2,0,1,7,0,7,0
661,读书笔记增加读薄CSAPP系列,34,True,False,,2020-02-04T12:22:40Z,0,2,0,1,1,0,1,0
656,Merge pull request #1 from justjavac/master,13,True,False,,2020-02-04T12:22:36Z,1,3,1,0,0,0,0,0
643,Add License,0,True,False,,2020-02-04T12:22:26Z,0,2,0,1,3,0,3,0
641,修复《站点可靠性工程》书籍链接地址，原始地址已经404,0,True,False,,2020-02-04T12:22:06Z,0,2,0,1,1,1,2,0
613,添加《从零学习 React 技术栈》,18,True,False,,2020-02-04T12:22:02Z,0,2,0,1,1,0,1,0
610,fix: Android学习之路 url 404,0,True,False,,2020-02-04T12:21:58Z,1,3,0,1,1,1,2,0
601,arkit  3d模型,0,True,False,,2020-02-04T12:21:17Z,0,2,0,1,1,0,1,0
600,删除 reactjs.cn,0,True,False,,2020-02-04T12:21:13Z,0,2,0,1,0,1,1,0
599,Merge pull request #1 from justjavac/master,17,True,False,,2020-02-04T12:21:04Z,0,2,0,0,0,0,0,0
598,Merge pull request #1 from justjavac/master,5,True,False,,2020-02-04T12:21:00Z,0,2,1,0,0,0,0,0
594,tensorflow官方文档中文版,0,True,False,,2020-02-04T12:20:57Z,0,2,0,1,1,0,1,0
589,change react china link,14,True,False,,2020-02-04T12:20:54Z,0,2,0,1,1,1,2,0
588,新增《Django博客开发入门教程》和《Django用户认证系统》,0,True,False,,2020-02-04T12:20:50Z,0,1,0,1,2,0,2,0
587,Update README.md,32,True,False,,2020-02-04T12:20:28Z,0,3,1,1,0,2,2,0
585,增加《JavaScript 异步开发全攻略》,24,True,False,,2020-02-04T12:20:24Z,0,2,0,1,5,4,9,0
584,Update README.md,0,True,False,,2020-02-04T12:20:07Z,0,2,0,1,1,0,1,0
583,fix react cn url,15,True,False,,2020-02-04T12:20:03Z,0,2,0,1,1,1,2,0
