Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
4182,client: add StatusExporter in service,0,True,True,2024-04-25T12:20:39Z,2024-04-25T12:20:40Z,0,1,0,2,24,9,33,344.0
4181,adjust arm compilation configuration,0,True,True,2024-04-25T05:08:41Z,2024-04-25T05:08:41Z,0,1,0,4,9,7,16,303.0
4161,Add Helm charts for FRP server and client,119,True,False,,2024-04-24T11:49:05Z,0,2,2,21,852,0,852,0
4176,Makefile.cross-compiles: Fix softfloat flag not being honored for mipsle,502,True,True,2024-04-22T11:50:59Z,2024-04-22T11:50:59Z,1,2,0,1,1,1,2,5883.0
2846,workflows: update stale action,0,True,True,2022-03-15T03:53:15Z,2022-03-15T03:53:15Z,2,2,0,1,4,2,6,295.0
4167,README add releated projects,0,True,True,2024-04-17T12:41:14Z,2024-04-17T12:41:14Z,1,2,0,2,12,5,17,507.0
4154,support linux/arm v6,13,True,True,2024-04-12T13:21:28Z,2024-04-12T13:21:28Z,1,2,0,2,59,45,104,212.0
4065,fix: typos,3,True,False,,2024-04-13T00:33:21Z,0,1,1,2,4,4,8,0
4153,fix: ssh tunnel with user name will lead to invalid proxy name,3,True,False,,2024-04-12T06:13:03Z,1,2,0,1,0,1,1,0
4152,show tcpmux proxies on the frps dashboard,13,True,True,2024-04-11T14:40:42Z,2024-04-11T14:40:42Z,0,1,0,11,128,56,184,199.0
4151,return 504 instead of 404 for proxy type http request timeout,3,True,True,2024-04-11T12:19:08Z,2024-04-11T12:19:08Z,0,1,0,22,162,74,236,218.0
4142,update golib,3,True,True,2024-04-10T04:05:22Z,2024-04-10T04:05:22Z,0,1,0,2,6,6,12,260.0
4149,fix: revert gorilla/websocket from 1.5.1 to 1.5.0,375,True,True,2024-04-11T03:01:02Z,2024-04-11T03:01:02Z,0,2,0,2,3,3,6,5317.0
4144,add jwt authentication,0,True,False,,2024-04-10T08:59:52Z,0,1,0,12,157,1,158,0
4111,fix x-forwarded-for header,19,True,True,2024-03-28T08:47:27Z,2024-03-28T08:47:27Z,0,2,1,10,204,51,255,1962.0
4139,update README,0,True,True,2024-04-09T07:03:32Z,2024-04-09T07:03:32Z,0,1,0,2,1,7,8,151.0
4137,bump version,3,True,True,2024-04-09T03:45:41Z,2024-04-09T03:45:41Z,0,1,0,15,311,186,497,62.0
4136,bump deps version,13,True,True,2024-04-09T03:39:21Z,2024-04-09T03:39:21Z,0,1,0,4,110,114,224,232.0
4043,fix function name in comment,28,True,False,,2024-04-04T00:33:54Z,0,1,1,1,1,1,2,0
4094,package.sh add android,0,True,True,2024-03-21T11:38:18Z,2024-03-21T11:38:18Z,0,1,0,2,1,25,26,488.0
3976,Update tls.go,370,True,False,,2024-03-23T00:33:48Z,0,2,3,1,50,0,50,0
4091,set CompatibilityMode for android,0,True,True,2024-03-21T09:34:10Z,2024-03-21T09:34:10Z,0,1,0,8,98,6,104,604.0
4092,bump v0.56.0,0,True,True,2024-03-21T09:37:39Z,2024-03-21T09:37:39Z,0,2,0,32,317,57,374,118.0
4086,update release notes,0,True,True,2024-03-20T07:16:01Z,2024-03-20T07:16:01Z,0,1,0,3,5,3,8,685.0
4020,use math/rand/v2,0,True,True,2024-03-20T07:48:31Z,2024-03-20T07:48:31Z,0,1,2,5,16,25,41,2313776.0
4087,show client address in server dashboard,122,True,False,,2024-03-21T08:20:30Z,0,2,2,7,26,11,37,0
