Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
1418,[fix][All] gu-piao-de-zui-da-li-run-lcof,97,True,False,,2024-04-23T03:40:33Z,0,1,0,1,12,0,12,0
1417,[fix][Python] er-cha-shu-de-shen-du-lcof,98,True,False,,2024-04-23T03:40:33Z,0,1,0,1,12,9,21,0
1416,[fix][Java] minimum-number-of-arrows-to-burst-balloons,112,True,False,,2024-04-23T03:40:32Z,0,1,0,1,1,5,6,0
1561,[fix][golang] merge-two-sorted-lists,290,True,False,,2024-04-06T02:52:27Z,0,1,0,1,1,3,4,0
1483,Update solution_code.md,33,True,False,,2024-04-02T08:32:15Z,0,1,1,1,71126,71076,142202,0
1430,Fix 1429,116,True,False,,2024-04-01T10:40:49Z,0,1,0,1,2,2,4,0
1428,fix: duplicated function declaration,12,True,False,,2024-04-01T10:40:48Z,0,1,0,1,1,1,2,0
1427,fix: edge case in zuo-xuan-zhuan-zi-fu-chuan-lcof,40,True,False,,2024-04-01T10:40:48Z,0,1,0,1,1,0,1,0
1500,[fix][{python}] {find-k-pairs-with-smallest-sums},104,True,True,2024-03-10T08:59:37Z,2024-03-10T08:59:37Z,0,2,0,1,11,9,20,15076585.0
1541,添加出版推广,33,True,False,,2024-01-18T01:33:41Z,0,2,0,2,4,0,4,0
1455,[fix][{python}] {shu-zu-zhong-zhong-fu-de-shu-zi-lcof},136,True,False,,2023-09-23T09:08:10Z,0,1,0,1,71079,71076,142155,0
1424,[fix][Python] find-k-pairs-with-smallest-sums,189,True,False,,2023-08-27T18:00:46Z,0,1,0,1,71072,71076,142148,0
1106,Update RemoveDuplicatesfromSortedArray.md,62,True,True,2023-08-01T03:32:23Z,2023-08-01T03:32:23Z,0,2,0,1,0,1,1,13553781.0
943,Update 合法括号判定.md,9,True,False,,2023-08-01T03:31:17Z,0,2,1,1,26,1,27,0
1441,我修改的是如下题目的c++解法：https://leetcode.cn/problems/advantage-shuffle/submis…,97,True,False,,2023-07-23T08:50:06Z,0,1,0,1,71076,71076,142152,0
1406,[fix][typescript] house-robber-iii,103,True,True,2023-06-14T09:46:39Z,2023-06-14T09:46:39Z,4,2,3,1,23,19,42,1293688.0
1414,[fix][Java] remove-duplicates-from-sorted-list,104,True,True,2023-06-13T09:50:18Z,2023-06-13T09:50:18Z,0,2,1,1,1,1,2,364128.0
1401,[fix] [Python] g5c51o,78,True,True,2023-06-13T09:55:09Z,2023-06-13T09:55:09Z,0,2,2,1,16,11,27,2338937.0
