Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
4433,Java.gitignore,172,True,False,,2024-04-15T13:31:54Z,0,1,0,0,0,0,0,0
2742,[RFC] add metadata alongside templates,4379,True,False,,2021-11-07T20:57:22Z,7,10,15,19,119,155,274,0
3884,Go: Ignore Go workspace file go.work,366,True,True,2021-12-04T21:22:31Z,2021-12-04T21:22:31Z,1,6,10,1,3,0,3,1828841.0
4425,added a Fortran gitignore file with possible git ignores ,172,True,False,,2024-03-27T13:26:25Z,0,2,0,1,209,1,210,0
4127,Update Unity.gitignore,233,True,False,,2024-03-21T08:26:06Z,0,1,0,1,6,1,7,0
4225,Add .localized to macOS.gitignore,586,True,False,,2024-03-20T13:43:59Z,0,1,0,1,29,26,55,0
3664,update laravel.gitignore for ignore all lock file,59,True,False,,2024-03-19T15:23:29Z,1,4,2,1,1,0,1,0
4413,Update AL.gitignore,77,True,False,,2024-03-09T01:04:18Z,0,1,0,1,15,2,17,0
3645,Add .tye/ folder to VisualStudio.gitignore,73,True,False,,2024-03-08T07:01:25Z,2,3,0,1,3,0,3,0
4007,renames .NET Core to .NET,135,True,False,,2024-03-08T07:01:05Z,0,1,0,1,1,1,2,0
4276,Add project related Repository folder ,487,True,False,,2023-04-06T06:15:56Z,0,2,1,0,0,0,0,0
4092,Remove duplicates.  *.aps and *.ncb included elsewhere,319,True,False,,2024-03-01T18:14:26Z,0,1,0,1,0,2,2,0
4401,Need to ignore .DS_Store from macOS filesystem,1263,True,False,,2024-02-28T16:33:09Z,0,2,1,1,3,0,3,0
4389,feat: add .idea directory to ignore in Go-Lang,113,True,False,,2024-02-28T10:57:29Z,0,1,0,1,3,0,3,0
3765,"Revert ""[Python] .python-version should NOT be ignored (#3274)""",1966,True,False,,2024-02-20T20:56:13Z,0,4,2,1,1,3,4,0
4411,Update link to poetry.lock documentation,257,True,False,,2024-02-20T15:25:39Z,0,1,1,1,1,1,2,0
4409,Update Unity.gitignore,172,True,False,,2024-02-10T07:18:00Z,0,1,0,1,7,7,14,0
2483,Add *.snk strong name key files,625,True,True,2017-12-26T03:30:10Z,2017-12-26T03:30:10Z,1,5,5,1,4,0,4,8259589.0
2978,Add MAlonzo directory.,230,True,True,2019-03-08T12:47:43Z,2019-03-08T12:47:43Z,0,3,2,1,1,0,1,590585.0
4049,Create Dbt.gitignore,405,True,False,,2024-01-17T01:24:24Z,1,2,0,1,5,0,5,0
4376,feat: Ignore `.pdm-python` file.,315,True,False,,2024-01-14T02:31:26Z,0,2,1,1,1,0,1,0
3976,Ignore PDM project-wide config,440,True,True,2022-03-29T03:18:27Z,2022-03-29T03:18:27Z,6,7,6,1,9,1,10,3472349.0
2827,[Godot] Don't ignore export presets ,102,True,False,,2019-10-12T13:51:44Z,0,6,11,1,0,3,3,0
2379,Fixed typo,72,True,True,2017-05-12T09:36:02Z,2017-05-12T09:36:02Z,0,4,6,1,1,1,2,1524.0
4381,Update Delphi.gitignore,172,True,False,,2023-12-06T15:06:15Z,0,1,1,1,5,0,5,0
4380,Update DelphiTraducao,172,True,False,,2023-12-06T15:06:14Z,0,1,0,1,5,0,5,0
4310,Ensuring that all obj and bin folders are ignored,1541,True,False,,2023-11-23T18:51:23Z,0,1,0,1,2,2,4,0
4242,Update Leiningen.gitignore to ignore lsp and clj-kondo cache in Clojure projects,948,True,False,,2023-11-20T21:06:03Z,0,1,0,1,2,0,2,0
3952,"Added Mac, VS Code & Jet Brains ignores",185,True,False,,2023-11-13T21:58:07Z,0,1,0,1,9,0,9,0
3431,This is not Delphi-specific folder,539,True,False,,2021-12-04T23:45:50Z,0,14,19,1,0,3,3,0
4371,Update Unity.gitignore,172,True,False,,2023-11-06T01:33:40Z,0,1,0,1,7,7,14,0
4050,- Added Cypress gitignore file,375,True,False,,2023-11-04T04:37:06Z,0,2,1,1,18,0,18,0
4348,Update MATLAB.gitignore,32,True,False,,2023-10-29T16:47:27Z,1,2,0,1,3,0,3,0
3567,Add .godot/ folder to Godot.gitignore for Godot 4,559,True,True,2022-12-18T19:57:20Z,2022-12-18T19:57:20Z,2,10,11,1,4,0,4,67212473.0
3014,Ballerina gitignore file added,292,True,False,,2023-05-03T04:47:11Z,2,4,3,1,44,0,44,0
4334,Add files Dotnet gitignore,193,True,False,,2023-10-21T13:04:13Z,1,3,1,1,477,0,477,0
4140,Add ignores for Angular projects,305,True,False,,2023-10-19T00:48:47Z,4,2,0,1,30,0,30,0
4154,Create arduino.gitignore,527,True,False,,2023-10-07T17:10:29Z,0,1,1,1,70,0,70,0
4004,Added LaTeX gitignore file,1012,True,False,,2023-10-06T09:01:49Z,0,2,6,1,11,0,11,0
4239,Add delve debug binary,488,True,False,,2023-10-05T19:43:31Z,1,2,0,1,3,0,3,0
4352,minor changes,172,True,False,,2023-09-08T16:34:16Z,0,1,1,1,2,0,2,0
4349,Created the git-init script file,390,True,False,,2023-09-02T06:32:33Z,0,1,0,2,155,0,155,0
4129,Ignore unity import auto-generated meta,668,True,False,,2023-08-29T09:15:30Z,0,1,0,1,3,0,3,0
2447,Add gitignore for Ceylon,337,True,False,,2023-08-19T06:07:53Z,0,2,0,1,18,0,18,0
4084,Add .DS_Store to Xcode global and children,331,True,False,,2023-08-09T12:58:47Z,0,1,0,3,9,0,9,0
4213,Updated Unreal GitIgnore to ignore nested  Binaries/Intermediate folders,213,True,False,,2023-08-04T21:54:39Z,0,2,2,1,2,2,4,0
4336,Add files via upload,368,True,False,,2023-08-03T06:41:35Z,0,1,0,1,87,0,87,0
4120,Create Deno.gitignore,395,True,False,,2023-08-02T21:30:11Z,0,2,2,1,1,0,1,0
4038,tidy: Fix the inconsistent line breaks,101,True,False,,2023-07-27T15:16:45Z,1,1,0,1,2,0,2,0
4184,Adding the dependency lock file the template.,420,True,False,,2023-07-26T11:16:11Z,0,3,2,1,3,0,3,0
3853,Add `poetry.toml` to `Python.gitignore`,727,True,False,,2023-07-20T01:17:25Z,0,3,3,1,3,0,3,0
4322,Update Python.gitignore,328,True,False,,2023-07-04T09:46:52Z,0,1,0,1,135,24,159,0
4082,add more flexibility to Virtual environments,146,True,False,,2023-07-03T16:12:36Z,0,1,0,1,4,0,4,0
4200,added gitignore templates for openfl and inno setup,208,True,False,,2023-06-30T13:17:29Z,0,0,0,2,2,0,2,0
4313,[ADD] Added *.pyc and *.DS_Store,106,True,False,,2023-06-27T02:58:24Z,1,4,4,1,1,0,1,0
3429,Use the correct product name for IntelliJ IDEA,616,True,False,,2023-06-23T23:48:10Z,1,2,0,2,4,4,8,0
4309,Fix link into maven wrapper documentation,253,True,False,,2023-06-11T15:49:08Z,0,1,0,1,1,1,2,0
912,Update Cloud9.gitignore,102,True,True,2014-01-07T03:53:53Z,2014-01-07T03:53:53Z,0,3,2,1,1,0,1,356534.0
3531,Update CMake.gitignore,94,True,False,,2023-06-02T15:00:39Z,1,2,4,1,1,0,1,0
3483,Update Android.gitignore to support Split apk's.,413,True,False,,2023-05-31T05:31:29Z,0,1,0,1,1,0,1,0
3452,Exclude *.tfvars files,1189,True,True,2020-07-07T00:36:25Z,2020-07-07T00:36:25Z,1,5,8,1,5,4,9,1023929.0
4190,add visual studio backup files,188,True,False,,2023-05-22T07:40:09Z,0,1,0,1,4,0,4,0
2728,Trim trailing whitespace,120,True,True,2018-06-17T16:48:41Z,2018-06-17T16:48:41Z,0,5,3,8,21,21,42,1082346.0
4232,Add `.rebel_readline_history` to Leiningen.gitignore,186,True,False,,2023-05-11T08:52:14Z,0,1,0,1,1,0,1,0
481,Added section for SQL Server files,53,True,True,2012-12-19T22:38:00Z,2012-12-19T22:38:00Z,0,2,1,1,4,0,4,2369271.0
4283,Update Go.gitignore,205,True,False,,2023-05-06T14:24:11Z,1,2,0,1,1,0,1,0
4168,Add a Latex.gitignore,592,True,False,,2023-05-03T13:49:19Z,0,2,2,1,17,0,17,0
4193,feat(dm): ignore map backups and savefiles,200,True,False,,2023-04-30T23:19:10Z,0,1,0,1,3,1,4,0
4288,Jean m girard patch 1,172,True,False,,2023-04-30T08:35:02Z,0,1,0,267,640,2,642,0
3995,Create Javascript.gitignore,0,True,False,,2023-04-24T07:41:36Z,0,1,0,1,5,0,5,0
4136,update ignore,188,True,False,,2023-04-23T09:17:41Z,2,2,0,1,4,0,4,0
3487,Update VisualStudio.gitignore,406,True,False,,2021-12-04T15:38:22Z,0,4,2,1,4,0,4,0
3191,Update VisualStudio.gitignore,171,True,False,,2020-02-10T00:09:30Z,0,4,4,1,3,0,3,0
3944,Update Python.gitignore,256,True,False,,2023-04-16T10:55:22Z,1,3,1,1,3,0,3,0
4275,Add .vscode/ to Unity.gitignore,157,True,False,,2023-04-15T14:24:07Z,1,3,1,1,3,0,3,0
4261,Entries added for Rider/Visual Studio Code,39,True,False,,2023-04-08T19:32:00Z,0,1,0,1,6,0,6,0
4278,Update Swift.gitignore,172,True,False,,2023-04-08T06:09:28Z,0,1,0,1,3,0,3,0
