Number,Title,Body,Closed,Merged,MergedAt,ClosedAt,ReviewComments,Participants,Comments,Files,Additions,Deletions,Modifications,TimeToMergeOrClose
66837,doc: update LICENSE.md to 2024,1211,True,False,,2024-04-25T19:49:38Z,1,2,4,1,1,1,2,0
67032,all: fix typos in comments,0,True,False,,2024-04-25T17:55:55Z,0,2,9,3,3,3,6,0
61695,net: use the extended RCode from EDNS(0) OPT resources,329,True,False,,2023-08-03T15:59:17Z,0,3,15,2,54,4,58,0
66793,cmd/compile: teach dse about equivalent LocalAddrs,277,True,False,,2024-04-25T20:13:13Z,0,2,22,2,64,0,64,0
65769,net/http: configurable error message for Client sent an HTTP request …,51,True,False,,2024-04-25T06:42:40Z,0,2,12,3,89,2,91,0
66985,doc: fix typos in docs,0,True,False,,2024-04-24T13:54:15Z,0,2,12,2,2,2,4,0
66990,src/buildall.bash: use grep -E instead of egrep,228,True,False,,2024-04-23T17:56:07Z,0,2,10,1,1,1,2,0
66917,all: fix some typos in comments,75,True,False,,2024-04-23T16:43:01Z,0,2,16,3,3,3,6,0
66940,cmd/go: remove sortKeyValues function,0,True,False,,2024-04-23T10:09:59Z,0,2,13,1,1,12,13,0
66974,Refactor output message,81,True,False,,2024-04-22T22:13:10Z,0,2,10,1,1,1,2,0
66950,cmd/compile/internal/ssa: fix the description of auxCCop as auxInt,62,True,False,,2024-04-22T15:39:52Z,0,2,11,2,2,2,4,0
63818,cmd/compile: combine phielim and copyelim into a single pass,0,True,False,,2024-04-22T14:58:37Z,0,2,46,3,86,98,184,0
66276,runtime: always acquire M when acquiring locks by rank,637,True,False,,2024-04-22T14:38:59Z,0,2,34,4,22,16,38,0
66953,Refactor message,93,True,False,,2024-04-21T18:39:04Z,0,2,4,1,1,1,2,0
66935,Refactor panic messages,358,True,False,,2024-04-21T15:20:04Z,0,2,13,1,1,1,2,0
66684,syscall/js: allocate arg slices on stack for small numbers of args,713,True,False,,2024-04-19T14:43:31Z,0,2,27,2,170,9,179,0
66752,net/http: add field Cookie.Quoted bool,554,True,False,,2024-04-19T00:37:59Z,0,2,23,7,124,53,177,0
66440,net/http: use slices to simplify the code,249,True,False,,2024-03-21T22:19:48Z,0,2,36,8,21,38,59,0
66462,path/filepath: use slices to simplify the test code,0,True,False,,2024-03-22T16:47:13Z,0,2,11,2,7,18,25,0
66509,regexp: use slices to simplify the code,178,True,False,,2024-03-25T19:39:53Z,0,2,12,4,12,29,41,0
66511,regexp/syntax: simplify the code,128,True,False,,2024-03-26T19:58:28Z,0,2,28,2,4,19,23,0
63879,encoding/asn1: simplify appendFourDigits,60,True,False,,2024-03-28T18:20:03Z,0,2,35,1,5,6,11,0
66572,database/sql: use slices to simplify the code,0,True,False,,2024-04-01T12:48:10Z,0,2,43,3,30,53,83,0
66644,encoding/json: optimize tagOptions.Contains,342,True,False,,2024-04-02T12:29:26Z,0,2,4,2,12,5,17,0
66593,crypto/elliptic: use map to simplify the specific curve matching,74,True,False,,2024-04-10T11:40:52Z,0,2,5,1,11,13,24,0
66660,expvar: use slices to simplify the code,24,True,False,,2024-04-03T21:42:04Z,0,2,16,1,9,12,21,0
66646,encoding/json: use slices to simplify the code,141,True,False,,2024-04-11T16:48:10Z,0,2,18,2,7,23,30,0
66740,net/rpc: use slices to simplify the code,0,True,False,,2024-04-11T06:16:31Z,0,2,9,3,13,24,37,0
66675,expvar: add the missing deletion step for keys,189,True,False,,2024-04-04T14:53:50Z,0,2,11,2,7,0,7,0
66834,net/http: use slices to simplify serveMux121.handle,0,True,False,,2024-04-18T16:33:22Z,0,2,8,1,6,17,23,0
66846,"cmd,crypto/elliptic: fix typos in comments",67,True,False,,2024-04-16T17:51:19Z,0,2,9,3,3,3,6,0
66848,net/http: add comments that servemux121.go should remain frozen,0,True,False,,2024-04-18T15:51:01Z,0,2,11,1,4,0,4,0
54287,runtime: cleanup timer codes,218,True,False,,2024-04-18T07:07:08Z,0,2,7,10,1391,1334,2725,0
66852,cmd/covdata: close cpu and mem profile,0,True,False,,2024-04-17T16:44:31Z,0,2,21,1,9,1,10,0
